DataCompleta;Cota
2014-12-01;998.0
2014-12-02;1003.0
2014-12-03;1008.0
2014-12-04;1013.0
2014-12-05;1016.0
2014-12-06;1021.0
2014-12-07;1025.0
2014-12-08;1028.0
2014-12-09;1030.0
2014-12-10;1032.0
2014-12-11;1041.0
2014-12-12;1045.0
2014-12-13;1046.0
2014-12-14;1049.0
2014-12-15;1050.0
2014-12-16;1051.0
2014-12-17;1051.0
2014-12-18;1052.0
2014-12-19;1053.0
2014-12-20;1056.0
2014-12-21;1058.0
2014-12-22;1058.0
2014-12-23;1059.0
2014-12-24;1060.0
2014-12-25;1063.0
2014-12-26;1066.0
2014-12-27;1068.0
2014-12-28;1069.0
2014-12-29;1071.0
2014-12-30;1074.0
2014-12-31;1076.0
2015-01-01;1077.0
2015-01-02;1079.0
2015-01-03;1081.0
2015-01-04;1083.0
2015-01-05;1087.0
2015-01-06;1092.0
2015-01-07;1096.0
2015-01-08;1099.0
2015-01-09;1104.0
2015-01-10;1110.0
2015-01-11;1118.0
2015-01-12;1124.0
2015-01-13;1128.0
2015-01-14;1136.0
2015-01-15;1142.0
2015-01-16;1146.0
2015-01-17;1151.0
2015-01-18;1157.0
2015-01-19;1163.0
2015-01-20;1167.0
2015-01-21;1176.0
2015-01-22;1183.0
2015-01-23;1192.0
2015-01-24;1204.0
2015-01-25;1213.0
2015-01-26;1220.0
2015-01-27;1228.0
2015-01-28;1234.0
2015-01-29;1241.0
2015-01-30;1250.0
2015-01-31;1257.0
2015-02-01;1266.0
2015-02-02;1277.0
2015-02-03;1283.0
2015-02-04;1292.0
2015-02-05;1298.0
2015-02-06;1305.0
2015-02-07;1311.0
2015-02-08;1317.0
2015-02-09;1323.0
2015-02-10;1328.0
2015-02-11;1334.0
2015-02-12;1340.0
2015-02-13;1345.0
2015-02-14;1350.0
2015-02-15;1354.0
2015-02-16;1358.0
2015-02-17;1363.0
2015-02-18;1368.0
2015-02-19;1371.0
2015-02-20;1373.0
2015-02-21;1377.0
2015-02-22;1381.0
2015-02-23;1387.0
2015-02-24;1390.0
2015-02-25;1395.0
2015-02-26;1398.0
2015-02-27;1401.0
2015-02-28;1405.0
2015-03-01;1411.0
2015-03-02;1415.0
2015-03-03;1419.0
2015-03-04;1423.0
2015-03-05;1428.0
2015-03-06;1433.0
2015-03-07;1437.0
2015-03-08;1441.0
2015-03-09;1445.0
2015-03-10;1451.0
2015-03-11;1455.0
2015-03-12;1460.0
