CUCUÍ	-66.853	1.215
    21     8  1983     6333.080000
    22     8  1983     6284.640000
    23     8  1983     6296.740000
    24     8  1983     6393.750000
    25     8  1983     6515.520000
    26     8  1983     6674.630000
    27     8  1983     6822.300000
    28     8  1983     6983.150000
    29     8  1983     7144.880000
    30     8  1983     7244.850000
    31     8  1983     7282.420000
     1     9  1983     7257.370000
     2     9  1983     7219.830000
     3     9  1983     7119.940000
     4     9  1983     7045.250000
     5     9  1983     6995.560000
     6     9  1983     6933.560000
     7     9  1983     6809.970000
     8     9  1983     6662.350000
     9     9  1983     6454.570000
    10     9  1983     6224.210000
    11     9  1983     5995.860000
    12     9  1983     5793.300000
    13     9  1983     5627.730000
    14     9  1983     5475.030000
    15     9  1983     5334.960000
    16     9  1983     5149.570000
    17     9  1983     4988.640000
    18     9  1983     4863.060000
    19     9  1983     4726.940000
    20     9  1983     4647.960000
    21     9  1983     4591.740000
    22     9  1983     4602.970000
    23     9  1983     4614.210000
    24     9  1983     4614.210000
    25     9  1983     4524.500000
    26     9  1983     4424.080000
    27     9  1983     4346.340000
    28     9  1983     4202.860000
    29     9  1983     4049.640000
    30     9  1983     3876.210000
     1    10  1983     3672.640000
     2    10  1983     3461.220000
     3    10  1983     3346.240000
     4    10  1983     3294.270000
     5    10  1983     3283.910000
     6    10  1983     3242.510000
     7    10  1983     3325.430000
     8    10  1983     3398.390000
     9    10  1983     3471.720000
    10    10  1983     3492.750000
    11    10  1983     3450.730000
    12    10  1983     3377.500000
    13    10  1983     3304.650000
    14    10  1983     3170.370000
    15    10  1983     3047.600000
    16    10  1983     2966.410000
    17    10  1983     2865.660000
    18    10  1983     2755.800000
    19    10  1983     2607.660000
    20    10  1983     2529.460000
    21    10  1983     2442.170000
    22    10  1983     2374.780000
    23    10  1983     2307.850000
    24    10  1983     2222.470000
    25    10  1983     2128.520000
    26    10  1983     2063.330000
    27    10  1983     2165.980000
    28    10  1983     2384.380000
    29    10  1983     2956.300000
    30    10  1983     3273.550000
    31    10  1983     3429.770000
     1    11  1983     3513.800000
     2    11  1983     3725.950000
     3    11  1983     3876.210000
     4    11  1983     3995.250000
     5    11  1983     4104.210000
     6    11  1983     4180.890000
     7    11  1983     4246.890000
     8    11  1983     4235.870000
     9    11  1983     4213.860000
    10    11  1983     4169.920000
    11    11  1983     4082.360000
    12    11  1983     3897.790000
    13    11  1983     3662.000000
    14    11  1983     3387.940000
    15    11  1983     3129.320000
    16    11  1983     2815.590000
    17    11  1983     2686.420000
    18    11  1983     2607.660000
    19    11  1983     2548.960000
    20    11  1983     2480.870000
    21    11  1983     2422.870000
    22    11  1983     2384.380000
    23    11  1983     2326.930000
    24    11  1983     2279.310000
    25    11  1983     2213.030000
    26    11  1983     2119.180000
    27    11  1983     2109.840000
    28    11  1983     2072.610000
    29    11  1983     2184.780000
    30    11  1983     2260.330000
     1    12  1983     2336.480000
     2    12  1983     2432.510000
     3    12  1983     2490.570000
     4    12  1983     2558.720000
     5    12  1983     2578.270000
     6    12  1983     2646.970000
     7    12  1983     2765.740000
     8    12  1983     2885.740000
     9    12  1983     3067.980000
    10    12  1983     3367.070000
    11    12  1983     3768.740000
    12    12  1983     4016.980000
    13    12  1983     4060.540000
    14    12  1983     3973.540000
    15    12  1983     3865.430000
    16    12  1983     3822.380000
    17    12  1983     3811.640000
    18    12  1983     3800.900000
    19    12  1983     3758.030000
    20    12  1983     3704.610000
    21    12  1983     3630.120000
    22    12  1983     3587.710000
    23    12  1983     3555.990000
    24    12  1983     3534.880000
    25    12  1983     3534.880000
    26    12  1983     3492.750000
    27    12  1983     3461.220000
    28    12  1983     3492.750000
    29    12  1983     3555.990000
    30    12  1983     3524.330000
    31    12  1983     3232.180000
     1     1  1984     3221.860000
     2     1  1984     3067.980000
     3     1  1984     2895.800000
     4     1  1984     2855.630000
     5     1  1984     2805.610000
     6     1  1984     2735.930000
     7     1  1984     2646.970000
     8     1  1984     2510.000000
     9     1  1984     2471.180000
    10     1  1984     2403.610000
    11     1  1984     2442.170000
    12     1  1984     2317.390000
    13     1  1984     2222.470000
    14     1  1984     2128.520000
    15     1  1984     2063.330000
    16     1  1984     2017.070000
    17     1  1984     1980.240000
    18     1  1984     2054.060000
    19     1  1984     2165.980000
    20     1  1984     2326.930000
    21     1  1984     2548.960000
    22     1  1984     2785.660000
    23     1  1984     3078.190000
    24     1  1984     3367.070000
    25     1  1984     3587.710000
    26     1  1984     3662.000000
    27     1  1984     3672.640000
    28     1  1984     3715.280000
    29     1  1984     3833.130000
    30     1  1984     3984.390000
    31     1  1984     4126.080000
     1     2  1984     4180.890000
     2     2  1984     4169.920000
     3     2  1984     4158.950000
     4     2  1984     4169.920000
     5     2  1984     4191.870000
     6     2  1984     4169.920000
     7     2  1984     4158.950000
     8     2  1984     4115.140000
     9     2  1984     4071.450000
    10     2  1984     3962.700000
    11     2  1984     3822.380000
    12     2  1984     3672.640000
    13     2  1984     3566.560000
    14     2  1984     3461.220000
    15     2  1984     3367.070000
    16     2  1984     3252.850000
    17     2  1984     3160.090000
    18     2  1984     3119.080000
    19     2  1984     3180.650000
    20     2  1984     3273.550000
    21     2  1984     3377.500000
    22     2  1984     3524.330000
    23     2  1984     3683.290000
    24     2  1984     3941.030000
    25     2  1984     4180.890000
    26     2  1984     4335.270000
    27     2  1984     4446.350000
    28     2  1984     4457.490000
    29     2  1984     4435.210000
     1     3  1984     4424.080000
     2     3  1984     4346.340000
     3     3  1984     4213.860000
     4     3  1984     4038.750000
     5     3  1984     3865.430000
     6     3  1984     3672.640000
     7     3  1984     3471.720000
     8     3  1984     3263.190000
     9     3  1984     3067.980000
    10     3  1984     2855.630000
    11     3  1984     2686.420000
    12     3  1984     2471.180000
    13     3  1984     2260.330000
    14     3  1984     2119.180000
    15     3  1984     1980.240000
    16     3  1984     1888.870000
    17     3  1984     1789.580000
    18     3  1984     1719.140000
    19     3  1984     1693.410000
    20     3  1984     1659.270000
    21     3  1984     1659.270000
    22     3  1984     1642.280000
    23     3  1984     1642.280000
    24     3  1984     1719.140000
    25     3  1984     1789.580000
    26     3  1984     1843.580000
    27     3  1984     1907.060000
    28     3  1984     1943.570000
    29     3  1984     1971.050000
    30     3  1984     1989.430000
    31     3  1984     1952.720000
     1     4  1984     1897.960000
     2     4  1984     1861.670000
     3     4  1984     1907.060000
     4     4  1984     1971.050000
     5     4  1984     2026.300000
     6     4  1984     2072.610000
     7     4  1984     2035.540000
     8     4  1984     1943.570000
     9     4  1984     1870.720000
    10     4  1984     1789.580000
    11     4  1984     1762.720000
    12     4  1984     1762.720000
    13     4  1984     1762.720000
    14     4  1984     1807.540000
    15     4  1984     1843.580000
    16     4  1984     1907.060000
    17     4  1984     1971.050000
    18     4  1984     1998.630000
    19     4  1984     2017.070000
    20     4  1984     2017.070000
    21     4  1984     1998.630000
    22     4  1984     1961.880000
    23     4  1984     1934.430000
    24     4  1984     1879.790000
    25     4  1984     1852.620000
    26     4  1984     1980.240000
    27     4  1984     2269.810000
    28     4  1984     2726.010000
    29     4  1984     3170.370000
    30     4  1984     3545.430000
     1     5  1984     3811.640000
     2     5  1984     3941.030000
     3     5  1984     4016.980000
     4     5  1984     4027.860000
     5     5  1984     3995.250000
     6     5  1984     3930.210000
     7     5  1984     3865.430000
     8     5  1984     3747.330000
     9     5  1984     3640.740000
    10     5  1984     3534.880000
    11     5  1984     3387.940000
    12     5  1984     3273.550000
    13     5  1984     3180.650000
    14     5  1984     3180.650000
    15     5  1984     3170.370000
    16     5  1984     3232.180000
    17     5  1984     3408.840000
    18     5  1984     3577.130000
    19     5  1984     3811.640000
    20     5  1984     3984.390000
    21     5  1984     4169.920000
