IPIXUNA	-71.684	-7.051
    22     8  1983      140.870000
    23     8  1983      144.800000
    24     8  1983      142.830000
    25     8  1983      140.870000
    26     8  1983      136.020000
    27     8  1983      131.240000
    28     8  1983      131.240000
    29     8  1983      129.340000
    30     8  1983      128.400000
    31     8  1983      128.400000
     1     9  1983      128.400000
     2     9  1983      137.950000
     3     9  1983      144.800000
     4     9  1983      162.010000
     5     9  1983      167.220000
     6     9  1983      171.440000
     7     9  1983      174.630000
     8     9  1983      174.630000
     9     9  1983      180.000000
    10     9  1983      187.640000
    11     9  1983      188.740000
    12     9  1983      184.350000
    13     9  1983      183.260000
    14     9  1983      186.540000
    15     9  1983      189.840000
    16     9  1983      196.520000
    17     9  1983      197.640000
    18     9  1983      187.640000
    19     9  1983      176.770000
    20     9  1983      164.080000
    21     9  1983      152.800000
    22     9  1983      145.790000
    23     9  1983      140.870000
    24     9  1983      143.820000
    25     9  1983      147.780000
    26     9  1983      149.780000
    27     9  1983      150.780000
    28     9  1983      148.780000
    29     9  1983      150.780000
    30     9  1983      152.800000
     1    10  1983      159.940000
     2    10  1983      162.010000
     3    10  1983      156.870000
     4    10  1983      147.780000
     5    10  1983      147.780000
     6    10  1983      152.800000
     7    10  1983      157.890000
     8    10  1983      162.010000
     9    10  1983      175.700000
    10    10  1983      178.920000
    11    10  1983      178.920000
    12    10  1983      174.630000
    13    10  1983      171.440000
    14    10  1983      169.320000
    15    10  1983      173.560000
    16    10  1983      178.920000
    17    10  1983      184.350000
    18    10  1983      190.950000
    19    10  1983      189.840000
    20    10  1983      185.440000
    21    10  1983      184.350000
    22    10  1983      190.950000
    23    10  1983      194.280000
    24    10  1983      192.060000
    25    10  1983      187.640000
    26    10  1983      182.170000
    27    10  1983      177.840000
    28    10  1983      176.770000
    29    10  1983      174.630000
    30    10  1983      176.770000
    31    10  1983      181.080000
     1    11  1983      190.950000
     2    11  1983      209.010000
     3    11  1983      225.360000
     4    11  1983      242.220000
     5    11  1983      290.460000
     6    11  1983      375.290000
     7    11  1983      501.390000
     8    11  1983      653.130000
     9    11  1983      738.000000
    10    11  1983      773.130000
    11    11  1983      773.130000
    12    11  1983      765.260000
    13    11  1983      759.390000
    14    11  1983      827.080000
    15    11  1983      897.140000
    16    11  1983      907.640000
    17    11  1983      859.760000
    18    11  1983      821.020000
    19    11  1983      800.920000
    20    11  1983      806.930000
    21    11  1983      837.240000
    22    11  1983      849.490000
    23    11  1983      841.320000
    24    11  1983      808.930000
    25    11  1983      788.960000
    26    11  1983      769.190000
    27    11  1983      759.390000
    28    11  1983      757.430000
    29    11  1983      753.530000
    30    11  1983      773.130000
     1    12  1983      808.930000
     2    12  1983      833.170000
     3    12  1983      857.700000
     4    12  1983      941.580000
     5    12  1983     1002.200000
     6    12  1983     1055.390000
     7    12  1983     1109.710000
     8    12  1983     1162.820000
     9    12  1983     1195.640000
    10    12  1983     1207.460000
    11    12  1983     1260.000000
    12    12  1983     1333.880000
    13    12  1983     1378.650000
    14    12  1983     1413.320000
    15    12  1983     1440.250000
    16    12  1983     1464.670000
    17    12  1983     1547.370000
    18    12  1983     1652.090000
    19    12  1983     1712.850000
    20    12  1983     1745.060000
    21    12  1983     1798.320000
    22    12  1983     1843.250000
    23    12  1983     1891.700000
    24    12  1983     1925.320000
    25    12  1983     1943.770000
    26    12  1983     1946.860000
    27    12  1983     1937.620000
    28    12  1983     1919.190000
    29    12  1983     1888.650000
    30    12  1983     1834.220000
    31    12  1983     1780.490000
     1     1  1984     1745.060000
     2     1  1984     1733.310000
     3     1  1984     1718.680000
     4     1  1984     1715.760000
     5     1  1984     1698.290000
     6     1  1984     1692.490000
     7     1  1984     1721.610000
     8     1  1984     1748.000000
     9     1  1984     1762.730000
    10     1  1984     1777.530000
    11     1  1984     1804.290000
    12     1  1984     1849.270000
    13     1  1984     1882.570000
    14     1  1984     1888.650000
    15     1  1984     1885.610000
    16     1  1984     1900.840000
    17     1  1984     1943.770000
    18     1  1984     1993.350000
    19     1  1984     2037.180000
    20     1  1984     2068.740000
    21     1  1984     2110.080000
    22     1  1984     2132.490000
    23     1  1984     2171.140000
    24     1  1984     2197.080000
    25     1  1984     2237.490000
    26     1  1984     2252.150000
    27     1  1984     2252.150000
    28     1  1984     2266.870000
    29     1  1984     2281.640000
    30     1  1984     2222.880000
    31     1  1984     2187.340000
     1     2  1984     2171.140000
     2     2  1984     2151.780000
     3     2  1984     2138.910000
     4     2  1984     2158.230000
     5     2  1984     2197.080000
     6     2  1984     2318.810000
     7     2  1984     2417.030000
     8     2  1984     2548.950000
     9     2  1984     2652.510000
    10     2  1984     2766.650000
    11     2  1984     2866.640000
    12     2  1984     2985.840000
    13     2  1984     3003.100000
    14     2  1984     3063.930000
    15     2  1984     3090.210000
    16     2  1984     3011.750000
    17     2  1984     2917.390000
    18     2  1984     2849.840000
    19     2  1984     2816.390000
    20     2  1984     2816.390000
    21     2  1984     2841.460000
    22     2  1984     2883.500000
    23     2  1984     2934.420000
    24     2  1984     2951.510000
    25     2  1984     2968.650000
    26     2  1984     2994.460000
    27     2  1984     3055.190000
    28     2  1984     3098.990000
    29     2  1984     3090.210000
     1     3  1984     3029.080000
     2     3  1984     2858.230000
     3     3  1984     2750.170000
     4     3  1984     2668.650000
     5     3  1984     2533.220000
     6     3  1984     2463.140000
     7     3  1984     2424.680000
     8     3  1984     2303.900000
     9     3  1984     2266.870000
    10     3  1984     2244.810000
    11     3  1984     2303.900000
    12     3  1984     2440.020000
    13     3  1984     2501.940000
    14     3  1984     2548.950000
    15     3  1984     2572.640000
    16     3  1984     2588.500000
    17     3  1984     2612.400000
    18     3  1984     2620.400000
    19     3  1984     2620.400000
    20     3  1984     2652.510000
    21     3  1984     2660.570000
    22     3  1984     2684.840000
    23     3  1984     2684.840000
    24     3  1984     2668.650000
    25     3  1984     2652.510000
