SERINGALSÃOJOSÉ	-68.718	-9.319
     1     9  1983        9.530000
     2     9  1983        9.270000
     3     9  1983        9.020000
     4     9  1983        9.020000
     5     9  1983        9.270000
     6     9  1983       10.330000
     7     9  1983       11.150000
     8     9  1983        9.530000
     9     9  1983       11.430000
    10     9  1983       11.720000
    11     9  1983       12.580000
    12     9  1983       13.480000
    13     9  1983       11.720000
    14     9  1983       11.150000
    15     9  1983        9.800000
    16     9  1983        9.800000
    17     9  1983        9.800000
    18     9  1983       12.290000
    19     9  1983       14.080000
    20     9  1983       14.080000
    21     9  1983       11.430000
    22     9  1983       10.060000
    23     9  1983        8.760000
    24     9  1983        8.260000
    25     9  1983        7.780000
    26     9  1983        7.300000
    27     9  1983        7.540000
    28     9  1983        7.540000
    29     9  1983        7.540000
    30     9  1983        9.020000
     1    10  1983       10.330000
     2    10  1983        9.270000
     3    10  1983        8.510000
     4    10  1983        8.760000
     5    10  1983        9.020000
     6    10  1983        7.070000
     7    10  1983        6.840000
     8    10  1983        7.070000
     9    10  1983        7.540000
    10    10  1983        6.610000
    11    10  1983        8.260000
    12    10  1983        7.540000
    13    10  1983        7.070000
    14    10  1983        7.540000
    15    10  1983        7.780000
    16    10  1983        8.760000
    17    10  1983        7.540000
    18    10  1983        7.540000
    19    10  1983        9.270000
    20    10  1983        9.020000
    21    10  1983        9.020000
    22    10  1983        9.270000
    23    10  1983        9.020000
    24    10  1983        8.020000
    25    10  1983        7.780000
    26    10  1983        7.780000
    27    10  1983        7.780000
    28    10  1983        7.780000
    29    10  1983        8.510000
    30    10  1983       10.060000
    31    10  1983       12.880000
     1    11  1983       12.580000
     2    11  1983       11.720000
     3    11  1983       12.000000
     4    11  1983       12.580000
     5    11  1983       13.180000
     6    11  1983       12.880000
     7    11  1983       12.580000
     8    11  1983       11.720000
     9    11  1983       15.330000
    10    11  1983       27.650000
    11    11  1983       35.340000
    12    11  1983       34.450000
    13    11  1983       28.470000
    14    11  1983       41.840000
    15    11  1983       42.810000
    16    11  1983       41.840000
    17    11  1983       48.790000
    18    11  1983       71.600000
    19    11  1983       99.940000
    20    11  1983       87.880000
    21    11  1983       85.280000
    22    11  1983       85.930000
    23    11  1983       63.410000
    24    11  1983       89.840000
    25    11  1983      135.160000
    26    11  1983       77.700000
    27    11  1983       65.710000
    28    11  1983       50.860000
    29    11  1983       49.820000
    30    11  1983       53.490000
     1    12  1983      107.630000
     2    12  1983      113.360000
     3    12  1983      110.480000
     4    12  1983       93.160000
     5    12  1983      153.560000
     6    12  1983      147.860000
     7    12  1983      475.160000
     8    12  1983      307.040000
     9    12  1983      209.730000
    10    12  1983      174.650000
    11    12  1983      217.260000
    12    12  1983      163.540000
    13    12  1983      197.750000
    14    12  1983      122.940000
    15    12  1983       74.620000
    16    12  1983       77.080000
    17    12  1983       98.570000
    18    12  1983      143.840000
    19    12  1983      135.940000
    20    12  1983      297.270000
    21    12  1983      230.680000
    22    12  1983      162.700000
    23    12  1983      131.290000
    24    12  1983      130.520000
    25    12  1983      116.270000
    26    12  1983      104.100000
    27    12  1983       85.930000
    28    12  1983       92.490000
    29    12  1983      112.640000
    30    12  1983       85.280000
    31    12  1983       66.870000
     1     1  1984      128.990000
     2     1  1984      128.230000
     3     1  1984      143.040000
     4     1  1984      162.700000
     5     1  1984      145.440000
     6     1  1984      161.860000
     7     1  1984      182.510000
     8     1  1984      356.620000
     9     1  1984      651.950000
    10     1  1984      776.740000
    11     1  1984      545.100000
    12     1  1984      338.230000
    13     1  1984      346.230000
    14     1  1984      754.090000
    15     1  1984      912.730000
    16     1  1984      944.880000
    17     1  1984      712.950000
    18     1  1984      380.150000
    19     1  1984      291.910000
    20     1  1984      268.770000
    21     1  1984      240.470000
    22     1  1984      302.680000
    23     1  1984      263.620000
    24     1  1984      249.430000
    25     1  1984      196.840000
    26     1  1984      166.930000
    27     1  1984      175.510000
    28     1  1984      158.520000
    29     1  1984      200.490000
    30     1  1984      296.200000
    31     1  1984      397.000000
     1     2  1984      543.740000
     2     2  1984      534.280000
     3     2  1984      581.030000
     4     2  1984      760.530000
     5     2  1984      828.100000
     6     2  1984      856.990000
     7     2  1984      919.830000
     8     2  1984     1022.110000
     9     2  1984     1018.370000
    10     2  1984      791.480000
    11     2  1984      524.910000
    12     2  1984      431.580000
    13     2  1984      454.440000
    14     2  1984      342.790000
    15     2  1984      298.350000
    16     2  1984      340.510000
    17     2  1984      429.070000
    18     2  1984      651.950000
    19     2  1984      688.210000
    20     2  1984      656.430000
    21     2  1984      637.140000
    22     2  1984      541.030000
    23     2  1984      412.910000
    24     2  1984      469.950000
    25     2  1984      467.350000
    26     2  1984      546.460000
    27     2  1984      535.630000
    28     2  1984      464.750000
    29     2  1984      387.340000
     1     3  1984      613.800000
     2     3  1984      731.790000
     3     3  1984      741.310000
     4     3  1984      744.490000
     5     3  1984      937.690000
     6     3  1984      860.420000
     7     3  1984      554.660000
     8     3  1984      323.590000
     9     3  1984      264.650000
    10     3  1984      298.350000
    11     3  1984      376.580000
    12     3  1984      477.780000
    13     3  1984      471.250000
    14     3  1984      535.630000
    15     3  1984      340.510000
    16     3  1984      250.430000
    17     3  1984      240.470000
    18     3  1984      355.460000
    19     3  1984      613.800000
    20     3  1984      877.680000
    21     3  1984      766.990000
    22     3  1984      522.240000
    23     3  1984      830.980000
    24     3  1984     1113.530000
    25     3  1984     1016.030000
    26     3  1984      790.140000
    27     3  1984      453.320000
    28     3  1984      559.600000
    29     3  1984      770.100000
    30     3  1984      894.170000
    31     3  1984      955.970000
     1     4  1984     1010.320000
     2     4  1984      985.770000
     3     4  1984      740.530000
     4     4  1984      622.060000
     5     4  1984      851.780000
     6     4  1984      993.290000
     7     4  1984     1085.780000
     8     4  1984     1153.770000
     9     4  1984     1209.240000
    10     4  1984     1268.140000
    11     4  1984     1291.660000
    12     4  1984     1050.610000
    13     4  1984      683.130000
    14     4  1984      541.360000
    15     4  1984      598.430000
    16     4  1984      486.800000
    17     4  1984      350.060000
    18     4  1984      297.800000
    19     4  1984      266.940000
    20     4  1984      237.390000
    21     4  1984      198.460000
    22     4  1984      424.620000
    23     4  1984      818.960000
    24     4  1984      985.770000
    25     4  1984     1042.880000
    26     4  1984     1060.320000
    27     4  1984     1119.520000
    28     4  1984     1165.990000
    29     4  1984     1198.870000
    30     4  1984      968.950000
     1     5  1984      448.050000
     2     5  1984      282.210000
     3     5  1984      219.090000
     4     5  1984      172.190000
     5     5  1984      149.950000
     6     5  1984      148.220000
     7     5  1984      157.820000
     8     5  1984      128.900000
     9     5  1984      114.510000
    10     5  1984      103.020000
    11     5  1984      182.340000
    12     5  1984      227.150000
    13     5  1984      151.680000
    14     5  1984      131.360000
    15     5  1984      107.560000
    16     5  1984       87.030000
    17     5  1984       74.720000
    18     5  1984       64.550000
    19     5  1984       67.630000
    20     5  1984       78.060000
    21     5  1984       76.720000
    22     5  1984       73.390000
    23     5  1984       64.550000
    24     5  1984       62.130000
    25     5  1984       49.520000
    26     5  1984       44.170000
    27     5  1984       41.090000
    28     5  1984       38.100000
    29     5  1984       36.640000
    30     5  1984       39.090000
    31     5  1984       40.080000
     1     6  1984       35.200000
     2     6  1984       32.400000
     3     6  1984       36.160000
     4     6  1984       38.590000
     5     6  1984       36.640000
     6     6  1984       33.790000
     7     6  1984       32.400000
     8     6  1984       31.940000
     9     6  1984       31.490000
    10     6  1984       29.250000
    11     6  1984       27.950000
    12     6  1984       26.240000
    13     6  1984       32.860000
    14     6  1984       32.400000
    15     6  1984       28.820000
    16     6  1984       24.170000
    17     6  1984       22.170000
    18     6  1984       21.010000
    19     6  1984       19.870000
    20     6  1984       19.870000
    21     6  1984       19.120000
    22     6  1984       18.390000
    23     6  1984       17.670000
    24     6  1984       16.960000
    25     6  1984       16.260000
    26     6  1984       15.920000
    27     6  1984       15.580000
    28     6  1984       15.920000
    29     6  1984       14.570000
    30     6  1984       13.920000
     1     7  1984       13.600000
     2     7  1984       12.960000
     3     7  1984       12.650000
     4     7  1984       12.650000
     5     7  1984       12.650000
     6     7  1984       12.340000
     7     7  1984       12.340000
     8     7  1984       13.280000
     9     7  1984       14.240000
    10     7  1984       13.600000
    11     7  1984       12.340000
    12     7  1984       12.030000
    13     7  1984       12.960000
    14     7  1984       12.340000
    15     7  1984       12.340000
    16     7  1984       11.730000
    17     7  1984       11.430000
    18     7  1984       10.840000
    19     7  1984       11.430000
    20     7  1984       11.130000
    21     7  1984       11.130000
    22     7  1984       11.730000
    23     7  1984       11.130000
    24     7  1984       10.540000
    25     7  1984       10.540000
    26     7  1984        9.970000
    27     7  1984        9.970000
    28     7  1984        9.410000
    29     7  1984        8.870000
    30     7  1984        8.340000
    31     7  1984        8.340000
     1     8  1984        7.820000
     2     8  1984        7.310000
     3     8  1984        7.310000
     4     8  1984        6.820000
     5     8  1984        6.820000
     6     8  1984        6.820000
     7     8  1984        6.820000
     8     8  1984        6.820000
     9     8  1984        6.580000
    10     8  1984        6.580000
    11     8  1984        6.350000
    12     8  1984        6.120000
    13     8  1984        5.890000
    14     8  1984        5.890000
    15     8  1984        5.660000
    16     8  1984        5.660000
    17     8  1984        5.440000
    18     8  1984        5.220000
    19     8  1984        5.220000
    20     8  1984        5.010000
    21     8  1984        5.010000
    22     8  1984        4.790000
    23     8  1984        4.790000
    24     8  1984        4.790000
    25     8  1984        4.590000
    26     8  1984        4.590000
    27     8  1984        4.380000
    28     8  1984        4.590000
    29     8  1984        4.380000
    30     8  1984        4.380000
    31     8  1984        4.180000
     1     9  1984        4.180000
     2     9  1984        4.180000
     3     9  1984        5.010000
     4     9  1984        8.600000
     5     9  1984        8.870000
     6     9  1984        8.340000
     7     9  1984        7.820000
     8     9  1984        7.070000
     9     9  1984        6.820000
    10     9  1984        8.340000
    11     9  1984       12.340000
    12     9  1984        7.310000
    13     9  1984        6.350000
    14     9  1984        6.820000
    15     9  1984        5.890000
    16     9  1984        6.820000
    17     9  1984        7.820000
    18     9  1984        7.570000
    19     9  1984        8.340000
    20     9  1984        8.870000
    21     9  1984        7.070000
    22     9  1984       13.600000
    23     9  1984       10.540000
    24     9  1984        9.970000
    25     9  1984        9.690000
    26     9  1984        9.140000
    27     9  1984        8.080000
    28     9  1984       14.240000
    29     9  1984       31.940000
    30     9  1984       13.920000
     1    10  1984        9.970000
     2    10  1984        8.600000
     3    10  1984        8.340000
     4    10  1984        7.820000
     5    10  1984        8.870000
     6    10  1984       11.130000
     7    10  1984       11.730000
     8    10  1984        8.870000
     9    10  1984       17.670000
    10    10  1984       22.170000
    11    10  1984        9.970000
    12    10  1984        7.310000
    13    10  1984        7.310000
    14    10  1984        8.600000
    15    10  1984        8.870000
    16    10  1984       24.580000
    17    10  1984       21.390000
    18    10  1984       17.670000
    19    10  1984       26.240000
    20    10  1984       37.120000
    21    10  1984       37.120000
    22    10  1984       21.390000
    23    10  1984       27.950000
    24    10  1984       44.700000
    25    10  1984       72.080000
    26    10  1984       72.080000
    27    10  1984       82.840000
    28    10  1984       95.630000
    29    10  1984       94.170000
    30    10  1984       94.900000
    31    10  1984       97.090000
     1    11  1984      182.340000
     2    11  1984      146.500000
     3    11  1984      189.860000
     4    11  1984      226.140000
     5    11  1984      190.810000
     6    11  1984      190.810000
     7    11  1984      400.420000
     8    11  1984      493.600000
     9    11  1984      297.800000
    10    11  1984      194.620000
    11    11  1984      170.360000
    12    11  1984      121.630000
    13    11  1984      204.280000
    14    11  1984      258.360000
    15    11  1984      240.490000
    16    11  1984      241.530000
    17    11  1984      245.700000
    18    11  1984      233.270000
    19    11  1984      348.860000
    20    11  1984      542.750000
    21    11  1984      689.390000
    22    11  1984      717.930000
    23    11  1984      599.890000
    24    11  1984      522.060000
    25    11  1984      395.390000
    26    11  1984      436.280000
    27    11  1984      620.570000
    28    11  1984      578.130000
    29    11  1984      360.890000
    30    11  1984      266.940000
     1    12  1984      373.070000
     2    12  1984      327.600000
     3    12  1984      237.390000
     4    12  1984      236.350000
     5    12  1984      356.060000
     6    12  1984      480.030000
     7    12  1984      544.150000
     8    12  1984      302.320000
     9    12  1984      519.330000
    10    12  1984      844.820000
    11    12  1984      915.750000
    12    12  1984      985.770000
    13    12  1984     1066.170000
    14    12  1984     1113.530000
    15    12  1984     1002.740000
    16    12  1984      484.090000
    17    12  1984      278.910000
    18    12  1984      201.360000
    19    12  1984      183.270000
    20    12  1984      173.100000
    21    12  1984      174.930000
    22    12  1984      167.650000
    23    12  1984      139.700000
    24    12  1984      110.630000
    25    12  1984      116.080000
    26    12  1984      235.330000
    27    12  1984      373.070000
    28    12  1984      438.880000
    29    12  1984      511.190000
    30    12  1984      522.060000
    31    12  1984      667.590000
     1     1  1985      553.950000
     2     1  1985      454.650000
     3     1  1985      341.720000
     4     1  1985      259.430000
     5     1  1985      268.020000
     6     1  1985      292.200000
     7     1  1985      743.790000
     8     1  1985     1115.520000
     9     1  1985     1137.590000
    10     1  1985     1103.580000
    11     1  1985     1050.610000
    12     1  1985      913.940000
    13     1  1985      698.840000
    14     1  1985      862.280000
    15     1  1985      807.030000
    16     1  1985      469.280000
    17     1  1985      548.340000
    18     1  1985      486.800000
    19     1  1985      617.590000
    20     1  1985      740.530000
    21     1  1985      581.010000
    22     1  1985      385.410000
    23     1  1985      334.630000
    24     1  1985      348.860000
    25     1  1985      420.770000
    26     1  1985      379.220000
    27     1  1985      311.420000
    28     1  1985      246.740000
    29     1  1985      311.420000
    30     1  1985      282.210000
    31     1  1985      254.110000
     1     2  1985      256.230000
     2     2  1985      284.420000
     3     2  1985      256.230000
     4     2  1985      192.710000
     5     2  1985      145.640000
     6     2  1985      131.360000
     7     2  1985      123.230000
     8     2  1985      144.790000
     9     2  1985      134.670000
    10     2  1985      164.050000
    11     2  1985      187.970000
    12     2  1985      223.110000
    13     2  1985      332.280000
    14     2  1985      760.180000
    15     2  1985      524.800000
    16     2  1985      365.740000
    17     2  1985      286.630000
    18     2  1985      243.610000
    19     2  1985      278.910000
    20     2  1985      289.970000
    21     2  1985      295.560000
    22     2  1985      376.760000
    23     2  1985      409.270000
    24     2  1985      438.880000
    25     2  1985      558.180000
    26     2  1985      423.340000
    27     2  1985      280.010000
    28     2  1985      242.570000
     1     3  1985      243.610000
     2     3  1985      399.160000
     3     3  1985      374.300000
     4     3  1985      449.370000
     5     3  1985      690.960000
     6     3  1985      865.800000
     7     3  1985      834.430000
     8     3  1985      908.530000
     9     3  1985      963.380000
    10     3  1985      972.680000
    11     3  1985     1046.740000
    12     3  1985      857.030000
    13     3  1985      512.550000
    14     3  1985      408.000000
    15     3  1985      513.900000
    16     3  1985      841.350000
    17     3  1985      965.240000
    18     3  1985      855.280000
    19     3  1985      631.040000
    20     3  1985      770.100000
    21     3  1985      629.530000
    22     3  1985      851.780000
    23     3  1985     1044.810000
    24     3  1985      862.280000
    25     3  1985      619.080000
    26     3  1985      382.930000
    27     3  1985      382.930000
    28     3  1985      284.420000
    29     3  1985      273.450000
    30     3  1985      235.330000
    31     3  1985      215.100000
     1     4  1985      365.740000
     2     4  1985      670.680000
     3     4  1985      963.380000
     4     4  1985     1117.520000
     5     4  1985     1178.270000
     6     4  1985     1165.990000
     7     4  1985     1125.530000
     8     4  1985      939.410000
     9     4  1985      943.080000
    10     4  1985      982.020000
    11     4  1985      963.380000
    12     4  1985      912.130000
    13     4  1985      578.130000
    14     4  1985      449.370000
    15     4  1985      413.090000
    16     4  1985      471.960000
    17     4  1985      288.860000
    18     4  1985      187.970000
    19     4  1985      336.990000
    20     4  1985      594.050000
    21     4  1985      827.540000
    22     4  1985      848.300000
    23     4  1985      628.040000
    24     4  1985      459.950000
    25     4  1985      448.050000
    26     4  1985      607.240000
    27     4  1985      499.070000
    28     4  1985      335.810000
    29     4  1985      257.300000
    30     4  1985      310.280000
     1     5  1985      375.530000
     2     5  1985      458.620000
     3     5  1985      637.060000
     4     5  1985      528.920000
     5     5  1985      332.280000
     6     5  1985      238.420000
     7     5  1985      196.540000
     8     5  1985      166.740000
     9     5  1985      143.080000
    10     5  1985      128.090000
    11     5  1985      118.440000
    12     5  1985      189.860000
    13     5  1985      219.090000
    14     5  1985      182.340000
    15     5  1985      157.820000
    16     5  1985      167.650000
    17     5  1985      156.060000
    18     5  1985      172.190000
    19     5  1985      200.390000
    20     5  1985      174.930000
    21     5  1985      165.840000
    22     5  1985      170.360000
    23     5  1985      139.700000
    24     5  1985      148.220000
    25     5  1985      147.360000
    26     5  1985      120.030000
    27     5  1985      102.270000
    28     5  1985       86.320000
    29     5  1985       89.860000
    30     5  1985      105.280000
    31     5  1985       91.290000
     1     6  1985       77.390000
     2     6  1985       65.160000
     3     6  1985       57.410000
     4     6  1985       61.530000
     5     6  1985       57.410000
     6     6  1985       56.250000
     7     6  1985       58.580000
     8     6  1985       58.580000
     9     6  1985       79.420000
    10     6  1985      103.020000
    11     6  1985       72.740000
    12     6  1985       58.580000
    13     6  1985       51.720000
    14     6  1985       43.650000
    15     6  1985       38.100000
    16     6  1985       35.200000
    17     6  1985       34.260000
    18     6  1985       33.790000
    19     6  1985       31.490000
    20     6  1985       31.490000
    21     6  1985       29.700000
    22     6  1985       28.820000
    23     6  1985       29.700000
    24     6  1985       28.820000
    25     6  1985       30.590000
    26     6  1985       30.590000
    27     6  1985       30.590000
    28     6  1985       30.140000
    29     6  1985       26.660000
    30     6  1985       25.400000
     1     7  1985       23.770000
     2     7  1985       24.170000
     3     7  1985       23.770000
     4     7  1985       23.770000
