ESTIRÃODOREPOUSO	-70.933	-4.367
    19     8  1983      227.120000
    20     8  1983      227.120000
    21     8  1983      230.080000
    22     8  1983      227.120000
    23     8  1983      224.180000
    24     8  1983      221.250000
    25     8  1983      218.340000
    26     8  1983      213.990000
    27     8  1983      221.250000
    28     8  1983      230.080000
    29     8  1983      249.650000
    30     8  1983      269.810000
    31     8  1983      284.110000
     1     9  1983      301.970000
     2     9  1983      316.880000
     3     9  1983      318.560000
     4     9  1983      305.260000
     5     9  1983      310.220000
     6     9  1983      330.370000
     7     9  1983      356.210000
     8     9  1983      364.990000
     9     9  1983      366.750000
    10     9  1983      363.220000
    11     9  1983      356.210000
    12     9  1983      350.980000
    13     9  1983      356.210000
    14     9  1983      370.290000
    15     9  1983      386.380000
    16     9  1983      399.060000
    17     9  1983      411.910000
    18     9  1983      415.600000
    19     9  1983      386.380000
    20     9  1983      326.970000
    21     9  1983      287.330000
    22     9  1983      271.390000
    23     9  1983      265.110000
    24     9  1983      257.330000
    25     9  1983      252.710000
    26     9  1983      249.650000
    27     9  1983      243.560000
    28     9  1983      245.080000
    29     9  1983      251.180000
    30     9  1983      260.430000
     1    10  1983      277.720000
     2    10  1983      315.210000
     3    10  1983      382.780000
     4    10  1983      457.090000
     5    10  1983      524.080000
     6    10  1983      630.890000
     7    10  1983      690.410000
     8    10  1983      745.000000
     9    10  1983      798.760000
    10    10  1983      905.500000
    11    10  1983      973.460000
    12    10  1983     1017.200000
    13    10  1983     1040.640000
    14    10  1983     1061.650000
    15    10  1983     1061.650000
    16    10  1983     1030.200000
    17    10  1983      978.570000
    18    10  1983      898.060000
    19    10  1983      834.580000
    20    10  1983      794.030000
    21    10  1983      798.760000
    22    10  1983      829.770000
    23    10  1983      846.660000
    24    10  1983      829.770000
    25    10  1983      782.250000
    26    10  1983      749.620000
    27    10  1983      761.210000
    28    10  1983      798.760000
    29    10  1983      856.360000
    30    10  1983      932.960000
    31    10  1983     1045.880000
     1    11  1983     1139.130000
     2    11  1983     1221.420000
     3    11  1983     1305.860000
     4    11  1983     1415.830000
     5    11  1983     1532.140000
     6    11  1983     1645.650000
     7    11  1983     1698.830000
     8    11  1983     1743.090000
     9    11  1983     1784.580000
    10    11  1983     1855.620000
    11    11  1983     1954.170000
    12    11  1983     2027.660000
    13    11  1983     2088.540000
    14    11  1983     2136.350000
    15    11  1983     2170.760000
    16    11  1983     2233.210000
    17    11  1983     2299.850000
    18    11  1983     2367.220000
    19    11  1983     2360.100000
    20    11  1983     2331.670000
    21    11  1983     2299.850000
    22    11  1983     2271.700000
    23    11  1983     2243.680000
    24    11  1983     2264.680000
    25    11  1983     2317.510000
    26    11  1983     2377.930000
    27    11  1983     2413.740000
    28    11  1983     2449.760000
    29    11  1983     2485.970000
    30    11  1983     2507.800000
     1    12  1983     2533.350000
     2    12  1983     2566.350000
     3    12  1983     2588.440000
     4    12  1983     2606.900000
     5    12  1983     2625.410000
     6    12  1983     2655.130000
     7    12  1983     2692.450000
     8    12  1983     2726.210000
     9    12  1983     2767.690000
    10    12  1983     2798.010000
    11    12  1983     2828.440000
    12    12  1983     2859.000000
    13    12  1983     2901.230000
    14    12  1983     2943.690000
    15    12  1983     2970.820000
    16    12  1983     3005.850000
    17    12  1983     3033.210000
    18    12  1983     3064.580000
    19    12  1983     3092.130000
    20    12  1983     3119.780000
    21    12  1983     3139.580000
    22    12  1983     3167.380000
    23    12  1983     3183.310000
    24    12  1983     3187.300000
    25    12  1983     3143.540000
    26    12  1983     3092.130000
    27    12  1983     3013.660000
    28    12  1983     2935.950000
    29    12  1983     2878.170000
    30    12  1983     2847.530000
    31    12  1983     2839.890000
     1     1  1984     2862.830000
     2     1  1984     2874.330000
     3     1  1984     2885.850000
     4     1  1984     2893.530000
     5     1  1984     2878.170000
     6     1  1984     2851.350000
     7     1  1984     2817.010000
     8     1  1984     2756.360000
     9     1  1984     2714.940000
    10     1  1984     2677.500000
    11     1  1984     2655.130000
    12     1  1984     2651.410000
    13     1  1984     2658.850000
    14     1  1984     2666.310000
    15     1  1984     2722.460000
    16     1  1984     2790.420000
    17     1  1984     2866.660000
    18     1  1984     2955.300000
    19     1  1984     3001.950000
    20     1  1984     3021.470000
    21     1  1984     3025.380000
    22     1  1984     3056.720000
    23     1  1984     3096.070000
    24     1  1984     3111.870000
    25     1  1984     3107.920000
    26     1  1984     3111.870000
    27     1  1984     3115.820000
    28     1  1984     3096.070000
    29     1  1984     3068.510000
    30     1  1984     3037.120000
    31     1  1984     3025.380000
     1     2  1984     3009.760000
     2     2  1984     3041.040000
     3     2  1984     3088.190000
     4     2  1984     3167.380000
     5     2  1984     3235.290000
     6     2  1984     3332.070000
     7     2  1984     3401.280000
     8     2  1984     3466.900000
     9     2  1984     3520.570000
    10     2  1984     3566.220000
    11     2  1984     3607.910000
    12     2  1984     3645.590000
    13     2  1984     3666.590000
    14     2  1984     3696.060000
    15     2  1984     3734.080000
    16     2  1984     3763.750000
    17     2  1984     3797.770000
    18     2  1984     3831.910000
    19     2  1984     3866.160000
    20     2  1984     3896.230000
    21     2  1984     3922.070000
    22     2  1984     3947.970000
    23     2  1984     3978.270000
    24     2  1984     4004.310000
    25     2  1984     4026.060000
    26     2  1984     4047.860000
    27     2  1984     4060.960000
    28     2  1984     4078.450000
    29     2  1984     4100.350000
     1     3  1984     4126.690000
     2     3  1984     4157.500000
     3     3  1984     4179.560000
     4     3  1984     4201.660000
     5     3  1984     4219.370000
     6     3  1984     4237.120000
     7     3  1984     4254.890000
     8     3  1984     4272.690000
     9     3  1984     4281.600000
    10     3  1984     4294.970000
    11     3  1984     4303.900000
    12     3  1984     4308.370000
    13     3  1984     4317.300000
    14     3  1984     4321.780000
    15     3  1984     4326.250000
    16     3  1984     4335.200000
    17     3  1984     4344.160000
    18     3  1984     4353.120000
    19     3  1984     4353.120000
    20     3  1984     4344.160000
    21     3  1984     4339.680000
    22     3  1984     4344.160000
    23     3  1984     4339.680000
    24     3  1984     4326.250000
    25     3  1984     4299.440000
    26     3  1984     4259.330000
    27     3  1984     4214.940000
    28     3  1984     4170.730000
    29     3  1984     4117.900000
    30     3  1984     4065.330000
    31     3  1984     4013.010000
     1     4  1984     3965.270000
     2     4  1984     3904.830000
     3     4  1984     3844.740000
     4     4  1984     3780.750000
     5     4  1984     3751.020000
     6     4  1984     3738.310000
     7     4  1984     3721.390000
     8     4  1984     3708.710000
     9     4  1984     3683.420000
    10     4  1984     3662.380000
    11     4  1984     3641.390000
    12     4  1984     3633.010000
    13     4  1984     3624.640000
    14     4  1984     3633.010000
    15     4  1984     3653.980000
    16     4  1984     3683.420000
    17     4  1984     3691.840000
    18     4  1984     3700.270000
    19     4  1984     3708.710000
