ITAPÉUA	-63.028	-4.058
    18     7  1983    92231.500000
    19     7  1983    91023.700000
    20     7  1983    89293.300000
    21     7  1983    88368.400000
    22     7  1983    87514.000000
    23     7  1983    86663.800000
    24     7  1983    85558.300000
    25     7  1983    84074.000000
    26     7  1983    82602.900000
    27     7  1983    80515.100000
    28     7  1983    78702.700000
    29     7  1983    77588.200000
    30     7  1983    76543.000000
    31     7  1983    75201.100000
     1     8  1983    73991.500000
     2     8  1983    72732.100000
     3     8  1983    71720.700000
     4     8  1983    70539.900000
     5     8  1983    69485.600000
     6     8  1983    68613.200000
     7     8  1983    67976.900000
     8     8  1983    67228.900000
     9     8  1983    66485.000000
    10     8  1983    65745.300000
    11     8  1983    64953.400000
    12     8  1983    64222.400000
    13     8  1983    63272.800000
    14     8  1983    62606.800000
    15     8  1983    62164.800000
    16     8  1983    61504.700000
    17     8  1983    60957.400000
    18     8  1983    60412.500000
    19     8  1983    60032.600000
    20     8  1983    59491.900000
    21     8  1983    58953.700000
    22     8  1983    58578.400000
    23     8  1983    58204.400000
    24     8  1983    57778.400000
    25     8  1983    57353.900000
    26     8  1983    56878.400000
    27     8  1983    56404.800000
    28     8  1983    55985.500000
    29     8  1983    55515.700000
    30     8  1983    55255.600000
    31     8  1983    54944.200000
     1     9  1983    54633.700000
     2     9  1983    54633.700000
     3     9  1983    54633.700000
     4     9  1983    54685.400000
     5     9  1983    54685.400000
     6     9  1983    54685.400000
     7     9  1983    54788.900000
     8     9  1983    55099.800000
     9     9  1983    55307.500000
    10     9  1983    55411.600000
    11     9  1983    55567.800000
    12     9  1983    55672.100000
    13     9  1983    55776.400000
    14     9  1983    55776.400000
    15     9  1983    55880.900000
    16     9  1983    55933.200000
    17     9  1983    55933.200000
    18     9  1983    56194.900000
    19     9  1983    56247.400000
    20     9  1983    56299.800000
    21     9  1983    56299.800000
    22     9  1983    56142.500000
    23     9  1983    56194.900000
    24     9  1983    56090.200000
    25     9  1983    55985.500000
    26     9  1983    55933.200000
    27     9  1983    55828.700000
    28     9  1983    55880.900000
    29     9  1983    55724.200000
    30     9  1983    55567.800000
     1    10  1983    55359.500000
     2    10  1983    54944.200000
     3    10  1983    54272.700000
     4    10  1983    53400.800000
     5    10  1983    52840.400000
     6    10  1983    52131.600000
     7    10  1983    51527.800000
     8    10  1983    50927.700000
     9    10  1983    50529.500000
    10    10  1983    50281.500000
    11    10  1983    49885.900000
    12    10  1983    49541.100000
    13    10  1983    49344.500000
    14    10  1983    49148.400000
    15    10  1983    49099.500000
    16    10  1983    49344.500000
    17    10  1983    49541.100000
    18    10  1983    49836.600000
    19    10  1983    49984.600000
    20    10  1983    50877.800000
    21    10  1983    51477.700000
    22    10  1983    52182.100000
    23    10  1983    52536.000000
    24    10  1983    53094.800000
    25    10  1983    53503.000000
    26    10  1983    53912.800000
    27    10  1983    54272.700000
    28    10  1983    54582.100000
    29    10  1983    54996.000000
    30    10  1983    55255.600000
    31    10  1983    55672.100000
     1    11  1983    55933.200000
     2    11  1983    56142.500000
     3    11  1983    56562.400000
     4    11  1983    56772.900000
     5    11  1983    57142.300000
     6    11  1983    57778.400000
     7    11  1983    58311.100000
     8    11  1983    59061.100000
     9    11  1983    59924.200000
    10    11  1983    60412.500000
    11    11  1983    61176.000000
    12    11  1983    61834.300000
    13    11  1983    62440.900000
    14    11  1983    63106.000000
    15    11  1983    63551.400000
    16    11  1983    64054.300000
    17    11  1983    64390.800000
    18    11  1983    64784.400000
    19    11  1983    65066.300000
    20    11  1983    65292.200000
    21    11  1983    65802.100000
    22    11  1983    65972.500000
    23    11  1983    66257.000000
    24    11  1983    66257.000000
    25    11  1983    66257.000000
    26    11  1983    66257.000000
    27    11  1983    66370.900000
    28    11  1983    66314.000000
    29    11  1983    66257.000000
    30    11  1983    66029.300000
     1    12  1983    65858.900000
     2    12  1983    65631.900000
     3    12  1983    65405.400000
     4    12  1983    65348.800000
     5    12  1983    65405.400000
     6    12  1983    65518.600000
     7    12  1983    65858.900000
     8    12  1983    66257.000000
     9    12  1983    66827.800000
    10    12  1983    67401.100000
    11    12  1983    67919.200000
    12    12  1983    68555.200000
    13    12  1983    69427.300000
    14    12  1983    70363.600000
    15    12  1983    71188.100000
    16    12  1983    71780.000000
    17    12  1983    72255.300000
    18    12  1983    73390.500000
    19    12  1983    74112.000000
    20    12  1983    74837.100000
    21    12  1983    75444.200000
    22    12  1983    75626.700000
    23    12  1983    75687.700000
    24    12  1983    76053.600000
    25    12  1983    76481.800000
    26    12  1983    76972.500000
    27    12  1983    77218.500000
    28    12  1983    77649.900000
    29    12  1983    77835.200000
    30    12  1983    78206.400000
    31    12  1983    78702.700000
     1     1  1984    79076.000000
     2     1  1984    79387.700000
     3     1  1984    79950.400000
     4     1  1984    80389.500000
     5     1  1984    80578.000000
     6     1  1984    80829.700000
     7     1  1984    81144.900000
     8     1  1984    81524.000000
     9     1  1984    81777.200000
    10     1  1984    82284.900000
    11     1  1984    82730.300000
    12     1  1984    82794.100000
    13     1  1984    82857.800000
    14     1  1984    83049.300000
    15     1  1984    83368.800000
    16     1  1984    83368.800000
    17     1  1984    83304.900000
    18     1  1984    83177.000000
    19     1  1984    83049.300000
    20     1  1984    82921.600000
    21     1  1984    82666.600000
    22     1  1984    82475.600000
    23     1  1984    82412.000000
    24     1  1984    82284.900000
    25     1  1984    82157.800000
    26     1  1984    81967.400000
    27     1  1984    82030.900000
    28     1  1984    81967.400000
    29     1  1984    81904.000000
    30     1  1984    82030.900000
    31     1  1984    82094.300000
     1     2  1984    82030.900000
     2     2  1984    82348.400000
     3     2  1984    82348.400000
     4     2  1984    82412.000000
     5     2  1984    82412.000000
     6     2  1984    82539.300000
     7     2  1984    82794.100000
     8     2  1984    83113.100000
     9     2  1984    83496.800000
    10     2  1984    83753.100000
    11     2  1984    84074.000000
    12     2  1984    84717.800000
    13     2  1984    85040.600000
    14     2  1984    85688.000000
    15     2  1984    86337.900000
    16     2  1984    86859.600000
    17     2  1984    87382.900000
    18     2  1984    87645.200000
    19     2  1984    88368.400000
    20     2  1984    88764.200000
    21     2  1984    89293.300000
    22     2  1984    89956.800000
    23     2  1984    90489.500000
    24     2  1984    91023.700000
    25     2  1984    91693.700000
    26     2  1984    92298.900000
    27     2  1984    92770.900000
    28     2  1984    93244.200000
    29     2  1984    93922.400000
     1     3  1984    94398.700000
     2     3  1984    94944.400000
     3     3  1984    95423.300000
     4     3  1984    96178.200000
     5     3  1984    96798.100000
     6     3  1984    97420.000000
     7     3  1984    97974.500000
     8     3  1984    98530.600000
     9     3  1984    98948.800000
    10     3  1984    99367.800000
    11     3  1984    99787.700000
    12     3  1984   100349.000000
    13     3  1984   100701.000000
    14     3  1984   100982.000000
    15     3  1984   101335.000000
    16     3  1984   101759.000000
    17     3  1984   101971.000000
    18     3  1984   102184.000000
    19     3  1984   102468.000000
    20     3  1984   102894.000000
    21     3  1984   103179.000000
    22     3  1984   103464.000000
    23     3  1984   103679.000000
    24     3  1984   103750.000000
    25     3  1984   103893.000000
    26     3  1984   104179.000000
    27     3  1984   104322.000000
    28     3  1984   104466.000000
    29     3  1984   104537.000000
    30     3  1984   104753.000000
    31     3  1984   104896.000000
     1     4  1984   104968.000000
     2     4  1984   105112.000000
     3     4  1984   105256.000000
     4     4  1984   105184.000000
     5     4  1984   105184.000000
     6     4  1984   105400.000000
     7     4  1984   105328.000000
     8     4  1984   105400.000000
     9     4  1984   105328.000000
    10     4  1984   105328.000000
    11     4  1984   105472.000000
    12     4  1984   105544.000000
    13     4  1984   105544.000000
    14     4  1984   105616.000000
    15     4  1984   105760.000000
    16     4  1984   105760.000000
    17     4  1984   105833.000000
    18     4  1984   105977.000000
    19     4  1984   106411.000000
    20     4  1984   106628.000000
    21     4  1984   106918.000000
    22     4  1984   107063.000000
    23     4  1984   107281.000000
    24     4  1984   107645.000000
    25     4  1984   107936.000000
    26     4  1984   108155.000000
    27     4  1984   108520.000000
    28     4  1984   108813.000000
    29     4  1984   109106.000000
    30     4  1984   109179.000000
     1     5  1984   109326.000000
     2     5  1984   109546.000000
     3     5  1984   109693.000000
     4     5  1984   109840.000000
     5     5  1984   110109.000000
     6     5  1984   110243.000000
     7     5  1984   110445.000000
     8     5  1984   110648.000000
