PALMEIRASDOJAVARI	-72.800	-5.133
    30     8  1983      131.000000
    31     8  1983      139.660000
     1     9  1983      126.760000
     2     9  1983      144.090000
     3     9  1983      230.290000
     4     9  1983      284.430000
     5     9  1983      300.900000
     6     9  1983      298.940000
     7     9  1983      288.280000
     8     9  1983      267.360000
     9     9  1983      241.560000
    10     9  1983      228.430000
    11     9  1983      193.700000
    12     9  1983      157.780000
    13     9  1983      130.290000
    14     9  1983      118.490000
    15     9  1983      119.850000
    16     9  1983      119.850000
    17     9  1983      126.060000
    18     9  1983      123.980000
    19     9  1983      120.540000
    20     9  1983      117.820000
    21     9  1983      115.800000
    22     9  1983      110.490000
    23     9  1983      109.180000
    24     9  1983      110.490000
    25     9  1983      102.750000
    26     9  1983       92.850000
    27     9  1983       86.900000
    28     9  1983       85.730000
    29     9  1983       92.850000
    30     9  1983      102.120000
     1    10  1983      132.420000
     2    10  1983      188.590000
     3    10  1983      254.070000
     4    10  1983      286.350000
     5    10  1983      296.990000
     6    10  1983      292.140000
     7    10  1983      312.710000
     8    10  1983      357.360000
     9    10  1983      369.900000
    10    10  1983      367.800000
    11    10  1983      355.290000
    12    10  1983      314.700000
    13    10  1983      274.900000
    14    10  1983      272.060000
    15    10  1983      269.240000
    16    10  1983      260.810000
    17    10  1983      269.240000
    18    10  1983      264.550000
    19    10  1983      245.380000
    20    10  1983      222.910000
    21    10  1983      213.850000
    22    10  1983      311.720000
    23    10  1983      364.660000
    24    10  1983      420.420000
    25    10  1983      572.650000
    26    10  1983      632.410000
    27    10  1983      604.760000
    28    10  1983      492.750000
    29    10  1983      457.210000
    30    10  1983      408.390000
    31    10  1983      367.800000
     1    11  1983      394.340000
     2    11  1983      582.460000
     3    11  1983      847.410000
     4    11  1983      988.650000
     5    11  1983      991.610000
     6    11  1983      956.280000
     7    11  1983      914.200000
     8    11  1983      858.650000
     9    11  1983      779.670000
    10    11  1983      691.590000
    11    11  1983      609.760000
    12    11  1983      551.980000
    13    11  1983      530.390000
    14    11  1983      469.720000
    15    11  1983      420.420000
    16    11  1983      397.570000
    17    11  1983      382.580000
    18    11  1983      358.400000
    19    11  1983      366.750000
    20    11  1983      365.700000
    21    11  1983      341.910000
    22    11  1983      307.770000
    23    11  1983      274.900000
    24    11  1983      274.900000
    25    11  1983      314.700000
    26    11  1983      390.050000
    27    11  1983      511.450000
    28    11  1983      538.750000
    29    11  1983      541.150000
    30    11  1983      577.550000
     1    12  1983      645.120000
     2    12  1983      695.520000
     3    12  1983      704.700000
     4    12  1983      713.930000
     5    12  1983      719.220000
     6    12  1983      723.200000
     7    12  1983      708.650000
     8    12  1983      699.450000
     9    12  1983      724.520000
    10    12  1983      741.860000
    11    12  1983      768.800000
    12    12  1983      756.630000
    13    12  1983      728.510000
    14    12  1983      707.330000
    15    12  1983      708.650000
    16    12  1983      729.840000
    17    12  1983      745.880000
    18    12  1983      760.680000
    19    12  1983      774.230000
    20    12  1983      782.400000
    21    12  1983      767.450000
    22    12  1983      729.840000
    23    12  1983      702.070000
    24    12  1983      703.390000
    25    12  1983      741.860000
    26    12  1983      807.080000
    27    12  1983      848.810000
    28    12  1983      869.950000
    29    12  1983      864.290000
    30    12  1983      839.010000
    31    12  1983      809.840000
     1     1  1984      766.090000
     2     1  1984      699.450000
     3     1  1984      678.570000
     4     1  1984      660.480000
     5     1  1984      636.210000
     6     1  1984      576.320000
     7     1  1984      548.360000
     8     1  1984      545.950000
     9     1  1984      549.570000
    10     1  1984      543.550000
    11     1  1984      514.980000
    12     1  1984      472.000000
    13     1  1984      414.940000
    14     1  1984      353.220000
    15     1  1984      309.740000
    16     1  1984      299.920000
    17     1  1984      459.480000
    18     1  1984      588.630000
    19     1  1984      637.480000
    20     1  1984      655.350000
    21     1  1984      660.480000
    22     1  1984      723.200000
    23     1  1984      807.080000
    24     1  1984      818.140000
    25     1  1984      834.820000
    26     1  1984      840.400000
    27     1  1984      837.610000
    28     1  1984      809.840000
    29     1  1984      772.870000
    30     1  1984      686.370000
