GUAJARÁ-MIRIM	-65.348	-10.793
    18     7  1983    12059.600000
    19     7  1983    11936.400000
    20     7  1983    11813.700000
    21     7  1983    11691.500000
    22     7  1983    11600.200000
    23     7  1983    11478.900000
    24     7  1983    11418.500000
    25     7  1983    11328.000000
    26     7  1983    11267.900000
    27     7  1983    11207.900000
    28     7  1983    11118.100000
    29     7  1983    11028.600000
    30     7  1983    10939.400000
    31     7  1983    10850.500000
     1     8  1983    10732.400000
     2     8  1983    10556.300000
     3     8  1983    10410.400000
     4     8  1983    10265.300000
     5     8  1983    10178.600000
     6     8  1983    10034.800000
     7     8  1983     9834.910000
     8     8  1983     9664.830000
     9     8  1983     9411.930000
    10     8  1983     9161.720000
    11     8  1983     8996.410000
    12     8  1983     8777.880000
    13     8  1983     8427.370000
    14     8  1983     8082.580000
    15     8  1983     7769.450000
    16     8  1983     7410.410000
    17     8  1983     7108.090000
    18     8  1983     6712.870000
    19     8  1983     6326.740000
    20     8  1983     6043.170000
    21     8  1983     5718.950000
    22     8  1983     5379.540000
    23     8  1983     5135.940000
    24     8  1983     4940.010000
    25     8  1983     4811.080000
    26     8  1983     4683.520000
    27     8  1983     4557.330000
    28     8  1983     4370.650000
    29     8  1983     4207.340000
    30     8  1983     4026.590000
    31     8  1983     3849.040000
     1     9  1983     3655.530000
     2     9  1983     3409.970000
     3     9  1983     3207.550000
     4     9  1983     3051.350000
     5     9  1983     2912.440000
     6     9  1983     2807.360000
     7     9  1983     2676.010000
     8     9  1983     2618.980000
     9     9  1983     2576.740000
    10     9  1983     2548.830000
    11     9  1983     2493.620000
    12     9  1983     2425.740000
    13     9  1983     2372.330000
    14     9  1983     2372.330000
    15     9  1983     2359.110000
    16     9  1983     2319.720000
    17     9  1983     2293.700000
    18     9  1983     2267.880000
    19     9  1983     2267.880000
    20     9  1983     2280.770000
    21     9  1983     2267.880000
    22     9  1983     2229.510000
    23     9  1983     2204.180000
    24     9  1983     2166.540000
    25     9  1983     2141.680000
    26     9  1983     2129.330000
    27     9  1983     2104.760000
    28     9  1983     2104.760000
    29     9  1983     2104.760000
    30     9  1983     2166.540000
     1    10  1983     2166.540000
     2    10  1983     2154.090000
     3    10  1983     2154.090000
     4    10  1983     2129.330000
     5    10  1983     2104.760000
     6    10  1983     2080.380000
     7    10  1983     2032.190000
     8    10  1983     1996.540000
     9    10  1983     1973.000000
    10    10  1983     1949.650000
    11    10  1983     1926.490000
    12    10  1983     1903.510000
    13    10  1983     1869.380000
    14    10  1983     1813.420000
    15    10  1983     1758.580000
    16    10  1983     1694.250000
    17    10  1983     1662.680000
    18    10  1983     1631.500000
    19    10  1983     1600.720000
    20    10  1983     1570.330000
    21    10  1983     1560.280000
    22    10  1983     1570.330000
    23    10  1983     1590.550000
    24    10  1983     1652.240000
    25    10  1983     1747.750000
    26    10  1983     1961.300000
    27    10  1983     2166.540000
    28    10  1983     2293.700000
    29    10  1983     2493.620000
    30    10  1983     2633.160000
    31    10  1983     2647.390000
     1    11  1983     2647.390000
     2    11  1983     2618.980000
     3    11  1983     2590.770000
     4    11  1983     2521.130000
     5    11  1983     2452.750000
     6    11  1983     2398.940000
     7    11  1983     2359.110000
     8    11  1983     2280.770000
     9    11  1983     2216.820000
    10    11  1983     2166.540000
    11    11  1983     2141.680000
    12    11  1983     2141.680000
    13    11  1983     2166.540000
    14    11  1983     2191.580000
    15    11  1983     2216.820000
    16    11  1983     2306.680000
    17    11  1983     2425.740000
    18    11  1983     2647.390000
    19    11  1983     2912.440000
    20    11  1983     3262.260000
    21    11  1983     3617.310000
    22    11  1983     3986.860000
    23    11  1983     4227.610000
    24    11  1983     4411.860000
    25    11  1983     4536.440000
    26    11  1983     4662.390000
    27    11  1983     4832.470000
    28    11  1983     5048.480000
    29    11  1983     5357.210000
    30    11  1983     5604.890000
     1    12  1983     5787.820000
     2    12  1983     5926.560000
     3    12  1983     6019.780000
     4    12  1983     6043.170000
     5    12  1983     6043.170000
     6    12  1983     6043.170000
