PIMENTEIRAS	-61.046	-13.480
    27     8  1983      208.782000
    28     8  1983      207.258000
    29     8  1983      205.738000
    30     8  1983      202.710000
    31     8  1983      201.202000
     1     9  1983      201.202000
     2     9  1983      199.697000
     3     9  1983      198.197000
     4     9  1983      198.197000
     5     9  1983      196.699000
     6     9  1983      195.206000
     7     9  1983      193.717000
     8     9  1983      192.231000
     9     9  1983      190.750000
    10     9  1983      187.798000
    11     9  1983      184.861000
    12     9  1983      184.861000
    13     9  1983      183.399000
    14     9  1983      183.399000
    15     9  1983      183.399000
    16     9  1983      181.941000
    17     9  1983      181.941000
    18     9  1983      180.486000
    19     9  1983      180.486000
    20     9  1983      180.486000
    21     9  1983      179.036000
    22     9  1983      177.589000
    23     9  1983      177.589000
    24     9  1983      177.589000
    25     9  1983      176.146000
    26     9  1983      176.146000
    27     9  1983      176.146000
    28     9  1983      177.589000
    29     9  1983      180.486000
    30     9  1983      180.486000
     1    10  1983      180.486000
     2    10  1983      179.036000
     3    10  1983      177.589000
     4    10  1983      176.146000
     5    10  1983      176.146000
     6    10  1983      174.707000
     7    10  1983      173.273000
     8    10  1983      173.273000
     9    10  1983      171.842000
    10    10  1983      171.842000
    11    10  1983      173.273000
    12    10  1983      174.707000
    13    10  1983      173.273000
    14    10  1983      173.273000
    15    10  1983      170.415000
    16    10  1983      174.707000
    17    10  1983      179.036000
    18    10  1983      179.036000
    19    10  1983      176.146000
    20    10  1983      173.273000
    21    10  1983      171.842000
    22    10  1983      170.415000
    23    10  1983      173.273000
    24    10  1983      176.146000
    25    10  1983      173.273000
    26    10  1983      173.273000
    27    10  1983      176.146000
    28    10  1983      179.036000
    29    10  1983      180.486000
    30    10  1983      181.941000
    31    10  1983      184.861000
     1    11  1983      187.798000
     2    11  1983      190.750000
     3    11  1983      187.798000
     4    11  1983      184.861000
     5    11  1983      179.036000
     6    11  1983      189.272000
     7    11  1983      201.202000
     8    11  1983      205.738000
     9    11  1983      205.738000
    10    11  1983      208.782000
    11    11  1983      214.913000
    12    11  1983      218.001000
    13    11  1983      222.660000
    14    11  1983      228.924000
    15    11  1983      230.499000
    16    11  1983      227.352000
    17    11  1983      224.220000
    18    11  1983      221.103000
    19    11  1983      224.220000
    20    11  1983      222.660000
    21    11  1983      221.103000
    22    11  1983      221.103000
    23    11  1983      224.220000
    24    11  1983      222.660000
    25    11  1983      224.220000
    26    11  1983      224.220000
    27    11  1983      230.499000
    28    11  1983      233.660000
    29    11  1983      238.428000
    30    11  1983      244.836000
     1    12  1983      249.679000
     2    12  1983      254.554000
     3    12  1983      261.103000
     4    12  1983      267.707000
     5    12  1983      274.366000
     6    12  1983      279.397000
     7    12  1983      282.768000
     8    12  1983      287.849000
     9    12  1983      294.672000
    10    12  1983      301.547000
    11    12  1983      308.476000
    12    12  1983      315.457000
    13    12  1983      322.491000
    14    12  1983      327.800000
    15    12  1983      334.925000
    16    12  1983      343.902000
    17    12  1983      349.326000
    18    12  1983      356.603000
    19    12  1983      360.260000
    20    12  1983      363.930000
    21    12  1983      367.612000
    22    12  1983      371.306000
    23    12  1983      378.733000
    24    12  1983      382.464000
    25    12  1983      386.208000
    26    12  1983      389.964000
    27    12  1983      401.305000
    28    12  1983      416.595000
    29    12  1983      424.312000
    30    12  1983      430.131000
    31    12  1983      437.930000
     1     1  1984      449.717000
     2     1  1984      459.620000
     3     1  1984      463.601000
     4     1  1984      471.598000
     5     1  1984      491.790000
     6     1  1984      506.092000
     7     1  1984      516.392000
     8     1  1984      530.929000
     9     1  1984      541.394000
    10     1  1984      551.929000
    11     1  1984      564.659000
    12     1  1984      577.487000
    13     1  1984      590.411000
    14     1  1984      601.253000
    15     1  1984      618.739000
    16     1  1984      629.753000
    17     1  1984      638.611000
    18     1  1984      647.510000
    19     1  1984      663.183000
    20     1  1984      674.455000
    21     1  1984      685.790000
    22     1  1984      699.476000
    23     1  1984      715.557000
    24     1  1984      731.760000
    25     1  1984      750.426000
    26     1  1984      769.250000
    27     1  1984      788.229000
    28     1  1984      802.565000
    29     1  1984      814.578000
    30     1  1984      819.399000
    31     1  1984      821.814000
     1     2  1984      821.814000
     2     2  1984      816.987000
     3     2  1984      816.987000
     4     2  1984      809.765000
     5     2  1984      802.565000
     6     2  1984      802.565000
     7     2  1984      807.363000
     8     2  1984      816.987000
     9     2  1984      816.987000
    10     2  1984      819.399000
    11     2  1984      821.814000
    12     2  1984      816.987000
    13     2  1984      821.814000
    14     2  1984      826.650000
    15     2  1984      831.495000
    16     2  1984      836.351000
    17     2  1984      841.215000
    18     2  1984      836.351000
    19     2  1984      836.351000
    20     2  1984      831.495000
    21     2  1984      826.650000
    22     2  1984      831.495000
    23     2  1984      831.495000
    24     2  1984      836.351000
    25     2  1984      831.495000
    26     2  1984      831.495000
    27     2  1984      826.650000
    28     2  1984      821.814000
    29     2  1984      821.814000
     1     3  1984      819.399000
     2     3  1984      829.071000
     3     3  1984      841.215000
     4     3  1984      846.089000
     5     3  1984      850.973000
     6     3  1984      850.973000
     7     3  1984      855.866000
     8     3  1984      855.866000
     9     3  1984      860.768000
    10     3  1984      860.768000
    11     3  1984      863.223000
    12     3  1984      855.866000
    13     3  1984      850.973000
    14     3  1984      850.973000
    15     3  1984      853.418000
    16     3  1984      855.866000
    17     3  1984      855.866000
    18     3  1984      860.768000
    19     3  1984      865.680000
    20     3  1984      865.680000
    21     3  1984      875.531000
    22     3  1984      900.323000
    23     3  1984      920.323000
    24     3  1984      920.323000
    25     3  1984      915.310000
    26     3  1984      915.310000
    27     3  1984      910.305000
    28     3  1984      910.305000
    29     3  1984      910.305000
    30     3  1984      907.806000
    31     3  1984      900.323000
     1     4  1984      895.346000
     2     4  1984      895.346000
     3     4  1984      910.305000
     4     4  1984      915.310000
     5     4  1984      915.310000
     6     4  1984      915.310000
     7     4  1984      915.310000
     8     4  1984      915.310000
     9     4  1984      910.305000
    10     4  1984      910.305000
    11     4  1984      915.310000
    12     4  1984      915.310000
    13     4  1984      910.305000
    14     4  1984      910.305000
    15     4  1984      902.815000
    16     4  1984      895.346000
    17     4  1984      885.420000
    18     4  1984      865.680000
    19     4  1984      855.866000
    20     4  1984      850.973000
    21     4  1984      850.973000
    22     4  1984      846.089000
    23     4  1984      846.089000
    24     4  1984      855.866000
    25     4  1984      846.089000
    26     4  1984      833.922000
    27     4  1984      826.650000
    28     4  1984      821.814000
    29     4  1984      816.987000
    30     4  1984      812.170000
     1     5  1984      807.363000
     2     5  1984      802.565000
     3     5  1984      797.776000
     4     5  1984      792.998000
     5     5  1984      783.469000
     6     5  1984      778.720000
     7     5  1984      773.980000
     8     5  1984      769.250000
     9     5  1984      764.529000
    10     5  1984      759.818000
    11     5  1984      773.980000
    12     5  1984      778.720000
    13     5  1984      781.093000
    14     5  1984      778.720000
    15     5  1984      778.720000
    16     5  1984      773.980000
    17     5  1984      773.980000
    18     5  1984      771.613000
    19     5  1984      769.250000
    20     5  1984      764.529000
    21     5  1984      764.529000
    22     5  1984      759.818000
    23     5  1984      755.117000
    24     5  1984      750.426000
    25     5  1984      741.073000
    26     5  1984      734.084000
    27     5  1984      722.486000
    28     5  1984      715.557000
    29     5  1984      706.353000
    30     5  1984      697.188000
    31     5  1984      688.065000
     1     6  1984      678.981000
     2     6  1984      672.195000
     3     6  1984      665.432000
     4     6  1984      651.975000
     5     6  1984      640.832000
     6     6  1984      631.964000
     7     6  1984      625.340000
     8     6  1984      616.544000
     9     6  1984      607.791000
    10     6  1984      596.908000
    11     6  1984      581.784000
    12     6  1984      573.200000
    13     6  1984      562.531000
    14     6  1984      554.044000
    15     6  1984      543.496000
    16     6  1984      535.107000
    17     6  1984      526.762000
    18     6  1984      518.461000
    19     6  1984      506.092000
    20     6  1984      495.862000
    21     6  1984      487.729000
    22     6  1984      477.626000
    23     6  1984      469.595000
    24     6  1984      457.634000
    25     6  1984      449.717000
    26     6  1984      441.848000
    27     6  1984      434.025000
    28     6  1984      426.249000
    29     6  1984      414.674000
    30     6  1984      407.017000
     1     7  1984      399.408000
     2     7  1984      397.513000
     3     7  1984      389.964000
     4     7  1984      380.597000
     5     7  1984      373.159000
     6     7  1984      363.930000
     7     7  1984      356.603000
     8     7  1984      347.515000
     9     7  1984      338.506000
    10     7  1984      327.800000
    11     7  1984      317.211000
    12     7  1984      306.739000
    13     7  1984      296.385000
    14     7  1984      287.849000
    15     7  1984      282.768000
    16     7  1984      276.040000
    17     7  1984      271.030000
    18     7  1984      266.051000
    19     7  1984      261.103000
    20     7  1984      256.186000
    21     7  1984      254.554000
    22     7  1984      252.925000
    23     7  1984      251.300000
    24     7  1984      251.300000
    25     7  1984      251.300000
    26     7  1984      249.679000
    27     7  1984      249.679000
    28     7  1984      249.679000
    29     7  1984      249.679000
    30     7  1984      249.679000
    31     7  1984      249.679000
     1     8  1984      249.679000
     2     8  1984      249.679000
     3     8  1984      246.446000
     4     8  1984      243.228000
     5     8  1984      240.024000
     6     8  1984      236.835000
     7     8  1984      235.245000
     8     8  1984      233.660000
     9     8  1984      230.499000
    10     8  1984      227.352000
    11     8  1984      224.220000
    12     8  1984      221.103000
    13     8  1984      218.001000
    14     8  1984      214.913000
    15     8  1984      211.840000
    16     8  1984      204.223000
    17     8  1984      198.197000
    18     8  1984      196.699000
    19     8  1984      196.699000
    20     8  1984      196.699000
    21     8  1984      196.699000
    22     8  1984      195.206000
    23     8  1984      195.206000
    24     8  1984      193.717000
    25     8  1984      192.231000
    26     8  1984      192.231000
    27     8  1984      190.750000
    28     8  1984      190.750000
    29     8  1984      190.750000
    30     8  1984      189.272000
    31     8  1984      189.272000
     1     9  1984      189.272000
     2     9  1984      189.272000
     3     9  1984      189.272000
     4     9  1984      187.798000
     5     9  1984      187.798000
     6     9  1984      186.328000
     7     9  1984      186.328000
     8     9  1984      186.328000
     9     9  1984      186.328000
    10     9  1984      186.328000
    11     9  1984      184.861000
    12     9  1984      184.861000
    13     9  1984      184.861000
    14     9  1984      184.861000
    15     9  1984      183.399000
    16     9  1984      183.399000
    17     9  1984      183.399000
    18     9  1984      183.399000
    19     9  1984      181.941000
    20     9  1984      181.941000
    21     9  1984      181.941000
    22     9  1984      181.941000
    23     9  1984      181.941000
    24     9  1984      184.861000
    25     9  1984      187.798000
    26     9  1984      187.798000
    27     9  1984      186.328000
    28     9  1984      184.861000
    29     9  1984      184.861000
    30     9  1984      181.941000
     1    10  1984      180.486000
     2    10  1984      179.036000
     3    10  1984      177.589000
     4    10  1984      176.146000
     5    10  1984      174.707000
     6    10  1984      173.273000
     7    10  1984      176.146000
     8    10  1984      176.146000
     9    10  1984      174.707000
    10    10  1984      173.273000
    11    10  1984      173.273000
    12    10  1984      173.273000
    13    10  1984      173.273000
    14    10  1984      171.842000
    15    10  1984      170.415000
    16    10  1984      170.415000
    17    10  1984      167.573000
    18    10  1984      166.158000
    19    10  1984      171.842000
    20    10  1984      177.589000
    21    10  1984      181.941000
    22    10  1984      183.399000
    23    10  1984      189.272000
    24    10  1984      195.206000
    25    10  1984      201.202000
    26    10  1984      207.258000
    27    10  1984      216.455000
    28    10  1984      222.660000
    29    10  1984      225.784000
    30    10  1984      222.660000
    31    10  1984      227.352000
     1    11  1984      230.499000
     2    11  1984      233.660000
     3    11  1984      236.835000
     4    11  1984      240.024000
     5    11  1984      243.228000
     6    11  1984      243.228000
     7    11  1984      244.836000
     8    11  1984      251.300000
     9    11  1984      262.748000
    10    11  1984      277.717000
    11    11  1984      284.458000
    12    11  1984      292.961000
    13    11  1984      299.823000
    14    11  1984      308.476000
    15    11  1984      318.968000
    16    11  1984      326.027000
    17    11  1984      342.100000
    18    11  1984      356.603000
    19    11  1984      373.159000
    20    11  1984      386.208000
    21    11  1984      403.206000
    22    11  1984      410.839000
    23    11  1984      418.520000
    24    11  1984      426.249000
    25    11  1984      434.025000
    26    11  1984      439.888000
    27    11  1984      445.777000
    28    11  1984      455.650000
    29    11  1984      469.595000
    30    11  1984      491.790000
     1    12  1984      501.992000
     2    12  1984      514.327000
     3    12  1984      510.204000
     4    12  1984      501.992000
     5    12  1984      493.825000
     6    12  1984      483.679000
     7    12  1984      483.679000
     8    12  1984      487.729000
     9    12  1984      483.679000
    10    12  1984      483.679000
    11    12  1984      501.992000
    12    12  1984      516.392000
    13    12  1984      524.682000
    14    12  1984      537.200000
    15    12  1984      541.394000
    16    12  1984      549.816000
    17    12  1984      558.282000
    18    12  1984      564.659000
    19    12  1984      571.061000
    20    12  1984      579.634000
    21    12  1984      590.411000
    22    12  1984      599.080000
    23    12  1984      607.791000
    24    12  1984      616.544000
    25    12  1984      623.137000
    26    12  1984      631.964000
    27    12  1984      640.832000
    28    12  1984      649.742000
    29    12  1984      658.692000
    30    12  1984      667.684000
    31    12  1984      672.195000
     1     1  1985      676.717000
     2     1  1985      683.518000
     3     1  1985      690.342000
     4     1  1985      694.904000
     5     1  1985      701.766000
     6     1  1985      710.950000
     7     1  1985      717.864000
     8     1  1985      722.486000
     9     1  1985      727.118000
    10     1  1985      727.118000
    11     1  1985      731.760000
    12     1  1985      731.760000
    13     1  1985      736.411000
    14     1  1985      741.073000
    15     1  1985      745.745000
    16     1  1985      755.117000
    17     1  1985      759.818000
    18     1  1985      764.529000
    19     1  1985      769.250000
    20     1  1985      773.980000
    21     1  1985      776.349000
    22     1  1985      778.720000
    23     1  1985      783.469000
    24     1  1985      788.229000
    25     1  1985      792.998000
    26     1  1985      797.776000
    27     1  1985      797.776000
    28     1  1985      800.169000
    29     1  1985      800.169000
    30     1  1985      802.565000
    31     1  1985      802.565000
     1     2  1985      802.565000
     2     2  1985      802.565000
     3     2  1985      802.565000
     4     2  1985      802.565000
     5     2  1985      807.363000
     6     2  1985      812.170000
     7     2  1985      816.987000
     8     2  1985      821.814000
     9     2  1985      821.814000
    10     2  1985      826.650000
    11     2  1985      824.231000
    12     2  1985      826.650000
    13     2  1985      836.351000
    14     2  1985      841.215000
    15     2  1985      846.089000
    16     2  1985      850.973000
    17     2  1985      855.866000
    18     2  1985      855.866000
    19     2  1985      855.866000
    20     2  1985      860.768000
    21     2  1985      865.680000
    22     2  1985      873.065000
    23     2  1985      880.471000
    24     2  1985      885.420000
    25     2  1985      885.420000
    26     2  1985      880.471000
    27     2  1985      875.531000
    28     2  1985      875.531000
     1     3  1985      870.601000
     2     3  1985      870.601000
     3     3  1985      880.471000
     4     3  1985      890.379000
     5     3  1985      900.323000
     6     3  1985      910.305000
     7     3  1985      915.310000
     8     3  1985      920.323000
     9     3  1985      920.323000
    10     3  1985      925.346000
    11     3  1985      930.378000
    12     3  1985      930.378000
    13     3  1985      935.420000
    14     3  1985      935.420000
    15     3  1985      940.470000
    16     3  1985      940.470000
    17     3  1985      940.470000
    18     3  1985      945.530000
    19     3  1985      945.530000
    20     3  1985      945.530000
    21     3  1985      940.470000
    22     3  1985      940.470000
    23     3  1985      935.420000
    24     3  1985      935.420000
    25     3  1985      930.378000
    26     3  1985      925.346000
    27     3  1985      925.346000
    28     3  1985      925.346000
    29     3  1985      925.346000
    30     3  1985      920.323000
    31     3  1985      920.323000
     1     4  1985      920.323000
     2     4  1985      920.323000
     3     4  1985      915.310000
     4     4  1985      907.806000
     5     4  1985      900.323000
     6     4  1985      895.346000
     7     4  1985      890.379000
     8     4  1985      885.420000
     9     4  1985      880.471000
    10     4  1985      880.471000
    11     4  1985      875.531000
    12     4  1985      870.601000
    13     4  1985      865.680000
    14     4  1985      860.768000
    15     4  1985      855.866000
    16     4  1985      850.973000
    17     4  1985      846.089000
    18     4  1985      841.215000
    19     4  1985      836.351000
    20     4  1985      831.495000
    21     4  1985      831.495000
    22     4  1985      826.650000
    23     4  1985      821.814000
    24     4  1985      816.987000
    25     4  1985      821.814000
    26     4  1985      821.814000
    27     4  1985      826.650000
    28     4  1985      831.495000
    29     4  1985      836.351000
    30     4  1985      836.351000
     1     5  1985      836.351000
     2     5  1985      836.351000
     3     5  1985      841.215000
     4     5  1985      841.215000
     5     5  1985      841.215000
     6     5  1985      846.089000
     7     5  1985      846.089000
     8     5  1985      846.089000
     9     5  1985      846.089000
    10     5  1985      846.089000
    11     5  1985      841.215000
    12     5  1985      836.351000
    13     5  1985      836.351000
    14     5  1985      831.495000
    15     5  1985      826.650000
    16     5  1985      821.814000
    17     5  1985      816.987000
    18     5  1985      816.987000
    19     5  1985      802.565000
    20     5  1985      788.229000
    21     5  1985      771.613000
    22     5  1985      762.172000
    23     5  1985      748.084000
    24     5  1985      738.741000
    25     5  1985      729.438000
    26     5  1985      720.174000
