MANACAPURU	-60.609	-3.308
    18     7  1983   107343.000000
    19     7  1983   106481.000000
    20     7  1983   105622.000000
    21     7  1983   104886.000000
    22     7  1983   104298.000000
    23     7  1983   103492.000000
    24     7  1983   102470.000000
    25     7  1983   101598.000000
    26     7  1983   100800.000000
    27     7  1983    99860.400000
    28     7  1983    98708.700000
    29     7  1983    97633.700000
    30     7  1983    96420.800000
    31     7  1983    95142.900000
     1     8  1983    93660.300000
     2     8  1983    92256.600000
     3     8  1983    90930.700000
     4     8  1983    89543.000000
     5     8  1983    88232.300000
     6     8  1983    86792.200000
     7     8  1983    85973.500000
     8     8  1983    84954.200000
     9     8  1983    83804.600000
    10     8  1983    82460.000000
    11     8  1983    80990.500000
    12     8  1983    79729.600000
    13     8  1983    78607.900000
    14     8  1983    77623.200000
    15     8  1983    76578.200000
    16     8  1983    75603.400000
    17     8  1983    74568.900000
    18     8  1983    73539.900000
    19     8  1983    72707.900000
    20     8  1983    71752.400000
    21     8  1983    70991.500000
    22     8  1983    70296.800000
    23     8  1983    69479.200000
    24     8  1983    68790.200000
    25     8  1983    68103.800000
    26     8  1983    67482.200000
    27     8  1983    66986.400000
    28     8  1983    66368.700000
    29     8  1983    65753.200000
    30     8  1983    65139.900000
    31     8  1983    64589.800000
     1     9  1983    64041.500000
     2     9  1983    63677.000000
     3     9  1983    63252.800000
     4     9  1983    62890.000000
     5     9  1983    62588.200000
     6     9  1983    62347.300000
     7     9  1983    62166.800000
     8     9  1983    61926.400000
     9     9  1983    61806.400000
    10     9  1983    61746.400000
    11     9  1983    61686.500000
    12     9  1983    61626.500000
    13     9  1983    61626.500000
    14     9  1983    61506.700000
    15     9  1983    61387.000000
    16     9  1983    61387.000000
    17     9  1983    61327.200000
    18     9  1983    61207.600000
    19     9  1983    61028.300000
    20     9  1983    60909.000000
    21     9  1983    60789.700000
    22     9  1983    60670.500000
    23     9  1983    60670.500000
    24     9  1983    60551.400000
    25     9  1983    60432.400000
    26     9  1983    60313.500000
    27     9  1983    60194.700000
    28     9  1983    60075.900000
    29     9  1983    59957.300000
    30     9  1983    59898.000000
     1    10  1983    59779.500000
     2    10  1983    59661.100000
     3    10  1983    59542.800000
     4    10  1983    59306.400000
     5    10  1983    58893.600000
     6    10  1983    58423.100000
     7    10  1983    57954.200000
     8    10  1983    57545.000000
     9    10  1983    57078.800000
    10    10  1983    56614.000000
    11    10  1983    56150.600000
    12    10  1983    55573.600000
    13    10  1983    55170.900000
    14    10  1983    54712.200000
    15    10  1983    54197.900000
    16    10  1983    53799.200000
    17    10  1983    53571.800000
    18    10  1983    53458.300000
    19    10  1983    53344.800000
    20    10  1983    53401.500000
    21    10  1983    53515.000000
    22    10  1983    53628.600000
    23    10  1983    53913.000000
    24    10  1983    54197.900000
    25    10  1983    54369.100000
    26    10  1983    54483.400000
    27    10  1983    54769.500000
