GAVIÃO	-66.849	-4.839
    18     7  1983     1148.090000
    19     7  1983     1124.050000
    20     7  1983     1100.280000
    21     7  1983     1079.390000
    22     7  1983     1063.870000
    23     7  1983     1045.910000
    24     7  1983     1025.590000
    25     7  1983     1010.490000
    26     7  1983      993.040000
    27     7  1983      975.740000
    28     7  1983      965.940000
    29     7  1983      951.330000
    30     7  1983      941.660000
    31     7  1983      927.260000
     1     8  1983      915.340000
     2     8  1983      901.160000
     3     8  1983      889.430000
     4     8  1983      875.470000
     5     8  1983      866.230000
     6     8  1983      857.050000
     7     8  1983      847.910000
     8     8  1983      836.570000
     9     8  1983      823.070000
    10     8  1983      816.370000
    11     8  1983      807.480000
    12     8  1983      798.640000
    13     8  1983      789.850000
    14     8  1983      783.300000
    15     8  1983      778.940000
    16     8  1983      770.280000
    17     8  1983      761.660000
    18     8  1983      753.100000
    19     8  1983      740.360000
    20     8  1983      731.930000
    21     8  1983      719.380000
    22     8  1983      711.090000
    23     8  1983      700.790000
    24     8  1983      692.610000
    25     8  1983      686.510000
    26     8  1983      680.440000
    27     8  1983      676.410000
    28     8  1983      668.390000
    29     8  1983      664.400000
    30     8  1983      660.420000
    31     8  1983      660.420000
     1     9  1983      660.420000
     2     9  1983      662.410000
     3     9  1983      660.420000
     4     9  1983      658.440000
     5     9  1983      662.410000
     6     9  1983      666.390000
     7     9  1983      670.390000
     8     9  1983      672.390000
     9     9  1983      674.400000
    10     9  1983      672.390000
    11     9  1983      674.400000
    12     9  1983      676.410000
    13     9  1983      668.390000
    14     9  1983      664.400000
    15     9  1983      660.420000
    16     9  1983      658.440000
    17     9  1983      658.440000
    18     9  1983      660.420000
    19     9  1983      662.410000
    20     9  1983      666.390000
    21     9  1983      666.390000
    22     9  1983      664.400000
    23     9  1983      662.410000
    24     9  1983      660.420000
    25     9  1983      656.460000
    26     9  1983      662.410000
    27     9  1983      664.400000
    28     9  1983      668.390000
    29     9  1983      672.390000
    30     9  1983      678.430000
     1    10  1983      682.460000
     2    10  1983      686.510000
     3    10  1983      688.540000
     4    10  1983      692.610000
     5    10  1983      696.690000
     6    10  1983      700.790000
     7    10  1983      706.960000
     8    10  1983      709.020000
     9    10  1983      711.090000
    10    10  1983      713.160000
    11    10  1983      709.020000
    12    10  1983      704.900000
    13    10  1983      698.740000
    14    10  1983      690.580000
    15    10  1983      682.460000
    16    10  1983      678.430000
    17    10  1983      684.490000
    18    10  1983      688.540000
    19    10  1983      690.580000
    20    10  1983      694.650000
    21    10  1983      692.610000
    22    10  1983      688.540000
    23    10  1983      686.510000
    24    10  1983      682.460000
    25    10  1983      672.390000
    26    10  1983      662.410000
    27    10  1983      666.390000
    28    10  1983      682.460000
    29    10  1983      696.690000
    30    10  1983      719.380000
    31    10  1983      731.930000
     1    11  1983      740.360000
     2    11  1983      753.100000
     3    11  1983      778.940000
     4    11  1983      796.440000
     5    11  1983      811.920000
     6    11  1983      823.070000
     7    11  1983      820.840000
     8    11  1983      816.370000
     9    11  1983      814.140000
    10    11  1983      818.600000
    11    11  1983      834.310000
    12    11  1983      903.520000
    13    11  1983      993.040000
    14    11  1983     1089.810000
    15    11  1983     1263.990000
    16    11  1983     1455.440000
    17    11  1983     1593.460000
    18    11  1983     1698.150000
    19    11  1983     1765.430000
    20    11  1983     1827.210000
    21    11  1983     1890.150000
    22    11  1983     1939.910000
    23    11  1983     1979.510000
    24    11  1983     2001.290000
    25    11  1983     2012.230000
    26    11  1983     2008.580000
    27    11  1983     2004.940000
    28    11  1983     2001.290000
    29    11  1983     1990.380000
    30    11  1983     1979.510000
     1    12  1983     1965.060000
     2    12  1983     1943.500000
     3    12  1983     1929.190000
     4    12  1983     1904.300000
     5    12  1983     1890.150000
     6    12  1983     1886.620000
     7    12  1983     1900.750000
     8    12  1983     1925.620000
     9    12  1983     1972.280000
    10    12  1983     2045.250000
    11    12  1983     2138.500000
    12    12  1983     2241.780000
    13    12  1983     2347.730000
    14    12  1983     2452.280000
    15    12  1983     2546.850000
    16    12  1983     2651.870000
    17    12  1983     2741.890000
    18    12  1983     2855.610000
    19    12  1983     2980.920000
    20    12  1983     3118.450000
    21    12  1983     3249.870000
    22    12  1983     3369.730000
    23    12  1983     3496.900000
    24    12  1983     3611.550000
    25    12  1983     3759.000000
    26    12  1983     3883.470000
    27    12  1983     3978.280000
    28    12  1983     4079.720000
    29    12  1983     4171.660000
    30    12  1983     4264.730000
    31    12  1983     4336.650000
     1     1  1984     4437.330000
     2     1  1984     4493.810000
     3     1  1984     4539.270000
     4     1  1984     4573.530000
     5     1  1984     4596.450000
     6     1  1984     4642.480000
     7     1  1984     4671.380000
     8     1  1984     4694.560000
     9     1  1984     4723.630000
    10     1  1984     4746.960000
    11     1  1984     4770.350000
    12     1  1984     4782.070000
    13     1  1984     4793.810000
    14     1  1984     4805.560000
    15     1  1984     4805.560000
    16     1  1984     4805.560000
    17     1  1984     4817.320000
    18     1  1984     4829.100000
    19     1  1984     4840.900000
    20     1  1984     4858.630000
    21     1  1984     4894.190000
    22     1  1984     4935.850000
    23     1  1984     4977.710000
    24     1  1984     5007.720000
    25     1  1984     5043.870000
    26     1  1984     5104.440000
    27     1  1984     5153.170000
    28     1  1984     5189.890000
    29     1  1984     5226.750000
    30     1  1984     5263.760000
    31     1  1984     5300.910000
     1     2  1984     5331.970000
     2     2  1984     5375.630000
     3     2  1984     5463.530000
     4     2  1984     5526.790000
     5     2  1984     5577.690000
     6     2  1984     5628.850000
     7     2  1984     5667.380000
     8     2  1984     5718.980000
     9     2  1984     5764.340000
    10     2  1984     5809.900000
    11     2  1984     5849.100000
    12     2  1984     5901.600000
    13     2  1984     5971.970000
    14     2  1984     6029.650000
    15     2  1984     6102.410000
    16     2  1984     6146.400000
    17     2  1984     6205.470000
    18     2  1984     6265.010000
    19     2  1984     6309.970000
    20     2  1984     6355.200000
    21     2  1984     6385.490000
    22     2  1984     6446.450000
    23     2  1984     6477.100000
    24     2  1984     6538.780000
    25     2  1984     6600.930000
    26     2  1984     6663.570000
    27     2  1984     6710.870000
    28     2  1984     6758.450000
    29     2  1984     6790.330000
     1     3  1984     6854.440000
     2     3  1984     6886.690000
     3     3  1984     6919.060000
     4     3  1984     6967.840000
     5     3  1984     7033.340000
     6     3  1984     7066.270000
     7     3  1984     7082.790000
     8     3  1984     7132.530000
     9     3  1984     7182.550000
    10     3  1984     7216.060000
    11     3  1984     7249.700000
    12     3  1984     7283.470000
    13     3  1984     7351.390000
    14     3  1984     7419.840000
    15     3  1984     7454.250000
    16     3  1984     7523.490000
    17     3  1984     7575.760000
    18     3  1984     7698.890000
    19     3  1984     7805.730000
    20     3  1984     7895.700000
    21     3  1984     7968.290000
    22     3  1984     8096.640000
    23     3  1984     8189.360000
    24     3  1984     8264.160000
    25     3  1984     8339.530000
    26     3  1984     8434.530000
    27     3  1984     8549.700000
    28     3  1984     8588.380000
    29     3  1984     8627.200000
    30     3  1984     8685.710000
    31     3  1984     8764.220000
     1     4  1984     8843.320000
     2     4  1984     8863.180000
     3     4  1984     8863.180000
     4     4  1984     8903.030000
     5     4  1984     8923.000000
     6     4  1984     8983.150000
     7     4  1984     8983.150000
     8     4  1984     8943.020000
     9     4  1984     8963.070000
    10     4  1984     8983.150000
    11     4  1984     8983.150000
    12     4  1984     9023.440000
    13     4  1984     9003.280000
    14     4  1984     9023.440000
    15     4  1984     9023.440000
    16     4  1984     9023.440000
    17     4  1984     8983.150000
    18     4  1984     8963.070000
    19     4  1984     8903.030000
    20     4  1984     8863.180000
    21     4  1984     8823.490000
    22     4  1984     8803.700000
    23     4  1984     8705.280000
    24     4  1984     8685.710000
    25     4  1984     8627.200000
    26     4  1984     8588.380000
    27     4  1984     8588.380000
    28     4  1984     8511.170000
    29     4  1984     8549.700000
    30     4  1984     8511.170000
     1     5  1984     8511.170000
     2     5  1984     8511.170000
