FLORIANOPEIXOTO	-67.368	-9.051
    29     8  1983       50.060000
    30     8  1983       52.760000
    31     8  1983       55.530000
     1     9  1983       58.840000
     2     9  1983       61.740000
     3     9  1983       64.210000
     4     9  1983       65.720000
     5     9  1983       65.210000
     6     9  1983       63.220000
     7     9  1983       61.250000
     8     9  1983       59.800000
     9     9  1983       57.880000
    10     9  1983       56.460000
    11     9  1983       55.530000
    12     9  1983       54.140000
    13     9  1983       52.760000
    14     9  1983       51.400000
    15     9  1983       50.060000
    16     9  1983       48.290000
    17     9  1983       47.420000
    18     9  1983       47.860000
    19     9  1983       48.730000
    20     9  1983       49.170000
    21     9  1983       47.420000
    22     9  1983       46.130000
    23     9  1983       44.850000
    24     9  1983       44.010000
    25     9  1983       43.170000
    26     9  1983       41.930000
    27     9  1983       41.110000
    28     9  1983       41.110000
    29     9  1983       42.340000
    30     9  1983       43.170000
     1    10  1983       44.850000
     2    10  1983       44.850000
     3    10  1983       43.590000
     4    10  1983       41.520000
     5    10  1983       40.300000
     6    10  1983       39.500000
     7    10  1983       40.710000
     8    10  1983       42.760000
     9    10  1983       44.430000
    10    10  1983       46.990000
    11    10  1983       49.170000
    12    10  1983       50.950000
    13    10  1983       50.950000
    14    10  1983       49.610000
    15    10  1983       47.860000
    16    10  1983       46.560000
    17    10  1983       45.270000
    18    10  1983       44.010000
    19    10  1983       42.760000
    20    10  1983       43.170000
    21    10  1983       45.270000
    22    10  1983       47.420000
    23    10  1983       49.170000
    24    10  1983       50.500000
    25    10  1983       52.760000
    26    10  1983       55.060000
    27    10  1983       57.880000
    28    10  1983       60.280000
    29    10  1983       62.730000
    30    10  1983       64.210000
    31    10  1983       66.730000
     1    11  1983       67.240000
     2    11  1983       65.210000
     3    11  1983       63.220000
     4    11  1983       65.210000
     5    11  1983       67.750000
     6    11  1983       69.800000
     7    11  1983       72.410000
     8    11  1983       72.940000
     9    11  1983       75.070000
    10    11  1983       78.310000
    11    11  1983       81.620000
    12    11  1983       86.700000
    13    11  1983       92.500000
    14    11  1983      100.910000
    15    11  1983      120.060000
    16    11  1983      139.280000
    17    11  1983      163.610000
    18    11  1983      195.460000
    19    11  1983      237.080000
    20    11  1983      298.210000
    21    11  1983      373.430000
    22    11  1983      416.840000
    23    11  1983      442.960000
    24    11  1983      458.740000
    25    11  1983      455.080000
    26    11  1983      431.000000
    27    11  1983      396.010000
    28    11  1983      352.550000
    29    11  1983      315.520000
    30    11  1983      315.520000
     1    12  1983      339.640000
     2    12  1983      370.100000
     3    12  1983      407.520000
     4    12  1983      449.000000
     5    12  1983      501.190000
     6    12  1983      551.990000
     7    12  1983      592.580000
     8    12  1983      616.170000
     9    12  1983      607.800000
    10    12  1983      565.370000
    11    12  1983      502.470000
    12    12  1983      436.960000
    13    12  1983      389.170000
    14    12  1983      356.900000
    15    12  1983      335.390000
    16    12  1983      318.620000
    17    12  1983      301.230000
    18    12  1983      291.210000
    19    12  1983      286.260000
    20    12  1983      275.500000
    21    12  1983      287.250000
    22    12  1983      332.210000
    23    12  1983      375.660000
    24    12  1983      427.440000
    25    12  1983      483.510000
    26    12  1983      542.710000
    27    12  1983      603.630000
    28    12  1983      655.930000
    29    12  1983      699.780000
    30    12  1983      743.400000
    31    12  1983      785.100000
     1     1  1984      826.220000
     2     1  1984      858.510000
     3     1  1984      894.680000
     4     1  1984      931.530000
     5     1  1984      962.180000
     6     1  1984      993.290000
     7     1  1984     1023.080000
     8     1  1984     1053.270000
     9     1  1984     1083.860000
    10     1  1984     1111.190000
    11     1  1984     1144.390000
    12     1  1984     1172.400000
    13     1  1984     1204.490000
    14     1  1984     1240.050000
    15     1  1984     1276.090000
    16     1  1984     1310.330000
    17     1  1984     1344.990000
    18     1  1984     1368.340000
    19     1  1984     1380.080000
    20     1  1984     1375.380000
    21     1  1984     1340.340000
    22     1  1984     1303.450000
    23     1  1984     1253.510000
    24     1  1984     1200.080000
    25     1  1984     1157.420000
    26     1  1984     1135.120000
    27     1  1984     1133.270000
    28     1  1984     1163.030000
    29     1  1984     1213.330000
    30     1  1984     1258.010000
    31     1  1984     1298.870000
     1     2  1984     1331.070000
     2     2  1984     1363.650000
     3     2  1984     1396.610000
     4     2  1984     1434.730000
     5     2  1984     1478.190000
     6     2  1984     1527.200000
     7     2  1984     1571.960000
     8     2  1984     1612.260000
     9     2  1984     1658.170000
    10     2  1984     1733.420000
    11     2  1984     1804.910000
    12     2  1984     1891.400000
    13     2  1984     1977.010000
    14     2  1984     2030.370000
    15     2  1984     2061.570000
    16     2  1984     2093.000000
    17     2  1984     2130.430000
    18     2  1984     2162.350000
    19     2  1984     2182.770000
    20     2  1984     2162.350000
    21     2  1984     2130.430000
    22     2  1984     2104.480000
    23     2  1984     2104.480000
    24     2  1984     2130.430000
    25     2  1984     2165.260000
    26     2  1984     2191.560000
    27     2  1984     2174.010000
    28     2  1984     2144.910000
    29     2  1984     2110.240000
     1     3  1984     2070.120000
     2     3  1984     2024.730000
     3     3  1984     1971.440000
     4     3  1984     1932.600000
     5     3  1984     1907.830000
     6     3  1984     1872.310000
     7     3  1984     1837.120000
     8     3  1984     1812.930000
     9     3  1984     1783.580000
    10     3  1984     1759.740000
    11     3  1984     1733.420000
    12     3  1984     1715.110000
    13     3  1984     1699.490000
    14     3  1984     1689.120000
    15     3  1984     1683.940000
    16     3  1984     1689.120000
    17     3  1984     1689.120000
    18     3  1984     1678.770000
    19     3  1984     1647.910000
    20     3  1984     1597.090000
    21     3  1984     1566.950000
    22     3  1984     1556.970000
    23     3  1984     1561.960000
    24     3  1984     1581.990000
    25     3  1984     1602.140000
    26     3  1984     1622.410000
    27     3  1984     1642.800000
    28     3  1984     1658.170000
    29     3  1984     1658.170000
    30     3  1984     1645.350000
    31     3  1984     1645.350000
     1     4  1984     1650.470000
     2     4  1984     1637.690000
     3     4  1984     1627.490000
     4     4  1984     1642.800000
     5     4  1984     1671.030000
     6     4  1984     1704.690000
     7     4  1984     1738.670000
     8     4  1984     1772.970000
     9     4  1984     1810.260000
    10     4  1984     1869.590000
    11     4  1984     1918.820000
    12     4  1984     1968.650000
    13     4  1984     2007.820000
    14     4  1984     2055.880000
    15     4  1984     2093.000000
    16     4  1984     2110.240000
    17     4  1984     2098.740000
    18     4  1984     2067.270000
    19     4  1984     2019.080000
    20     4  1984     1957.520000
    21     4  1984     1891.400000
    22     4  1984     1831.730000
    23     4  1984     1767.670000
    24     4  1984     1702.090000
    25     4  1984     1642.800000
    26     4  1984     1597.090000
    27     4  1984     1551.990000
    28     4  1984     1522.260000
    29     4  1984     1497.700000
    30     4  1984     1505.050000
     1     5  1984     1532.140000
     2     5  1984     1564.460000
     3     5  1984     1592.050000
     4     5  1984     1592.050000
     5     5  1984     1556.970000
     6     5  1984     1512.420000
     7     5  1984     1453.970000
     8     5  1984     1396.610000
     9     5  1984     1349.650000
    10     5  1984     1303.450000
    11     5  1984     1251.260000
    12     5  1984     1193.480000
    13     5  1984     1138.830000
    14     5  1984     1092.940000
    15     5  1984     1046.130000
    16     5  1984     1007.260000
    17     5  1984      969.050000
    18     5  1984      928.150000
    19     5  1984      888.050000
    20     5  1984      848.770000
    21     5  1984      835.850000
