LÁBREA	-64.800	-7.252
    18     7  1983     1591.520000
    19     7  1983     1561.540000
    20     7  1983     1528.000000
    21     7  1983     1505.760000
    22     7  1983     1483.620000
    23     7  1983     1465.240000
    24     7  1983     1450.580000
    25     7  1983     1435.970000
    26     7  1983     1425.030000
    27     7  1983     1410.490000
    28     7  1983     1399.620000
    29     7  1983     1388.760000
    30     7  1983     1374.330000
    31     7  1983     1363.540000
     1     8  1983     1349.180000
     2     8  1983     1334.870000
     3     8  1983     1317.040000
     4     8  1983     1302.830000
     5     8  1983     1295.740000
     6     8  1983     1281.600000
     7     8  1983     1267.500000
     8     8  1983     1246.430000
     9     8  1983     1232.440000
    10     8  1983     1211.550000
    11     8  1983     1194.220000
    12     8  1983     1176.950000
    13     8  1983     1159.770000
    14     8  1983     1142.650000
    15     8  1983     1125.610000
    16     8  1983     1108.640000
    17     8  1983     1091.750000
    18     8  1983     1081.650000
    19     8  1983     1068.220000
    20     8  1983     1048.180000
    21     8  1983     1031.550000
    22     8  1983     1015.010000
    23     8  1983      998.540000
    24     8  1983      991.980000
    25     8  1983      975.620000
    26     8  1983      956.090000
    27     8  1983      939.910000
    28     8  1983      930.240000
    29     8  1983      917.390000
    30     8  1983      907.780000
    31     8  1983      901.400000
     1     9  1983      895.020000
     2     9  1983      891.840000
     3     9  1983      891.840000
     4     9  1983      891.840000
     5     9  1983      898.210000
     6     9  1983      901.400000
     7     9  1983      901.400000
     8     9  1983      901.400000
     9     9  1983      898.210000
    10     9  1983      895.020000
    11     9  1983      888.660000
    12     9  1983      885.490000
    13     9  1983      888.660000
    14     9  1983      885.490000
    15     9  1983      882.320000
    16     9  1983      875.980000
    17     9  1983      860.200000
    18     9  1983      841.380000
    19     9  1983      825.780000
    20     9  1983      819.570000
    21     9  1983      804.090000
    22     9  1983      797.930000
    23     9  1983      788.700000
    24     9  1983      779.510000
    25     9  1983      776.450000
    26     9  1983      773.400000
    27     9  1983      764.260000
    28     9  1983      755.150000
    29     9  1983      746.070000
    30     9  1983      740.030000
     1    10  1983      737.020000
     2    10  1983      728.010000
     3    10  1983      722.010000
     4    10  1983      719.020000
     5    10  1983      722.010000
     6    10  1983      731.010000
     7    10  1983      740.030000
     8    10  1983      743.050000
     9    10  1983      743.050000
    10    10  1983      737.020000
    11    10  1983      731.010000
    12    10  1983      725.010000
    13    10  1983      719.020000
    14    10  1983      716.040000
    15    10  1983      716.040000
    16    10  1983      719.020000
    17    10  1983      728.010000
    18    10  1983      740.030000
    19    10  1983      764.260000
    20    10  1983      782.570000
    21    10  1983      801.010000
    22    10  1983      816.470000
    23    10  1983      825.780000
    24    10  1983      822.680000
    25    10  1983      816.470000
    26    10  1983      807.180000
    27    10  1983      825.780000
    28    10  1983      822.680000
    29    10  1983      816.470000
    30    10  1983      822.680000
    31    10  1983      835.130000
     1    11  1983      838.250000
     2    11  1983      844.510000
     3    11  1983      857.060000
     4    11  1983      866.500000
     5    11  1983      872.820000
     6    11  1983      875.980000
     7    11  1983      869.660000
     8    11  1983      866.500000
     9    11  1983      866.500000
    10    11  1983      875.980000
    11    11  1983      891.840000
    12    11  1983      930.240000
    13    11  1983      982.150000
