FAZENDACAJUPIRANGA	-61.037	3.438
    30     8  1983     1018.170000
    31     8  1983     1012.180000
     1     9  1983      947.226000
     2     9  1983      867.052000
     3     9  1983      839.106000
     4     9  1983      674.097000
     5     9  1983      633.873000
     6     9  1983      599.490000
     7     9  1983      575.399000
     8     9  1983      551.704000
     9     9  1983      547.012000
    10     9  1983      542.337000
    11     9  1983      528.407000
    12     9  1983      523.795000
    13     9  1983      514.621000
    14     9  1983      496.466000
    15     9  1983      505.511000
    16     9  1983      500.981000
    17     9  1983      496.466000
    18     9  1983      491.968000
    19     9  1983      491.968000
    20     9  1983      465.324000
    21     9  1983      447.890000
    22     9  1983      439.273000
    23     9  1983      430.722000
    24     9  1983      430.722000
    25     9  1983      418.022000
    26     9  1983      413.823000
    27     9  1983      409.640000
    28     9  1983      409.640000
    29     9  1983      409.640000
    30     9  1983      405.474000
     1    10  1983      397.193000
     2    10  1983      380.836000
     3    10  1983      372.761000
     4    10  1983      368.749000
     5    10  1983      364.754000
     6    10  1983      364.754000
     7    10  1983      360.777000
     8    10  1983      360.777000
     9    10  1983      422.239000
    10    10  1983      393.078000
    11    10  1983      372.761000
    12    10  1983      348.950000
    13    10  1983      341.152000
    14    10  1983      341.152000
    15    10  1983      333.425000
    16    10  1983      333.425000
    17    10  1983      333.425000
    18    10  1983      325.769000
    19    10  1983      310.669000
    20    10  1983      303.226000
    21    10  1983      321.967000
    22    10  1983      318.183000
    23    10  1983      310.669000
    24    10  1983      281.332000
    25    10  1983      295.855000
    26    10  1983      288.557000
    27    10  1983      281.332000
    28    10  1983      281.332000
    29    10  1983      356.818000
    30    10  1983      393.078000
    31    10  1983      434.989000
     1    11  1983      430.722000
     2    11  1983      430.722000
     3    11  1983      413.823000
     4    11  1983      409.640000
     5    11  1983      413.823000
     6    11  1983      405.474000
     7    11  1983      401.325000
     8    11  1983      401.325000
     9    11  1983      393.078000
    10    11  1983      360.777000
    11    11  1983      337.280000
    12    11  1983      345.043000
    13    11  1983      434.989000
    14    11  1983      426.472000
    15    11  1983      397.193000
    16    11  1983      368.749000
    17    11  1983      368.749000
    18    11  1983      360.777000
    19    11  1983      360.777000
    20    11  1983      368.749000
