MANOELURBANO	-69.268	-8.884
    29     8  1983       56.230000
    30     8  1983       54.840000
    31     8  1983       57.640000
     1     9  1983       60.520000
     2     9  1983       62.000000
     3     9  1983       62.740000
     4     9  1983       64.250000
     5     9  1983       65.770000
     6     9  1983       65.770000
     7     9  1983       64.250000
     8     9  1983       62.740000
     9     9  1983       61.260000
    10     9  1983       62.000000
    11     9  1983       64.250000
    12     9  1983       63.490000
    13     9  1983       61.260000
    14     9  1983       59.790000
    15     9  1983       58.350000
    16     9  1983       59.070000
    17     9  1983       63.490000
    18     9  1983       70.480000
    19     9  1983       69.680000
    20     9  1983       65.010000
    21     9  1983       65.010000
    22     9  1983       70.480000
    23     9  1983       72.900000
    24     9  1983       62.000000
    25     9  1983       55.530000
    26     9  1983       51.450000
    27     9  1983       48.180000
    28     9  1983       48.830000
    29     9  1983       52.110000
    30     9  1983       53.460000
     1    10  1983       54.150000
     2    10  1983       52.110000
     3    10  1983       48.830000
     4    10  1983       48.830000
     5    10  1983       50.780000
     6    10  1983       52.110000
     7    10  1983       53.460000
     8    10  1983       55.530000
     9    10  1983       52.790000
    10    10  1983       50.780000
    11    10  1983       50.130000
    12    10  1983       56.230000
    13    10  1983       62.000000
    14    10  1983       64.250000
    15    10  1983       61.260000
    16    10  1983       61.260000
    17    10  1983       62.000000
    18    10  1983       63.490000
    19    10  1983       65.770000
    20    10  1983       68.100000
    21    10  1983       70.480000
    22    10  1983       72.090000
    23    10  1983       72.900000
    24    10  1983       78.750000
    25    10  1983       86.660000
    26    10  1983       89.400000
    27    10  1983       90.320000
    28    10  1983       93.130000
    29    10  1983       95.980000
    30    10  1983       95.980000
    31    10  1983       96.940000
     1    11  1983      100.850000
     2    11  1983      111.020000
     3    11  1983      112.070000
     4    11  1983      215.550000
     5    11  1983      371.240000
     6    11  1983      438.330000
     7    11  1983      344.180000
     8    11  1983      268.370000
     9    11  1983      254.520000
    10    11  1983      226.520000
    11    11  1983      234.560000
    12    11  1983      295.500000
    13    11  1983      350.320000
    14    11  1983      346.220000
    15    11  1983      308.690000
    16    11  1983      282.650000
    17    11  1983      270.130000
    18    11  1983      268.370000
    19    11  1983      259.670000
    20    11  1983      264.870000
    21    11  1983      277.240000
    22    11  1983      263.130000
    23    11  1983      301.110000
    24    11  1983      479.290000
    25    11  1983      711.020000
    26    11  1983      784.900000
    27    11  1983      671.160000
    28    11  1983      548.810000
    29    11  1983      525.020000
    30    11  1983      575.970000
     1    12  1983      595.450000
     2    12  1983      644.350000
     3    12  1983      818.360000
     4    12  1983      912.860000
     5    12  1983      968.000000
     6    12  1983     1076.070000
     7    12  1983     1112.240000
     8    12  1983     1112.240000
     9    12  1983     1169.910000
    10    12  1983     1195.150000
    11    12  1983     1048.420000
