THAUMATURGO	-72.795	-8.946
     1     9  1983       36.490000
     2     9  1983       35.880000
     3     9  1983       34.680000
     4     9  1983       33.500000
     5     9  1983       43.410000
     6     9  1983       55.790000
     7     9  1983       39.570000
     8     9  1983       30.620000
     9     9  1983       32.920000
    10     9  1983       35.280000
    11     9  1983       35.880000
    12     9  1983       35.880000
    13     9  1983       37.090000
    14     9  1983       38.320000
    15     9  1983       40.200000
    16     9  1983       42.110000
    17     9  1983       43.410000
    18     9  1983       38.320000
    19     9  1983       41.470000
    20     9  1983       38.950000
    21     9  1983       36.490000
    22     9  1983       40.840000
    23     9  1983       42.110000
    24     9  1983       38.950000
    25     9  1983       40.200000
    26     9  1983       40.840000
    27     9  1983       40.840000
    28     9  1983       41.470000
    29     9  1983       42.760000
    30     9  1983       43.410000
     1    10  1983       44.060000
     2    10  1983       44.060000
     3    10  1983       44.060000
     4    10  1983       43.410000
     5    10  1983       42.760000
     6    10  1983       39.570000
     7    10  1983       38.950000
     8    10  1983       35.880000
     9    10  1983       37.090000
    10    10  1983       36.490000
    11    10  1983       36.490000
    12    10  1983       32.920000
    13    10  1983       32.340000
    14    10  1983       34.090000
    15    10  1983       32.340000
    16    10  1983       31.760000
    17    10  1983       31.190000
    18    10  1983       34.090000
    19    10  1983       32.920000
    20    10  1983       31.760000
    21    10  1983       34.680000
    22    10  1983       52.220000
    23    10  1983       46.050000
    24    10  1983       40.840000
    25    10  1983       33.500000
    26    10  1983       34.680000
    27    10  1983       32.340000
    28    10  1983       31.760000
    29    10  1983       35.280000
    30    10  1983       35.880000
    31    10  1983       42.110000
     1    11  1983      201.240000
     2    11  1983      624.650000
     3    11  1983      742.260000
     4    11  1983      687.060000
     5    11  1983      412.780000
     6    11  1983      238.820000
     7    11  1983      187.960000
     8    11  1983      151.480000
     9    11  1983      321.470000
    10    11  1983      403.390000
    11    11  1983      377.600000
    12    11  1983      281.990000
    13    11  1983      177.370000
    14    11  1983      117.310000
    15    11  1983      584.490000
    16    11  1983      575.730000
    17    11  1983      573.540000
    18    11  1983      316.410000
    19    11  1983      216.150000
    20    11  1983      177.370000
    21    11  1983      150.390000
    22    11  1983      142.870000
    23    11  1983      135.500000
    24    11  1983      294.900000
    25    11  1983      530.670000
    26    11  1983      445.420000
    27    11  1983      277.220000
    28    11  1983      234.380000
    29    11  1983      497.420000
    30    11  1983      447.370000
     1    12  1983      449.330000
     2    12  1983      459.170000
     3    12  1983      582.290000
     4    12  1983      665.960000
     5    12  1983      507.710000
     6    12  1983      388.560000
     7    12  1983      375.780000
     8    12  1983      786.760000
     9    12  1983     1109.060000
    10    12  1983      732.530000
    11    12  1983      410.900000
    12    12  1983      303.100000
    13    12  1983      191.540000
    14    12  1983      173.900000
    15    12  1983      234.380000
    16    12  1983      191.540000
    17    12  1983      164.780000
    18    12  1983      162.530000
    19    12  1983      388.560000
    20    12  1983      665.960000
    21    12  1983      483.170000
    22    12  1983      370.370000
    23    12  1983      349.040000
    24    12  1983      359.630000
    25    12  1983      354.320000
    26    12  1983      357.860000
    27    12  1983      274.050000
    28    12  1983      368.570000
    29    12  1983      455.220000
    30    12  1983      321.470000
    31    12  1983      198.800000
     1     1  1984      135.500000
     2     1  1984      127.290000
     3     1  1984      319.780000
     4     1  1984      477.120000
     5     1  1984      547.640000
     6     1  1984      902.950000
     7     1  1984     1394.020000
     8     1  1984     1767.300000
     9     1  1984     1785.190000
    10     1  1984     1934.790000
    11     1  1984      967.760000
    12     1  1984      606.650000
    13     1  1984     1390.810000
    14     1  1984     1875.780000
    15     1  1984     1515.250000
    16     1  1984     1028.900000
    17     1  1984     1403.680000
    18     1  1984     1249.510000
    19     1  1984      897.640000
    20     1  1984      668.290000
    21     1  1984      665.960000
    22     1  1984     1074.390000
    23     1  1984     1034.540000
    24     1  1984      706.050000
    25     1  1984      489.260000
    26     1  1984      556.220000
    27     1  1984      513.930000
    28     1  1984      461.150000
    29     1  1984      631.450000
    30     1  1984     1243.390000
    31     1  1984     1861.160000
     1     2  1984     1861.160000
     2     2  1984     1735.310000
     3     2  1984     1528.620000
     4     2  1984     1252.580000
     5     2  1984     1040.190000
     6     2  1984      850.450000
     7     2  1984      819.610000
     8     2  1984     1065.790000
     9     2  1984     1410.140000
    10     2  1984     1156.050000
    11     2  1984      879.150000
    12     2  1984      764.370000
    13     2  1984      622.380000
    14     2  1984      513.930000
    15     2  1984      509.780000
    16     2  1984      742.260000
    17     2  1984      814.520000
    18     2  1984     1051.530000
    19     2  1984     1219.020000
