SANTOSDUMONT	-68.246	-6.440
    18     7  1983      906.980000
    19     7  1983      888.530000
    20     7  1983      865.030000
    21     7  1983      849.510000
    22     7  1983      836.660000
    23     7  1983      828.990000
    24     7  1983      818.810000
    25     7  1983      811.210000
    26     7  1983      803.630000
    27     7  1983      793.580000
    28     7  1983      773.630000
    29     7  1983      753.890000
    30     7  1983      744.100000
    31     7  1983      731.930000
     1     8  1983      717.440000
     2     8  1983      710.240000
     3     8  1983      698.310000
     4     8  1983      688.820000
     5     8  1983      679.380000
     6     8  1983      670.000000
     7     8  1983      663.000000
     8     8  1983      656.030000
     9     8  1983      651.400000
    10     8  1983      642.180000
    11     8  1983      630.730000
    12     8  1983      621.630000
    13     8  1983      605.830000
    14     8  1983      590.210000
    15     8  1983      574.750000
    16     8  1983      563.810000
    17     8  1983      550.790000
    18     8  1983      544.330000
    19     8  1983      537.900000
    20     8  1983      533.640000
    21     8  1983      527.260000
    22     8  1983      516.700000
    23     8  1983      508.320000
    24     8  1983      504.150000
    25     8  1983      499.990000
    26     8  1983      495.850000
    27     8  1983      487.610000
    28     8  1983      483.510000
    29     8  1983      479.420000
    30     8  1983      475.350000
    31     8  1983      473.320000
     1     9  1983      469.270000
     2     9  1983      469.270000
     3     9  1983      477.380000
     4     9  1983      481.460000
     5     9  1983      489.660000
     6     9  1983      499.990000
     7     9  1983      510.410000
     8     9  1983      523.030000
     9     9  1983      533.640000
    10     9  1983      540.040000
    11     9  1983      540.040000
    12     9  1983      548.640000
    13     9  1983      555.120000
    14     9  1983      576.940000
    15     9  1983      581.350000
    16     9  1983      583.560000
    17     9  1983      572.550000
    18     9  1983      559.460000
    19     9  1983      542.190000
    20     9  1983      529.380000
    21     9  1983      518.810000
    22     9  1983      512.500000
    23     9  1983      508.320000
    24     9  1983      504.150000
    25     9  1983      495.850000
    26     9  1983      483.510000
    27     9  1983      475.350000
    28     9  1983      471.290000
    29     9  1983      469.270000
    30     9  1983      469.270000
     1    10  1983      463.220000
     2    10  1983      455.200000
     3    10  1983      451.220000
     4    10  1983      449.230000
     5    10  1983      453.210000
     6    10  1983      457.200000
     7    10  1983      457.200000
     8    10  1983      463.220000
     9    10  1983      469.270000
    10    10  1983      475.350000
    11    10  1983      485.550000
    12    10  1983      485.550000
    13    10  1983      495.850000
    14    10  1983      506.230000
    15    10  1983      520.910000
    16    10  1983      533.640000
    17    10  1983      542.190000
    18    10  1983      552.950000
    19    10  1983      570.360000
    20    10  1983      587.990000
    21    10  1983      596.880000
    22    10  1983      617.100000
    23    10  1983      619.360000
    24    10  1983      635.300000
    25    10  1983      646.780000
    26    10  1983      653.710000
    27    10  1983      679.380000
    28    10  1983      703.070000
    29    10  1983      712.640000
    30    10  1983      695.930000
    31    10  1983      677.030000
     1    11  1983      653.710000
     2    11  1983      628.450000
     3    11  1983      619.360000
     4    11  1983      633.010000
     5    11  1983      663.000000
     6    11  1983      731.930000
     7    11  1983      783.580000
     8    11  1983      896.420000
     9    11  1983     1146.190000
    10    11  1983     1458.920000
    11    11  1983     1704.780000
    12    11  1983     1861.870000
    13    11  1983     1926.290000
    14    11  1983     1951.580000
    15    11  1983     1962.460000
    16    11  1983     2031.940000
    17    11  1983     2117.380000
    18    11  1983     2181.450000
    19    11  1983     2166.300000
    20    11  1983     2113.630000
    21    11  1983     2076.340000
    22    11  1983     2035.630000
    23    11  1983     2020.910000
    24    11  1983     2013.560000
    25    11  1983     1998.910000
    26    11  1983     1969.730000
    27    11  1983     1944.340000
    28    11  1983     1901.130000
    29    11  1983     1861.870000
    30    11  1983     1833.530000
     1    12  1983     1833.530000
     2    12  1983     1872.540000
     3    12  1983     1944.340000
     4    12  1983     2002.570000
     5    12  1983     2109.890000
     6    12  1983     2234.800000
     7    12  1983     2362.630000
     8    12  1983     2481.350000
     9    12  1983     2590.230000
    10    12  1983     2688.610000
    11    12  1983     2755.030000
    12    12  1983     2788.490000
    13    12  1983     2864.370000
    14    12  1983     2923.970000
    15    12  1983     3022.970000
    16    12  1983     3088.260000
    17    12  1983     3145.300000
    18    12  1983     3207.210000
    19    12  1983     3278.570000
    20    12  1983     3318.990000
    21    12  1983     3373.200000
    22    12  1983     3473.510000
    23    12  1983     3561.120000
    24    12  1983     3644.930000
    25    12  1983     3724.820000
    26    12  1983     3786.380000
    27    12  1983     3814.940000
    28    12  1983     3840.900000
    29    12  1983     3821.410000
    30    12  1983     3805.410000
    31    12  1983     3776.890000
     1     1  1984     3748.450000
     2     1  1984     3791.140000
     3     1  1984     3810.180000
     4     1  1984     3814.940000
     5     1  1984     3840.900000
     6     1  1984     3880.070000
     7     1  1984     3946.010000
     8     1  1984     3992.640000
     9     1  1984     4080.290000
    10     1  1984     4176.230000
    11     1  1984     4217.840000
    12     1  1984     4301.950000
    13     1  1984     4380.120000
    14     1  1984     4415.980000
    15     1  1984     4437.600000
    16     1  1984     4459.300000
    17     1  1984     4539.510000
    18     1  1984     4591.090000
    19     1  1984     4658.020000
    20     1  1984     4748.360000
    21     1  1984     4878.490000
    22     1  1984     5066.560000
    23     1  1984     5194.810000
    24     1  1984     5276.150000
    25     1  1984     5333.620000
    26     1  1984     5374.950000
    27     1  1984     5391.550000
    28     1  1984     5416.510000
    29     1  1984     5441.560000
    30     1  1984     5449.930000
    31     1  1984     5458.300000
     1     2  1984     5458.300000
     2     2  1984     5458.300000
     3     2  1984     5483.490000
     4     2  1984     5525.650000
     5     2  1984     5525.650000
     6     2  1984     5525.650000
     7     2  1984     5568.050000
     8     2  1984     5662.150000
     9     2  1984     5748.680000
    10     2  1984     5801.060000
    11     2  1984     5853.780000
    12     2  1984     5915.720000
    13     2  1984     5960.250000
    14     2  1984     6014.010000
    15     2  1984     6068.110000
    16     2  1984     6140.800000
    17     2  1984     6214.110000
    18     2  1984     6288.050000
    19     2  1984     6381.360000
    20     2  1984     6504.150000
    21     2  1984     6609.380000
    22     2  1984     6696.380000
