ASSISBRASIL	-69.550	-10.933
     2     9  1983        2.770000
     3     9  1983        2.770000
     4     9  1983        2.770000
     5     9  1983        2.630000
     6     9  1983        2.490000
     7     9  1983        2.220000
     8     9  1983        2.630000
     9     9  1983        2.770000
    10     9  1983        3.390000
    11     9  1983        3.390000
    12     9  1983        2.920000
    13     9  1983        2.490000
    14     9  1983        2.490000
    15     9  1983        2.220000
    16     9  1983        1.970000
    17     9  1983        1.970000
    18     9  1983        1.850000
    19     9  1983        1.730000
    20     9  1983        1.730000
    21     9  1983        1.510000
    22     9  1983        1.510000
    23     9  1983        1.730000
    24     9  1983        1.730000
    25     9  1983        1.510000
    26     9  1983        1.620000
    27     9  1983        1.850000
    28     9  1983        1.970000
    29     9  1983        1.850000
    30     9  1983        1.730000
     1    10  1983        1.730000
     2    10  1983        1.730000
     3    10  1983        1.730000
     4    10  1983        1.730000
     5    10  1983        1.730000
     6    10  1983        1.730000
     7    10  1983        1.970000
     8    10  1983        1.850000
     9    10  1983        1.730000
    10    10  1983        1.730000
    11    10  1983        1.510000
    12    10  1983        1.620000
    13    10  1983        1.730000
    14    10  1983        1.730000
    15    10  1983        2.350000
    16    10  1983        2.350000
    17    10  1983        1.970000
    18    10  1983        1.970000
    19    10  1983        1.850000
    20    10  1983        1.730000
    21    10  1983        1.730000
    22    10  1983        1.510000
    23    10  1983        1.620000
    24    10  1983        2.350000
    25    10  1983        1.970000
    26    10  1983        1.730000
    27    10  1983        1.730000
    28    10  1983        1.510000
    29    10  1983        1.410000
    30    10  1983        1.730000
    31    10  1983        1.620000
     1    11  1983        2.100000
     2    11  1983        8.910000
     3    11  1983        3.720000
     4    11  1983        4.240000
     5    11  1983        5.000000
     6    11  1983        4.240000
     7    11  1983        5.400000
     8    11  1983       10.850000
     9    11  1983       23.990000
    10    11  1983        9.720000
    11    11  1983        7.400000
    12    11  1983        5.400000
    13    11  1983        5.400000
    14    11  1983       85.070000
    15    11  1983      205.550000
    16    11  1983       46.620000
    17    11  1983       24.870000
    18    11  1983       13.650000
    19    11  1983        8.910000
    20    11  1983        8.390000
    21    11  1983       14.310000
