MANICORÉ	-61.302	-5.817
    18     7  1983    23317.500000
    19     7  1983    23444.000000
    20     7  1983    23507.300000
    21     7  1983    23602.500000
    22     7  1983    23761.700000
    23     7  1983    23921.500000
    24     7  1983    24081.900000
    25     7  1983    24242.900000
    26     7  1983    24242.900000
    27     7  1983    23953.500000
    28     7  1983    23349.100000
    29     7  1983    22784.700000
    30     7  1983    22320.400000
    31     7  1983    21770.400000
     1     8  1983    21168.500000
     2     8  1983    20693.900000
     3     8  1983    20196.500000
     4     8  1983    19705.900000
     5     8  1983    19165.800000
     6     8  1983    18773.300000
     7     8  1983    18275.500000
     8     8  1983    17920.800000
     9     8  1983    17596.800000
    10     8  1983    17196.600000
    11     8  1983    16775.600000
    12     8  1983    16360.500000
    13     8  1983    16002.200000
    14     8  1983    15648.400000
    15     8  1983    15101.600000
    16     8  1983    14686.700000
    17     8  1983    14302.200000
    18     8  1983    13876.700000
    19     8  1983    13573.900000
    20     8  1983    13229.300000
    21     8  1983    12934.700000
    22     8  1983    12555.200000
    23     8  1983    12269.400000
    24     8  1983    12008.900000
    25     8  1983    11794.200000
    26     8  1983    11666.500000
    27     8  1983    11539.600000
    28     8  1983    11392.500000
    29     8  1983    11246.500000
    30     8  1983    11081.000000
    31     8  1983    10937.300000
     1     9  1983    10713.600000
     2     9  1983    10452.700000
     3     9  1983    10195.500000
     4     9  1983     9980.760000
     5     9  1983     9749.440000
     6     9  1983     9596.950000
     7     9  1983     9464.650000
     8     9  1983     9277.480000
     9     9  1983     9129.280000
    10     9  1983     8964.180000
    11     9  1983     8782.760000
    12     9  1983     8639.160000
    13     9  1983     8514.620000
    14     9  1983     8408.690000
    15     9  1983     8320.990000
    16     9  1983     8320.990000
    17     9  1983     8479.220000
    18     9  1983     8639.160000
    19     9  1983     8836.970000
    20     9  1983     9019.020000
    21     9  1983     9258.880000
    22     9  1983     9445.840000
    23     9  1983     9389.530000
    24     9  1983     9203.210000
    25     9  1983     8982.440000
    26     9  1983     8800.810000
    27     9  1983     8585.660000
    28     9  1983     8356.010000
    29     9  1983     8164.470000
    30     9  1983     8009.650000
     1    10  1983     7856.520000
     2    10  1983     7755.380000
     3    10  1983     7671.660000
     4    10  1983     7621.680000
     5    10  1983     7571.890000
     6    10  1983     7522.290000
     7    10  1983     7489.320000
     8    10  1983     7440.030000
     9    10  1983     7374.590000
    10    10  1983     7293.260000
    11    10  1983     7180.270000
    12    10  1983     7116.150000
    13    10  1983     7052.370000
    14    10  1983     7020.600000
    15    10  1983     6988.910000
    16    10  1983     6973.100000
    17    10  1983     6973.100000
    18    10  1983     6973.100000
    19    10  1983     7004.750000
    20    10  1983     7036.470000
    21    10  1983     7068.280000
    22    10  1983     7100.180000
    23    10  1983     7132.150000
    24    10  1983     7164.210000
    25    10  1983     7196.350000
    26    10  1983     7244.710000
    27    10  1983     7309.490000
    28    10  1983     7374.590000
    29    10  1983     7456.440000
    30    10  1983     7538.800000
    31    10  1983     7621.680000
     1    11  1983     7755.380000
     2    11  1983     7958.420000
     3    11  1983     8129.920000
     4    11  1983     8373.550000
     5    11  1983     8674.930000
     6    11  1983     8927.730000
     7    11  1983     9074.050000
     8    11  1983     9055.690000
     9    11  1983     8855.080000
    10    11  1983     8550.090000
    11    11  1983     8320.990000
    12    11  1983     8286.060000
    13    11  1983     8391.110000
    14    11  1983     8567.860000
    15    11  1983     8746.740000
    16    11  1983     8927.730000
    17    11  1983     9147.730000
    18    11  1983     9427.050000
    19    11  1983     9711.190000
    20    11  1983     9980.760000
    21    11  1983    10215.200000
