CRUZEIRODOSUL	-72.681	-7.611
    23     8  1983       79.240000
    24     8  1983       75.950000
    25     8  1983       72.720000
    26     8  1983       70.340000
    27     8  1983       69.560000
    28     8  1983       70.340000
    29     8  1983       71.920000
    30     8  1983       72.720000
    31     8  1983       72.720000
     1     9  1983       74.330000
     2     9  1983       78.410000
     3     9  1983       86.000000
     4     9  1983       94.800000
     5     9  1983      104.900000
     6     9  1983      122.390000
     7     9  1983      137.870000
     8     9  1983      130.540000
     9     9  1983      120.390000
    10     9  1983      113.500000
    11     9  1983      111.560000
    12     9  1983      110.600000
    13     9  1983      113.500000
    14     9  1983      113.500000
    15     9  1983      107.730000
    16     9  1983       94.800000
    17     9  1983       88.600000
    18     9  1983       86.000000
    19     9  1983       86.000000
    20     9  1983       89.480000
    21     9  1983       91.240000
    22     9  1983       92.120000
    23     9  1983       92.120000
    24     9  1983       93.900000
    25     9  1983       91.240000
    26     9  1983       93.010000
    27     9  1983       97.510000
    28     9  1983       92.120000
    29     9  1983       87.730000
    30     9  1983       84.290000
     1    10  1983       85.150000
     2    10  1983       88.600000
     3    10  1983       92.120000
     4    10  1983       93.900000
     5    10  1983       94.800000
     6    10  1983       96.600000
     7    10  1983      100.250000
     8    10  1983      110.600000
     9    10  1983      111.560000
    10    10  1983      106.790000
    11    10  1983      103.960000
    12    10  1983      100.250000
    13    10  1983       95.700000
    14    10  1983       97.510000
    15    10  1983      101.170000
    16    10  1983      103.960000
    17    10  1983      105.840000
    18    10  1983      108.690000
    19    10  1983      105.840000
    20    10  1983      110.600000
    21    10  1983      115.450000
    22    10  1983      117.420000
    23    10  1983      120.390000
    24    10  1983      128.480000
    25    10  1983      132.620000
    26    10  1983      132.620000
    27    10  1983      127.460000
    28    10  1983      122.390000
    29    10  1983      118.400000
    30    10  1983      124.410000
    31    10  1983      134.710000
     1    11  1983      144.280000
     2    11  1983      172.370000
     3    11  1983      306.000000
     4    11  1983      490.290000
     5    11  1983      885.030000
     6    11  1983     1033.610000
     7    11  1983     1106.380000
     8    11  1983      892.210000
     9    11  1983      796.190000
    10    11  1983      715.860000
    11    11  1983      679.230000
    12    11  1983      709.330000
    13    11  1983      664.390000
    14    11  1983      594.380000
    15    11  1983      503.280000
    16    11  1983      434.530000
    17    11  1983      490.290000
    18    11  1983      653.880000
    19    11  1983      711.500000
    20    11  1983      658.080000
    21    11  1983      580.390000
    22    11  1983      501.420000
    23    11  1983      445.090000
    24    11  1983      388.390000
    25    11  1983      395.080000
    26    11  1983      445.090000
    27    11  1983      516.430000
    28    11  1983      610.550000
    29    11  1983      610.550000
    30    11  1983      651.790000
     1    12  1983      715.860000
     2    12  1983      764.500000
     3    12  1983      755.560000
     4    12  1983      733.380000
     5    12  1983      751.100000
     6    12  1983      885.030000
     7    12  1983      887.420000
     8    12  1983      809.940000
     9    12  1983      861.250000
    10    12  1983     1085.370000
    11    12  1983     1255.610000
    12    12  1983     1617.130000
    13    12  1983     1610.980000
    14    12  1983     1392.570000
    15    12  1983     1005.610000
    16    12  1983      742.220000
    17    12  1983      588.370000
    18    12  1983      578.410000
    19    12  1983      568.520000
    20    12  1983      556.760000
    21    12  1983      586.370000
    22    12  1983      782.540000
    23    12  1983      873.100000
    24    12  1983      849.470000
    25    12  1983      823.800000
    26    12  1983      784.810000
    27    12  1983      789.350000
    28    12  1983      835.420000
    29    12  1983      906.670000
    30    12  1983      906.670000
    31    12  1983      842.430000
     1     1  1984      746.650000
     2     1  1984      670.730000
     3     1  1984      590.370000
     4     1  1984      524.010000
     5     1  1984      457.550000
     6     1  1984      635.150000
     7     1  1984      800.760000
     8     1  1984      985.460000
     9     1  1984     1095.850000
    10     1  1984     1541.530000
    11     1  1984     1654.350000
    12     1  1984     1679.510000
    13     1  1984     1651.230000
    14     1  1984     1547.480000
    15     1  1984     1586.570000
    16     1  1984     1676.350000
    17     1  1984     1763.210000
    18     1  1984     1806.170000
    19     1  1984     1839.730000
    20     1  1984     1873.740000
    21     1  1984     1887.470000
    22     1  1984     1839.730000
    23     1  1984     1809.500000
    24     1  1984     1832.980000
    25     1  1984     1904.740000
    26     1  1984     1836.350000
    27     1  1984     1720.990000
    28     1  1984     1580.510000
    29     1  1984     1482.930000
    30     1  1984     1471.410000
    31     1  1984     1583.540000
     1     2  1984     1695.380000
     2     2  1984     1894.370000
     3     2  1984     2021.590000
     4     2  1984     2124.750000
     5     2  1984     2204.580000
     6     2  1984     2282.040000
     7     2  1984     2383.640000
     8     2  1984     2438.160000
     9     2  1984     2499.340000
    10     2  1984     2561.140000
    11     2  1984     2604.770000
    12     2  1984     2692.940000
    13     2  1984     2750.250000
    14     2  1984     2782.310000
    15     2  1984     2667.620000
    16     2  1984     2561.140000
    17     2  1984     2517.810000
    18     2  1984     2511.650000
    19     2  1984     2493.190000
    20     2  1984     2487.050000
    21     2  1984     2462.560000
    22     2  1984     2462.560000
    23     2  1984     2480.920000
    24     2  1984     2487.050000
    25     2  1984     2474.790000
    26     2  1984     2450.350000
    27     2  1984     2383.640000
    28     2  1984     2208.440000
    29     2  1984     2025.210000
     1     3  1984     1915.150000
     2     3  1984     1782.940000
     3     3  1984     1676.350000
     4     3  1984     1607.920000
     5     3  1984     1620.210000
     6     3  1984     1657.480000
     7     3  1984     1654.350000
     8     3  1984     1663.760000
     9     3  1984     1746.880000
    10     3  1984     1812.840000
    11     3  1984     1856.680000
    12     3  1984     1908.210000
    13     3  1984     1992.800000
    14     3  1984     2058.010000
    15     3  1984     2102.330000
    16     3  1984     2132.260000
    17     3  1984     2080.080000
    18     3  1984     1911.680000
    19     3  1984     1708.150000
    20     3  1984     1695.380000
    21     3  1984     1836.350000
    22     3  1984     1901.280000
    23     3  1984     1929.100000
    24     3  1984     1922.120000
    25     3  1984     1884.030000
    26     3  1984     1819.540000
    27     3  1984     1740.380000
    28     3  1984     1620.210000
    29     3  1984     1538.560000
    30     3  1984     1500.340000
    31     3  1984     1517.890000
     1     4  1984     1532.640000
     2     4  1984     1571.460000
     3     4  1984     1607.920000
     4     4  1984     1607.920000
     5     4  1984     1568.440000
     6     4  1984     1617.130000
     7     4  1984     1692.200000
     8     4  1984     1786.250000
     9     4  1984     1880.600000
    10     4  1984     1957.230000
    11     4  1984     2021.590000
    12     4  1984     2087.480000
    13     4  1984     2177.730000
    14     4  1984     2270.210000
    15     4  1984     2456.450000
    16     4  1984     2629.840000
    17     4  1984     2737.470000
    18     4  1984     2673.940000
    19     4  1984     2474.790000
    20     4  1984     2028.840000
    21     4  1984     2087.480000
    22     4  1984     1908.210000
    23     4  1984     1692.200000
    24     4  1984     1583.540000
    25     4  1984     1577.490000
    26     4  1984     1614.050000
    27     4  1984     1714.560000
    28     4  1984     1779.640000
    29     4  1984     1812.840000
    30     4  1984     1766.480000
     1     5  1984     1651.230000
     2     5  1984     1583.540000
     3     5  1984     1529.680000
     4     5  1984     1497.430000
     5     5  1984     1436.640000
     6     5  1984     1309.080000
     7     5  1984     1148.940000
     8     5  1984     1069.720000
     9     5  1984      998.040000
    10     5  1984      926.100000
    11     5  1984      877.860000
    12     5  1984      870.730000
    13     5  1984      918.790000
    14     5  1984      963.010000
    15     5  1984      977.950000
    16     5  1984     1008.140000
    17     5  1984      970.470000
    18     5  1984      933.430000
    19     5  1984      854.170000
    20     5  1984      773.500000
    21     5  1984      711.500000
    22     5  1984      670.730000
    23     5  1984      664.390000
    24     5  1984      664.390000
    25     5  1984      672.850000
    26     5  1984      653.880000
    27     5  1984      614.620000
    28     5  1984      570.490000
    29     5  1984      525.910000
    30     5  1984      492.130000
    31     5  1984      464.740000
     1     6  1984      455.760000
     2     6  1984      486.600000
     3     6  1984      524.010000
     4     6  1984      510.780000
     5     6  1984      470.160000
     6     6  1984      431.030000
     7     6  1984      412.030000
     8     6  1984      408.610000
     9     6  1984      422.350000
    10     6  1984      438.040000
    11     6  1984      462.940000
    12     6  1984      479.260000
    13     6  1984      486.600000
    14     6  1984      486.600000
    15     6  1984      475.610000
    16     6  1984      450.410000
    17     6  1984      425.810000
    18     6  1984      431.030000
    19     6  1984      441.560000
    20     6  1984      453.980000
    21     6  1984      464.740000
    22     6  1984      438.040000
    23     6  1984      413.740000
    24     6  1984      412.030000
    25     6  1984      427.550000
    26     6  1984      450.410000
    27     6  1984      481.090000
    28     6  1984      482.930000
    29     6  1984      455.760000
    30     6  1984      468.350000
     1     7  1984      488.440000
     2     7  1984      495.840000
     3     7  1984      484.760000
     4     7  1984      431.030000
     5     7  1984      375.150000
     6     7  1984      315.060000
     7     7  1984      273.750000
     8     7  1984      256.830000
     9     7  1984      243.090000
    10     7  1984      243.090000
    11     7  1984      254.060000
    12     7  1984      265.230000
    13     7  1984      268.060000
    14     7  1984      249.920000
    15     7  1984      237.690000
    16     7  1984      229.690000
    17     7  1984      224.420000
    18     7  1984      214.040000
    19     7  1984      210.210000
    20     7  1984      203.880000
    21     7  1984      202.630000
    22     7  1984      201.380000
    23     7  1984      198.880000
    24     7  1984      196.410000
    25     7  1984      193.940000
    26     7  1984      181.820000
    27     7  1984      170.040000
    28     7  1984      156.370000
    29     7  1984      145.360000
    30     7  1984      138.930000
    31     7  1984      132.620000
     1     8  1984      126.440000
     2     8  1984      122.390000
     3     8  1984      119.400000
     4     8  1984      116.430000
     5     8  1984      114.470000
     6     8  1984      114.470000
     7     8  1984      112.530000
     8     8  1984      111.560000
     9     8  1984      109.640000
    10     8  1984      113.500000
    11     8  1984      115.450000
    12     8  1984      118.400000
    13     8  1984      116.430000
    14     8  1984      114.470000
    15     8  1984      112.530000
    16     8  1984      112.530000
    17     8  1984      113.500000
    18     8  1984      115.450000
    19     8  1984      121.390000
    20     8  1984      136.810000
    21     8  1984      154.140000
    22     8  1984      154.140000
    23     8  1984      138.930000
    24     8  1984      126.440000
    25     8  1984      132.620000
    26     8  1984      138.930000
    27     8  1984      143.200000
    28     8  1984      151.920000
    29     8  1984      158.610000
    30     8  1984      171.200000
    31     8  1984      171.200000
     1     9  1984      167.730000
     2     9  1984      162.010000
     3     9  1984      147.530000
     4     9  1984      133.660000
     5     9  1984      118.400000
     6     9  1984      103.030000
     7     9  1984       97.510000
     8     9  1984       95.700000
     9     9  1984       93.900000
    10     9  1984       93.010000
    11     9  1984       93.010000
    12     9  1984       97.510000
    13     9  1984      103.030000
    14     9  1984      109.640000
    15     9  1984      106.790000
    16     9  1984      102.100000
    17     9  1984       98.420000
    18     9  1984       96.600000
    19     9  1984       99.330000
    20     9  1984      104.900000
    21     9  1984      108.690000
    22     9  1984      101.170000
    23     9  1984       97.510000
    24     9  1984       92.120000
    25     9  1984       88.600000
    26     9  1984       88.600000
    27     9  1984       90.350000
    28     9  1984       93.010000
    29     9  1984       95.700000
    30     9  1984       96.600000
     1    10  1984       94.800000
     2    10  1984       92.120000
     3    10  1984       90.350000
     4    10  1984       92.120000
     5    10  1984       93.900000
     6    10  1984       95.700000
     7    10  1984      100.250000
     8    10  1984      104.900000
     9    10  1984      103.030000
    10    10  1984       99.330000
    11    10  1984       95.700000
    12    10  1984       97.510000
    13    10  1984      108.690000
    14    10  1984      130.540000
    15    10  1984      157.490000
    16    10  1984      180.630000
    17    10  1984      192.710000
    18    10  1984      214.040000
    19    10  1984      319.640000
    20    10  1984      346.120000
    21    10  1984      303.000000
    22    10  1984      279.500000
    23    10  1984      288.210000
    24    10  1984      309.000000
    25    10  1984      318.110000
    26    10  1984      330.430000
    27    10  1984      346.120000
    28    10  1984      368.610000
    29    10  1984      405.210000
    30    10  1984      453.980000
    31    10  1984      486.600000
     1    11  1984      479.260000
     2    11  1984      482.930000
     3    11  1984      582.380000
     4    11  1984      724.600000
     5    11  1984      833.090000
     6    11  1984      771.250000
     7    11  1984      694.210000
     8    11  1984      588.370000
     9    11  1984      740.010000
    10    11  1984      791.630000
    11    11  1984      828.440000
    12    11  1984      851.820000
    13    11  1984      938.330000
    14    11  1984     1090.600000
    15    11  1984     1208.600000
    16    11  1984     1261.190000
    17    11  1984     1320.460000
    18    11  1984     1375.110000
    19    11  1984     1326.170000
    20    11  1984     1236.160000
    21    11  1984     1203.130000
    22    11  1984     1148.940000
    23    11  1984     1093.230000
    24    11  1984     1041.300000
    25    11  1984     1013.210000
