FÉEESPERANÇA	-61.441	2.871
     2     9  1983      173.299000
     3     9  1983      145.534000
     4     9  1983      147.641000
     5     9  1983      143.433000
     6     9  1983      135.078000
     7     9  1983      130.933000
     8     9  1983      135.078000
     9     9  1983      156.117000
    10     9  1983      145.534000
    11     9  1983      139.245000
    12     9  1983      135.078000
    13     9  1983      133.003000
    14     9  1983      182.000000
    15     9  1983      201.829000
    16     9  1983      186.377000
    17     9  1983      164.671000
    18     9  1983      151.869000
    19     9  1983      145.534000
    20     9  1983      133.003000
    21     9  1983      122.707000
    22     9  1983      114.396000
    23     9  1983      111.188000
    24     9  1983      112.786000
    25     9  1983      139.245000
    26     9  1983      147.641000
    27     9  1983      135.078000
    28     9  1983      128.868000
    29     9  1983      120.938000
    30     9  1983      111.188000
     1    10  1983      106.455000
     2    10  1983      103.353000
     3    10  1983       98.779800
     4    10  1983       97.276800
     5    10  1983      100.294000
     6    10  1983      120.938000
     7    10  1983      139.245000
     8    10  1983      126.809000
     9    10  1983      112.786000
    10    10  1983      116.015000
    11    10  1983       95.784400
    12    10  1983       91.371400
    13    10  1983       89.921800
    14    10  1983       88.483000
    15    10  1983       87.055000
    16    10  1983       84.231200
    17    10  1983       81.450600
    18    10  1983       80.076600
    19    10  1983       78.713300
    20    10  1983       77.361000
    21    10  1983       77.361000
    22    10  1983       74.688800
    23    10  1983       73.369100
    24    10  1983       72.060200
    25    10  1983       77.361000
    26    10  1983       84.231200
    27    10  1983       88.483000
    28    10  1983       94.302700
    29    10  1983       95.784400
    30    10  1983      106.455000
    31    10  1983      133.003000
     1    11  1983      117.646000
     2    11  1983      112.786000
     3    11  1983      120.938000
     4    11  1983      135.078000
     5    11  1983      128.868000
     6    11  1983      116.015000
     7    11  1983      106.455000
     8    11  1983       98.779800
     9    11  1983       97.276800
    10    11  1983       92.831700
    11    11  1983       87.055000
    12    11  1983       84.231200
    13    11  1983       81.450600
    14    11  1983       84.231200
    15    11  1983       89.921800
    16    11  1983       87.055000
    17    11  1983       81.450600
    18    11  1983       80.076600
    19    11  1983       78.713300
    20    11  1983       78.713300
    21    11  1983       94.302700
    22    11  1983       88.483000
    23    11  1983       85.637700
    24    11  1983       80.076600
    25    11  1983       73.369100
    26    11  1983       68.199300
    27    11  1983       64.437100
    28    11  1983       60.773900
    29    11  1983       59.574900
    30    11  1983       58.387100
     1    12  1983       56.044600
     2    12  1983       57.210300
     3    12  1983       70.762300
     4    12  1983       72.060200
     5    12  1983       70.762300
     6    12  1983       74.688800
     7    12  1983       85.637700
     8    12  1983       92.831700
     9    12  1983       89.921800
    10    12  1983       82.835500
    11    12  1983       85.637700
    12    12  1983      101.818000
    13    12  1983      103.353000
    14    12  1983      204.053000
    15    12  1983      197.393000
    16    12  1983      164.671000
    17    12  1983      151.869000
    18    12  1983      143.433000
    19    12  1983      139.245000
    20    12  1983      126.809000
    21    12  1983      114.396000
    22    12  1983      100.294000
    23    12  1983       89.921800
    24    12  1983       88.483000
    25    12  1983       81.450600
    26    12  1983       76.019500
    27    12  1983       74.688800
    28    12  1983       72.060200
    29    12  1983       76.019500
    30    12  1983       77.361000
    31    12  1983       80.076600
     1     1  1984       81.450600
     2     1  1984       82.835500
     3     1  1984       89.921800
     4     1  1984       78.713300
     5     1  1984       66.934200
     6     1  1984      128.868000
     7     1  1984      139.245000
     8     1  1984      130.933000
     9     1  1984      147.641000
    10     1  1984      130.933000
    11     1  1984      109.600000
    12     1  1984       98.779800
    13     1  1984       92.831700
    14     1  1984       91.371400
    15     1  1984       82.835500
    16     1  1984       77.361000
    17     1  1984       73.369100
    18     1  1984       70.762300
    19     1  1984       76.019500
    20     1  1984       84.231200
    21     1  1984       97.276800
    22     1  1984      141.336000
    23     1  1984      190.771000
    24     1  1984      281.907000
    25     1  1984      312.717000
    26     1  1984      277.215000
    27     1  1984      327.112000
    28     1  1984      291.330000
    29     1  1984      263.220000
    30     1  1984      249.347000
    31     1  1984      251.650000
     1     2  1984      270.202000
     2     2  1984      279.560000
     3     2  1984      284.258000
     4     2  1984      286.612000
     5     2  1984      293.694000
     6     2  1984      256.267000
     7     2  1984      184.186000
     8     2  1984      147.641000
     9     2  1984      130.933000
    10     2  1984      119.287000
    11     2  1984      114.396000
    12     2  1984      109.600000
    13     2  1984      104.899000
    14     2  1984      101.818000
    15     2  1984      100.294000
    16     2  1984      120.938000
    17     2  1984      126.809000
    18     2  1984      112.786000
    19     2  1984      100.294000
    20     2  1984       97.276800
    21     2  1984       91.371400
    22     2  1984       87.055000
    23     2  1984       88.483000
    24     2  1984       88.483000
    25     2  1984       89.921800
    26     2  1984       98.779800
    27     2  1984       94.302700
    28     2  1984       89.921800
    29     2  1984       81.450600
     1     3  1984       74.688800
     2     3  1984       70.762300
     3     3  1984       69.475300
     4     3  1984       69.475300
     5     3  1984       68.199300
     6     3  1984       65.680100
     7     3  1984       63.205000
     8     3  1984       61.983900
     9     3  1984       65.680100
    10     3  1984       66.934200
    11     3  1984       63.205000
    12     3  1984       59.574900
    13     3  1984       56.044600
    14     3  1984       53.746600
    15     3  1984       52.614400
    16     3  1984       51.493300
    17     3  1984       49.284700
    18     3  1984       50.383400
    19     3  1984       54.890000
    20     3  1984       56.044600
    21     3  1984       53.746600
    22     3  1984       52.614400
    23     3  1984       58.387100
    24     3  1984       89.921800
    25     3  1984       77.361000
    26     3  1984       68.199300
    27     3  1984       60.773900
    28     3  1984       59.574900
    29     3  1984       57.210300
    30     3  1984       59.574900
    31     3  1984       85.637700
     1     4  1984      116.015000
     2     4  1984      114.396000
     3     4  1984       91.371400
     4     4  1984       73.369100
     5     4  1984       64.437100
     6     4  1984       60.773900
     7     4  1984       58.387100
     8     4  1984       53.746600
     9     4  1984       48.197300
    10     4  1984       46.056100
    11     4  1984       45.002500
    12     4  1984       41.909500
    13     4  1984       40.901200
    14     4  1984       38.918700
    15     4  1984       41.909500
    16     4  1984       41.909500
    17     4  1984       41.909500
    18     4  1984       53.746600
    19     4  1984       58.387100
    20     4  1984       57.210300
    21     4  1984       60.773900
    22     4  1984       56.044600
    23     4  1984       48.197300
    24     4  1984       42.929100
    25     4  1984       43.960200
    26     4  1984       45.002500
    27     4  1984       46.056100
    28     4  1984       60.773900
    29     4  1984      106.455000
    30     4  1984      171.135000
     1     5  1984      195.181000
     2     5  1984      168.976000
     3     5  1984      143.433000
     4     5  1984      128.868000
     5     5  1984      119.287000
     6     5  1984      104.899000
     7     5  1984       91.371400
     8     5  1984       78.713300
     9     5  1984       77.361000
    10     5  1984      100.294000
    11     5  1984      235.601000
    12     5  1984      237.883000
    13     5  1984      277.215000
    14     5  1984      249.347000
    15     5  1984      184.186000
    16     5  1984      137.159000
    17     5  1984      348.904000
    18     5  1984      322.302000
    19     5  1984      298.431000
    20     5  1984      249.347000
    21     5  1984      212.989000
    22     5  1984      212.989000
    23     5  1984      336.768000
    24     5  1984      473.909000
    25     5  1984      415.619000
    26     5  1984      425.664000
    27     5  1984      448.409000
    28     5  1984      443.338000
    29     5  1984      491.128000
    30     5  1984      512.531000
    31     5  1984      443.338000
     1     6  1984      400.627000
     2     6  1984      398.137000
     3     6  1984      378.314000
     4     6  1984      433.224000
     5     6  1984      517.329000
     6     6  1984      461.130000
     7     6  1984      450.948000
     8     6  1984      466.234000
     9     6  1984      456.034000
    10     6  1984      438.276000
    11     6  1984      420.636000
    12     6  1984      388.205000
    13     6  1984      353.778000
    14     6  1984      329.522000
    15     6  1984      324.705000
    16     6  1984      353.778000
    17     6  1984      378.314000
    18     6  1984      383.254000
    19     6  1984      363.559000
    20     6  1984      393.166000
    21     6  1984      456.034000
    22     6  1984      507.749000
    23     6  1984      505.363000
    24     6  1984      611.257000
    25     6  1984      641.987000
    26     6  1984      691.659000
    27     6  1984      548.873000
    28     6  1984      507.749000
    29     6  1984      502.981000
    30     6  1984      512.531000
     1     7  1984      484.174000
     2     7  1984      458.581000
     3     7  1984      433.224000
     4     7  1984      408.111000
     5     7  1984      383.254000
     6     7  1984      363.559000
     7     7  1984      398.137000
     8     7  1984      440.805000
     9     7  1984      453.490000
    10     7  1984      466.234000
    11     7  1984      670.594000
    12     7  1984      526.969000
    13     7  1984      534.237000
    14     7  1984      502.981000
    15     7  1984      586.035000
    16     7  1984      745.262000
    17     7  1984      588.541000
    18     7  1984      546.425000
    19     7  1984      512.531000
    20     7  1984      495.858000
    21     7  1984      468.790000
    22     7  1984      423.149000
    23     7  1984      443.338000
    24     7  1984      380.783000
    25     7  1984      385.728000
    26     7  1984      403.119000
    27     7  1984      657.539000
    28     7  1984      553.781000
    29     7  1984      468.790000
    30     7  1984      456.034000
    31     7  1984      445.872000
     1     8  1984      433.224000
     2     8  1984      428.181000
     3     8  1984      413.114000
     4     8  1984      390.684000
     5     8  1984      390.684000
     6     8  1984      368.467000
     7     8  1984      348.904000
     8     8  1984      348.904000
     9     8  1984      370.925000
    10     8  1984      393.166000
    11     8  1984      410.611000
    12     8  1984      438.276000
    13     8  1984      458.581000
    14     8  1984      443.338000
    15     8  1984      463.681000
    16     8  1984      448.409000
    17     8  1984      418.126000
    18     8  1984      463.681000
    19     8  1984      471.349000
    20     8  1984      428.181000
    21     8  1984      438.276000
    22     8  1984      430.701000
    23     8  1984      413.114000
    24     8  1984      398.137000
    25     8  1984      366.012000
    26     8  1984      356.219000
    27     8  1984      366.012000
    28     8  1984      534.237000
    29     8  1984      445.872000
    30     8  1984      415.619000
    31     8  1984      353.778000
     1     9  1984      358.663000
     2     9  1984      348.904000
     3     9  1984      370.925000
     4     9  1984      375.848000
     5     9  1984      385.728000
     6     9  1984      405.614000
     7     9  1984      390.684000
     8     9  1984      383.254000
     9     9  1984      378.314000
    10     9  1984      458.581000
    11     9  1984      498.229000
    12     9  1984      385.728000
    13     9  1984      443.338000
    14     9  1984      420.636000
    15     9  1984      403.119000
    16     9  1984      383.254000
    17     9  1984      375.848000
    18     9  1984      353.778000
    19     9  1984      410.611000
    20     9  1984      403.119000
    21     9  1984      415.619000
    22     9  1984      366.012000
    23     9  1984      319.901000
    24     9  1984      300.804000
    25     9  1984      281.907000
    26     9  1984      267.871000
    27     9  1984      260.899000
    28     9  1984      251.650000
    29     9  1984      244.750000
    30     9  1984      235.601000
     1    10  1984      237.883000
     2    10  1984      274.874000
     3    10  1984      303.180000
     4    10  1984      291.330000
     5    10  1984      267.871000
     6    10  1984      258.581000
     7    10  1984      256.267000
     8    10  1984      251.650000
     9    10  1984      249.347000
    10    10  1984      242.458000
    11    10  1984      272.537000
    12    10  1984      288.970000
    13    10  1984      260.899000
    14    10  1984      247.047000
    15    10  1984      258.581000
    16    10  1984      258.581000
    17    10  1984      247.047000
    18    10  1984      235.601000
    19    10  1984      291.330000
    20    10  1984      286.612000
    21    10  1984      272.537000
    22    10  1984      244.750000
    23    10  1984      228.778000
    24    10  1984      206.281000
    25    10  1984      192.974000
    26    10  1984      184.186000
    27    10  1984      175.468000
    28    10  1984      175.468000
    29    10  1984      177.641000
    30    10  1984      212.989000
    31    10  1984      244.750000
     1    11  1984      256.267000
     2    11  1984      270.202000
     3    11  1984      260.899000
     4    11  1984      256.267000
     5    11  1984      249.347000
     6    11  1984      233.323000
     7    11  1984      208.513000
     8    11  1984      307.942000
     9    11  1984      423.149000
    10    11  1984      486.413000
    11    11  1984      433.224000
    12    11  1984      435.748000
    13    11  1984      393.166000
    14    11  1984      385.728000
    15    11  1984      344.041000
    16    11  1984      344.041000
    17    11  1984      353.778000
    18    11  1984      378.314000
    19    11  1984      344.041000
    20    11  1984      331.934000
    21    11  1984      310.328000
    22    11  1984      279.560000
    23    11  1984      256.267000
    24    11  1984      244.750000
    25    11  1984      240.169000
    26    11  1984      228.778000
    27    11  1984      215.233000
    28    11  1984      210.749000
    29    11  1984      204.053000
    30    11  1984      197.393000
     1    12  1984      206.281000
     2    12  1984      199.609000
     3    12  1984      192.974000
     4    12  1984      184.186000
     5    12  1984      173.299000
     6    12  1984      177.641000
     7    12  1984      267.871000
     8    12  1984      279.560000
     9    12  1984      263.220000
    10    12  1984      231.048000
    11    12  1984      231.048000
    12    12  1984      242.458000
    13    12  1984      199.609000
    14    12  1984      188.572000
    15    12  1984      179.818000
    16    12  1984      175.468000
    17    12  1984      164.671000
    18    12  1984      158.248000
    19    12  1984      162.525000
    20    12  1984      160.385000
    21    12  1984      153.991000
    22    12  1984      166.821000
    23    12  1984      231.048000
    24    12  1984      233.323000
    25    12  1984      240.169000
    26    12  1984      237.883000
    27    12  1984      217.481000
    28    12  1984      199.609000
    29    12  1984      210.749000
    30    12  1984      247.047000
    31    12  1984      263.220000
     1     1  1985      258.581000
     2     1  1985      260.899000
     3     1  1985      270.202000
     4     1  1985      260.899000
     5     1  1985      242.458000
     6     1  1985      212.989000
     7     1  1985      204.053000
     8     1  1985      190.771000
     9     1  1985      199.609000
    10     1  1985      212.989000
    11     1  1985      334.350000
    12     1  1985      358.663000
    13     1  1985      341.614000
    14     1  1985      373.385000
    15     1  1985      370.925000
    16     1  1985      329.522000
    17     1  1985      274.874000
    18     1  1985      235.601000
    19     1  1985      206.281000
    20     1  1985      190.771000
    21     1  1985      182.000000
    22     1  1985      175.468000
    23     1  1985      168.976000
    24     1  1985      168.976000
    25     1  1985      175.468000
    26     1  1985      177.641000
    27     1  1985      166.821000
    28     1  1985      158.248000
    29     1  1985      158.248000
    30     1  1985      158.248000
