PORTOVELHO	-63.920	-8.737
    18     7  1983    22988.700000
    19     7  1983    23228.100000
    20     7  1983    23434.600000
    21     7  1983    23538.200000
    22     7  1983    23469.100000
    23     7  1983    23056.900000
    24     7  1983    22380.000000
    25     7  1983    21584.000000
    26     7  1983    20423.000000
    27     7  1983    19547.200000
    28     7  1983    18815.200000
    29     7  1983    17431.200000
    30     7  1983    16304.200000
    31     7  1983    15462.400000
     1     8  1983    14829.400000
     2     8  1983    14238.100000
     3     8  1983    13810.400000
     4     8  1983    13439.800000
     5     8  1983    13099.400000
     6     8  1983    12788.100000
     7     8  1983    12551.800000
     8     8  1983    12225.500000
     9     8  1983    11927.300000
    10     8  1983    11723.500000
    11     8  1983    11588.800000
    12     8  1983    11477.300000
    13     8  1983    11344.300000
    14     8  1983    11190.400000
    15     8  1983    11037.800000
    16     8  1983    10908.000000
    17     8  1983    10800.600000
    18     8  1983    10693.800000
    19     8  1983    10566.600000
    20     8  1983    10440.200000
    21     8  1983    10294.000000
    22     8  1983    10087.400000
    23     8  1983     9883.270000
    24     8  1983     9681.730000
    25     8  1983     9762.040000
    26     8  1983     9522.340000
    27     8  1983     9325.380000
    28     8  1983     9092.370000
    29     8  1983     8787.310000
    30     8  1983     8544.150000
    31     8  1983     8268.780000
     1     9  1983     7910.220000
     2     9  1983     7699.760000
     3     9  1983     7492.780000
     4     9  1983     7255.680000
     5     9  1983     7072.660000
     6     9  1983     6941.360000
     7     9  1983     6827.710000
     8     9  1983     6827.710000
     9     9  1983     6892.510000
    10     9  1983     6941.360000
    11     9  1983     7006.820000
    12     9  1983     7089.180000
    13     9  1983     7155.490000
    14     9  1983     7205.480000
    15     9  1983     7255.680000
    16     9  1983     7390.590000
    17     9  1983     7561.390000
    18     9  1983     7804.550000
    19     9  1983     8070.360000
    20     9  1983     7665.020000
    21     9  1983     7272.460000
    22     9  1983     7023.250000
    23     9  1983     6892.510000
    24     9  1983     6827.710000
    25     9  1983     6667.360000
    26     9  1983     6540.760000
    27     9  1983     6415.650000
    28     9  1983     6307.400000
    29     9  1983     6200.270000
    30     9  1983     6109.350000
     1    10  1983     6019.250000
     2    10  1983     5915.180000
     3    10  1983     5841.520000
     4    10  1983     5768.440000
     5    10  1983     5710.370000
     6    10  1983     5695.910000
     7    10  1983     5797.600000
     8    10  1983     5812.220000
     9    10  1983     5753.890000
    10    10  1983     5695.910000
    11    10  1983     5609.630000
    12    10  1983     5495.840000
    13    10  1983     5467.620000
    14    10  1983     5467.620000
    15    10  1983     5467.620000
    16    10  1983     5524.160000
    17    10  1983     5509.990000
    18    10  1983     5467.620000
    19    10  1983     5467.620000
    20    10  1983     5581.050000
    21    10  1983     6079.230000
    22    10  1983     6509.340000
    23    10  1983     6699.240000
    24    10  1983     6635.570000
    25    10  1983     6556.500000
    26    10  1983     6779.360000
    27    10  1983     7006.820000
    28    10  1983     7122.290000
    29    10  1983     7155.490000
    30    10  1983     7089.180000
    31    10  1983     7072.660000
     1    11  1983     7188.790000
     2    11  1983     7356.720000
     3    11  1983     7441.580000
     4    11  1983     7322.940000
     5    11  1983     7105.720000
     6    11  1983     6795.460000
     7    11  1983     6572.270000
     8    11  1983     6446.790000
     9    11  1983     6603.870000
    10    11  1983     6925.060000
    11    11  1983     7527.040000
    12    11  1983     7874.900000
    13    11  1983     7839.680000
    14    11  1983     7769.520000
    15    11  1983     8052.470000
    16    11  1983     8825.090000
    17    11  1983     9661.720000
    18    11  1983    10066.800000
    19    11  1983    10211.100000
    20    11  1983    10503.300000
    21    11  1983    10843.500000
    22    11  1983    10886.500000
    23    11  1983    10822.000000
    24    11  1983    10757.800000
    25    11  1983    10672.600000
    26    11  1983    10587.700000
    27    11  1983    10503.300000
    28    11  1983    10461.200000
    29    11  1983    10715.100000
    30    11  1983    11212.300000
     1    12  1983    11813.800000
     2    12  1983    12248.700000
     3    12  1983    12693.300000
     4    12  1983    13268.900000
     5    12  1983    13860.300000
     6    12  1983    14035.800000
     7    12  1983    14162.000000
     8    12  1983    14467.700000
     9    12  1983    15196.700000
    10    12  1983    15623.200000
    11    12  1983    15569.500000
    12    12  1983    15249.600000
    13    12  1983    15170.300000
    14    12  1983    15196.700000
    15    12  1983    15064.900000
    16    12  1983    14829.400000
    17    12  1983    14212.700000
    18    12  1983    13760.700000
    19    12  1983    13220.300000
    20    12  1983    12598.900000
    21    12  1983    11521.800000
    22    12  1983    10972.800000
    23    12  1983    10651.300000
    24    12  1983    11212.300000
    25    12  1983    11588.800000
    26    12  1983    12064.400000
    27    12  1983    12528.400000
    28    12  1983    13196.100000
    29    12  1983    14035.800000
    30    12  1983    14855.500000
    31    12  1983    15329.200000
     1     1  1984    15757.900000
     2     1  1984    16194.000000
     3     1  1984    16777.500000
     4     1  1984    18012.200000
     5     1  1984    19209.600000
     6     1  1984    20423.000000
     7     1  1984    21584.000000
     8     1  1984    22818.600000
     9     1  1984    24166.000000
    10     1  1984    25743.700000
    11     1  1984    26967.500000
    12     1  1984    27764.600000
    13     1  1984    28537.000000
    14     1  1984    29203.800000
    15     1  1984    29720.200000
    16     1  1984    30121.200000
    17     1  1984    30444.400000
    18     1  1984    30892.200000
    19     1  1984    31220.500000
    20     1  1984    31716.800000
    21     1  1984    32260.000000
    22     1  1984    32639.400000
    23     1  1984    32978.900000
