EIRUNEPÉ-MONTANTE	-69.881	-6.684
     6    11  1983      678.000000
     7    11  1983      849.400000
     8    11  1983      945.000000
     9    11  1983      981.000000
    10    11  1983      985.000000
    11    11  1983      973.000000
    12    11  1983      967.000000
    13    11  1983     1041.000000
    14    11  1983     1135.000000
    15    11  1983     1145.000000
    16    11  1983     1113.000000
    17    11  1983     1069.000000
    18    11  1983     1037.000000
    19    11  1983     1023.000000
    20    11  1983     1051.000000
    21    11  1983     1067.000000
    22    11  1983     1057.000000
    23    11  1983     1023.000000
    24    11  1983      999.000000
    25    11  1983      979.000000
    26    11  1983      967.000000
    27    11  1983      965.000000
    28    11  1983      963.000000
    29    11  1983      983.000000
    30    11  1983     1023.000000
     1    12  1983     1049.000000
     2    12  1983     1075.000000
     3    12  1983     1163.000000
     4    12  1983     1225.000000
     5    12  1983     1279.000000
     6    12  1983     1333.000000
     7    12  1983     1385.000000
     8    12  1983     1420.300000
     9    12  1983     1434.100000
    10    12  1983     1489.300000
    11    12  1983     1574.800000
    12    12  1983     1620.400000
    13    12  1983     1658.800000
    14    12  1983     1685.200000
    15    12  1983     1711.600000
    16    12  1983     1802.000000
    17    12  1983     1921.600000
    18    12  1983     1986.600000
    19    12  1983     2021.200000
    20    12  1983     2082.800000
    21    12  1983     2136.000000
    22    12  1983     2192.000000
    23    12  1983     2231.200000
    24    12  1983     2253.600000
    25    12  1983     2256.400000
    26    12  1983     2245.200000
    27    12  1983     2220.000000
    28    12  1983     2186.400000
    29    12  1983     2124.800000
    30    12  1983     2060.400000
    31    12  1983     2018.400000
     1     1  1984     2004.800000
     2     1  1984     1991.800000
     3     1  1984     1989.200000
     4     1  1984     1968.400000
     5     1  1984     1960.600000
     6     1  1984     1991.800000
     7     1  1984     2021.200000
     8     1  1984     2043.600000
     9     1  1984     2057.600000
    10     1  1984     2088.400000
    11     1  1984     2141.600000
    12     1  1984     2180.800000
    13     1  1984     2186.400000
    14     1  1984     2183.600000
    15     1  1984     2200.400000
    16     1  1984     2250.800000
    17     1  1984     2306.800000
    18     1  1984     2360.000000
    19     1  1984     2396.400000
    20     1  1984     2441.200000
    21     1  1984     2469.200000
    22     1  1984     2511.200000
    23     1  1984     2536.400000
    24     1  1984     2558.800000
    25     1  1984     2570.000000
    26     1  1984     2570.000000
    27     1  1984     2578.400000
    28     1  1984     2584.000000
    29     1  1984     2553.200000
    30     1  1984     2528.000000
    31     1  1984     2508.400000
     1     2  1984     2488.800000
     2     2  1984     2474.800000
     3     2  1984     2497.200000
     4     2  1984     2536.400000
     5     2  1984     2600.800000
     6     2  1984     2651.200000
     7     2  1984     2713.000000
     8     2  1984     2767.000000
     9     2  1984     2821.000000
    10     2  1984     2869.600000
    11     2  1984     2920.800000
    12     2  1984     2968.800000
    13     2  1984     3007.200000
    14     2  1984     3048.800000
    15     2  1984     3077.600000
    16     2  1984     3109.600000
    17     2  1984     3141.600000
    18     2  1984     3170.400000
    19     2  1984     3189.600000
    20     2  1984     3208.800000
    21     2  1984     3224.800000
    22     2  1984     3247.200000
    23     2  1984     3266.400000
    24     2  1984     3292.000000
    25     2  1984     3314.400000
    26     2  1984     3333.600000
    27     2  1984     3340.000000
    28     2  1984     3346.400000
    29     2  1984     3346.400000
     1     3  1984     3352.800000
     2     3  1984     3365.600000
     3     3  1984     3375.200000
     4     3  1984     3391.200000
     5     3  1984     3391.200000
     6     3  1984     3388.000000
     7     3  1984     3381.600000
     8     3  1984     3372.000000
     9     3  1984     3372.000000
    10     3  1984     3372.000000
    11     3  1984     3372.000000
    12     3  1984     3384.800000
    13     3  1984     3365.600000
    14     3  1984     3352.800000
    15     3  1984     3346.400000
    16     3  1984     3346.400000
    17     3  1984     3346.400000
    18     3  1984     3346.400000
    19     3  1984     3343.200000
    20     3  1984     3336.800000
    21     3  1984     3330.400000
    22     3  1984     3330.400000
    23     3  1984     3333.600000
    24     3  1984     3330.400000
    25     3  1984     3320.800000
    26     3  1984     3324.000000
    27     3  1984     3317.600000
    28     3  1984     3311.200000
    29     3  1984     3320.800000
    30     3  1984     3317.600000
    31     3  1984     3308.000000
