BRASILÉIA	-68.745	-11.018
     2     9  1983       16.100000
     3     9  1983       16.100000
     4     9  1983       16.100000
     5     9  1983       15.760000
     6     9  1983       15.420000
     7     9  1983       15.420000
     8     9  1983       15.090000
     9     9  1983       14.750000
    10     9  1983       13.780000
    11     9  1983       13.780000
    12     9  1983       14.430000
    13     9  1983       14.750000
    14     9  1983       14.750000
    15     9  1983       14.100000
    16     9  1983       13.460000
    17     9  1983       13.460000
    18     9  1983       12.830000
    19     9  1983       12.210000
    20     9  1983       12.210000
    21     9  1983       11.610000
    22     9  1983       11.610000
    23     9  1983       11.610000
    24     9  1983       11.910000
    25     9  1983       13.140000
    26     9  1983       12.830000
    27     9  1983       12.520000
    28     9  1983       11.910000
    29     9  1983       11.610000
    30     9  1983       13.460000
     1    10  1983       15.420000
     2    10  1983       17.140000
     3    10  1983       15.420000
     4    10  1983       13.780000
     5    10  1983       13.140000
     6    10  1983       13.460000
     7    10  1983       13.460000
     8    10  1983       13.140000
     9    10  1983       12.520000
    10    10  1983       11.910000
    11    10  1983       11.910000
    12    10  1983       12.830000
    13    10  1983       14.430000
    14    10  1983       17.140000
    15    10  1983       15.420000
    16    10  1983       14.430000
    17    10  1983       13.780000
    18    10  1983       14.430000
    19    10  1983       14.750000
    20    10  1983       14.100000
    21    10  1983       14.100000
    22    10  1983       14.100000
    23    10  1983       13.780000
    24    10  1983       13.140000
    25    10  1983       17.850000
    26    10  1983       17.490000
    27    10  1983       15.090000
    28    10  1983       13.140000
    29    10  1983       11.610000
    30    10  1983       11.610000
    31    10  1983       11.610000
     1    11  1983       15.420000
     2    11  1983       24.740000
     3    11  1983       25.560000
     4    11  1983       23.130000
     5    11  1983       21.950000
     6    11  1983       15.760000
     7    11  1983       25.970000
     8    11  1983       36.750000
     9    11  1983       31.170000
    10    11  1983       53.420000
    11    11  1983       71.940000
    12    11  1983      100.540000
    13    11  1983      257.910000
    14    11  1983      163.670000
    15    11  1983      373.450000
    16    11  1983      374.550000
    17    11  1983      154.010000
    18    11  1983      130.530000
    19    11  1983      115.520000
    20    11  1983       55.110000
    21    11  1983       32.530000
    22    11  1983       35.320000
    23    11  1983       51.750000
    24    11  1983       83.720000
    25    11  1983       74.500000
    26    11  1983       51.750000
    27    11  1983       90.570000
    28    11  1983       57.400000
    29    11  1983       57.400000
    30    11  1983       32.070000
     1    12  1983       43.730000
     2    12  1983       45.290000
     3    12  1983       75.790000
     4    12  1983      124.120000
     5    12  1983       81.040000
     6    12  1983       73.210000
     7    12  1983      257.910000
     8    12  1983      290.800000
     9    12  1983      204.680000
    10    12  1983      124.910000
    11    12  1983       69.430000
    12    12  1983       45.290000
    13    12  1983       38.200000
    14    12  1983       34.850000
    15    12  1983       32.530000
    16    12  1983       28.960000
    17    12  1983       22.340000
    18    12  1983       20.790000
    19    12  1983       19.300000
    20    12  1983       20.040000
    21    12  1983       30.720000
    22    12  1983       32.530000
    23    12  1983       26.390000
    24    12  1983       20.040000
    25    12  1983       21.560000
    26    12  1983       25.560000
    27    12  1983       24.330000
    28    12  1983       22.340000
    29    12  1983       21.560000
    30    12  1983       22.340000
    31    12  1983       21.560000
