VALPARAÍSO-MONTANTE	-67.400	-8.683
    21     8  1983      162.070000
    22     8  1983      159.210000
    23     8  1983      156.380000
    24     8  1983      153.570000
    25     8  1983      150.770000
    26     8  1983      149.390000
    27     8  1983      149.390000
    28     8  1983      153.570000
    29     8  1983      150.770000
    30     8  1983      148.010000
    31     8  1983      145.260000
     1     9  1983      146.630000
     2     9  1983      150.770000
     3     9  1983      157.790000
     4     9  1983      162.070000
     5     9  1983      162.070000
     6     9  1983      157.790000
     7     9  1983      148.010000
     8     9  1983      142.540000
     9     9  1983      138.500000
    10     9  1983      135.830000
    11     9  1983      133.190000
    12     9  1983      131.880000
    13     9  1983      135.830000
    14     9  1983      138.500000
    15     9  1983      141.190000
    16     9  1983      143.900000
    17     9  1983      146.630000
    18     9  1983      146.630000
    19     9  1983      143.900000
    20     9  1983      141.190000
    21     9  1983      138.500000
    22     9  1983      138.500000
    23     9  1983      138.500000
    24     9  1983      141.190000
    25     9  1983      143.900000
    26     9  1983      145.260000
    27     9  1983      141.190000
    28     9  1983      137.160000
    29     9  1983      131.880000
    30     9  1983      125.400000
     1    10  1983      124.120000
     2    10  1983      120.320000
     3    10  1983      119.060000
     4    10  1983      116.570000
     5    10  1983      114.100000
     6    10  1983      112.880000
     7    10  1983      115.330000
     8    10  1983      127.970000
     9    10  1983      138.500000
    10    10  1983      139.840000
    11    10  1983      131.880000
    12    10  1983      122.850000
    13    10  1983      120.320000
    14    10  1983      120.320000
    15    10  1983      121.580000
    16    10  1983      122.850000
    17    10  1983      125.400000
    18    10  1983      126.680000
    19    10  1983      122.850000
    20    10  1983      117.820000
    21    10  1983      120.320000
    22    10  1983      124.120000
    23    10  1983      125.400000
    24    10  1983      131.880000
    25    10  1983      139.840000
    26    10  1983      145.260000
    27    10  1983      149.390000
    28    10  1983      148.010000
    29    10  1983      138.500000
    30    10  1983      130.570000
    31    10  1983      133.190000
     1    11  1983      134.510000
     2    11  1983      145.260000
     3    11  1983      166.400000
     4    11  1983      184.220000
     5    11  1983      187.260000
     6    11  1983      191.880000
     7    11  1983      198.100000
     8    11  1983      218.930000
     9    11  1983      307.490000
    10    11  1983      480.600000
    11    11  1983      525.490000
    12    11  1983      499.280000
    13    11  1983      448.650000
    14    11  1983      409.010000
    15    11  1983      406.860000
    16    11  1983      450.900000
    17    11  1983      549.820000
    18    11  1983      714.160000
    19    11  1983      872.890000
    20    11  1983      930.970000
    21    11  1983      857.890000
    22    11  1983      775.970000
    23    11  1983      705.910000
    24    11  1983      665.280000
    25    11  1983      649.330000
    26    11  1983      641.420000
    27    11  1983      638.790000
    28    11  1983      773.110000
    29    11  1983     1158.990000
    30    11  1983     1274.060000
     1    12  1983     1172.680000
     2    12  1983     1052.020000
     3    12  1983     1022.760000
     4    12  1983     1094.930000
     5    12  1983     1108.280000
     6    12  1983     1193.350000
     7    12  1983     1408.740000
     8    12  1983     1522.300000
     9    12  1983     1627.810000
    10    12  1983     1798.090000
    11    12  1983     1869.130000
    12    12  1983     1962.860000
    13    12  1983     2085.060000
