BASEALALAÚ	-60.520	-0.859
     2     9  1983      124.536000
     3     9  1983      108.474000
     4     9  1983      104.255000
     5     9  1983      103.204000
     6     9  1983      105.307000
     7     9  1983      106.361000
     8     9  1983      109.533000
     9     9  1983      110.594000
    10     9  1983      103.204000
    11     9  1983      107.417000
    12     9  1983      153.198000
    13     9  1983      180.480000
    14     9  1983      179.329000
    15     9  1983      170.162000
    16     9  1983      150.958000
    17     9  1983      137.641000
    18     9  1983      122.373000
    19     9  1983      107.417000
    20     9  1983       90.741700
    21     9  1983       87.668700
    22     9  1983      107.417000
    23     9  1983      178.178000
    24     9  1983      222.709000
    25     9  1983      268.783000
    26     9  1983      289.844000
    27     9  1983      301.100000
    28     9  1983      318.748000
    29     9  1983      328.907000
    30     9  1983      261.413000
     1    10  1983      206.112000
     2    10  1983      171.304000
     3    10  1983      162.209000
     4    10  1983      159.948000
     5    10  1983      156.567000
     6    10  1983      165.609000
     7    10  1983      178.178000
     8    10  1983      194.391000
     9    10  1983      207.290000
    10    10  1983      215.570000
    11    10  1983      225.097000
    12    10  1983      229.886000
    13    10  1983      229.886000
    14    10  1983      189.735000
    15    10  1983      157.692000
    16    10  1983      133.249000
    17    10  1983      119.141000
    18    10  1983      107.417000
    19    10  1983       96.939600
    20    10  1983       88.691000
    21    10  1983       88.691000
    22    10  1983       97.979200
    23    10  1983       99.020600
    24    10  1983      111.657000
    25    10  1983      113.787000
    26    10  1983      101.109000
    27    10  1983       88.691000
    28    10  1983       96.939600
    29    10  1983      148.725000
    30    10  1983      173.590000
    31    10  1983      169.022000
     1    11  1983      146.497000
     2    11  1983      124.536000
     3    11  1983      107.417000
     4    11  1983       93.832100
     5    11  1983       85.629900
     6    11  1983       64.962400
     7    11  1983       68.618200
     8    11  1983       71.126000
     9    11  1983       64.962400
    10    11  1983       62.594900
    11    11  1983       60.282700
    12    11  1983       63.771700
    13    11  1983       58.025100
    14    11  1983       49.530200
    15    11  1983       43.705900
    16    11  1983       40.075100
    17    11  1983       37.481200
    18    11  1983       37.481200
    19    11  1983       36.640700
    20    11  1983       34.995800
    21    11  1983       31.089400
    22    11  1983       28.171500
    23    11  1983       25.432700
    24    11  1983       23.493200
    25    11  1983       21.056400
    26    11  1983       19.900500
    27    11  1983       28.884000
    28    11  1983       37.481200
    29    11  1983       45.596400
    30    11  1983       59.147100
     1    12  1983       83.599200
     2    12  1983       86.648300
     3    12  1983       84.613500
     4    12  1983       80.568500
     5    12  1983       80.568500
     6    12  1983       80.568500
     7    12  1983       77.556700
     8    12  1983       80.568500
     9    12  1983       84.613500
    10    12  1983      105.307000
    11    12  1983      148.725000
    12    12  1983      167.883000
    13    12  1983      195.558000
    14    12  1983      199.065000
    15    12  1983      183.941000
    16    12  1983      157.692000
    17    12  1983      128.880000
    18    12  1983      109.533000
    19    12  1983       92.800000
    20    12  1983       81.576600
    21    12  1983       71.126000
    22    12  1983       60.282700
    23    12  1983       53.671600
    24    12  1983       53.671600
    25    12  1983       59.147100
    26    12  1983       78.558500
    27    12  1983       84.613500
    28    12  1983       84.613500
    29    12  1983       88.691000
    30    12  1983       84.613500
    31    12  1983       76.557000
     1     1  1984       74.564300
     2     1  1984       64.962400
     3     1  1984       67.385500
     4     1  1984       72.401200
     5     1  1984       79.562400
     6     1  1984       97.979200
     7     1  1984       93.832100
     8     1  1984       82.586900
     9     1  1984       74.564300
    10     1  1984       76.557000
    11     1  1984       85.629900
    12     1  1984       94.866100
    13     1  1984       90.741700
    14     1  1984       82.586900
    15     1  1984       87.668700
    16     1  1984       87.668700
    17     1  1984       87.668700
    18     1  1984      111.657000
    19     1  1984      153.198000
    20     1  1984      178.178000
    21     1  1984      180.480000
    22     1  1984      172.446000
    23     1  1984      169.022000
    24     1  1984      172.446000
    25     1  1984      173.590000
    26     1  1984      161.077000
    27     1  1984      144.274000
    28     1  1984      127.792000
    29     1  1984      123.454000
    30     1  1984      147.610000
    31     1  1984      193.225000
     1     2  1984      227.490000
     2     2  1984      225.097000
     3     2  1984      203.758000
     4     2  1984      196.726000
     5     2  1984      212.015000
     6     2  1984      221.516000
     7     2  1984      225.097000
     8     2  1984      214.383000
     9     2  1984      188.574000
    10     2  1984      157.692000
    11     2  1984      138.743000
    12     2  1984      127.792000
    13     2  1984      123.454000
    14     2  1984      120.217000
    15     2  1984      119.141000
    16     2  1984      123.454000
    17     2  1984      121.294000
    18     2  1984      119.141000
    19     2  1984      123.454000
    20     2  1984      120.217000
    21     2  1984      126.705000
    22     2  1984      162.209000
    23     2  1984      202.583000
    24     2  1984      247.993000
    25     2  1984      265.094000
    26     2  1984      263.866000
    27     2  1984      241.932000
    28     2  1984      215.570000
    29     2  1984      182.786000
     1     3  1984      153.198000
     2     3  1984      143.165000
     3     3  1984      149.841000
     4     3  1984      164.475000
     5     3  1984      171.304000
     6     3  1984      164.475000
     7     3  1984      157.692000
     8     3  1984      148.725000
     9     3  1984      136.541000
    10     3  1984      118.067000
    11     3  1984      104.255000
    12     3  1984       92.800000
    13     3  1984       85.629900
    14     3  1984       92.800000
    15     3  1984      118.067000
    16     3  1984      112.721000
    17     3  1984       94.866100
    18     3  1984       78.558500
    19     3  1984       69.865000
    20     3  1984       77.556700
    21     3  1984       92.800000
    22     3  1984      104.255000
    23     3  1984      113.787000
    24     3  1984      120.217000
    25     3  1984      110.594000
    26     3  1984       95.901900
    27     3  1984       82.586900
    28     3  1984       74.564300
    29     3  1984       64.962400
    30     3  1984       59.147100
    31     3  1984       55.821600
