TABAJARA	-62.054	-8.933
    22     8  1983      230.697000
    23     8  1983      227.546000
    24     8  1983      224.421000
    25     8  1983      221.322000
    26     8  1983      218.247000
    27     8  1983      215.198000
    28     8  1983      212.174000
    29     8  1983      209.175000
    30     8  1983      206.201000
    31     8  1983      203.252000
     1     9  1983      200.328000
     2     9  1983      198.875000
     3     9  1983      194.554000
     4     9  1983      194.554000
     5     9  1983      194.554000
     6     9  1983      194.554000
     7     9  1983      194.554000
     8     9  1983      193.126000
     9     9  1983      191.704000
    10     9  1983      204.723000
    11     9  1983      188.879000
    12     9  1983      187.476000
    13     9  1983      181.924000
    14     9  1983      179.184000
    15     9  1983      177.824000
    16     9  1983      175.121000
    17     9  1983      176.469000
    18     9  1983      183.303000
    19     9  1983      184.688000
    20     9  1983      180.551000
    21     9  1983      175.121000
    22     9  1983      173.779000
    23     9  1983      171.112000
    24     9  1983      168.470000
    25     9  1983      164.551000
    26     9  1983      164.551000
    27     9  1983      164.551000
    28     9  1983      163.257000
    29     9  1983      160.687000
    30     9  1983      159.411000
     1    10  1983      155.618000
     2    10  1983      151.879000
     3    10  1983      151.879000
     4    10  1983      149.415000
     5    10  1983      144.560000
     6    10  1983      143.361000
     7    10  1983      142.167000
     8    10  1983      145.765000
     9    10  1983      155.618000
    10    10  1983      161.969000
    11    10  1983      160.687000
    12    10  1983      165.851000
    13    10  1983      187.476000
    14    10  1983      206.201000
    15    10  1983      219.781000
    16    10  1983      224.421000
    17    10  1983      216.719000
    18    10  1983      207.685000
    19    10  1983      209.175000
    20    10  1983      209.175000
    21    10  1983      209.175000
    22    10  1983      204.723000
    23    10  1983      203.252000
    24    10  1983      204.723000
    25    10  1983      212.174000
    26    10  1983      222.868000
    27    10  1983      230.697000
    28    10  1983      241.924000
    29    10  1983      256.821000
    30    10  1983      261.903000
    31    10  1983      258.508000
     1    11  1983      253.465000
     2    11  1983      237.074000
     3    11  1983      221.322000
     4    11  1983      221.322000
     5    11  1983      270.503000
     6    11  1983      335.334000
     7    11  1983      378.205000
     8    11  1983      419.625000
     9    11  1983      461.215000
    10    11  1983      512.677000
    11    11  1983      575.440000
    12    11  1983      600.079000
    13    11  1983      580.863000
    14    11  1983      525.403000
    15    11  1983      485.322000
    16    11  1983      451.773000
    17    11  1983      456.480000
    18    11  1983      512.677000
    19    11  1983      578.148000
    20    11  1983      594.551000
    21    11  1983      586.316000
    22    11  1983      567.361000
    23    11  1983      543.527000
    24    11  1983      538.312000
    25    11  1983      567.361000
    26    11  1983      683.630000
    27    11  1983      764.027000
    28    11  1983      793.085000
    29    11  1983      767.224000
    30    11  1983      745.008000
     1    12  1983      726.269000
     2    12  1983      738.730000
     3    12  1983      773.642000
     4    12  1983      802.912000
     5    12  1983      829.468000
     6    12  1983      856.531000
     7    12  1983      870.254000
     8    12  1983      955.298000
     9    12  1983      940.800000
    10    12  1983     1014.590000
    11    12  1983     1068.210000
    12    12  1983     1200.570000
    13    12  1983     1173.930000
    14    12  1983     1130.340000
    15    12  1983     1108.910000
    16    12  1983     1045.030000
    17    12  1983     1014.590000
    18    12  1983      992.113000
    19    12  1983      933.601000
    20    12  1983      915.742000
    21    12  1983      887.589000
    22    12  1983      856.531000
    23    12  1983      842.936000
    24    12  1983      836.186000
    25    12  1983      826.120000
    26    12  1983      819.450000
    27    12  1983      846.323000
    28    12  1983      891.080000
    29    12  1983      933.601000
    30    12  1983      973.603000
    31    12  1983      988.394000
     1     1  1984     1018.370000
     2     1  1984     1156.380000
     3     1  1984     1291.940000
     4     1  1984     1387.340000
     5     1  1984     1471.660000
     6     1  1984     1574.690000
     7     1  1984     1692.870000
     8     1  1984     1810.490000
