BOCADOPOMPEU-JUSANTE	-65.043	-10.918
    25    11  1983       -1.000000
    26    11  1983       -1.000000
    27    11  1983       -1.000000
    28    11  1983       -1.000000
    29    11  1983       -1.000000
    30    11  1983       -1.000000
     1    12  1983       -1.000000
     2    12  1983       -1.000000
     3    12  1983       -1.000000
     4    12  1983       -1.000000
     5    12  1983       -1.000000
     6    12  1983       -1.000000
     7    12  1983       -1.000000
     8    12  1983       -1.000000
     9    12  1983       -1.000000
    10    12  1983       -1.000000
    11    12  1983       -1.000000
    12    12  1983       -1.000000
    13    12  1983       -1.000000
    14    12  1983       -1.000000
    15    12  1983       34.136600
    16    12  1983       34.937800
    17    12  1983       35.749600
    18    12  1983       36.296700
    19    12  1983       36.296700
    20    12  1983       36.296700
    21    12  1983       35.749600
    22    12  1983       34.937800
    23    12  1983       34.136600
    24    12  1983       33.871900
    25    12  1983       33.346000
    26    12  1983       32.565900
    27    12  1983       32.565900
    28    12  1983       32.565900
    29    12  1983       31.542000
    30    12  1983       30.288200
    31    12  1983       30.536600
     1     1  1984       31.037000
     2     1  1984       32.308200
     3     1  1984       47.280000
     4     1  1984       51.869900
     5     1  1984       61.041400
     6     1  1984       67.110300
     7     1  1984       76.831700
     8     1  1984       83.289500
     9     1  1984       87.306800
    10     1  1984       89.585300
    11     1  1984       91.897100
    12     1  1984       95.665900
    13     1  1984       97.582600
    14     1  1984       99.520900
    15     1  1984      100.498000
    16     1  1984      100.498000
    17     1  1984       98.549000
    18     1  1984       97.582600
    19     1  1984       96.621500
    20     1  1984       96.621500
    21     1  1984       96.621500
    22     1  1984       96.621500
    23     1  1984       96.621500
    24     1  1984       94.715600
    25     1  1984       88.214200
    26     1  1984       87.306800
    27     1  1984       86.404800
    28     1  1984       85.508100
    29     1  1984       87.759800
    30     1  1984       89.585300
    31     1  1984       90.968400
     1     2  1984       92.831200
     2     2  1984       95.665900
     3     2  1984       99.034300
     4     2  1984      101.974000
     5     2  1984      101.974000
     6     2  1984      101.974000
     7     2  1984      103.463000
     8     2  1984      104.963000
     9     2  1984      106.476000
    10     2  1984      116.515000
    11     2  1984      123.239000
    12     2  1984      130.119000
    13     2  1984      135.380000
    14     2  1984      159.171000
    15     2  1984      188.580000
    16     2  1984      213.580000
    17     2  1984      239.860000
    18     2  1984      248.900000
    19     2  1984      269.746000
    20     2  1984      276.848000
    21     2  1984      276.848000
    22     2  1984      272.105000
    23     2  1984      265.053000
    24     2  1984      258.079000
    25     2  1984      258.079000
    26     2  1984      260.395000
    27     2  1984      269.746000
    28     2  1984      276.848000
    29     2  1984      279.233000
     1     3  1984      284.027000
     2     3  1984      279.233000
     3     3  1984      272.105000
     4     3  1984      265.053000
     5     3  1984      258.079000
     6     3  1984      248.900000
     7     3  1984      239.860000
     8     3  1984      233.171000
     9     3  1984      224.376000
    10     3  1984      224.376000
    11     3  1984      228.756000
    12     3  1984      228.756000
    13     3  1984      226.562000
    14     3  1984      228.756000
    15     3  1984      230.960000
    16     3  1984      230.960000
    17     3  1984      233.171000
    18     3  1984      233.171000
    19     3  1984      233.171000
    20     3  1984      242.107000
    21     3  1984      242.107000
    22     3  1984      242.107000
