JI-PARANÁ	-61.936	-10.874
    29     8  1983      127.900000
    30     8  1983      125.400000
    31     8  1983      120.450000
     1     9  1983      118.010000
     2     9  1983      115.580000
     3     9  1983      115.580000
     4     9  1983      118.010000
     5     9  1983      115.580000
     6     9  1983      115.580000
     7     9  1983      113.170000
     8     9  1983      113.170000
     9     9  1983      113.170000
    10     9  1983      113.170000
    11     9  1983      113.170000
    12     9  1983      108.410000
    13     9  1983      108.410000
    14     9  1983      108.410000
    15     9  1983      106.060000
    16     9  1983      106.060000
    17     9  1983      103.720000
    18     9  1983      101.410000
    19     9  1983       99.120000
    20     9  1983       96.840000
    21     9  1983      101.410000
    22     9  1983      118.010000
    23     9  1983      138.090000
    24     9  1983      132.960000
    25     9  1983      122.920000
    26     9  1983      118.010000
    27     9  1983      115.580000
    28     9  1983      106.060000
    29     9  1983       99.120000
    30     9  1983       94.590000
     1    10  1983       94.590000
     2    10  1983       94.590000
     3    10  1983       94.590000
     4    10  1983      101.410000
     5    10  1983      108.410000
     6    10  1983      108.410000
     7    10  1983      108.410000
     8    10  1983      118.010000
     9    10  1983      127.900000
    10    10  1983      138.090000
    11    10  1983      143.290000
    12    10  1983      153.910000
    13    10  1983      167.570000
    14    10  1983      178.810000
    15    10  1983      175.970000
    16    10  1983      167.570000
    17    10  1983      164.800000
    18    10  1983      170.350000
    19    10  1983      167.570000
    20    10  1983      184.530000
    21    10  1983      199.110000
    22    10  1983      214.110000
    23    10  1983      199.110000
    24    10  1983      181.660000
    25    10  1983      170.350000
    26    10  1983      193.230000
    27    10  1983      196.160000
    28    10  1983      184.530000
    29    10  1983      164.800000
    30    10  1983      145.920000
    31    10  1983      148.560000
     1    11  1983      178.810000
     2    11  1983      235.780000
     3    11  1983      264.760000
     4    11  1983      274.690000
     5    11  1983      288.150000
     6    11  1983      288.150000
     7    11  1983      298.390000
     8    11  1983      358.930000
     9    11  1983      400.270000
    10    11  1983      385.040000
    11    11  1983      366.320000
    12    11  1983      326.360000
    13    11  1983      294.960000
    14    11  1983      274.690000
    15    11  1983      288.150000
    16    11  1983      358.930000
    17    11  1983      407.970000
    18    11  1983      396.440000
    19    11  1983      370.040000
    20    11  1983      326.360000
    21    11  1983      301.840000
    22    11  1983      301.840000
    23    11  1983      329.930000
    24    11  1983      451.250000
    25    11  1983      427.440000
    26    11  1983      388.830000
    27    11  1983      400.270000
    28    11  1983      508.650000
    29    11  1983      508.650000
    30    11  1983      487.860000
     1    12  1983      491.990000
     2    12  1983      542.580000
     3    12  1983      603.890000
     4    12  1983      555.510000
     5    12  1983      467.390000
     6    12  1983      415.720000
     7    12  1983      431.380000
     8    12  1983      447.250000
     9    12  1983      459.290000
    10    12  1983      483.740000
    11    12  1983      496.140000
    12    12  1983      517.060000
    13    12  1983      451.250000
    14    12  1983      451.250000
    15    12  1983      491.990000
    16    12  1983      542.580000
    17    12  1983      551.190000
    18    12  1983      577.320000
    19    12  1983      529.760000
    20    12  1983      483.740000
    21    12  1983      451.250000
    22    12  1983      443.260000
    23    12  1983      451.250000
    24    12  1983      435.320000
    25    12  1983      435.320000
    26    12  1983      508.650000
    27    12  1983      653.750000
    28    12  1983      792.100000
    29    12  1983      945.330000
    30    12  1983      955.900000
    31    12  1983     1009.400000
     1     1  1984     1130.860000
     2     1  1984     1086.100000
     3     1  1984      950.610000
     4     1  1984      940.070000
     5     1  1984      913.890000
     6     1  1984      971.840000
     7     1  1984     1004.010000
     8     1  1984      971.840000
     9     1  1984      898.310000
    10     1  1984      955.900000
    11     1  1984     1199.250000
    12     1  1984     1334.440000
    13     1  1984     1388.780000
    14     1  1984     1450.100000
    15     1  1984     1506.130000
    16     1  1984     1468.690000
    17     1  1984     1370.580000
    18     1  1984     1269.110000
    19     1  1984     1176.290000
    20     1  1984     1042.020000
    21     1  1984      940.070000
    22     1  1984     1020.230000
    23     1  1984      971.840000
    24     1  1984     1031.110000
    25     1  1984     1234.000000
    26     1  1984     1316.500000
    27     1  1984     1340.430000
    28     1  1984     1316.500000
    29     1  1984     1210.790000
    30     1  1984     1142.160000
    31     1  1984     1086.100000
     1     2  1984      955.900000
     2     2  1984      867.460000
     3     2  1984      821.940000
     4     2  1984      852.190000
     5     2  1984      842.060000
     6     2  1984      802.000000
     7     2  1984      792.100000
     8     2  1984      898.310000
     9     2  1984     1063.980000
    10     2  1984     1193.490000
    11     2  1984     1298.650000
    12     2  1984     1280.900000
    13     2  1984     1275.000000
    14     2  1984     1228.180000
    15     2  1984     1257.370000
    16     2  1984     1245.660000
    17     2  1984     1245.660000
    18     2  1984     1257.370000
    19     2  1984     1257.370000
    20     2  1984     1275.000000
    21     2  1984     1286.810000
    22     2  1984     1328.450000
    23     2  1984     1322.470000
    24     2  1984     1222.370000
    25     2  1984     1193.490000
    26     2  1984     1119.610000
    27     2  1984     1086.100000
    28     2  1984     1075.020000
    29     2  1984     1052.980000
     1     3  1984     1058.470000
     2     3  1984     1108.400000
     3     3  1984     1086.100000
     4     3  1984     1058.470000
