ENVIRA	-70.023	-7.428
    23     8  1983      117.770000
    24     8  1983      121.390000
    25     8  1983      127.880000
    26     8  1983      131.660000
    27     8  1983      135.510000
    28     8  1983      141.390000
    29     8  1983      145.380000
    30     8  1983      148.420000
    31     8  1983      151.490000
     1     9  1983      153.550000
     2     9  1983      150.460000
     3     9  1983      148.420000
     4     9  1983      145.380000
     5     9  1983      142.380000
     6     9  1983      138.430000
     7     9  1983      136.480000
     8     9  1983      131.660000
     9     9  1983      123.230000
    10     9  1983      120.480000
    11     9  1983      122.310000
    12     9  1983      123.230000
    13     9  1983      123.230000
    14     9  1983      122.310000
    15     9  1983      118.670000
    16     9  1983      116.870000
    17     9  1983      113.320000
    18     9  1983      107.250000
    19     9  1983      104.700000
    20     9  1983      103.020000
    21     9  1983      101.350000
    22     9  1983      101.350000
    23     9  1983      101.350000
    24     9  1983      103.020000
    25     9  1983      104.700000
    26     9  1983      103.020000
    27     9  1983      104.700000
    28     9  1983      108.110000
    29     9  1983      115.090000
    30     9  1983      119.570000
     1    10  1983      122.310000
     2    10  1983      122.310000
     3    10  1983      119.570000
     4    10  1983      116.870000
     5    10  1983      113.320000
     6    10  1983      110.700000
     7    10  1983      108.970000
     8    10  1983      110.700000
     9    10  1983      114.200000
    10    10  1983      121.390000
    11    10  1983      132.620000
    12    10  1983      139.420000
    13    10  1983      135.510000
    14    10  1983      132.620000
    15    10  1983      130.710000
    16    10  1983      126.940000
    17    10  1983      123.230000
    18    10  1983      118.670000
    19    10  1983      116.870000
    20    10  1983      127.880000
    21    10  1983      127.880000
    22    10  1983      124.150000
    23    10  1983      121.390000
    24    10  1983      121.390000
    25    10  1983      128.820000
    26    10  1983      130.710000
    27    10  1983      134.540000
    28    10  1983      138.430000
    29    10  1983      140.400000
    30    10  1983      143.380000
    31    10  1983      145.380000
     1    11  1983      159.830000
     2    11  1983      212.520000
     3    11  1983      329.710000
     4    11  1983      555.900000
     5    11  1983     1000.150000
     6    11  1983     1214.640000
     7    11  1983     1122.560000
     8    11  1983      950.000000
     9    11  1983      909.260000
    10    11  1983      925.440000
    11    11  1983     1037.230000
    12    11  1983     1128.570000
    13    11  1983     1183.510000
    14    11  1983     1208.380000
    15    11  1983     1227.210000
    16    11  1983     1060.410000
    17    11  1983     1014.320000
    18    11  1983      972.120000
    19    11  1983      906.580000
    20    11  1983      768.020000
    21    11  1983      719.810000
    22    11  1983      666.440000
    23    11  1983      591.550000
    24    11  1983      525.420000
    25    11  1983      470.980000
    26    11  1983      450.460000
    27    11  1983      443.120000
    28    11  1983      452.310000
    29    11  1983      461.590000
    30    11  1983      470.980000
     1    12  1983      480.470000
     2    12  1983      491.990000
     3    12  1983      525.420000
     4    12  1983      568.350000
     5    12  1983      632.810000
     6    12  1983      668.710000
     7    12  1983      710.370000
     8    12  1983      772.930000
     9    12  1983      825.530000
    10    12  1983      872.100000
    11    12  1983      920.030000
    12    12  1983      991.690000
    13    12  1983     1060.410000
    14    12  1983     1134.610000
    15    12  1983     1183.510000
    16    12  1983     1265.340000
    17    12  1983     1323.710000
    18    12  1983     1383.490000
    19    12  1983     1441.240000
    20    12  1983     1455.020000
    21    12  1983     1413.910000
    22    12  1983     1360.070000
    23    12  1983     1307.350000
    24    12  1983     1239.850000
    25    12  1983     1143.700000
    26    12  1983     1031.480000
    27    12  1983      944.510000
    28    12  1983      795.250000
    29    12  1983      820.440000
    30    12  1983      977.690000
    31    12  1983     1104.610000
     1     1  1984     1183.510000
     2     1  1984     1236.680000
     3     1  1984     1246.200000
     4     1  1984     1208.380000
     5     1  1984     1465.390000
     6     1  1984     1578.540000
     7     1  1984     1479.290000
     8     1  1984     1496.760000
     9     1  1984     1711.220000
    10     1  1984     1993.870000
    11     1  1984     2101.640000
    12     1  1984     2105.840000
    13     1  1984     2068.150000
    14     1  1984     2135.410000
    15     1  1984     2489.020000
    16     1  1984     2792.880000
    17     1  1984     2956.900000
    18     1  1984     3053.610000
    19     1  1984     3110.360000
    20     1  1984     3110.360000
    21     1  1984     3022.890000
    22     1  1984     2792.880000
    23     1  1984     2563.230000
    24     1  1984     2434.130000
    25     1  1984     2479.820000
    26     1  1984     2260.240000
    27     1  1984     2135.410000
    28     1  1984     2093.240000
    29     1  1984     2043.230000
    30     1  1984     1973.490000
    31     1  1984     1929.060000
     1     2  1984     1961.320000
     2     2  1984     2063.990000
     3     2  1984     2156.660000
     4     2  1984     2330.740000
     5     2  1984     2734.480000
     6     2  1984     2972.060000
     7     2  1984     3125.930000
     8     2  1984     3262.660000
     9     2  1984     3337.590000
    10     2  1984     3413.420000
    11     2  1984     3490.170000
    12     2  1984     3528.890000
    13     2  1984     3556.680000
    14     2  1984     3556.680000
    15     2  1984     3556.680000
    16     2  1984     3567.830000
    17     2  1984     3567.830000
    18     2  1984     3567.830000
    19     2  1984     3556.680000
    20     2  1984     3556.680000
    21     2  1984     3545.550000
    22     2  1984     3556.680000
    23     2  1984     3573.410000
    24     2  1984     3590.190000
    25     2  1984     3623.860000
    26     2  1984     3652.060000
    27     2  1984     3669.030000
    28     2  1984     3669.030000
    29     2  1984     3618.240000
     1     3  1984     3556.680000
     2     3  1984     3512.270000
     3     3  1984     3506.730000
     4     3  1984     3539.990000
     5     3  1984     3573.410000
     6     3  1984     3607.000000
     7     3  1984     3652.060000
     8     3  1984     3680.360000
     9     3  1984     3674.690000
    10     3  1984     3640.760000
    11     3  1984     3590.190000
    12     3  1984     3534.440000
    13     3  1984     3468.150000
    14     3  1984     3348.370000
    15     3  1984     3230.830000
    16     3  1984     3105.180000
    17     3  1984     2961.950000
    18     3  1984     2812.490000
    19     3  1984     2516.710000
    20     3  1984     2195.200000
    21     3  1984     1997.960000
    22     3  1984     1749.100000
    23     3  1984     1718.760000
    24     3  1984     1877.240000
    25     3  1984     2255.870000
    26     3  1984     2629.120000
    27     3  1984     2763.600000
    28     3  1984     2614.930000
    29     3  1984     2344.090000
    30     3  1984     2195.200000
    31     3  1984     2182.310000
     1     4  1984     2308.590000
     2     4  1984     2344.090000
     3     4  1984     2260.240000
     4     4  1984     2326.300000
     5     4  1984     2563.230000
     6     4  1984     2671.950000
     7     4  1984     2911.670000
