PEDRASNEGRAS	-62.899	-12.851
    22     8  1983      269.517000
    23     8  1983      265.714000
    24     8  1983      261.940000
    25     8  1983      258.195000
    26     8  1983      254.477000
    27     8  1983      250.788000
    28     8  1983      247.128000
    29     8  1983      243.496000
    30     8  1983      239.892000
    31     8  1983      236.316000
     1     9  1983      234.539000
     2     9  1983      232.768000
     3     9  1983      229.249000
     4     9  1983      227.500000
     5     9  1983      225.758000
     6     9  1983      222.295000
     7     9  1983      218.860000
     8     9  1983      215.454000
     9     9  1983      212.075000
    10     9  1983      207.060000
    11     9  1983      200.471000
    12     9  1983      198.842000
    13     9  1983      197.219000
    14     9  1983      195.603000
    15     9  1983      195.603000
    16     9  1983      193.995000
    17     9  1983      192.393000
    18     9  1983      190.798000
    19     9  1983      190.798000
    20     9  1983      189.210000
    21     9  1983      187.630000
    22     9  1983      186.056000
    23     9  1983      186.056000
    24     9  1983      186.056000
    25     9  1983      182.929000
    26     9  1983      182.929000
    27     9  1983      181.376000
    28     9  1983      184.489000
    29     9  1983      190.798000
    30     9  1983      189.210000
     1    10  1983      189.210000
     2    10  1983      187.630000
     3    10  1983      186.056000
     4    10  1983      182.929000
     5    10  1983      181.376000
     6    10  1983      178.291000
     7    10  1983      175.234000
     8    10  1983      175.234000
     9    10  1983      172.205000
    10    10  1983      172.205000
    11    10  1983      175.234000
    12    10  1983      182.929000
    13    10  1983      186.056000
    14    10  1983      186.056000
    15    10  1983      182.929000
    16    10  1983      181.376000
    17    10  1983      179.830000
    18    10  1983      181.376000
    19    10  1983      181.376000
    20    10  1983      182.929000
    21    10  1983      184.489000
    22    10  1983      184.489000
    23    10  1983      182.929000
    24    10  1983      179.830000
    25    10  1983      176.759000
    26    10  1983      173.716000
    27    10  1983      170.701000
    28    10  1983      169.203000
    29    10  1983      170.701000
    30    10  1983      173.716000
    31    10  1983      176.759000
     1    11  1983      178.291000
     2    11  1983      179.830000
     3    11  1983      181.376000
     4    11  1983      184.489000
     5    11  1983      187.630000
     6    11  1983      190.798000
     7    11  1983      193.995000
     8    11  1983      197.219000
     9    11  1983      198.842000
    10    11  1983      198.842000
    11    11  1983      200.471000
    12    11  1983      207.060000
    13    11  1983      213.761000
    14    11  1983      218.860000
    15    11  1983      222.295000
    16    11  1983      224.023000
    17    11  1983      227.500000
    18    11  1983      231.005000
    19    11  1983      234.539000
    20    11  1983      236.316000
    21    11  1983      241.690000
    22    11  1983      247.128000
    23    11  1983      250.788000
    24    11  1983      254.477000
    25    11  1983      256.332000
    26    11  1983      258.195000
    27    11  1983      261.940000
    28    11  1983      263.824000
    29    11  1983      265.714000
    30    11  1983      267.612000
     1    12  1983      269.517000
     2    12  1983      271.429000
     3    12  1983      273.348000
     4    12  1983      277.207000
     5    12  1983      281.095000
     6    12  1983      286.980000
     7    12  1983      292.929000
     8    12  1983      296.931000
     9    12  1983      300.962000
    10    12  1983      309.108000
    11    12  1983      319.453000
    12    12  1983      325.746000
    13    12  1983      329.977000
    14    12  1983      329.977000
    15    12  1983      334.237000
    16    12  1983      338.525000
    17    12  1983      340.680000
    18    12  1983      345.012000
    19    12  1983      351.564000
    20    12  1983      355.967000
    21    12  1983      369.352000
    22    12  1983      396.901000
    23    12  1983      425.496000
    24    12  1983      442.659000
    25    12  1983      460.181000
    26    12  1983      480.644000
    27    12  1983      496.298000
