SERINGALDACARIDADE	-68.577	-9.044
    23     8  1983       73.600000
    24     8  1983       71.770000
    25     8  1983       70.860000
    26     8  1983       72.690000
    27     8  1983       74.530000
    28     8  1983       75.450000
    29     8  1983       76.380000
    30     8  1983       77.320000
    31     8  1983       81.110000
     1     9  1983       81.110000
     2     9  1983       78.260000
     3     9  1983       75.450000
     4     9  1983       71.770000
     5     9  1983       68.170000
     6     9  1983       67.280000
     7     9  1983       66.390000
     8     9  1983       68.170000
     9     9  1983       71.770000
    10     9  1983       78.260000
    11     9  1983       78.260000
    12     9  1983       79.210000
    13     9  1983       84.980000
    14     9  1983       87.930000
    15     9  1983       84.010000
    16     9  1983       81.110000
    17     9  1983       76.380000
    18     9  1983       73.600000
    19     9  1983       72.690000
    20     9  1983       80.160000
    21     9  1983       81.110000
    22     9  1983       81.110000
    23     9  1983       86.940000
    24     9  1983       81.110000
    25     9  1983       78.260000
    26     9  1983       76.380000
    27     9  1983       74.530000
    28     9  1983       71.770000
    29     9  1983       65.520000
    30     9  1983       62.910000
     1    10  1983       62.050000
     2    10  1983       66.390000
     3    10  1983       67.280000
     4    10  1983       69.960000
     5    10  1983       67.280000
     6    10  1983       66.390000
     7    10  1983       63.770000
     8    10  1983       59.500000
     9    10  1983       59.500000
    10    10  1983       62.050000
    11    10  1983       72.690000
    12    10  1983       77.320000
    13    10  1983       78.260000
    14    10  1983       77.320000
    15    10  1983       76.380000
    16    10  1983       71.770000
    17    10  1983       71.770000
    18    10  1983       71.770000
    19    10  1983       69.960000
    20    10  1983       72.690000
    21    10  1983       76.380000
    22    10  1983       78.260000
    23    10  1983       79.210000
    24    10  1983       84.010000
    25    10  1983       84.980000
    26    10  1983       86.940000
    27    10  1983       86.940000
    28    10  1983       85.960000
    29    10  1983       88.920000
    30    10  1983       98.060000
    31    10  1983      106.480000
     1    11  1983      103.290000
     2    11  1983      102.240000
     3    11  1983      110.800000
     4    11  1983      124.190000
     5    11  1983      142.990000
     6    11  1983      200.200000
     7    11  1983      266.660000
     8    11  1983      433.450000
     9    11  1983      463.920000
    10    11  1983      406.010000
    11    11  1983      321.960000
    12    11  1983      305.250000
    13    11  1983      285.690000
    14    11  1983      358.240000
    15    11  1983      455.120000
    16    11  1983      475.030000
    17    11  1983      418.570000
    18    11  1983      381.490000
    19    11  1983      356.470000
    20    11  1983      358.240000
    21    11  1983      342.500000
    22    11  1983      339.040000
    23    11  1983      372.470000
    24    11  1983      349.460000
    25    11  1983      339.040000
    26    11  1983      520.650000
    27    11  1983      874.280000
    28    11  1983     1075.130000
    29    11  1983      946.250000
    30    11  1983      749.080000
     1    12  1983      671.380000
     2    12  1983      740.860000
     3    12  1983      793.590000
     4    12  1983      768.410000
     5    12  1983     1027.120000
     6    12  1983     1194.410000
     7    12  1983     1225.120000
     8    12  1983     1391.190000
     9    12  1983     1475.930000
    10    12  1983     1446.200000
    11    12  1983     1502.170000
    12    12  1983     1624.790000
    13    12  1983     1464.750000
    14    12  1983     1197.810000
    15    12  1983      906.950000
    16    12  1983      799.240000
    17    12  1983      796.410000
    18    12  1983      845.060000
    19    12  1983      934.080000
    20    12  1983     1187.640000
    21    12  1983     1461.030000
    22    12  1983     1547.650000
    23    12  1983     1424.080000
    24    12  1983     1167.420000
    25    12  1983      967.730000
    26    12  1983      847.960000
    27    12  1983      813.430000
    28    12  1983      824.870000
    29    12  1983      833.500000
    30    12  1983     1017.630000
    31    12  1983     1036.640000
     1     1  1984      961.570000
     2     1  1984      909.940000
