CAREIRO	-59.833	-3.196
    17     7  2000    23850.400000
    18     7  2000    23676.300000
    19     7  2000    23502.700000
    20     7  2000    23329.600000
    21     7  2000    23157.100000
    22     7  2000    22985.000000
    23     7  2000    22813.500000
    24     7  2000    22642.600000
    25     7  2000    22472.100000
    26     7  2000    22302.200000
    27     7  2000    22217.500000
    28     7  2000    21964.000000
    29     7  2000    21858.200000
    30     7  2000    21799.700000
    31     7  2000    21682.900000
     1     8  2000    21566.500000
     2     8  2000    21450.600000
     3     8  2000    21306.200000
     4     8  2000    21191.200000
     5     8  2000    21105.200000
     6     8  2000    20990.900000
     7     8  2000    20905.500000
     8     8  2000    20791.900000
     9     8  2000    20650.600000
    10     8  2000    20537.900000
    11     8  2000    20425.700000
    12     8  2000    20286.000000
    13     8  2000    20119.200000
    14     8  2000    19953.300000
    15     8  2000    19815.700000
    16     8  2000    19706.100000
    17     8  2000    19569.700000
    18     8  2000    19434.000000
    19     8  2000    19298.800000
    20     8  2000    19191.200000
    21     8  2000    19057.100000
    22     8  2000    18897.200000
    23     8  2000    18764.500000
    24     8  2000    18632.500000
    25     8  2000    18474.900000
    26     8  2000    18318.200000
    27     8  2000    18136.500000
    28     8  2000    17930.300000
    29     8  2000    17751.100000
    30     8  2000    17547.900000
    31     8  2000    17396.500000
     1     9  2000    17220.900000
     2     9  2000    16996.900000
     3     9  2000    16774.900000
     4     9  2000    16554.800000
     5     9  2000    16336.700000
     6     9  2000    16096.600000
     7     9  2000    15953.600000
     8     9  2000    15693.800000
     9     9  2000    15460.000000
    10     9  2000    15228.600000
    11     9  2000    14953.900000
    12     9  2000    14682.600000
    13     9  2000    14436.800000
    14     9  2000    14171.800000
    15     9  2000    13910.000000
    16     9  2000    13630.100000
    17     9  2000    13375.000000
    18     9  2000    13144.100000
    19     9  2000    12874.600000
    20     9  2000    12588.500000
    21     9  2000    12346.700000
    22     9  2000    12108.000000
    23     9  2000    11813.900000
    24     9  2000    11563.000000
    25     9  2000    11259.100000
    26     9  2000    10979.000000
    27     9  2000    10703.600000
    28     9  2000    10486.700000
    29     9  2000    10272.700000
    30     9  2000    10009.300000
     1    10  2000     9784.660000
     2    10  2000     9607.590000
     3    10  2000     9442.200000
     4    10  2000     9289.580000
     5    10  2000     9149.540000
     6    10  2000     8998.730000
     7    10  2000     8883.360000
     8    10  2000     8757.110000
     9    10  2000     8620.140000
    10    10  2000     8506.630000
    11    10  2000     8416.220000
    12    10  2000     8348.660000
    13    10  2000     8270.090000
    14    10  2000     8214.140000
    15    10  2000     8158.330000
    16    10  2000     8113.790000
    17    10  2000     8058.240000
    18    10  2000     8002.830000
    19    10  2000     7958.610000
    20    10  2000     7903.460000
    21    10  2000     7848.460000
    22    10  2000     7804.560000
    23    10  2000     7749.810000
    24    10  2000     7684.310000
    25    10  2000     7608.150000
    26    10  2000     7543.100000
    27    10  2000     7478.260000
    28    10  2000     7413.630000
    29    10  2000     7349.210000
    30    10  2000     7285.010000
    31    10  2000     7221.010000
     1    11  2000     7146.610000
     2    11  2000     7072.510000
     3    11  2000     6988.170000
     4    11  2000     6914.690000
     5    11  2000     6851.940000
     6    11  2000     6789.400000
     7    11  2000     6727.070000
     8    11  2000     6695.990000
     9    11  2000     6664.960000
    10    11  2000     6623.680000
    11    11  2000     6582.490000
    12    11  2000     6551.660000
    13    11  2000     6520.890000
    14    11  2000     6490.170000
    15    11  2000     6459.500000
    16    11  2000     6439.090000
    17    11  2000     6418.700000
    18    11  2000     6408.520000
    19    11  2000     6388.160000
    20    11  2000     6367.840000
    21    11  2000     6347.530000
    22    11  2000     6307.000000
    23    11  2000     6266.560000
    24    11  2000     6226.220000
    25    11  2000     6165.890000
    26    11  2000     6095.790000
    27    11  2000     6016.040000
    28    11  2000     5936.690000
    29    11  2000     5838.050000
    30    11  2000     5759.590000
     1    12  2000     5662.080000
     2    12  2000     5594.190000
     3    12  2000     5516.980000
     4    12  2000     5440.170000
     5    12  2000     5373.300000
     6    12  2000     5306.730000
     7    12  2000     5278.300000
     8    12  2000     5249.930000
     9    12  2000     5221.610000
    10    12  2000     5231.040000
    11    12  2000     5231.040000
    12    12  2000     5249.930000
    13    12  2000     5278.300000
    14    12  2000     5306.730000
    15    12  2000     5335.220000
    16    12  2000     5373.300000
    17    12  2000     5421.030000
    18    12  2000     5488.130000
    19    12  2000     5584.520000
    20    12  2000     5681.530000
    21    12  2000     5779.170000
    22    12  2000     5887.290000
    23    12  2000     6006.100000
    24    12  2000     6125.800000
    25    12  2000     6276.660000
    26    12  2000     6408.520000
    27    12  2000     6500.400000
    28    12  2000     6572.210000
    29    12  2000     6623.680000
    30    12  2000     6664.960000
    31    12  2000     6706.350000
     1     1  2001     6768.600000
     2     1  2001     6727.070000
     3     1  2001     6706.350000
     4     1  2001     6685.640000
     5     1  2001     6664.960000
     6     1  2001     6644.310000
     7     1  2001     6623.680000
     8     1  2001     6623.680000
     9     1  2001     6623.680000
    10     1  2001     6654.630000
    11     1  2001     6706.350000
    12     1  2001     6747.820000
    13     1  2001     6810.220000
    14     1  2001     6872.830000
    15     1  2001     6967.150000
    16     1  2001     7072.510000
    17     1  2001     7199.720000
    18     1  2001     7338.500000
    19     1  2001     7510.660000
    20     1  2001     7640.760000
    21     1  2001     7793.600000
    22     1  2001     7947.570000
    23     1  2001     8080.440000
    24     1  2001     8202.970000
    25     1  2001     8348.660000
    26     1  2001     8483.990000
    27     1  2001     8597.400000
    28     1  2001     8711.360000
    29     1  2001     8848.860000
    30     1  2001     8964.060000
    31     1  2001     9079.820000
     1     2  2001     9196.130000
     2     2  2001     9313.000000
     3     2  2001     9453.970000
     4     2  2001     9572.050000
     5     2  2001     9682.150000
     6     2  2001     9870.640000
     7     2  2001    10044.100000
     8     2  2001    10237.300000
     9     2  2001    10397.100000
    10     2  2001    10576.700000
    11     2  2001    10721.800000
    12     2  2001    10868.300000
    13     2  2001    11016.100000
    14     2  2001    11165.200000
    15     2  2001    11315.600000
    16     2  2001    11429.400000
    17     2  2001    11543.800000
