SANTOANTÔNIODOIÇÁ	-67.933	-3.083
    17     7  1983    34331.200000
    18     7  1983    33422.400000
    19     7  1983    32640.300000
    20     7  1983    31635.100000
    21     7  1983    30642.800000
    22     7  1983    29888.400000
    23     7  1983    28993.400000
    24     7  1983    27963.400000
    25     7  1983    27092.800000
    26     7  1983    26697.600000
    27     7  1983    26769.300000
    28     7  1983    27164.900000
    29     7  1983    27817.500000
    30     7  1983    28586.900000
    31     7  1983    29253.300000
     1     8  1983    29775.900000
     2     8  1983    30076.300000
     3     8  1983    30189.300000
     4     8  1983    30076.300000
     5     8  1983    29926.000000
     6     8  1983    29551.500000
     7     8  1983    29141.800000
     8     8  1983    28623.800000
     9     8  1983    28219.500000
    10     8  1983    28036.500000
    11     8  1983    28073.000000
    12     8  1983    28146.200000
    13     8  1983    28146.200000
    14     8  1983    27926.900000
    15     8  1983    27635.600000
    16     8  1983    27273.200000
    17     8  1983    26912.800000
    18     8  1983    26483.000000
    19     8  1983    26056.000000
    20     8  1983    25631.800000
    21     8  1983    25245.600000
    22     8  1983    25001.000000
    23     8  1983    24688.000000
    24     8  1983    24342.200000
    25     8  1983    24066.900000
    26     8  1983    23929.800000
    27     8  1983    24342.200000
    28     8  1983    24757.400000
    29     8  1983    25210.600000
    30     8  1983    25631.800000
    31     8  1983    26091.500000
     1     9  1983    26483.000000
     2     9  1983    26841.000000
     3     9  1983    27164.900000
     4     9  1983    27490.400000
     5     9  1983    27781.100000
     6     9  1983    28073.000000
     7     9  1983    28403.000000
     8     9  1983    28808.300000
     9     9  1983    29141.800000
    10     9  1983    29439.500000
    11     9  1983    29663.600000
    12     9  1983    29738.500000
    13     9  1983    30038.700000
    14     9  1983    30604.900000
    15     9  1983    30984.800000
    16     9  1983    31251.900000
    17     9  1983    31251.900000
    18     9  1983    31175.500000
    19     9  1983    31099.200000
    20     9  1983    31175.500000
    21     9  1983    31290.200000
    22     9  1983    31443.300000
    23     9  1983    31558.300000
    24     9  1983    31673.500000
    25     9  1983    31596.700000
    26     9  1983    31404.900000
    27     9  1983    30984.800000
    28     9  1983    30529.200000
    29     9  1983    29963.500000
    30     9  1983    29365.000000
     1    10  1983    28993.400000
     2    10  1983    28660.700000
     3    10  1983    28182.800000
     4    10  1983    27854.000000
     5    10  1983    27671.900000
     6    10  1983    27635.600000
     7    10  1983    27599.300000
     8    10  1983    27744.700000
     9    10  1983    28182.800000
    10    10  1983    28550.100000
    11    10  1983    28882.300000
