CARACARAÍ	-61.124	1.821
    24     8  1983     1733.930000
    25     8  1983     2143.000000
    26     8  1983     2640.180000
    27     8  1983     2904.300000
    28     8  1983     2607.890000
    29     8  1983     2293.850000
    30     8  1983     2152.930000
    31     8  1983     2123.200000
     1     9  1983     2123.200000
     2     9  1983     2162.870000
     3     9  1983     2182.820000
     4     9  1983     2103.480000
     5     9  1983     1825.920000
     6     9  1983     1573.230000
     7     9  1983     1435.730000
     8     9  1983     1352.400000
     9     9  1983     1295.280000
    10     9  1983     1231.220000
    11     9  1983     1153.010000
    12     9  1983     1114.680000
    13     9  1983     1084.400000
    14     9  1983     1061.910000
    15     9  1983     1047.020000
    16     9  1983     1047.020000
    17     9  1983     1039.610000
    18     9  1983     1017.510000
    19     9  1983     1017.510000
    20     9  1983     1002.880000
    21     9  1983      966.677000
    22     9  1983      938.107000
    23     9  1983      916.907000
    24     9  1983      868.208000
    25     9  1983      834.083000
    26     9  1983      827.325000
    27     9  1983      820.589000
    28     9  1983      813.876000
    29     9  1983      813.876000
    30     9  1983      807.184000
     1    10  1983      807.184000
     2    10  1983      800.515000
     3    10  1983      787.245000
     4    10  1983      774.064000
     5    10  1983      760.974000
     6    10  1983      754.462000
     7    10  1983      747.974000
     8    10  1983      735.064000
     9    10  1983      728.644000
    10    10  1983      728.644000
    11    10  1983      715.872000
    12    10  1983      696.885000
    13    10  1983      659.534000
    14    10  1983      617.016000
    15    10  1983      587.353000
    16    10  1983      569.839000
    17    10  1983      541.129000
    18    10  1983      513.023000
    19    10  1983      529.814000
    20    10  1983      518.595000
    21    10  1983      518.595000
    22    10  1983      513.023000
    23    10  1983      507.474000
    24    10  1983      507.474000
    25    10  1983      501.951000
    26    10  1983      501.951000
    27    10  1983      501.951000
    28    10  1983      496.451000
    29    10  1983      518.595000
    30    10  1983      546.823000
    31    10  1983      581.491000
     1    11  1983      629.047000
     2    11  1983      635.098000
     3    11  1983      647.269000
     4    11  1983      684.342000
     5    11  1983      690.602000
     6    11  1983      684.342000
     7    11  1983      678.105000
     8    11  1983      659.534000
     9    11  1983      641.172000
    10    11  1983      629.047000
    11    11  1983      593.238000
    12    11  1983      569.839000
    13    11  1983      552.541000
    14    11  1983      569.839000
    15    11  1983      611.036000
    16    11  1983      653.390000
    17    11  1983      641.172000
    18    11  1983      611.036000
    19    11  1983      593.238000
    20    11  1983      524.193000
    21    11  1983      501.951000
    22    11  1983      485.526000
    23    11  1983      463.972000
    24    11  1983      442.816000
    25    11  1983      432.389000
    26    11  1983      427.213000
    27    11  1983      437.590000
    28    11  1983      411.836000
    29    11  1983      386.719000
    30    11  1983      352.637000
     1    12  1983      386.719000
     2    12  1983      422.062000
     3    12  1983      458.646000
     4    12  1983      490.976000
     5    12  1983      513.023000
     6    12  1983      546.823000
     7    12  1983      569.839000
     8    12  1983      611.036000
     9    12  1983      641.172000
    10    12  1983      671.892000
    11    12  1983      696.885000
    12    12  1983      735.064000
    13    12  1983      787.245000
    14    12  1983      820.589000
    15    12  1983      868.208000
    16    12  1983      909.885000
    17    12  1983      938.107000
    18    12  1983      973.874000
    19    12  1983      945.217000
    20    12  1983      916.907000
    21    12  1983      882.012000
    22    12  1983      820.589000
    23    12  1983      774.064000
    24    12  1983      709.520000
    25    12  1983      665.701000
    26    12  1983      635.098000
    27    12  1983      605.080000
    28    12  1983      575.653000
    29    12  1983      529.814000
    30    12  1983      501.951000
    31    12  1983      474.700000
     1     1  1984      458.646000
     2     1  1984      485.526000
     3     1  1984      529.814000
     4     1  1984      599.147000
     5     1  1984      641.172000
     6     1  1984      629.047000
     7     1  1984      587.353000
     8     1  1984      552.541000
     9     1  1984      569.839000
    10     1  1984      690.602000
    11     1  1984      813.876000
    12     1  1984      834.083000
    13     1  1984      767.508000
    14     1  1984      690.602000
    15     1  1984      623.020000
    16     1  1984      564.049000
    17     1  1984      518.595000
    18     1  1984      480.101000
    19     1  1984      463.972000
    20     1  1984      448.068000
    21     1  1984      442.816000
    22     1  1984      448.068000
    23     1  1984      474.700000
    24     1  1984      558.283000
    25     1  1984      820.589000
    26     1  1984     1160.730000
    27     1  1984     1344.180000
    28     1  1984     1444.180000
    29     1  1984     1529.710000
    30     1  1984     1581.990000
    31     1  1984     1547.060000
     1     2  1984     1512.450000
     2     2  1984     1495.260000
     3     2  1984     1452.640000
     4     2  1984     1452.640000
     5     2  1984     1581.990000
     6     2  1984     1688.660000
     7     2  1984     1779.690000
     8     2  1984     1743.040000
     9     2  1984     1564.480000
    10     2  1984     1377.190000
    11     2  1984     1311.500000
    12     2  1984     1184.040000
    13     2  1984     1054.460000
    14     2  1984     1002.880000
    15     2  1984      861.339000
    16     2  1984      834.083000
    17     2  1984      807.184000
    18     2  1984      800.515000
    19     2  1984      800.515000
    20     2  1984      787.245000
    21     2  1984      854.492000
    22     2  1984      813.876000
    23     2  1984      780.643000
    24     2  1984      774.064000
    25     2  1984      854.492000
    26     2  1984      931.019000
    27     2  1984      988.332000
    28     2  1984     1017.510000
    29     2  1984     1047.020000
     1     3  1984     1076.880000
     2     3  1984     1107.080000
     3     3  1984     1137.610000
     4     3  1984     1145.300000
     5     3  1984     1107.080000
     6     3  1984     1084.400000
     7     3  1984     1054.460000
     8     3  1984     1017.510000
     9     3  1984      966.677000
    10     3  1984      875.099000
    11     3  1984      807.184000
    12     3  1984      722.246000
    13     3  1984      690.602000
    14     3  1984      653.390000
    15     3  1984      629.047000
    16     3  1984      581.491000
    17     3  1984      529.814000
    18     3  1984      480.101000
    19     3  1984      458.646000
    20     3  1984      437.590000
    21     3  1984      411.836000
    22     3  1984      386.719000
    23     3  1984      367.087000
    24     3  1984      352.637000
    25     3  1984      347.872000
    26     3  1984      347.872000
    27     3  1984      367.087000
    28     3  1984      396.689000
    29     3  1984      416.936000
    30     3  1984      437.590000
    31     3  1984      427.213000
     1     4  1984      386.719000
     2     4  1984      396.689000
     3     4  1984      427.213000
     4     4  1984      501.951000
     5     4  1984      581.491000
     6     4  1984      641.172000
     7     4  1984      647.269000
     8     4  1984      593.238000
     9     4  1984      535.459000
    10     4  1984      513.023000
    11     4  1984      524.193000
    12     4  1984      558.283000
    13     4  1984      480.101000
    14     4  1984      437.590000
    15     4  1984      416.936000
    16     4  1984      396.689000
    17     4  1984      376.851000
    18     4  1984      357.428000
    19     4  1984      347.872000
    20     4  1984      343.134000
    21     4  1984      343.134000
    22     4  1984      386.719000
    23     4  1984      442.816000
    24     4  1984      474.700000
    25     4  1984      485.526000
    26     4  1984      463.972000
    27     4  1984      432.389000
    28     4  1984      422.062000
    29     4  1984      422.062000
    30     4  1984      442.816000
     1     5  1984      671.892000
     2     5  1984     1199.680000
     3     5  1984     1661.720000
     4     5  1984     1788.900000
     5     5  1984     1688.660000
     6     5  1984     1521.070000
     7     5  1984     1377.190000
     8     5  1984     1319.640000
     9     5  1984     1184.040000
    10     5  1984     1010.180000
    11     5  1984      931.019000
    12     5  1984     1114.680000
    13     5  1984     1547.060000
    14     5  1984     1938.850000
    15     5  1984     2005.980000
    16     5  1984     1706.710000
    17     5  1984     1634.970000
    18     5  1984     2044.750000
    19     5  1984     2694.360000
    20     5  1984     2770.970000
    21     5  1984     2661.800000
    22     5  1984     2407.100000
    23     5  1984     2103.480000
    24     5  1984     1929.330000
    25     5  1984     2103.480000
    26     5  1984     2597.160000
    27     5  1984     3040.160000
    28     5  1984     3283.920000
    29     5  1984     3559.560000
    30     5  1984     3970.600000
    31     5  1984     4399.630000
