RIOBRANCO	-67.800	-9.976
     2     9  1983       28.640000
     3     9  1983       27.930000
     4     9  1983       26.890000
     5     9  1983       26.540000
     6     9  1983       26.890000
     7     9  1983       27.230000
     8     9  1983       27.580000
     9     9  1983       26.540000
    10     9  1983       25.860000
    11     9  1983       25.190000
    12     9  1983       24.520000
    13     9  1983       24.190000
    14     9  1983       23.540000
    15     9  1983       22.900000
    16     9  1983       22.900000
    17     9  1983       23.540000
    18     9  1983       24.190000
    19     9  1983       25.190000
    20     9  1983       25.190000
    21     9  1983       24.190000
    22     9  1983       23.220000
    23     9  1983       22.580000
    24     9  1983       21.950000
    25     9  1983       22.580000
    26     9  1983       23.870000
    27     9  1983       24.850000
    28     9  1983       26.200000
    29     9  1983       27.580000
    30     9  1983       28.280000
     1    10  1983       28.280000
     2    10  1983       27.580000
     3    10  1983       26.890000
     4    10  1983       30.440000
     5    10  1983       34.970000
     6    10  1983       33.050000
     7    10  1983       30.800000
     8    10  1983       28.280000
     9    10  1983       26.200000
    10    10  1983       22.900000
    11    10  1983       23.870000
    12    10  1983       27.580000
    13    10  1983       28.640000
    14    10  1983       25.190000
    15    10  1983       23.870000
    16    10  1983       22.580000
    17    10  1983       21.630000
    18    10  1983       19.800000
    19    10  1983       21.320000
    20    10  1983       19.800000
    21    10  1983       22.900000
    22    10  1983       25.520000
    23    10  1983       29.350000
    24    10  1983       27.580000
    25    10  1983       27.580000
    26    10  1983       27.930000
    27    10  1983       28.280000
    28    10  1983       30.070000
    29    10  1983       33.810000
    30    10  1983       32.290000
    31    10  1983       35.370000
     1    11  1983       35.760000
     2    11  1983       35.370000
     3    11  1983       37.350000
     4    11  1983       44.050000
     5    11  1983       47.150000
     6    11  1983       48.960000
     7    11  1983       51.730000
     8    11  1983       49.880000
     9    11  1983       42.760000
    10    11  1983       44.490000
    11    11  1983       52.670000
    12    11  1983       61.950000
    13    11  1983       79.060000
    14    11  1983      122.000000
    15    11  1983      233.150000
    16    11  1983      341.750000
    17    11  1983      439.060000
    18    11  1983      537.710000
    19    11  1983      435.480000
    20    11  1983      256.230000
    21    11  1983      189.880000
    22    11  1983      145.360000
    23    11  1983       91.260000
    24    11  1983       73.520000
    25    11  1983      106.140000
    26    11  1983      152.800000
    27    11  1983      171.290000
    28    11  1983      161.160000
    29    11  1983      169.720000
    30    11  1983      191.540000
     1    12  1983      189.880000
     2    12  1983      209.300000
     3    12  1983      194.870000
     4    12  1983      190.710000
     5    12  1983      270.540000
     6    12  1983      381.180000
     7    12  1983      362.330000
     8    12  1983      353.600000
     9    12  1983      414.310000
    10    12  1983      494.180000
    11    12  1983      621.210000
    12    12  1983      564.070000
    13    12  1983      517.030000
    14    12  1983      384.560000
    15    12  1983      259.070000
    16    12  1983      221.530000
    17    12  1983      167.360000
    18    12  1983      139.540000
    19    12  1983      133.100000
    20    12  1983      120.640000
    21    12  1983      113.950000
    22    12  1983      136.660000
    23    12  1983      160.390000
    24    12  1983      215.380000
    25    12  1983      236.780000
    26    12  1983      359.040000
    27    12  1983      318.590000
    28    12  1983      289.150000
    29    12  1983      284.200000
    30    12  1983      320.660000
    31    12  1983      336.420000
     1     1  1984      366.730000
     2     1  1984      401.610000
     3     1  1984      393.610000
     4     1  1984      386.810000
     5     1  1984      476.720000
     6     1  1984      712.880000
     7     1  1984      741.160000
     8     1  1984      756.230000
     9     1  1984      774.500000
    10     1  1984      792.960000
    11     1  1984      768.390000
    12     1  1984      744.160000
    13     1  1984      718.800000
    14     1  1984      717.320000
    15     1  1984      865.460000
    16     1  1984      899.480000
    17     1  1984      942.400000
    18     1  1984      927.450000
    19     1  1984      838.340000
    20     1  1984      720.280000
    21     1  1984      711.410000
    22     1  1984      679.300000
    23     1  1984      639.380000
    24     1  1984      600.520000
    25     1  1984      514.470000
    26     1  1984      482.930000
    27     1  1984      458.330000
    28     1  1984      475.490000
    29     1  1984      473.020000
    30     1  1984      528.620000
    31     1  1984      636.570000
     1     2  1984      791.410000
     2     2  1984      901.120000
     3     2  1984      957.460000
     4     2  1984     1032.590000
     5     2  1984     1071.080000
     6     2  1984     1085.230000
     7     2  1984     1124.560000
     8     2  1984     1373.310000
     9     2  1984     1381.190000
    10     2  1984     1383.160000
    11     2  1984     1349.800000
    12     2  1984     1318.730000
    13     2  1984     1303.320000
    14     2  1984     1261.330000
    15     2  1984     1171.830000
    16     2  1984     1053.500000
    17     2  1984     1146.270000
    18     2  1984     1238.690000
    19     2  1984     1338.110000
    20     2  1984     1436.880000
    21     2  1984     1448.930000
    22     2  1984     1398.980000
    23     2  1984     1276.530000
    24     2  1984     1193.930000
    25     2  1984     1117.360000
    26     2  1984     1124.560000
    27     2  1984     1119.160000
    28     2  1984     1099.460000
    29     2  1984     1050.000000
     1     3  1984      998.130000
     2     3  1984     1106.600000
     3     3  1984     1193.930000
     4     3  1984     1231.180000
     5     3  1984     1205.060000
     6     3  1984     1195.790000
     7     3  1984     1153.550000
     8     3  1984     1064.030000
     9     3  1984      977.700000
    10     3  1984      944.070000
    11     3  1984      934.080000
    12     3  1984      964.190000
    13     3  1984      960.820000
    14     3  1984      949.080000
    15     3  1984      888.080000
    16     3  1984      813.160000
    17     3  1984      751.700000
    18     3  1984      715.840000
    19     3  1984      659.210000
    20     3  1984      747.170000
    21     3  1984      855.850000
    22     3  1984      914.240000
    23     3  1984      964.190000
    24     3  1984     1025.650000
    25     3  1984     1076.370000
    26     3  1984      998.130000
    27     3  1984      909.310000
    28     3  1984      962.500000
    29     3  1984     1001.550000
    30     3  1984     1032.590000
    31     3  1984      967.560000
     1     4  1984      912.600000
     2     4  1984      902.750000
     3     4  1984      942.400000
     4     4  1984     1053.500000
     5     4  1984     1261.330000
     6     4  1984     1338.110000
     7     4  1984     1397.000000
     8     4  1984     1473.180000
     9     4  1984     1559.440000
    10     4  1984     1647.830000
    11     4  1984     1729.650000
    12     4  1984     1771.200000
    13     4  1984     1694.990000
    14     4  1984     1603.370000
    15     4  1984     1410.900000
    16     4  1984     1233.050000
    17     4  1984     1067.550000
    18     4  1984      994.710000
    19     4  1984      805.370000
    20     4  1984      701.120000
    21     4  1984      649.260000
    22     4  1984      711.410000
    23     4  1984      802.260000
    24     4  1984      855.850000
    25     4  1984      906.030000
    26     4  1984      876.740000
    27     4  1984      852.650000
    28     4  1984      865.460000
    29     4  1984      828.860000
    30     4  1984      747.170000
     1     5  1984      667.790000
     2     5  1984      611.520000
     3     5  1984      558.750000
     4     5  1984      515.750000
     5     5  1984      477.960000
     6     5  1984      443.840000
     7     5  1984      409.670000
     8     5  1984      365.630000
     9     5  1984      322.750000
    10     5  1984      304.220000
    11     5  1984      294.130000
    12     5  1984      288.150000
    13     5  1984      288.150000
    14     5  1984      285.180000
    15     5  1984      270.540000
    16     5  1984      248.740000
    17     5  1984      224.190000
    18     5  1984      204.160000
    19     5  1984      187.410000
    20     5  1984      171.290000
    21     5  1984      158.090000
    22     5  1984      151.300000
    23     5  1984      150.550000
    24     5  1984      146.100000
    25     5  1984      149.800000
    26     5  1984      147.580000
    27     5  1984      147.580000
    28     5  1984      145.360000
    29     5  1984      140.260000
    30     5  1984      136.660000
    31     5  1984      134.520000
     1     6  1984      133.100000
     2     6  1984      130.990000
     3     6  1984      128.890000
     4     6  1984      126.110000
     5     6  1984      120.640000
     6     6  1984      117.950000
     7     6  1984      113.950000
     8     6  1984      114.610000
     9     6  1984      111.980000
    10     6  1984      110.020000
    11     6  1984      108.720000
    12     6  1984      107.430000
    13     6  1984      107.430000
    14     6  1984      108.720000
    15     6  1984      108.720000
    16     6  1984      104.870000
    17     6  1984      102.330000
    18     6  1984      101.070000
    19     6  1984       99.820000
    20     6  1984       98.580000
    21     6  1984       97.340000
    22     6  1984       95.500000
    23     6  1984       92.470000
    24     6  1984       89.470000
    25     6  1984       87.700000
    26     6  1984       85.360000
    27     6  1984       84.190000
    28     6  1984       81.890000
    29     6  1984       80.750000
    30     6  1984       79.060000
     1     7  1984       76.270000
     2     7  1984       74.060000
     3     7  1984       72.430000
     4     7  1984       71.890000
     5     7  1984       70.810000
     6     7  1984       70.810000
     7     7  1984       69.740000
     8     7  1984       69.740000
     9     7  1984       69.210000
    10     7  1984       68.680000
    11     7  1984       67.630000
    12     7  1984       67.630000
    13     7  1984       66.580000
    14     7  1984       65.540000
    15     7  1984       63.480000
    16     7  1984       61.450000
    17     7  1984       60.440000
    18     7  1984       59.450000
    19     7  1984       58.460000
    20     7  1984       57.470000
    21     7  1984       56.500000
    22     7  1984       56.500000
    23     7  1984       55.530000
    24     7  1984       55.050000
    25     7  1984       54.570000
    26     7  1984       52.670000
    27     7  1984       51.730000
    28     7  1984       50.800000
    29     7  1984       49.880000
    30     7  1984       48.960000
    31     7  1984       48.050000
     1     8  1984       47.150000
     2     8  1984       47.150000
     3     8  1984       46.250000
     4     8  1984       46.250000
     5     8  1984       45.810000
     6     8  1984       45.370000
     7     8  1984       45.370000
     8     8  1984       44.930000
     9     8  1984       44.490000
    10     8  1984       44.490000
    11     8  1984       44.050000
    12     8  1984       44.050000
    13     8  1984       44.050000
    14     8  1984       43.620000
    15     8  1984       43.620000
    16     8  1984       43.620000
    17     8  1984       43.620000
    18     8  1984       43.620000
    19     8  1984       43.190000
    20     8  1984       43.190000
    21     8  1984       43.190000
    22     8  1984       43.190000
    23     8  1984       43.190000
    24     8  1984       43.190000
    25     8  1984       43.620000
    26     8  1984       44.050000
    27     8  1984       44.490000
    28     8  1984       45.370000
    29     8  1984       46.250000
    30     8  1984       46.700000
    31     8  1984       46.250000
     1     9  1984       44.930000
     2     9  1984       43.620000
     3     9  1984       42.760000
     4     9  1984       42.760000
     5     9  1984       44.050000
     6     9  1984       46.700000
     7     9  1984       47.150000
     8     9  1984       50.340000
     9     9  1984       52.200000
    10     9  1984       54.570000
    11     9  1984       57.960000
    12     9  1984       60.440000
    13     9  1984       62.970000
    14     9  1984       66.580000
    15     9  1984       68.680000
    16     9  1984       69.740000
    17     9  1984       67.630000
    18     9  1984       63.480000
    19     9  1984       65.540000
    20     9  1984       69.740000
    21     9  1984       70.810000
    22     9  1984       67.100000
    23     9  1984       63.480000
    24     9  1984       59.450000
    25     9  1984       61.950000
    26     9  1984       69.740000
    27     9  1984       71.890000
    28     9  1984       75.160000
    29     9  1984       76.270000
    30     9  1984       62.970000
     1    10  1984       56.990000
     2    10  1984       54.570000
     3    10  1984       51.730000
     4    10  1984       47.600000
     5    10  1984       46.250000
     6    10  1984       43.620000
     7    10  1984       42.760000
     8    10  1984       42.760000
     9    10  1984       43.620000
    10    10  1984       44.050000
    11    10  1984       46.250000
    12    10  1984       50.800000
    13    10  1984       64.510000
    14    10  1984       63.480000
    15    10  1984       56.500000
    16    10  1984       54.570000
    17    10  1984       60.950000
    18    10  1984       71.350000
    19    10  1984       88.880000
    20    10  1984      116.610000
    21    10  1984      138.810000
    22    10  1984      133.100000
    23    10  1984      119.290000
    24    10  1984      115.280000
    25    10  1984      160.390000
    26    10  1984      210.160000
    27    10  1984      189.880000
    28    10  1984      175.260000
    29    10  1984      168.140000
    30    10  1984      184.950000
    31    10  1984      212.760000
     1    11  1984      189.880000
     2    11  1984      161.160000
     3    11  1984      220.640000
     4    11  1984      292.130000
     5    11  1984      320.660000
     6    11  1984      258.120000
     7    11  1984      217.130000
     8    11  1984      173.670000
     9    11  1984      174.460000
    10    11  1984      227.750000
    11    11  1984      280.260000
    12    11  1984      314.450000
    13    11  1984      280.260000
    14    11  1984      346.040000
    15    11  1984      458.330000
    16    11  1984      481.680000
    17    11  1984      497.960000
