SÃOPAULODEOLIVENÇA	-68.750	-3.450
    18     7  1983    25031.300000
    19     7  1983    24594.100000
    20     7  1983    24030.400000
    21     7  1983    23605.500000
    22     7  1983    23185.800000
    23     7  1983    22834.900000
    24     7  1983    22676.600000
    25     7  1983    22581.900000
    26     7  1983    22834.900000
    27     7  1983    23217.900000
    28     7  1983    24063.300000
    29     7  1983    24761.600000
    30     7  1983    25133.000000
    31     7  1983    25576.800000
     1     8  1983    25887.300000
     2     8  1983    26026.200000
     3     8  1983    25680.100000
     4     8  1983    24929.900000
     5     8  1983    24096.200000
     6     8  1983    23443.400000
     7     8  1983    22930.200000
     8     8  1983    22456.200000
     9     8  1983    22175.200000
    10     8  1983    22175.200000
    11     8  1983    22237.400000
    12     8  1983    22020.100000
    13     8  1983    21865.700000
    14     8  1983    21742.800000
    15     8  1983    21376.900000
    16     8  1983    20955.600000
    17     8  1983    20510.600000
    18     8  1983    20188.500000
    19     8  1983    19985.400000
    20     8  1983    19412.900000
    21     8  1983    18796.500000
    22     8  1983    18248.100000
    23     8  1983    17871.000000
    24     8  1983    17684.500000
    25     8  1983    17631.400000
    26     8  1983    17658.000000
    27     8  1983    18005.100000
    28     8  1983    18438.800000
    29     8  1983    18991.100000
    30     8  1983    19299.800000
    31     8  1983    19726.300000
     1     9  1983    20130.300000
     2     9  1983    20628.600000
     3     9  1983    20985.500000
     4     9  1983    21045.400000
     5     9  1983    21165.500000
     6     9  1983    21195.600000
     7     9  1983    21165.500000
     8     9  1983    21165.500000
     9     9  1983    21165.500000
    10     9  1983    21437.600000
    11     9  1983    21804.200000
    12     9  1983    22519.000000
    13     9  1983    23411.100000
    14     9  1983    24096.200000
    15     9  1983    24594.100000
    16     9  1983    24828.800000
    17     9  1983    25099.000000
    18     9  1983    25405.500000
    19     9  1983    25680.100000
    20     9  1983    25887.300000
    21     9  1983    26061.000000
    22     9  1983    26061.000000
    23     9  1983    26026.200000
    24     9  1983    25991.400000
    25     9  1983    25818.100000
    26     9  1983    25508.200000
    27     9  1983    25200.900000
    28     9  1983    24728.000000
    29     9  1983    24063.300000
    30     9  1983    22866.600000
     1    10  1983    22082.000000
     2    10  1983    21681.500000
     3    10  1983    21286.200000
     4    10  1983    21045.400000
