#      date    value 
 1981-09-01 -1.04674 
 1981-10-01 -1.516738 
 1981-11-01 -2.603116 
 1981-12-01 -2.529752 
 1982-01-01 -1.371151 
 1982-02-01 -0.3659987 
 1982-03-01 1.085509 
 1982-04-01 2.355459 
 1982-05-01 2.740042 
 1982-06-01 2.060534 
 1982-07-01 0.931655 
 1982-08-01 0.7887449 
 1982-09-01 0.8674484 
 1982-10-01 0.7131094 
 1982-11-01 0.2704176 
 1982-12-01 0.5450242 
 1983-01-01 1.241963 
 1983-02-01 1.828977 
 1983-03-01 2.703382 
 1983-04-01 3.669658 
 1983-05-01 3.731766 
 1983-06-01 3.070105 
 1983-07-01  1.30727 
 1983-08-01 0.4720013 
 1983-09-01 -0.5062537 
 1983-10-01 -1.919237 
 1983-11-01 -3.140419 
 1983-12-01  -3.3021 
 1984-01-01 -2.494787 
 1984-02-01 -0.2063658 
 1984-03-01 1.051413 
 1984-04-01  2.12866 
 1984-05-01 1.372264 
 1984-06-01 0.2230836 
 1984-07-01 -0.1976527 
 1984-08-01 -0.642854 
 1984-09-01 -0.9848063 
 1984-10-01 -2.263596 
 1984-11-01 -3.098645 
 1984-12-01 -3.778102 
 1985-01-01 -2.992533 
 1985-02-01 -1.421772 
 1985-03-01 0.3634709 
 1985-04-01 1.460344 
 1985-05-01 0.9841537 
 1985-06-01 0.3515125 
 1985-07-01 -0.497841 
 1985-08-01 -1.06473 
 1985-09-01 -1.673285 
 1985-10-01 -2.323004 
 1985-11-01 -2.934731 
 1985-12-01 -3.238419 
 1986-01-01 -2.444045 
 1986-02-01 -0.8476234 
 1986-03-01 0.9281442 
 1986-04-01 1.893457 
 1986-05-01 1.449799 
 1986-06-01 1.091841 
 1986-07-01 0.6034079 
 1986-08-01 -0.1502037 
 1986-09-01 -0.364239 
 1986-10-01 -0.9496468 
 1986-11-01 -1.433074 
 1986-12-01 -1.734981 
 1987-01-01 -0.7150447 
 1987-02-01 0.5615343 
 1987-03-01 2.168467 
 1987-04-01 3.027647 
 1987-05-01 2.900313 
 1987-06-01 2.121991 
 1987-07-01  1.70553 
 1987-08-01 1.022742 
 1987-09-01 0.7359186 
 1987-10-01 -0.4399113 
 1987-11-01 -1.276256 
 1987-12-01 -1.417165 
 1988-01-01 -1.021953 
