PIMENTEIRAS	-61.046	-13.480
    21     7  1983      361.000000
    22     7  1983      359.000000
    23     7  1983      356.000000
    24     7  1983      353.000000
    25     7  1983      353.000000
    26     7  1983      351.000000
    27     7  1983      350.000000
    28     7  1983      348.000000
    29     7  1983      344.000000
    30     7  1983      341.000000
    31     7  1983      338.000000
     1     8  1983      336.000000
     2     8  1983      334.000000
     3     8  1983      332.000000
     4     8  1983      330.000000
     5     8  1983      329.000000
     6     8  1983      327.000000
     7     8  1983      325.000000
     8     8  1983      324.000000
     9     8  1983      322.000000
    10     8  1983      320.000000
    11     8  1983      318.000000
    12     8  1983      317.000000
    13     8  1983      315.000000
    14     8  1983      314.000000
    15     8  1983      312.000000
    16     8  1983      311.000000
    17     8  1983      310.000000
    18     8  1983      309.000000
    19     8  1983      307.000000
    20     8  1983      305.000000
    21     8  1983      304.000000
    22     8  1983      303.000000
    23     8  1983      302.000000
    24     8  1983      301.000000
    25     8  1983      300.000000
    26     8  1983      299.000000
    27     8  1983      298.000000
    28     8  1983      297.000000
    29     8  1983      296.000000
    30     8  1983      294.000000
    31     8  1983      293.000000
     1     9  1983      293.000000
     2     9  1983      292.000000
     3     9  1983      291.000000
     4     9  1983      291.000000
     5     9  1983      290.000000
     6     9  1983      289.000000
     7     9  1983      288.000000
     8     9  1983      287.000000
     9     9  1983      286.000000
    10     9  1983      284.000000
    11     9  1983      282.000000
    12     9  1983      282.000000
    13     9  1983      281.000000
    14     9  1983      281.000000
    15     9  1983      281.000000
    16     9  1983      280.000000
    17     9  1983      280.000000
    18     9  1983      279.000000
    19     9  1983      279.000000
    20     9  1983      279.000000
    21     9  1983      278.000000
    22     9  1983      277.000000
    23     9  1983      277.000000
    24     9  1983      277.000000
    25     9  1983      276.000000
    26     9  1983      276.000000
    27     9  1983      276.000000
    28     9  1983      277.000000
    29     9  1983      279.000000
    30     9  1983      279.000000
     1    10  1983      279.000000
     2    10  1983      278.000000
     3    10  1983      277.000000
     4    10  1983      276.000000
     5    10  1983      276.000000
     6    10  1983      275.000000
     7    10  1983      274.000000
     8    10  1983      274.000000
     9    10  1983      273.000000
    10    10  1983      273.000000
    11    10  1983      274.000000
    12    10  1983      275.000000
    13    10  1983      274.000000
    14    10  1983      274.000000
    15    10  1983      272.000000
    16    10  1983      275.000000
    17    10  1983      278.000000
    18    10  1983      278.000000
    19    10  1983      276.000000
    20    10  1983      274.000000
    21    10  1983      273.000000
    22    10  1983      272.000000
    23    10  1983      274.000000
    24    10  1983      276.000000
    25    10  1983      274.000000
    26    10  1983      274.000000
    27    10  1983      276.000000
    28    10  1983      278.000000
    29    10  1983      279.000000
    30    10  1983      280.000000
    31    10  1983      282.000000
     1    11  1983      284.000000
     2    11  1983      286.000000
     3    11  1983      284.000000
     4    11  1983      282.000000
     5    11  1983      278.000000
     6    11  1983      285.000000
     7    11  1983      293.000000
     8    11  1983      296.000000
     9    11  1983      296.000000
