JATUARANA	-59.678	-3.052
    18     7  1983     1442.000000
    19     7  1983     1434.000000
    20     7  1983     1426.000000
    21     7  1983     1419.000000
    22     7  1983     1413.000000
    23     7  1983     1404.000000
    24     7  1983     1399.000000
    25     7  1983     1393.000000
    26     7  1983     1382.000000
    27     7  1983     1369.000000
    28     7  1983     1357.000000
    29     7  1983     1340.000000
    30     7  1983     1324.000000
    31     7  1983     1312.000000
     1     8  1983     1302.000000
     2     8  1983     1286.000000
     3     8  1983     1272.000000
     4     8  1983     1255.000000
     5     8  1983     1241.000000
     6     8  1983     1224.000000
     7     8  1983     1208.000000
     8     8  1983     1192.000000
     9     8  1983     1178.000000
    10     8  1983     1164.000000
    11     8  1983     1148.000000
    12     8  1983     1131.000000
    13     8  1983     1117.000000
    14     8  1983     1102.000000
    15     8  1983     1086.000000
    16     8  1983     1073.000000
    17     8  1983     1059.000000
    18     8  1983     1047.000000
    19     8  1983     1034.000000
    20     8  1983     1023.000000
    21     8  1983     1011.000000
    22     8  1983      994.000000
    23     8  1983      984.000000
    24     8  1983      973.000000
    25     8  1983      963.000000
    26     8  1983      953.000000
    27     8  1983      942.000000
    28     8  1983      935.000000
    29     8  1983      925.000000
    30     8  1983      916.000000
    31     8  1983      910.000000
     1     9  1983      898.000000
     2     9  1983      888.000000
     3     9  1983      878.000000
     4     9  1983      873.000000
     5     9  1983      868.000000
     6     9  1983      861.000000
     7     9  1983      857.000000
     8     9  1983      853.000000
     9     9  1983      849.000000
    10     9  1983      847.000000
    11     9  1983      845.000000
    12     9  1983      843.000000
    13     9  1983      840.000000
    14     9  1983      837.000000
    15     9  1983      833.000000
    16     9  1983      830.000000
    17     9  1983      828.000000
    18     9  1983      825.000000
    19     9  1983      821.000000
    20     9  1983      818.000000
    21     9  1983      815.000000
    22     9  1983      814.000000
    23     9  1983      812.000000
    24     9  1983      812.000000
    25     9  1983      810.000000
    26     9  1983      808.000000
    27     9  1983      806.000000
    28     9  1983      802.000000
    29     9  1983      798.000000
    30     9  1983      796.000000
     1    10  1983      792.000000
     2    10  1983      787.000000
     3    10  1983      785.000000
     4    10  1983      781.000000
     5    10  1983      776.000000
     6    10  1983      768.000000
     7    10  1983      758.000000
     8    10  1983      753.000000
     9    10  1983      749.000000
    10    10  1983      745.000000
    11    10  1983      737.000000
    12    10  1983      729.000000
    13    10  1983      720.000000
    14    10  1983      710.000000
    15    10  1983      699.000000
    16    10  1983      688.000000
    17    10  1983      680.000000
    18    10  1983      672.000000
    19    10  1983      667.000000
    20    10  1983      663.000000
    21    10  1983      660.000000
