BRASILÉIA	-68.745	-11.018
     2     9  1983      217.000000
     3     9  1983      217.000000
     4     9  1983      217.000000
     5     9  1983      216.000000
     6     9  1983      215.000000
     7     9  1983      215.000000
     8     9  1983      214.000000
     9     9  1983      213.000000
    10     9  1983      210.000000
    11     9  1983      210.000000
    12     9  1983      212.000000
    13     9  1983      213.000000
    14     9  1983      213.000000
    15     9  1983      211.000000
    16     9  1983      209.000000
    17     9  1983      209.000000
    18     9  1983      207.000000
    19     9  1983      205.000000
    20     9  1983      205.000000
    21     9  1983      203.000000
    22     9  1983      203.000000
    23     9  1983      203.000000
    24     9  1983      204.000000
    25     9  1983      208.000000
    26     9  1983      207.000000
    27     9  1983      206.000000
    28     9  1983      204.000000
    29     9  1983      203.000000
    30     9  1983      209.000000
     1    10  1983      215.000000
     2    10  1983      220.000000
     3    10  1983      215.000000
     4    10  1983      210.000000
     5    10  1983      208.000000
     6    10  1983      209.000000
     7    10  1983      209.000000
     8    10  1983      208.000000
     9    10  1983      206.000000
    10    10  1983      204.000000
    11    10  1983      204.000000
    12    10  1983      207.000000
    13    10  1983      212.000000
    14    10  1983      220.000000
    15    10  1983      215.000000
    16    10  1983      212.000000
    17    10  1983      210.000000
    18    10  1983      212.000000
    19    10  1983      213.000000
    20    10  1983      211.000000
    21    10  1983      211.000000
    22    10  1983      211.000000
    23    10  1983      210.000000
    24    10  1983      208.000000
    25    10  1983      222.000000
    26    10  1983      221.000000
    27    10  1983      214.000000
    28    10  1983      208.000000
    29    10  1983      203.000000
    30    10  1983      203.000000
    31    10  1983      203.000000
     1    11  1983      215.000000
     2    11  1983      240.000000
     3    11  1983      242.000000
     4    11  1983      236.000000
     5    11  1983      233.000000
     6    11  1983      216.000000
     7    11  1983      243.000000
     8    11  1983      267.000000
     9    11  1983      255.000000
    10    11  1983      299.000000
    11    11  1983      330.000000
    12    11  1983      372.000000
    13    11  1983      546.000000
    14    11  1983      450.000000
    15    11  1983      655.000000
    16    11  1983      656.000000
    17    11  1983      439.000000
    18    11  1983      411.000000
    19    11  1983      392.000000
    20    11  1983      302.000000
    21    11  1983      258.000000
    22    11  1983      264.000000
    23    11  1983      296.000000
    24    11  1983      348.000000
    25    11  1983      334.000000
    26    11  1983      296.000000
    27    11  1983      358.000000
    28    11  1983      306.000000
    29    11  1983      306.000000
    30    11  1983      257.000000
     1    12  1983      281.000000
     2    12  1983      284.000000
     3    12  1983      336.000000
     4    12  1983      403.000000
     5    12  1983      344.000000
     6    12  1983      332.000000
     7    12  1983      546.000000
     8    12  1983      576.000000
     9    12  1983      494.000000
    10    12  1983      404.000000
    11    12  1983      326.000000
    12    12  1983      284.000000
    13    12  1983      270.000000
    14    12  1983      263.000000
    15    12  1983      258.000000
    16    12  1983      250.000000
    17    12  1983      234.000000
    18    12  1983      230.000000
    19    12  1983      226.000000
    20    12  1983      228.000000
    21    12  1983      254.000000
    22    12  1983      258.000000
    23    12  1983      244.000000
    24    12  1983      228.000000
    25    12  1983      232.000000
    26    12  1983      242.000000
    27    12  1983      239.000000
    28    12  1983      234.000000
    29    12  1983      232.000000
    30    12  1983      234.000000
    31    12  1983      232.000000
     1     1  1984      234.000000
     2     1  1984      248.000000
     3     1  1984      352.000000
     4     1  1984      387.000000
     5     1  1984      331.000000
     6     1  1984      364.000000
     7     1  1984      368.000000
     8     1  1984      564.000000
     9     1  1984      528.000000
    10     1  1984      439.000000
    11     1  1984      418.000000
    12     1  1984      539.000000
    13     1  1984      708.000000
    14     1  1984      669.000000
    15     1  1984      530.000000
    16     1  1984      445.000000
    17     1  1984      400.000000
    18     1  1984      388.000000
    19     1  1984      441.000000
    20     1  1984      391.000000
    21     1  1984      354.000000
    22     1  1984      321.000000
    23     1  1984      335.000000
    24     1  1984      368.000000
    25     1  1984      443.000000
    26     1  1984      425.000000
    27     1  1984      391.000000
    28     1  1984      350.000000
    29     1  1984      374.000000
    30     1  1984      509.000000
    31     1  1984      682.000000
     1     2  1984      722.000000
     2     2  1984      750.000000
     3     2  1984      732.000000
     4     2  1984      633.000000
     5     2  1984      498.000000
     6     2  1984      432.000000
     7     2  1984      479.000000
     8     2  1984      446.000000
     9     2  1984      404.000000
    10     2  1984      494.000000
    11     2  1984      574.000000
    12     2  1984      518.000000
    13     2  1984      482.000000
    14     2  1984      440.000000
    15     2  1984      447.000000
    16     2  1984      399.000000
    17     2  1984      717.000000
    18     2  1984      712.000000
    19     2  1984      716.000000
    20     2  1984      570.000000
    21     2  1984      500.000000
    22     2  1984      434.000000
    23     2  1984      412.000000
    24     2  1984      626.000000
    25     2  1984      590.000000
    26     2  1984      651.000000
    27     2  1984      584.000000
    28     2  1984      550.000000
    29     2  1984      584.000000
     1     3  1984      643.000000
     2     3  1984      546.000000
     3     3  1984      712.000000
     4     3  1984      778.000000
     5     3  1984      791.000000
     6     3  1984      659.000000
     7     3  1984      445.000000
     8     3  1984      402.000000
     9     3  1984      387.000000
    10     3  1984      380.000000
    11     3  1984      328.000000
    12     3  1984      412.000000
    13     3  1984      531.000000
    14     3  1984      458.000000
    15     3  1984      414.000000
    16     3  1984      394.000000
    17     3  1984      415.000000
    18     3  1984      464.000000
    19     3  1984      814.000000
    20     3  1984      802.000000
    21     3  1984      686.000000
    22     3  1984      801.000000
    23     3  1984      789.000000
    24     3  1984      603.000000
    25     3  1984      485.000000
    26     3  1984      430.000000
    27     3  1984      404.000000
    28     3  1984      508.000000
    29     3  1984      524.000000
    30     3  1984      482.000000
    31     3  1984      540.000000
     1     4  1984      486.000000
     2     4  1984      440.000000
     3     4  1984      448.000000
     4     4  1984      550.000000
     5     4  1984      869.000000
     6     4  1984     1054.000000
     7     4  1984     1136.000000
     8     4  1984      950.000000
     9     4  1984      881.000000
    10     4  1984      792.000000
    11     4  1984      572.000000
    12     4  1984      519.000000
    13     4  1984      493.000000
    14     4  1984      538.000000
    15     4  1984      472.000000
    16     4  1984      437.000000
    17     4  1984      420.000000
    18     4  1984      401.000000
    19     4  1984      368.000000
    20     4  1984      341.000000
    21     4  1984      356.000000
    22     4  1984      502.000000
    23     4  1984      648.000000
    24     4  1984      429.000000
    25     4  1984      538.000000
    26     4  1984      764.000000
    27     4  1984      663.000000
    28     4  1984      484.000000
    29     4  1984      426.000000
    30     4  1984      403.000000
     1     5  1984      396.000000
     2     5  1984      368.000000
     3     5  1984      341.000000
     4     5  1984      334.000000
     5     5  1984      328.000000
     6     5  1984      322.000000
     7     5  1984      328.000000
     8     5  1984      330.000000
     9     5  1984      332.000000
    10     5  1984      327.000000
    11     5  1984      330.000000
    12     5  1984      334.000000
    13     5  1984      362.000000
    14     5  1984      333.000000
    15     5  1984      318.000000
    16     5  1984      310.000000
    17     5  1984      306.000000
    18     5  1984      302.000000
    19     5  1984      300.000000
    20     5  1984      300.000000
    21     5  1984      298.000000
    22     5  1984      297.000000
    23     5  1984      303.000000
    24     5  1984      300.000000
    25     5  1984      296.000000
    26     5  1984      289.000000
    27     5  1984      290.000000
    28     5  1984      292.000000
    29     5  1984      288.000000
    30     5  1984      286.000000
    31     5  1984      284.000000
     1     6  1984      288.000000
     2     6  1984      286.000000
     3     6  1984      283.000000
     4     6  1984      281.000000
     5     6  1984      278.000000
     6     6  1984      276.000000
     7     6  1984      280.000000
     8     6  1984      304.000000
     9     6  1984      288.000000
    10     6  1984      286.000000
    11     6  1984      282.000000
    12     6  1984      278.000000
    13     6  1984      278.000000
    14     6  1984      278.000000
    15     6  1984      276.000000
    16     6  1984      272.000000
    17     6  1984      270.000000
    18     6  1984      272.000000
    19     6  1984      276.000000
    20     6  1984      273.000000
    21     6  1984      272.000000
    22     6  1984      274.000000
    23     6  1984      270.000000
    24     6  1984      267.000000
    25     6  1984      264.000000
    26     6  1984      262.000000
    27     6  1984      260.000000
    28     6  1984      258.000000
    29     6  1984      256.000000
    30     6  1984      255.000000
     1     7  1984      254.000000
     2     7  1984      254.000000
     3     7  1984      253.000000
     4     7  1984      252.000000
     5     7  1984      254.000000
     6     7  1984      253.000000
     7     7  1984      253.000000
     8     7  1984      253.000000
     9     7  1984      252.000000
    10     7  1984      250.000000
    11     7  1984      250.000000
    12     7  1984      249.000000
    13     7  1984      249.000000
    14     7  1984      248.000000
    15     7  1984      252.000000
    16     7  1984      253.000000
    17     7  1984      254.000000
    18     7  1984      253.000000
    19     7  1984      252.000000
    20     7  1984      250.000000
    21     7  1984      250.000000
    22     7  1984      248.000000
    23     7  1984      246.000000
    24     7  1984      244.000000
    25     7  1984      242.000000
    26     7  1984      241.000000
    27     7  1984      242.000000
    28     7  1984      242.000000
    29     7  1984      240.000000
    30     7  1984      239.000000
    31     7  1984      238.000000
     1     8  1984      237.000000
     2     8  1984      237.000000
     3     8  1984      236.000000
     4     8  1984      236.000000
     5     8  1984      236.000000
     6     8  1984      240.000000
     7     8  1984      240.000000
     8     8  1984      239.000000
     9     8  1984      238.000000
    10     8  1984      236.000000
    11     8  1984      236.000000
    12     8  1984      235.000000
    13     8  1984      234.000000
    14     8  1984      233.000000
    15     8  1984      232.000000
    16     8  1984      231.000000
    17     8  1984      230.000000
    18     8  1984      230.000000
    19     8  1984      229.000000
    20     8  1984      229.000000
    21     8  1984      228.000000
    22     8  1984      228.000000
    23     8  1984      228.000000
    24     8  1984      231.000000
    25     8  1984      232.000000
    26     8  1984      234.000000
    27     8  1984      234.000000
    28     8  1984      234.000000
    29     8  1984      234.000000
    30     8  1984      233.000000
    31     8  1984      230.000000
     1     9  1984      230.000000
     2     9  1984      229.000000
     3     9  1984      228.000000
     4     9  1984      228.000000
     5     9  1984      227.000000
     6     9  1984      228.000000
     7     9  1984      240.000000
     8     9  1984      266.000000
     9     9  1984      274.000000
    10     9  1984      296.000000
    11     9  1984      280.000000
    12     9  1984      260.000000
    13     9  1984      244.000000
    14     9  1984      240.000000
    15     9  1984      237.000000
    16     9  1984      232.000000
    17     9  1984      234.000000
    18     9  1984      235.000000
    19     9  1984      234.000000
    20     9  1984      233.000000
    21     9  1984      232.000000
    22     9  1984      255.000000
    23     9  1984      296.000000
    24     9  1984      277.000000
    25     9  1984      257.000000
    26     9  1984      244.000000
    27     9  1984      244.000000
    28     9  1984      240.000000
    29     9  1984      238.000000
    30     9  1984      235.000000
     1    10  1984      231.000000
     2    10  1984      231.000000
     3    10  1984      233.000000
     4    10  1984      232.000000
     5    10  1984      230.000000
     6    10  1984      233.000000
     7    10  1984      235.000000
     8    10  1984      250.000000
     9    10  1984      278.000000
    10    10  1984      251.000000
    11    10  1984      235.000000
    12    10  1984      232.000000
    13    10  1984      235.000000
    14    10  1984      237.000000
    15    10  1984      280.000000
    16    10  1984      323.000000
    17    10  1984      346.000000
    18    10  1984      346.000000
    19    10  1984      340.000000
    20    10  1984      325.000000
    21    10  1984      415.000000
    22    10  1984      444.000000
    23    10  1984      382.000000
    24    10  1984      340.000000
    25    10  1984      311.000000
    26    10  1984      354.000000
    27    10  1984      392.000000
    28    10  1984      385.000000
    29    10  1984      336.000000
    30    10  1984      304.000000
    31    10  1984      342.000000
     1    11  1984      500.000000
     2    11  1984      606.000000
     3    11  1984      504.000000
     4    11  1984      402.000000
     5    11  1984      349.000000
     6    11  1984      409.000000
     7    11  1984      504.000000
     8    11  1984      442.000000
     9    11  1984      443.000000
    10    11  1984      351.000000
    11    11  1984      340.000000
    12    11  1984      519.000000
    13    11  1984      522.000000
    14    11  1984      500.000000
    15    11  1984      522.000000
    16    11  1984      476.000000
    17    11  1984      434.000000
    18    11  1984      388.000000
    19    11  1984      368.000000
    20    11  1984      642.000000
    21    11  1984      448.000000
    22    11  1984      415.000000
    23    11  1984      444.000000
    24    11  1984      459.000000
