CACHOEIRAMORENA	-59.335	-2.114
    27     4  1983      444.000000
    28     4  1983      441.000000
    29     4  1983      439.000000
    30     4  1983      437.000000
     1     5  1983      425.000000
     2     5  1983      413.000000
     3     5  1983      400.000000
     4     5  1983      392.000000
     5     5  1983      385.000000
     6     5  1983      383.000000
     7     5  1983      373.000000
     8     5  1983      365.000000
     9     5  1983      358.000000
    10     5  1983      355.000000
    11     5  1983      353.000000
    12     5  1983      348.000000
    13     5  1983      346.000000
    14     5  1983      346.000000
    15     5  1983      345.000000
    16     5  1983      347.000000
    17     5  1983      354.000000
    18     5  1983      361.000000
    19     5  1983      369.000000
    20     5  1983      375.000000
    21     5  1983      377.000000
    22     5  1983      376.000000
    23     5  1983      373.000000
    24     5  1983      367.000000
    25     5  1983      363.000000
    26     5  1983      356.000000
    27     5  1983      351.000000
    28     5  1983      347.000000
    29     5  1983      340.000000
    30     5  1983      337.000000
    31     5  1983      333.000000
     1     6  1983      328.000000
     2     6  1983      323.000000
     3     6  1983      316.000000
     4     6  1983      311.000000
     5     6  1983      310.000000
     6     6  1983      308.000000
     7     6  1983      306.000000
     8     6  1983      305.000000
     9     6  1983      300.000000
    10     6  1983      296.000000
    11     6  1983      292.000000
    12     6  1983      290.000000
    13     6  1983      292.000000
    14     6  1983      295.000000
    15     6  1983      300.000000
    16     6  1983      306.000000
    17     6  1983      312.000000
    18     6  1983      317.000000
    19     6  1983      323.000000
    20     6  1983      328.000000
    21     6  1983      326.000000
    22     6  1983      324.000000
    23     6  1983      320.000000
    24     6  1983      316.000000
    25     6  1983      313.000000
    26     6  1983      311.000000
    27     6  1983      310.000000
    28     6  1983      309.000000
    29     6  1983      309.000000
    30     6  1983      307.000000
     1     7  1983      305.000000
     2     7  1983      307.000000
     3     7  1983      310.000000
     4     7  1983      313.000000
     5     7  1983      309.000000
     6     7  1983      301.000000
     7     7  1983      295.000000
     8     7  1983      290.000000
     9     7  1983      288.000000
    10     7  1983      285.000000
    11     7  1983      283.000000
    12     7  1983      280.000000
    13     7  1983      276.000000
    14     7  1983      274.000000
    15     7  1983      273.000000
    16     7  1983      275.000000
    17     7  1983      278.000000
    18     7  1983      280.000000
    19     7  1983      281.000000
    20     7  1983      279.000000
    21     7  1983      278.000000
    22     7  1983      280.000000
    23     7  1983      290.000000
    24     7  1983      298.000000
    25     7  1983      303.000000
    26     7  1983      307.000000
    27     7  1983      308.000000
    28     7  1983      305.000000
    29     7  1983      299.000000
    30     7  1983      292.000000
    31     7  1983      286.000000
     1     8  1983      280.000000
     2     8  1983      276.000000
     3     8  1983      275.000000
     4     8  1983      277.000000
     5     8  1983      280.000000
     6     8  1983      289.000000
     7     8  1983      299.000000
     8     8  1983      301.000000
     9     8  1983      299.000000
    10     8  1983      297.000000
    11     8  1983      295.000000
    12     8  1983      292.000000
    13     8  1983      289.000000
    14     8  1983      287.000000
    15     8  1983      285.000000
    16     8  1983      283.000000
    17     8  1983      285.000000
    18     8  1983      293.000000
    19     8  1983      292.000000
    20     8  1983      289.000000
    21     8  1983      290.000000
    22     8  1983      293.000000
    23     8  1983      300.000000
    24     8  1983      308.000000
    25     8  1983      315.000000
    26     8  1983      319.000000
    27     8  1983      325.000000
    28     8  1983      330.000000
    29     8  1983      329.000000
    30     8  1983      325.000000
    31     8  1983      323.000000
     1     9  1983      319.000000
     2     9  1983      313.000000
     3     9  1983      308.000000
     4     9  1983      303.000000
     5     9  1983      297.000000
     6     9  1983      296.000000
     7     9  1983      301.000000
     8     9  1983      308.000000
     9     9  1983      307.000000
    10     9  1983      303.000000
    11     9  1983      297.000000
    12     9  1983      296.000000
    13     9  1983      302.000000
    14     9  1983      321.000000
    15     9  1983      336.000000
    16     9  1983      340.000000
    17     9  1983      336.000000
    18     9  1983      331.000000
    19     9  1983      327.000000
    20     9  1983      323.000000
    21     9  1983      322.000000
    22     9  1983      322.000000
    23     9  1983      327.000000
    24     9  1983      329.000000
    25     9  1983      331.000000
    26     9  1983      337.000000
    27     9  1983      335.000000
    28     9  1983      332.000000
    29     9  1983      335.000000
    30     9  1983      344.000000
     1    10  1983      351.000000
     2    10  1983      357.000000
     3    10  1983      365.000000
     4    10  1983      363.000000
     5    10  1983      360.000000
     6    10  1983      355.000000
     7    10  1983      350.000000
     8    10  1983      352.000000
     9    10  1983      354.000000
    10    10  1983      356.000000
    11    10  1983      356.000000
    12    10  1983      356.000000
    13    10  1983      363.000000
    14    10  1983      370.000000
    15    10  1983      371.000000
    16    10  1983      364.000000
    17    10  1983      353.000000
    18    10  1983      343.000000
    19    10  1983      333.000000
    20    10  1983      327.000000
