JAPURÁ-ACANAUI	-66.600	-1.817
    22     8  1983     1132.000000
    23     8  1983     1130.000000
    24     8  1983     1128.000000
    25     8  1983     1131.000000
    26     8  1983     1134.000000
    27     8  1983     1138.000000
    28     8  1983     1143.000000
    29     8  1983     1148.000000
    30     8  1983     1154.000000
    31     8  1983     1158.000000
     1     9  1983     1164.000000
     2     9  1983     1169.000000
     3     9  1983     1174.000000
     4     9  1983     1178.000000
     5     9  1983     1181.000000
     6     9  1983     1182.000000
     7     9  1983     1182.000000
     8     9  1983     1181.000000
     9     9  1983     1179.000000
    10     9  1983     1175.000000
    11     9  1983     1170.000000
    12     9  1983     1165.000000
    13     9  1983     1159.000000
    14     9  1983     1152.000000
    15     9  1983     1144.000000
    16     9  1983     1135.000000
    17     9  1983     1128.000000
    18     9  1983     1122.000000
    19     9  1983     1116.000000
    20     9  1983     1112.000000
    21     9  1983     1110.000000
    22     9  1983     1109.000000
    23     9  1983     1109.000000
    24     9  1983     1107.000000
    25     9  1983     1105.000000
    26     9  1983     1102.000000
    27     9  1983     1097.000000
    28     9  1983     1091.000000
    29     9  1983     1083.000000
    30     9  1983     1073.000000
     1    10  1983     1066.000000
     2    10  1983     1051.000000
     3    10  1983     1037.000000
     4    10  1983     1023.000000
     5    10  1983     1010.000000
     6    10  1983      997.000000
     7    10  1983      986.000000
     8    10  1983      977.000000
     9    10  1983      973.000000
    10    10  1983      972.000000
    11    10  1983      975.000000
    12    10  1983      982.000000
    13    10  1983      990.000000
    14    10  1983      997.000000
    15    10  1983     1005.000000
    16    10  1983     1012.000000
    17    10  1983     1018.000000
    18    10  1983     1024.000000
    19    10  1983     1029.000000
    20    10  1983     1035.000000
    21    10  1983     1041.000000
    22    10  1983     1047.000000
    23    10  1983     1051.000000
    24    10  1983     1053.000000
    25    10  1983     1054.000000
    26    10  1983     1054.000000
    27    10  1983     1061.000000
    28    10  1983     1063.000000
    29    10  1983     1066.000000
    30    10  1983     1071.000000
    31    10  1983     1078.000000
     1    11  1983     1084.000000
     2    11  1983     1090.000000
     3    11  1983     1100.000000
     4    11  1983     1106.000000
     5    11  1983     1110.000000
     6    11  1983     1114.000000
     7    11  1983     1115.000000
     8    11  1983     1115.000000
     9    11  1983     1118.000000
    10    11  1983     1118.000000
    11    11  1983     1116.000000
    12    11  1983     1112.000000
    13    11  1983     1108.000000
    14    11  1983     1104.000000
    15    11  1983     1100.000000
    16    11  1983     1098.000000
    17    11  1983     1094.000000
    18    11  1983     1092.000000
    19    11  1983     1088.000000
    20    11  1983     1082.000000
    21    11  1983     1076.000000
    22    11  1983     1066.000000
    23    11  1983     1056.000000
    24    11  1983     1044.000000
    25    11  1983     1029.000000
    26    11  1983     1014.000000
    27    11  1983      999.000000
    28    11  1983      985.000000
    29    11  1983      973.000000
    30    11  1983      970.000000
     1    12  1983      970.000000
     2    12  1983      974.000000
     3    12  1983      984.000000
     4    12  1983     1000.000000
     5    12  1983     1016.000000
     6    12  1983     1030.000000
     7    12  1983     1042.000000
     8    12  1983     1052.000000
     9    12  1983     1059.000000
    10    12  1983     1068.000000
    11    12  1983     1072.000000
    12    12  1983     1076.000000
    13    12  1983     1081.000000
    14    12  1983     1083.000000
    15    12  1983     1082.000000
    16    12  1983     1078.000000
    17    12  1983     1074.000000
    18    12  1983     1067.000000
    19    12  1983     1059.000000
    20    12  1983     1051.000000
    21    12  1983     1042.000000
    22    12  1983     1036.000000
    23    12  1983     1034.000000
    24    12  1983     1033.000000
    25    12  1983     1036.000000
    26    12  1983     1040.000000
    27    12  1983     1044.000000
    28    12  1983     1050.000000
    29    12  1983     1056.000000
    30    12  1983     1062.000000
    31    12  1983     1068.000000
     1     1  1984     1074.000000
     2     1  1984     1079.000000
     3     1  1984     1082.000000
     4     1  1984     1082.000000
     5     1  1984     1082.000000
     6     1  1984     1079.000000
     7     1  1984     1076.000000
     8     1  1984     1072.000000
     9     1  1984     1069.000000
    10     1  1984     1060.000000
    11     1  1984     1049.000000
    12     1  1984     1032.000000
    13     1  1984     1014.000000
    14     1  1984      992.000000
    15     1  1984      966.000000
    16     1  1984      941.000000
    17     1  1984      914.000000
    18     1  1984      885.000000
    19     1  1984      866.000000
    20     1  1984      854.000000
    21     1  1984      853.000000
    22     1  1984      858.000000
    23     1  1984      867.000000
    24     1  1984      878.000000
    25     1  1984      889.000000
    26     1  1984      901.000000
    27     1  1984      916.000000
    28     1  1984      927.000000
    29     1  1984      931.000000
    30     1  1984      930.000000
    31     1  1984      928.000000
     1     2  1984      922.000000
     2     2  1984      916.000000
     3     2  1984      909.000000
     4     2  1984      906.000000
     5     2  1984      910.000000
     6     2  1984      918.000000
     7     2  1984      926.000000
     8     2  1984      932.000000
     9     2  1984      938.000000
    10     2  1984      945.000000
    11     2  1984      952.000000
    12     2  1984      957.000000
    13     2  1984      962.000000
    14     2  1984      976.000000
    15     2  1984      990.000000
    16     2  1984     1004.000000
    17     2  1984     1012.000000
    18     2  1984     1020.000000
    19     2  1984     1026.000000
    20     2  1984     1031.000000
    21     2  1984     1038.000000
    22     2  1984     1044.000000
    23     2  1984     1052.000000
    24     2  1984     1060.000000
    25     2  1984     1068.000000
    26     2  1984     1076.000000
    27     2  1984     1086.000000
    28     2  1984     1098.000000
