PALMEIRASDOJAVARI	-72.800	-5.133
    21     7  1983      674.000000
    22     7  1983      669.000000
    23     7  1983      662.000000
    24     7  1983      654.000000
    25     7  1983      645.000000
    26     7  1983      637.000000
    27     7  1983      630.000000
    28     7  1983      651.000000
    29     7  1983      651.000000
    30     7  1983      640.000000
    31     7  1983      631.000000
     1     8  1983      620.000000
     2     8  1983      617.000000
     3     8  1983      611.000000
     4     8  1983      602.000000
     5     8  1983      591.000000
     6     8  1983      582.000000
     7     8  1983      575.000000
     8     8  1983      568.000000
     9     8  1983      570.000000
    10     8  1983      574.000000
    11     8  1983      574.000000
    12     8  1983      571.000000
    13     8  1983      567.000000
    14     8  1983      564.000000
    15     8  1983      563.000000
    16     8  1983      560.000000
    17     8  1983      562.000000
    18     8  1983      573.000000
    19     8  1983      581.000000
    20     8  1983      581.000000
    21     8  1983      579.000000
    22     8  1983      574.000000
    23     8  1983      565.000000
    24     8  1983      567.000000
    25     8  1983      590.000000
    26     8  1983      603.000000
    27     8  1983      600.000000
    28     8  1983      612.000000
    29     8  1983      628.000000
    30     8  1983      641.000000
    31     8  1983      653.000000
     1     9  1983      635.000000
     2     9  1983      659.000000
     3     9  1983      762.000000
     4     9  1983      819.000000
     5     9  1983      836.000000
     6     9  1983      834.000000
     7     9  1983      823.000000
     8     9  1983      801.000000
     9     9  1983      774.000000
    10     9  1983      760.000000
    11     9  1983      721.000000
    12     9  1983      677.000000
    13     9  1983      640.000000
    14     9  1983      623.000000
    15     9  1983      625.000000
    16     9  1983      625.000000
    17     9  1983      634.000000
    18     9  1983      631.000000
    19     9  1983      626.000000
    20     9  1983      622.000000
    21     9  1983      619.000000
    22     9  1983      611.000000
    23     9  1983      609.000000
    24     9  1983      611.000000
    25     9  1983      599.000000
    26     9  1983      583.000000
    27     9  1983      573.000000
    28     9  1983      571.000000
    29     9  1983      583.000000
    30     9  1983      598.000000
     1    10  1983      643.000000
     2    10  1983      715.000000
     3    10  1983      787.000000
     4    10  1983      821.000000
     5    10  1983      832.000000
     6    10  1983      827.000000
     7    10  1983      848.000000
     8    10  1983      892.000000
     9    10  1983      904.000000
    10    10  1983      902.000000
    11    10  1983      890.000000
    12    10  1983      850.000000
    13    10  1983      809.000000
    14    10  1983      806.000000
    15    10  1983      803.000000
    16    10  1983      794.000000
    17    10  1983      803.000000
    18    10  1983      798.000000
    19    10  1983      778.000000
    20    10  1983      754.000000
    21    10  1983      744.000000
    22    10  1983      847.000000
    23    10  1983      899.000000
    24    10  1983      951.000000
    25    10  1983     1082.000000
    26    10  1983     1130.000000
    27    10  1983     1108.000000
    28    10  1983     1015.000000
    29    10  1983      984.000000
    30    10  1983      940.000000
    31    10  1983      902.000000
     1    11  1983      927.000000
     2    11  1983     1090.000000
     3    11  1983     1291.000000
     4    11  1983     1389.000000
     5    11  1983     1391.000000
     6    11  1983     1367.000000
     7    11  1983     1338.000000
     8    11  1983     1299.000000
     9    11  1983     1242.000000
    10    11  1983     1176.000000
    11    11  1983     1112.000000
    12    11  1983     1065.000000
    13    11  1983     1047.000000
    14    11  1983      995.000000
    15    11  1983      951.000000
    16    11  1983      930.000000
    17    11  1983      916.000000
    18    11  1983      893.000000
    19    11  1983      901.000000
    20    11  1983      900.000000
    21    11  1983      877.000000
    22    11  1983      843.000000
    23    11  1983      809.000000
    24    11  1983      809.000000
    25    11  1983      850.000000
    26    11  1983      923.000000
    27    11  1983     1031.000000
    28    11  1983     1054.000000
    29    11  1983     1056.000000
    30    11  1983     1086.000000
     1    12  1983     1140.000000
     2    12  1983     1179.000000
     3    12  1983     1186.000000
     4    12  1983     1193.000000
     5    12  1983     1197.000000
     6    12  1983     1200.000000
     7    12  1983     1189.000000
     8    12  1983     1182.000000
     9    12  1983     1201.000000
    10    12  1983     1214.000000
    11    12  1983     1234.000000
    12    12  1983     1225.000000
    13    12  1983     1204.000000
    14    12  1983     1188.000000
    15    12  1983     1189.000000
    16    12  1983     1205.000000
    17    12  1983     1217.000000
    18    12  1983     1228.000000
    19    12  1983     1238.000000
    20    12  1983     1244.000000
    21    12  1983     1233.000000
    22    12  1983     1205.000000
    23    12  1983     1184.000000
    24    12  1983     1185.000000
    25    12  1983     1214.000000
    26    12  1983     1262.000000
    27    12  1983     1292.000000
    28    12  1983     1307.000000
    29    12  1983     1303.000000
    30    12  1983     1285.000000
    31    12  1983     1264.000000
     1     1  1984     1232.000000
     2     1  1984     1182.000000
     3     1  1984     1166.000000
     4     1  1984     1152.000000
     5     1  1984     1133.000000
     6     1  1984     1085.000000
     7     1  1984     1062.000000
     8     1  1984     1060.000000
     9     1  1984     1063.000000
    10     1  1984     1058.000000
    11     1  1984     1034.000000
    12     1  1984      997.000000
    13     1  1984      946.000000
    14     1  1984      888.000000
    15     1  1984      845.000000
    16     1  1984      835.000000
    17     1  1984      986.000000
    18     1  1984     1095.000000
    19     1  1984     1134.000000
    20     1  1984     1148.000000
    21     1  1984     1152.000000
    22     1  1984     1200.000000
    23     1  1984     1262.000000
    24     1  1984     1270.000000
    25     1  1984     1282.000000
    26     1  1984     1286.000000
    27     1  1984     1284.000000
    28     1  1984     1264.000000
    29     1  1984     1237.000000
    30     1  1984     1172.000000
    31     1  1984     1110.000000
     1     2  1984     1114.000000
     2     2  1984     1164.000000
     3     2  1984     1214.000000
     4     2  1984     1246.000000
     5     2  1984     1263.000000
     6     2  1984     1271.000000
     7     2  1984     1292.000000
     8     2  1984     1326.000000
     9     2  1984     1346.000000
    10     2  1984     1366.000000
    11     2  1984     1388.000000
    12     2  1984     1403.000000
    13     2  1984     1418.000000
    14     2  1984     1436.000000
    15     2  1984     1455.000000
    16     2  1984     1471.000000
    17     2  1984     1478.000000
    18     2  1984     1481.000000
    19     2  1984     1482.000000
    20     2  1984     1482.000000
    21     2  1984     1482.000000
    22     2  1984     1480.000000
    23     2  1984     1480.000000
    24     2  1984     1482.000000
    25     2  1984     1484.000000
    26     2  1984     1489.000000
    27     2  1984     1492.000000
    28     2  1984     1492.000000
    29     2  1984     1489.000000
     1     3  1984     1490.000000
     2     3  1984     1494.000000
     3     3  1984     1489.000000
     4     3  1984     1482.000000
     5     3  1984     1478.000000
     6     3  1984     1472.000000
     7     3  1984     1466.000000
     8     3  1984     1459.000000
     9     3  1984     1453.000000
    10     3  1984     1452.000000
