FONTEBOA	-66.062	-2.491
    18     7  1983     1495.000000
    19     7  1983     1469.000000
    20     7  1983     1439.000000
    21     7  1983     1412.000000
    22     7  1983     1384.000000
    23     7  1983     1360.000000
    24     7  1983     1337.000000
    25     7  1983     1318.000000
    26     7  1983     1301.000000
    27     7  1983     1286.000000
    28     7  1983     1274.000000
    29     7  1983     1270.000000
    30     7  1983     1271.000000
    31     7  1983     1276.000000
     1     8  1983     1282.000000
     2     8  1983     1287.000000
     3     8  1983     1290.000000
     4     8  1983     1291.000000
     5     8  1983     1288.000000
     6     8  1983     1284.000000
     7     8  1983     1278.000000
     8     8  1983     1269.000000
     9     8  1983     1260.000000
    10     8  1983     1250.000000
    11     8  1983     1242.000000
    12     8  1983     1239.000000
    13     8  1983     1238.000000
    14     8  1983     1238.000000
    15     8  1983     1234.000000
    16     8  1983     1229.000000
    17     8  1983     1222.000000
    18     8  1983     1215.000000
    19     8  1983     1208.000000
    20     8  1983     1198.000000
    21     8  1983     1188.000000
    22     8  1983     1177.000000
    23     8  1983     1162.000000
    24     8  1983     1149.000000
    25     8  1983     1141.000000
    26     8  1983     1132.000000
    27     8  1983     1125.000000
    28     8  1983     1124.000000
    29     8  1983     1132.000000
    30     8  1983     1143.000000
    31     8  1983     1158.000000
     1     9  1983     1173.000000
     2     9  1983     1188.000000
     3     9  1983     1199.000000
     4     9  1983     1204.000000
     5     9  1983     1212.000000
     6     9  1983     1218.000000
     7     9  1983     1223.000000
     8     9  1983     1227.000000
     9     9  1983     1229.000000
    10     9  1983     1230.000000
    11     9  1983     1232.000000
    12     9  1983     1235.000000
    13     9  1983     1239.000000
    14     9  1983     1246.000000
    15     9  1983     1260.000000
    16     9  1983     1271.000000
    17     9  1983     1279.000000
    18     9  1983     1283.000000
    19     9  1983     1281.000000
    20     9  1983     1278.000000
    21     9  1983     1277.000000
    22     9  1983     1275.000000
    23     9  1983     1276.000000
    24     9  1983     1280.000000
    25     9  1983     1281.000000
    26     9  1983     1281.000000
    27     9  1983     1278.000000
    28     9  1983     1272.000000
    29     9  1983     1263.000000
    30     9  1983     1252.000000
     1    10  1983     1239.000000
     2    10  1983     1227.000000
     3    10  1983     1216.000000
     4    10  1983     1205.000000
     5    10  1983     1195.000000
     6    10  1983     1185.000000
     7    10  1983     1181.000000
     8    10  1983     1180.000000
     9    10  1983     1180.000000
    10    10  1983     1180.000000
    11    10  1983     1184.000000
    12    10  1983     1192.000000
    13    10  1983     1207.000000
    14    10  1983     1227.000000
    15    10  1983     1252.000000
    16    10  1983     1276.000000
    17    10  1983     1297.000000
    18    10  1983     1314.000000
    19    10  1983     1326.000000
    20    10  1983     1332.000000
    21    10  1983     1335.000000
    22    10  1983     1338.000000
    23    10  1983     1339.000000
    24    10  1983     1341.000000
    25    10  1983     1348.000000
    26    10  1983     1353.000000
    27    10  1983     1359.000000
    28    10  1983     1360.000000
    29    10  1983     1360.000000
    30    10  1983     1361.000000
    31    10  1983     1364.000000
     1    11  1983     1369.000000
     2    11  1983     1378.000000
     3    11  1983     1394.000000
     4    11  1983     1412.000000
     5    11  1983     1431.000000
     6    11  1983     1448.000000
     7    11  1983     1464.000000
     8    11  1983     1477.000000
     9    11  1983     1488.000000
    10    11  1983     1499.000000
    11    11  1983     1509.000000
    12    11  1983     1515.000000
    13    11  1983     1524.000000
    14    11  1983     1531.000000
    15    11  1983     1542.000000
    16    11  1983     1550.000000
    17    11  1983     1557.000000
    18    11  1983     1561.000000
    19    11  1983     1564.000000
    20    11  1983     1567.000000
    21    11  1983     1569.000000
    22    11  1983     1568.000000
    23    11  1983     1566.000000
    24    11  1983     1564.000000
    25    11  1983     1560.000000
    26    11  1983     1554.000000
    27    11  1983     1548.000000
    28    11  1983     1540.000000
    29    11  1983     1533.000000
    30    11  1983     1529.000000
     1    12  1983     1526.000000
     2    12  1983     1524.000000
     3    12  1983     1524.000000
     4    12  1983     1532.000000
     5    12  1983     1548.000000
     6    12  1983     1564.000000
     7    12  1983     1586.000000
     8    12  1983     1606.000000
     9    12  1983     1620.000000
    10    12  1983     1635.000000
    11    12  1983     1646.000000
    12    12  1983     1658.000000
    13    12  1983     1668.000000
    14    12  1983     1678.000000
    15    12  1983     1686.000000
    16    12  1983     1697.000000
    17    12  1983     1707.000000
    18    12  1983     1717.000000
    19    12  1983     1725.000000
    20    12  1983     1732.000000
    21    12  1983     1739.000000
    22    12  1983     1744.000000
    23    12  1983     1748.000000
    24    12  1983     1751.000000
    25    12  1983     1752.000000
    26    12  1983     1752.000000
    27    12  1983     1752.000000
    28    12  1983     1752.000000
    29    12  1983     1752.000000
    30    12  1983     1753.000000
    31    12  1983     1754.000000
     1     1  1984     1754.000000
     2     1  1984     1758.000000
     3     1  1984     1760.000000
     4     1  1984     1763.000000
     5     1  1984     1768.000000
     6     1  1984     1771.000000
     7     1  1984     1772.000000
     8     1  1984     1774.000000
     9     1  1984     1776.000000
    10     1  1984     1776.000000
    11     1  1984     1776.000000
    12     1  1984     1774.000000
    13     1  1984     1768.000000
    14     1  1984     1764.000000
    15     1  1984     1758.000000
    16     1  1984     1750.000000
    17     1  1984     1739.000000
    18     1  1984     1732.000000
    19     1  1984     1726.000000
    20     1  1984     1718.000000
    21     1  1984     1714.000000
    22     1  1984     1709.000000
