GUAJARÁ-MIRIM	-65.348	-10.793
    25     8  1983      661.000000
    26     8  1983      655.000000
    27     8  1983      649.000000
    28     8  1983      640.000000
    29     8  1983      632.000000
    30     8  1983      623.000000
    31     8  1983      614.000000
     1     9  1983      604.000000
     2     9  1983      591.000000
     3     9  1983      580.000000
     4     9  1983      571.000000
     5     9  1983      562.000000
     6     9  1983      555.000000
     7     9  1983      546.000000
     8     9  1983      542.000000
     9     9  1983      539.000000
    10     9  1983      537.000000
    11     9  1983      533.000000
    12     9  1983      528.000000
    13     9  1983      524.000000
    14     9  1983      524.000000
    15     9  1983      523.000000
    16     9  1983      520.000000
    17     9  1983      518.000000
    18     9  1983      516.000000
    19     9  1983      516.000000
    20     9  1983      517.000000
    21     9  1983      516.000000
    22     9  1983      513.000000
    23     9  1983      511.000000
    24     9  1983      508.000000
    25     9  1983      506.000000
    26     9  1983      505.000000
    27     9  1983      503.000000
    28     9  1983      503.000000
    29     9  1983      503.000000
    30     9  1983      508.000000
     1    10  1983      508.000000
     2    10  1983      507.000000
     3    10  1983      507.000000
     4    10  1983      505.000000
     5    10  1983      503.000000
     6    10  1983      501.000000
     7    10  1983      497.000000
     8    10  1983      494.000000
     9    10  1983      492.000000
    10    10  1983      490.000000
    11    10  1983      488.000000
    12    10  1983      486.000000
    13    10  1983      483.000000
    14    10  1983      478.000000
    15    10  1983      473.000000
    16    10  1983      467.000000
    17    10  1983      464.000000
    18    10  1983      461.000000
    19    10  1983      458.000000
    20    10  1983      455.000000
    21    10  1983      454.000000
    22    10  1983      455.000000
    23    10  1983      457.000000
    24    10  1983      463.000000
    25    10  1983      472.000000
    26    10  1983      491.000000
    27    10  1983      508.000000
    28    10  1983      518.000000
    29    10  1983      533.000000
    30    10  1983      543.000000
    31    10  1983      544.000000
     1    11  1983      544.000000
     2    11  1983      542.000000
     3    11  1983      540.000000
     4    11  1983      535.000000
     5    11  1983      530.000000
     6    11  1983      526.000000
     7    11  1983      523.000000
     8    11  1983      517.000000
     9    11  1983      512.000000
    10    11  1983      508.000000
    11    11  1983      506.000000
    12    11  1983      506.000000
    13    11  1983      508.000000
    14    11  1983      510.000000
    15    11  1983      512.000000
    16    11  1983      519.000000
    17    11  1983      528.000000
    18    11  1983      544.000000
    19    11  1983      562.000000
    20    11  1983      583.000000
    21    11  1983      602.000000
    22    11  1983      621.000000
    23    11  1983      633.000000
    24    11  1983      642.000000
    25    11  1983      648.000000
    26    11  1983      654.000000
    27    11  1983      662.000000
    28    11  1983      672.000000
    29    11  1983      686.000000
    30    11  1983      697.000000
     1    12  1983      705.000000
     2    12  1983      711.000000
     3    12  1983      715.000000
     4    12  1983      716.000000
     5    12  1983      716.000000
     6    12  1983      716.000000
     7    12  1983      718.000000
     8    12  1983      718.000000
     9    12  1983      718.000000
    10    12  1983      718.000000
    11    12  1983      718.000000
    12    12  1983      718.000000
    13    12  1983      718.000000
    14    12  1983      716.000000
    15    12  1983      714.000000
    16    12  1983      711.000000
    17    12  1983      708.000000
    18    12  1983      702.000000
    19    12  1983      696.000000
    20    12  1983      691.000000
    21    12  1983      685.000000
    22    12  1983      682.000000
    23    12  1983      680.000000
    24    12  1983      678.000000
    25    12  1983      670.000000
    26    12  1983      664.000000
    27    12  1983      671.000000
    28    12  1983      681.000000
    29    12  1983      692.000000
    30    12  1983      702.000000
    31    12  1983      711.000000
     1     1  1984      720.000000
     2     1  1984      728.000000
     3     1  1984      738.000000
     4     1  1984      752.000000
     5     1  1984      764.000000
     6     1  1984      778.000000
     7     1  1984      789.000000
     8     1  1984      800.000000
     9     1  1984      811.000000
    10     1  1984      822.000000
    11     1  1984      832.000000
    12     1  1984      842.000000
    13     1  1984      850.000000
    14     1  1984      858.000000
    15     1  1984      866.000000
    16     1  1984      872.000000
    17     1  1984      878.000000
    18     1  1984      882.000000
    19     1  1984      888.000000
    20     1  1984      892.000000
    21     1  1984      896.000000
    22     1  1984      898.000000
    23     1  1984      902.000000
    24     1  1984      908.000000
    25     1  1984      911.000000
    26     1  1984      912.000000
    27     1  1984      914.000000
    28     1  1984      918.000000
    29     1  1984      921.000000
    30     1  1984      922.000000
    31     1  1984      924.000000
     1     2  1984      926.000000
     2     2  1984      928.000000
     3     2  1984      930.000000
     4     2  1984      932.000000
     5     2  1984      934.000000
     6     2  1984      936.000000
     7     2  1984      937.000000
     8     2  1984      939.000000
     9     2  1984      942.000000
    10     2  1984      943.000000
    11     2  1984      944.000000
    12     2  1984      946.000000
    13     2  1984      948.000000
    14     2  1984      950.000000
    15     2  1984      953.000000
    16     2  1984      956.000000
    17     2  1984      958.000000
    18     2  1984      961.000000
    19     2  1984      966.000000
    20     2  1984      968.000000
    21     2  1984      972.000000
    22     2  1984      974.000000
    23     2  1984      976.000000
    24     2  1984      978.000000
    25     2  1984      980.000000
    26     2  1984      984.000000
    27     2  1984      986.000000
    28     2  1984      990.000000
    29     2  1984      994.000000
     1     3  1984      996.000000
     2     3  1984     1000.000000
     3     3  1984     1002.000000
     4     3  1984     1004.000000
     5     3  1984     1006.000000
