COLOCAÇÃOCAXIASNOVO	-69.000	-5.400
    24     8  1983      379.000000
    25     8  1983      374.000000
    26     8  1983      368.000000
    27     8  1983      363.000000
    28     8  1983      363.000000
    29     8  1983      374.000000
    30     8  1983      371.000000
    31     8  1983      372.000000
     1     9  1983      375.000000
     2     9  1983      391.000000
     3     9  1983      510.000000
     4     9  1983      567.000000
     5     9  1983      559.000000
     6     9  1983      555.000000
     7     9  1983      541.000000
     8     9  1983      510.000000
     9     9  1983      444.000000
    10     9  1983      429.000000
    11     9  1983      422.000000
    12     9  1983      427.000000
    13     9  1983      448.000000
    14     9  1983      448.000000
    15     9  1983      434.000000
    16     9  1983      415.000000
    17     9  1983      397.000000
    18     9  1983      383.000000
    19     9  1983      369.000000
    20     9  1983      364.000000
    21     9  1983      378.000000
    22     9  1983      382.000000
    23     9  1983      392.000000
    24     9  1983      394.000000
    25     9  1983      389.000000
    26     9  1983      371.000000
    27     9  1983      368.000000
    28     9  1983      363.000000
    29     9  1983      361.000000
    30     9  1983      357.000000
     1    10  1983      367.000000
     2    10  1983      366.000000
     3    10  1983      362.000000
     4    10  1983      364.000000
     5    10  1983      368.000000
     6    10  1983      370.000000
     7    10  1983      372.000000
     8    10  1983      387.000000
     9    10  1983      387.000000
    10    10  1983      373.000000
    11    10  1983      369.000000
    12    10  1983      386.000000
    13    10  1983      400.000000
    14    10  1983      427.000000
    15    10  1983      438.000000
    16    10  1983      435.000000
    17    10  1983      419.000000
    18    10  1983      405.000000
    19    10  1983      392.000000
    20    10  1983      400.000000
    21    10  1983      420.000000
    22    10  1983      440.000000
    23    10  1983      448.000000
    24    10  1983      456.000000
    25    10  1983      502.000000
    26    10  1983      528.000000
    27    10  1983      606.000000
    28    10  1983      659.000000
    29    10  1983      682.000000
    30    10  1983      711.000000
    31    10  1983      727.000000
     1    11  1983      703.000000
     2    11  1983      675.000000
     3    11  1983      651.000000
     4    11  1983      632.000000
     5    11  1983      687.000000
     6    11  1983      735.000000
     7    11  1983      761.000000
     8    11  1983      752.000000
     9    11  1983      737.000000
    10    11  1983      790.000000
    11    11  1983      800.000000
    12    11  1983      790.000000
    13    11  1983      746.000000
    14    11  1983      658.000000
    15    11  1983      584.000000
    16    11  1983      522.000000
    17    11  1983      504.000000
    18    11  1983      541.000000
    19    11  1983      580.000000
    20    11  1983      583.000000
    21    11  1983      589.000000
    22    11  1983      593.000000
    23    11  1983      601.000000
    24    11  1983      612.000000
    25    11  1983      653.000000
    26    11  1983      675.000000
    27    11  1983      673.000000
    28    11  1983      666.000000
    29    11  1983      658.000000
    30    11  1983      656.000000
     1    12  1983      678.000000
     2    12  1983      709.000000
     3    12  1983      735.000000
     4    12  1983      787.000000
     5    12  1983      830.000000
     6    12  1983      868.000000
     7    12  1983      908.000000
     8    12  1983      958.000000
     9    12  1983      985.000000
    10    12  1983     1003.000000
    11    12  1983     1008.000000
    12    12  1983     1006.000000
    13    12  1983     1044.000000
    14    12  1983     1054.000000
    15    12  1983     1037.000000
    16    12  1983     1011.000000
    17    12  1983      973.000000
    18    12  1983      944.000000
    19    12  1983      910.000000
    20    12  1983      876.000000
    21    12  1983      841.000000
    22    12  1983      844.000000
    23    12  1983      880.000000
    24    12  1983      906.000000
    25    12  1983      914.000000
    26    12  1983      913.000000
    27    12  1983      905.000000
    28    12  1983      889.000000
    29    12  1983      863.000000
    30    12  1983      825.000000
    31    12  1983      776.000000
     1     1  1984      740.000000
     2     1  1984      773.000000
     3     1  1984      817.000000
     4     1  1984      840.000000
     5     1  1984      850.000000
     6     1  1984      846.000000
     7     1  1984      843.000000
     8     1  1984      866.000000
     9     1  1984      918.000000
    10     1  1984      947.000000
    11     1  1984      946.000000
    12     1  1984      917.000000
    13     1  1984      884.000000
    14     1  1984      865.000000
    15     1  1984      852.000000
    16     1  1984      841.000000
    17     1  1984      855.000000
    18     1  1984      894.000000
    19     1  1984      924.000000
    20     1  1984      956.000000
    21     1  1984      954.000000
    22     1  1984      956.000000
    23     1  1984     1017.000000
    24     1  1984     1040.000000
    25     1  1984     1053.000000
    26     1  1984     1063.000000
    27     1  1984     1070.000000
    28     1  1984     1076.000000
    29     1  1984     1090.000000
    30     1  1984     1098.000000
    31     1  1984     1099.000000
     1     2  1984     1096.000000
     2     2  1984     1085.000000
     3     2  1984     1075.000000
     4     2  1984     1066.000000
     5     2  1984     1061.000000
     6     2  1984     1052.000000
     7     2  1984     1068.000000
     8     2  1984     1088.000000
     9     2  1984     1103.000000
    10     2  1984     1114.000000
    11     2  1984     1126.000000
    12     2  1984     1136.000000
    13     2  1984     1145.000000
    14     2  1984     1152.000000
    15     2  1984     1162.000000
    16     2  1984     1174.000000
    17     2  1984     1190.000000
    18     2  1984     1196.000000
    19     2  1984     1202.000000
    20     2  1984     1205.000000
    21     2  1984     1202.000000
    22     2  1984     1201.000000
    23     2  1984     1202.000000
    24     2  1984     1206.000000
    25     2  1984     1213.000000
    26     2  1984     1217.000000
    27     2  1984     1213.000000
    28     2  1984     1210.000000
    29     2  1984     1206.000000
     1     3  1984     1200.000000
     2     3  1984     1194.000000
     3     3  1984     1190.000000
     4     3  1984     1187.000000
     5     3  1984     1184.000000
     6     3  1984     1181.000000
     7     3  1984     1177.000000
     8     3  1984     1173.000000
     9     3  1984     1166.000000
    10     3  1984     1161.000000
    11     3  1984     1158.000000
    12     3  1984     1143.000000
    13     3  1984     1124.000000
    14     3  1984     1094.000000
    15     3  1984     1058.000000
    16     3  1984     1028.000000
    17     3  1984      993.000000
    18     3  1984      959.000000
    19     3  1984      942.000000
    20     3  1984      970.000000
    21     3  1984      996.000000
    22     3  1984     1017.000000
    23     3  1984     1039.000000
    24     3  1984     1052.000000
    25     3  1984     1067.000000
    26     3  1984     1080.000000
    27     3  1984     1090.000000
    28     3  1984     1101.000000
    29     3  1984     1112.000000
    30     3  1984     1122.000000
    31     3  1984     1133.000000
     1     4  1984     1142.000000
     2     4  1984     1149.000000
     3     4  1984     1154.000000
     4     4  1984     1156.000000
     5     4  1984     1152.000000
     6     4  1984     1144.000000
     7     4  1984     1128.000000
     8     4  1984     1099.000000
     9     4  1984     1060.000000
    10     4  1984     1016.000000
    11     4  1984      984.000000
    12     4  1984      968.000000
    13     4  1984      962.000000
    14     4  1984      958.000000
    15     4  1984      958.000000
    16     4  1984      955.000000
    17     4  1984      948.000000
    18     4  1984      942.000000
    19     4  1984      946.000000
    20     4  1984      953.000000
    21     4  1984      954.000000
    22     4  1984      946.000000
    23     4  1984      954.000000
    24     4  1984      975.000000
    25     4  1984      994.000000
    26     4  1984     1012.000000
    27     4  1984     1026.000000
    28     4  1984     1032.000000
    29     4  1984     1036.000000
    30     4  1984     1035.000000
     1     5  1984     1048.000000
     2     5  1984     1054.000000
     3     5  1984     1032.000000
     4     5  1984      990.000000
     5     5  1984      942.000000
     6     5  1984      888.000000
     7     5  1984      854.000000
     8     5  1984      817.000000
     9     5  1984      785.000000
    10     5  1984      776.000000
    11     5  1984      773.000000
    12     5  1984      767.000000
    13     5  1984      764.000000
    14     5  1984      767.000000
    15     5  1984      774.000000
    16     5  1984      784.000000
    17     5  1984      776.000000
    18     5  1984      749.000000
    19     5  1984      726.000000
    20     5  1984      697.000000
    21     5  1984      691.000000
    22     5  1984      757.000000
    23     5  1984      813.000000
    24     5  1984      819.000000
    25     5  1984      796.000000
    26     5  1984      751.000000
    27     5  1984      712.000000
    28     5  1984      698.000000
    29     5  1984      706.000000
    30     5  1984      725.000000
    31     5  1984      733.000000
     1     6  1984      744.000000
     2     6  1984      761.000000
     3     6  1984      761.000000
     4     6  1984      749.000000
     5     6  1984      725.000000
     6     6  1984      685.000000
     7     6  1984      654.000000
     8     6  1984      626.000000
     9     6  1984      600.000000
    10     6  1984      586.000000
    11     6  1984      588.000000
    12     6  1984      598.000000
    13     6  1984      615.000000
    14     6  1984      644.000000
    15     6  1984      658.000000
    16     6  1984      664.000000
    17     6  1984      660.000000
    18     6  1984      663.000000
    19     6  1984      661.000000
    20     6  1984      652.000000
    21     6  1984      638.000000
    22     6  1984      622.000000
    23     6  1984      603.000000
    24     6  1984      583.000000
    25     6  1984      564.000000
    26     6  1984      545.000000
    27     6  1984      527.000000
    28     6  1984      510.000000
    29     6  1984      496.000000
    30     6  1984      487.000000
     1     7  1984      481.000000
     2     7  1984      474.000000
     3     7  1984      466.000000
     4     7  1984      463.000000
     5     7  1984      460.000000
     6     7  1984      458.000000
     7     7  1984      458.000000
     8     7  1984      460.000000
     9     7  1984      467.000000
    10     7  1984      472.000000
    11     7  1984      484.000000
    12     7  1984      503.000000
    13     7  1984      513.000000
    14     7  1984      513.000000
    15     7  1984      507.000000
    16     7  1984      502.000000
    17     7  1984      496.000000
    18     7  1984      490.000000
    19     7  1984      490.000000
    20     7  1984      487.000000
    21     7  1984      480.000000
    22     7  1984      476.000000
    23     7  1984      475.000000
    24     7  1984      472.000000
    25     7  1984      467.000000
    26     7  1984      459.000000
    27     7  1984      452.000000
    28     7  1984      445.000000
    29     7  1984      439.000000
    30     7  1984      436.000000
    31     7  1984      433.000000
     1     8  1984      430.000000
     2     8  1984      426.000000
     3     8  1984      424.000000
     4     8  1984      422.000000
     5     8  1984      420.000000
     6     8  1984      418.000000
     7     8  1984      416.000000
     8     8  1984      414.000000
     9     8  1984      413.000000
    10     8  1984      412.000000
    11     8  1984      411.000000
    12     8  1984      414.000000
    13     8  1984      419.000000
    14     8  1984      428.000000
    15     8  1984      437.000000
    16     8  1984      446.000000
    17     8  1984      451.000000
    18     8  1984      444.000000
    19     8  1984      438.000000
    20     8  1984      434.000000
    21     8  1984      430.000000
    22     8  1984      426.000000
    23     8  1984      425.000000
    24     8  1984      444.000000
    25     8  1984      468.000000
    26     8  1984      476.000000
    27     8  1984      494.000000
    28     8  1984      497.000000
    29     8  1984      489.000000
    30     8  1984      472.000000
    31     8  1984      455.000000
     1     9  1984      442.000000
     2     9  1984      427.000000
     3     9  1984      418.000000
     4     9  1984      412.000000
     5     9  1984      408.000000
     6     9  1984      408.000000
     7     9  1984      416.000000
     8     9  1984      422.000000
     9     9  1984      436.000000
    10     9  1984      442.000000
    11     9  1984      442.000000
    12     9  1984      454.000000
    13     9  1984      475.000000
    14     9  1984      494.000000
    15     9  1984      509.000000
    16     9  1984      519.000000
    17     9  1984      518.000000
    18     9  1984      508.000000
    19     9  1984      492.000000
    20     9  1984      458.000000
    21     9  1984      438.000000
    22     9  1984      454.000000
    23     9  1984      523.000000
    24     9  1984      580.000000
    25     9  1984      603.000000
    26     9  1984      614.000000
    27     9  1984      593.000000
    28     9  1984      544.000000
    29     9  1984      535.000000
    30     9  1984      543.000000
     1    10  1984      550.000000
     2    10  1984      570.000000
     3    10  1984      586.000000
     4    10  1984      592.000000
     5    10  1984      596.000000
     6    10  1984      598.000000
     7    10  1984      588.000000
     8    10  1984      574.000000
     9    10  1984      638.000000
    10    10  1984      672.000000
    11    10  1984      672.000000
    12    10  1984      656.000000
    13    10  1984      628.000000
    14    10  1984      584.000000
    15    10  1984      568.000000
    16    10  1984      565.000000
    17    10  1984      559.000000
    18    10  1984      596.000000
    19    10  1984      724.000000
    20    10  1984      781.000000
    21    10  1984      798.000000
    22    10  1984      785.000000
    23    10  1984      770.000000
    24    10  1984      772.000000
    25    10  1984      812.000000
    26    10  1984      904.000000
    27    10  1984      932.000000
    28    10  1984      958.000000
    29    10  1984      973.000000
    30    10  1984      979.000000
    31    10  1984      974.000000
     1    11  1984      958.000000
     2    11  1984      888.000000
     3    11  1984      782.000000
     4    11  1984      674.000000
     5    11  1984      639.000000
     6    11  1984      626.000000
     7    11  1984      608.000000
     8    11  1984      625.000000
     9    11  1984      700.000000
    10    11  1984      711.000000
    11    11  1984      749.000000
