TEFÉ	-64.655	-3.376
    30     5  1983     1286.000000
    31     5  1983     1286.000000
     1     6  1983     1288.000000
     2     6  1983     1288.000000
     3     6  1983     1288.000000
     4     6  1983     1288.000000
     5     6  1983     1288.000000
     6     6  1983     1288.000000
     7     6  1983     1287.000000
     8     6  1983     1285.000000
     9     6  1983     1284.000000
    10     6  1983     1284.000000
    11     6  1983     1282.000000
    12     6  1983     1282.000000
    13     6  1983     1281.000000
    14     6  1983     1280.000000
    15     6  1983     1279.000000
    16     6  1983     1275.000000
    17     6  1983     1272.000000
    18     6  1983     1269.000000
    19     6  1983     1265.000000
    20     6  1983     1263.000000
    21     6  1983     1261.000000
    22     6  1983     1257.000000
    23     6  1983     1252.000000
    24     6  1983     1247.000000
    25     6  1983     1240.000000
    26     6  1983     1234.000000
    27     6  1983     1229.000000
    28     6  1983     1222.000000
    29     6  1983     1215.000000
    30     6  1983     1207.000000
     1     7  1983     1200.000000
     2     7  1983     1191.000000
     3     7  1983     1180.000000
     4     7  1983     1170.000000
     5     7  1983     1159.000000
     6     7  1983     1147.000000
     7     7  1983     1133.000000
     8     7  1983     1119.000000
     9     7  1983     1105.000000
    10     7  1983     1088.000000
    11     7  1983     1071.000000
    12     7  1983     1055.000000
    13     7  1983     1040.000000
    14     7  1983     1022.000000
    15     7  1983     1001.000000
    16     7  1983      979.000000
    17     7  1983      958.000000
    18     7  1983      933.000000
    19     7  1983      911.000000
    20     7  1983      887.000000
    21     7  1983      856.000000
    22     7  1983      831.000000
    23     7  1983      801.000000
    24     7  1983      774.000000
    25     7  1983      744.000000
    26     7  1983      717.000000
    27     7  1983      688.000000
    28     7  1983      660.000000
    29     7  1983      635.000000
    30     7  1983      611.000000
    31     7  1983      590.000000
     1     8  1983      574.000000
     2     8  1983      560.000000
     3     8  1983      542.000000
     4     8  1983      521.000000
     5     8  1983      499.000000
     6     8  1983      479.000000
     7     8  1983    -9999.000000
     8     8  1983    -9999.000000
     9     8  1983    -9999.000000
    10     8  1983    -9999.000000
    11     8  1983    -9999.000000
    12     8  1983    -9999.000000
    13     8  1983    -9999.000000
    14     8  1983    -9999.000000
    15     8  1983    -9999.000000
    16     8  1983    -9999.000000
    17     8  1983    -9999.000000
    18     8  1983    -9999.000000
    19     8  1983    -9999.000000
    20     8  1983    -9999.000000
    21     8  1983    -9999.000000
    22     8  1983    -9999.000000
    23     8  1983    -9999.000000
    24     8  1983    -9999.000000
    25     8  1983    -9999.000000
    26     8  1983    -9999.000000
    27     8  1983    -9999.000000
    28     8  1983    -9999.000000
    29     8  1983    -9999.000000
    30     8  1983    -9999.000000
    31     8  1983    -9999.000000
     1     9  1983    -9999.000000
     2     9  1983    -9999.000000
     3     9  1983    -9999.000000
     4     9  1983    -9999.000000
     5     9  1983    -9999.000000
     6     9  1983    -9999.000000
     7     9  1983    -9999.000000
     8     9  1983    -9999.000000
     9     9  1983    -9999.000000
    10     9  1983    -9999.000000
    11     9  1983    -9999.000000
    12     9  1983    -9999.000000
    13     9  1983    -9999.000000
    14     9  1983    -9999.000000
    15     9  1983    -9999.000000
    16     9  1983    -9999.000000
    17     9  1983    -9999.000000
    18     9  1983    -9999.000000
    19     9  1983    -9999.000000
    20     9  1983    -9999.000000
    21     9  1983    -9999.000000
    22     9  1983    -9999.000000
    23     9  1983    -9999.000000
    24     9  1983    -9999.000000
    25     9  1983    -9999.000000
    26     9  1983    -9999.000000
    27     9  1983    -9999.000000
    28     9  1983    -9999.000000
    29     9  1983    -9999.000000
    30     9  1983    -9999.000000
     1    10  1983    -9999.000000
     2    10  1983    -9999.000000
     3    10  1983    -9999.000000
     4    10  1983    -9999.000000
     5    10  1983    -9999.000000
     6    10  1983    -9999.000000
     7    10  1983    -9999.000000
     8    10  1983    -9999.000000
     9    10  1983    -9999.000000
    10    10  1983    -9999.000000
    11    10  1983    -9999.000000
    12    10  1983    -9999.000000
    13    10  1983    -9999.000000
    14    10  1983    -9999.000000
    15    10  1983    -9999.000000
    16    10  1983    -9999.000000
    17    10  1983    -9999.000000
    18    10  1983    -9999.000000
    19    10  1983    -9999.000000
    20    10  1983    -9999.000000
    21    10  1983    -9999.000000
    22    10  1983    -9999.000000
    23    10  1983    -9999.000000
    24    10  1983    -9999.000000
    25    10  1983      419.000000
    26    10  1983      425.000000
    27    10  1983      432.000000
    28    10  1983      438.000000
    29    10  1983      445.000000
    30    10  1983      450.000000
    31    10  1983      454.000000
     1    11  1983      463.000000
     2    11  1983      469.000000
     3    11  1983      480.000000
     4    11  1983      491.000000
     5    11  1983      501.000000
     6    11  1983      516.000000
     7    11  1983      529.000000
     8    11  1983      545.000000
     9    11  1983      560.000000
    10    11  1983      574.000000
    11    11  1983      586.000000
    12    11  1983      597.000000
    13    11  1983      606.000000
    14    11  1983      616.000000
    15    11  1983      624.000000
    16    11  1983      633.000000
    17    11  1983      642.000000
    18    11  1983      649.000000
    19    11  1983      655.000000
    20    11  1983      661.000000
    21    11  1983      665.000000
    22    11  1983      668.000000
    23    11  1983      671.000000
    24    11  1983      672.000000
    25    11  1983      670.000000
    26    11  1983      669.000000
    27    11  1983      665.000000
    28    11  1983      661.000000
    29    11  1983      655.000000
    30    11  1983      651.000000
     1    12  1983      647.000000
     2    12  1983      639.000000
     3    12  1983      635.000000
     4    12  1983      631.000000
     5    12  1983      634.000000
     6    12  1983      640.000000
     7    12  1983      651.000000
     8    12  1983      666.000000
     9    12  1983      678.000000
    10    12  1983      694.000000
    11    12  1983      710.000000
    12    12  1983      723.000000
    13    12  1983      736.000000
    14    12  1983      750.000000
    15    12  1983      765.000000
    16    12  1983      775.000000
    17    12  1983      785.000000
    18    12  1983      799.000000
    19    12  1983      815.000000
    20    12  1983      825.000000
    21    12  1983      829.000000
    22    12  1983      835.000000
    23    12  1983      842.000000
    24    12  1983      847.000000
    25    12  1983      852.000000
    26    12  1983      858.000000
    27    12  1983      863.000000
    28    12  1983      865.000000
    29    12  1983      869.000000
