PORTOVELHO	-63.920	-8.737
    18     7  1983     1162.000000
    19     7  1983     1169.000000
    20     7  1983     1175.000000
    21     7  1983     1178.000000
    22     7  1983     1176.000000
    23     7  1983     1164.000000
    24     7  1983     1144.000000
    25     7  1983     1120.000000
    26     7  1983     1084.000000
    27     7  1983     1056.000000
    28     7  1983     1032.000000
    29     7  1983      985.000000
    30     7  1983      945.000000
    31     7  1983      914.000000
     1     8  1983      890.000000
     2     8  1983      867.000000
     3     8  1983      850.000000
     4     8  1983      835.000000
     5     8  1983      821.000000
     6     8  1983      808.000000
     7     8  1983      798.000000
     8     8  1983      784.000000
     9     8  1983      771.000000
    10     8  1983      762.000000
    11     8  1983      756.000000
    12     8  1983      751.000000
    13     8  1983      745.000000
    14     8  1983      738.000000
    15     8  1983      731.000000
    16     8  1983      725.000000
    17     8  1983      720.000000
    18     8  1983      715.000000
    19     8  1983      709.000000
    20     8  1983      703.000000
    21     8  1983      696.000000
    22     8  1983      686.000000
    23     8  1983      676.000000
    24     8  1983      666.000000
    25     8  1983      670.000000
    26     8  1983      658.000000
    27     8  1983      648.000000
    28     8  1983      636.000000
    29     8  1983      620.000000
    30     8  1983      607.000000
    31     8  1983      592.000000
     1     9  1983      572.000000
     2     9  1983      560.000000
     3     9  1983      548.000000
     4     9  1983      534.000000
     5     9  1983      523.000000
     6     9  1983      515.000000
     7     9  1983      508.000000
     8     9  1983      508.000000
     9     9  1983      512.000000
    10     9  1983      515.000000
    11     9  1983      519.000000
    12     9  1983      524.000000
    13     9  1983      528.000000
    14     9  1983      531.000000
    15     9  1983      534.000000
    16     9  1983      542.000000
    17     9  1983      552.000000
    18     9  1983      566.000000
    19     9  1983      581.000000
    20     9  1983      558.000000
    21     9  1983      535.000000
    22     9  1983      520.000000
    23     9  1983      512.000000
    24     9  1983      508.000000
    25     9  1983      498.000000
    26     9  1983      490.000000
    27     9  1983      482.000000
    28     9  1983      475.000000
    29     9  1983      468.000000
    30     9  1983      462.000000
     1    10  1983      456.000000
     2    10  1983      449.000000
     3    10  1983      444.000000
     4    10  1983      439.000000
     5    10  1983      435.000000
     6    10  1983      434.000000
     7    10  1983      441.000000
     8    10  1983      442.000000
     9    10  1983      438.000000
    10    10  1983      434.000000
    11    10  1983      428.000000
    12    10  1983      420.000000
    13    10  1983      418.000000
    14    10  1983      418.000000
    15    10  1983      418.000000
    16    10  1983      422.000000
    17    10  1983      421.000000
    18    10  1983      418.000000
    19    10  1983      418.000000
    20    10  1983      426.000000
    21    10  1983      460.000000
    22    10  1983      488.000000
    23    10  1983      500.000000
    24    10  1983      496.000000
    25    10  1983      491.000000
    26    10  1983      505.000000
    27    10  1983      519.000000
    28    10  1983      526.000000
    29    10  1983      528.000000
    30    10  1983      524.000000
    31    10  1983      523.000000
     1    11  1983      530.000000
     2    11  1983      540.000000
     3    11  1983      545.000000
     4    11  1983      538.000000
     5    11  1983      525.000000
     6    11  1983      506.000000
     7    11  1983      492.000000
     8    11  1983      484.000000
     9    11  1983      494.000000
    10    11  1983      514.000000
    11    11  1983      550.000000
    12    11  1983      570.000000
    13    11  1983      568.000000
    14    11  1983      564.000000
    15    11  1983      580.000000
    16    11  1983      622.000000
    17    11  1983      665.000000
    18    11  1983      685.000000
    19    11  1983      692.000000
    20    11  1983      706.000000
    21    11  1983      722.000000
    22    11  1983      724.000000
    23    11  1983      721.000000
    24    11  1983      718.000000
    25    11  1983      714.000000
    26    11  1983      710.000000
    27    11  1983      706.000000
    28    11  1983      704.000000
    29    11  1983      716.000000
    30    11  1983      739.000000
     1    12  1983      766.000000
     2    12  1983      785.000000
     3    12  1983      804.000000
     4    12  1983      828.000000
     5    12  1983      852.000000
     6    12  1983      859.000000
     7    12  1983      864.000000
     8    12  1983      876.000000
     9    12  1983      904.000000
    10    12  1983      920.000000
    11    12  1983      918.000000
    12    12  1983      906.000000
    13    12  1983      903.000000
    14    12  1983      904.000000
    15    12  1983      899.000000
    16    12  1983      890.000000
    17    12  1983      866.000000
    18    12  1983      848.000000
    19    12  1983      826.000000
    20    12  1983      800.000000
    21    12  1983      753.000000
    22    12  1983      728.000000
    23    12  1983      713.000000
    24    12  1983      739.000000
    25    12  1983      756.000000
    26    12  1983      777.000000
    27    12  1983      797.000000
    28    12  1983      825.000000
    29    12  1983      859.000000
    30    12  1983      891.000000
    31    12  1983      909.000000
     1     1  1984      925.000000
     2     1  1984      941.000000
     3     1  1984      962.000000
     4     1  1984     1005.000000
     5     1  1984     1045.000000
     6     1  1984     1084.000000
     7     1  1984     1120.000000
     8     1  1984     1157.000000
     9     1  1984     1196.000000
    10     1  1984     1240.000000
    11     1  1984     1273.000000
    12     1  1984     1294.000000
    13     1  1984     1314.000000
    14     1  1984     1331.000000
    15     1  1984     1344.000000
    16     1  1984     1354.000000
    17     1  1984     1362.000000
    18     1  1984     1373.000000
    19     1  1984     1381.000000
    20     1  1984     1393.000000
    21     1  1984     1406.000000
    22     1  1984     1415.000000
    23     1  1984     1423.000000
    24     1  1984     1428.000000
    25     1  1984     1435.000000
    26     1  1984     1437.000000
    27     1  1984     1437.000000
    28     1  1984     1431.000000
    29     1  1984     1429.000000
    30     1  1984     1430.000000
    31     1  1984     1435.000000
     1     2  1984     1441.000000
     2     2  1984     1449.000000
     3     2  1984     1457.000000
     4     2  1984     1465.000000
     5     2  1984     1473.000000
     6     2  1984     1477.000000
     7     2  1984     1484.000000
     8     2  1984     1494.000000
     9     2  1984     1502.000000
    10     2  1984     1508.000000
    11     2  1984     1511.000000
    12     2  1984     1513.000000
    13     2  1984     1515.000000
    14     2  1984     1519.000000
    15     2  1984     1521.000000
    16     2  1984     1526.000000
    17     2  1984     1534.000000
    18     2  1984     1543.000000
    19     2  1984     1553.000000
    20     2  1984     1563.000000
    21     2  1984     1570.000000
    22     2  1984     1573.000000
    23     2  1984     1575.000000
    24     2  1984     1577.000000
    25     2  1984     1582.000000
    26     2  1984     1588.000000
    27     2  1984     1590.000000
    28     2  1984     1592.000000
    29     2  1984     1595.000000
     1     3  1984     1595.000000
     2     3  1984     1598.000000
     3     3  1984     1600.000000
     4     3  1984     1602.000000
     5     3  1984     1605.000000
     6     3  1984     1612.000000
     7     3  1984     1617.000000
     8     3  1984     1619.000000
     9     3  1984     1622.000000
    10     3  1984     1623.000000
    11     3  1984     1624.000000
    12     3  1984     1624.000000
    13     3  1984     1623.000000
    14     3  1984     1621.000000
    15     3  1984     1615.000000
    16     3  1984     1611.000000
    17     3  1984     1609.000000
    18     3  1984     1610.000000
    19     3  1984     1614.000000
    20     3  1984     1618.000000
    21     3  1984     1620.000000
    22     3  1984     1622.000000
    23     3  1984     1626.000000
    24     3  1984     1633.000000
    25     3  1984     1642.000000
    26     3  1984     1647.000000
    27     3  1984     1654.000000
    28     3  1984     1658.000000
    29     3  1984     1660.000000
    30     3  1984     1665.000000
    31     3  1984     1672.000000
     1     4  1984     1676.000000
     2     4  1984     1679.000000
     3     4  1984     1684.000000
     4     4  1984     1692.000000
     5     4  1984     1702.000000
     6     4  1984     1709.000000
     7     4  1984     1715.000000
     8     4  1984     1719.000000
     9     4  1984     1725.000000
    10     4  1984     1728.000000
    11     4  1984     1731.000000
    12     4  1984     1734.000000
    13     4  1984     1736.000000
    14     4  1984     1740.000000
    15     4  1984     1742.000000
    16     4  1984     1744.000000
    17     4  1984     1742.000000
    18     4  1984     1740.000000
    19     4  1984     1737.000000
    20     4  1984     1734.000000
    21     4  1984     1728.000000
    22     4  1984     1718.000000
    23     4  1984     1712.000000
    24     4  1984     1710.000000
    25     4  1984     1714.000000
    26     4  1984     1715.000000
    27     4  1984     1718.000000
    28     4  1984     1718.000000
    29     4  1984     1719.000000
    30     4  1984     1726.000000
     1     5  1984     1727.000000
     2     5  1984     1727.000000
     3     5  1984     1721.000000
     4     5  1984     1708.000000
     5     5  1984     1697.000000
     6     5  1984     1686.000000
     7     5  1984     1674.000000
     8     5  1984     1662.000000
     9     5  1984     1649.000000
    10     5  1984     1638.000000
    11     5  1984     1628.000000
    12     5  1984     1618.000000
    13     5  1984     1612.000000
    14     5  1984     1604.000000
    15     5  1984     1595.000000
    16     5  1984     1588.000000
    17     5  1984     1576.000000
    18     5  1984     1569.000000
    19     5  1984     1560.000000
    20     5  1984     1550.000000
    21     5  1984     1538.000000
    22     5  1984     1526.000000
    23     5  1984     1512.000000
    24     5  1984     1498.000000
    25     5  1984     1481.000000
    26     5  1984     1470.000000
    27     5  1984     1463.000000
    28     5  1984     1453.000000
    29     5  1984     1442.000000
    30     5  1984     1430.000000
    31     5  1984     1421.000000
     1     6  1984     1412.000000
     2     6  1984     1406.000000
     3     6  1984     1408.000000
     4     6  1984     1429.000000
     5     6  1984     1440.000000
     6     6  1984     1434.000000
     7     6  1984     1419.000000
     8     6  1984     1398.000000
     9     6  1984     1378.000000
    10     6  1984     1366.000000
    11     6  1984     1353.000000
    12     6  1984     1343.000000
    13     6  1984     1329.000000
    14     6  1984     1312.000000
    15     6  1984     1291.000000
    16     6  1984     1271.000000
    17     6  1984     1251.000000
    18     6  1984     1233.000000
    19     6  1984     1223.000000
    20     6  1984     1220.000000
    21     6  1984     1224.000000
    22     6  1984     1216.000000
    23     6  1984     1200.000000
    24     6  1984     1188.000000
    25     6  1984     1180.000000
    26     6  1984     1173.000000
    27     6  1984     1166.000000
    28     6  1984     1160.000000
    29     6  1984     1158.000000
    30     6  1984     1152.000000
     1     7  1984     1142.000000
     2     7  1984     1135.000000
     3     7  1984     1140.000000
     4     7  1984     1132.000000
     5     7  1984     1114.000000
     6     7  1984     1086.000000
     7     7  1984     1062.000000
     8     7  1984     1034.000000
     9     7  1984     1006.000000
    10     7  1984      981.000000
    11     7  1984      957.000000
    12     7  1984      936.000000
    13     7  1984      920.000000
    14     7  1984      907.000000
    15     7  1984      902.000000
    16     7  1984      908.000000
    17     7  1984      942.000000
    18     7  1984      974.000000
    19     7  1984      972.000000
    20     7  1984      946.000000
    21     7  1984      916.000000
    22     7  1984      896.000000
    23     7  1984      880.000000
    24     7  1984      872.000000
    25     7  1984      863.000000
    26     7  1984      854.000000
    27     7  1984      836.000000
    28     7  1984      820.000000
    29     7  1984      805.000000
    30     7  1984      788.000000
    31     7  1984      766.000000
     1     8  1984      746.000000
     2     8  1984      726.000000
     3     8  1984      711.000000
     4     8  1984      695.000000
     5     8  1984      675.000000
     6     8  1984      655.000000
     7     8  1984      638.000000
     8     8  1984      624.000000
     9     8  1984      608.000000
    10     8  1984      594.000000
    11     8  1984      590.000000
    12     8  1984      605.000000
    13     8  1984      610.000000
    14     8  1984      610.000000
    15     8  1984      596.000000
    16     8  1984      582.000000
    17     8  1984      574.000000
    18     8  1984      571.000000
    19     8  1984      572.000000
    20     8  1984      572.000000
    21     8  1984      568.000000
    22     8  1984      563.000000
    23     8  1984      560.000000
    24     8  1984      560.000000
    25     8  1984      556.000000
    26     8  1984      546.000000
    27     8  1984      536.000000
    28     8  1984      526.000000
    29     8  1984      514.000000
    30     8  1984      507.000000
    31     8  1984      512.000000
     1     9  1984      529.000000
     2     9  1984      540.000000
     3     9  1984      536.000000
     4     9  1984      524.000000
     5     9  1984      510.000000
     6     9  1984      499.000000
     7     9  1984      490.000000
     8     9  1984      480.000000
     9     9  1984      470.000000
    10     9  1984      462.000000
    11     9  1984      456.000000
    12     9  1984      448.000000
    13     9  1984      439.000000
    14     9  1984      434.000000
    15     9  1984      429.000000
    16     9  1984      426.000000
    17     9  1984      423.000000
    18     9  1984      419.000000
    19     9  1984      416.000000
    20     9  1984      412.000000
    21     9  1984      404.000000
    22     9  1984      398.000000
    23     9  1984      393.000000
    24     9  1984      390.000000
    25     9  1984      384.000000
    26     9  1984      381.000000
    27     9  1984      376.000000
    28     9  1984      371.000000
    29     9  1984      366.000000
    30     9  1984      364.000000
     1    10  1984      363.000000
     2    10  1984      366.000000
     3    10  1984      378.000000
     4    10  1984      424.000000
     5    10  1984      484.000000
     6    10  1984      508.000000
     7    10  1984      502.000000
     8    10  1984      484.000000
     9    10  1984      468.000000
    10    10  1984      450.000000
    11    10  1984      437.000000
    12    10  1984      424.000000
    13    10  1984      412.000000
    14    10  1984      402.000000
    15    10  1984      394.000000
    16    10  1984      389.000000
    17    10  1984      386.000000
    18    10  1984      385.000000
    19    10  1984      385.000000
    20    10  1984      385.000000
    21    10  1984      386.000000
    22    10  1984      387.000000
    23    10  1984      390.000000
    24    10  1984      405.000000
    25    10  1984      417.000000
    26    10  1984      452.000000
    27    10  1984      535.000000
    28    10  1984      608.000000
    29    10  1984      656.000000
    30    10  1984      674.000000
    31    10  1984      674.000000
     1    11  1984      666.000000
     2    11  1984      651.000000
     3    11  1984      639.000000
     4    11  1984      634.000000
     5    11  1984      645.000000
     6    11  1984      692.000000
     7    11  1984      750.000000
     8    11  1984      771.000000
     9    11  1984      771.000000
    10    11  1984      771.000000
    11    11  1984      792.000000
    12    11  1984      855.000000
    13    11  1984      904.000000
    14    11  1984      921.000000
    15    11  1984      922.000000
    16    11  1984      919.000000
    17    11  1984      931.000000
    18    11  1984      959.000000
    19    11  1984      987.000000
    20    11  1984     1011.000000
    21    11  1984     1017.000000
    22    11  1984     1024.000000
    23    11  1984     1052.000000
    24    11  1984     1081.000000
    25    11  1984     1092.000000
    26    11  1984     1096.000000
    27    11  1984     1107.000000
    28    11  1984     1113.000000
    29    11  1984     1104.000000
    30    11  1984     1090.000000
     1    12  1984     1068.000000
     2    12  1984     1056.000000
     3    12  1984     1054.000000
     4    12  1984     1056.000000
     5    12  1984     1060.000000
     6    12  1984     1060.000000
     7    12  1984     1058.000000
     8    12  1984     1071.000000
     9    12  1984     1106.000000
    10    12  1984     1125.000000
    11    12  1984     1125.000000
    12    12  1984     1132.000000
    13    12  1984     1162.000000
    14    12  1984     1191.000000
    15    12  1984     1198.000000
    16    12  1984     1184.000000
    17    12  1984     1168.000000
    18    12  1984     1150.000000
    19    12  1984     1134.000000
    20    12  1984     1120.000000
    21    12  1984     1130.000000
    22    12  1984     1155.000000
    23    12  1984     1169.000000
    24    12  1984     1166.000000
    25    12  1984     1152.000000
    26    12  1984     1132.000000
    27    12  1984     1114.000000
    28    12  1984     1112.000000
    29    12  1984     1116.000000
    30    12  1984     1132.000000
    31    12  1984     1152.000000
     1     1  1985     1166.000000
     2     1  1985     1178.000000
     3     1  1985     1192.000000
     4     1  1985     1198.000000
     5     1  1985     1196.000000
     6     1  1985     1211.000000
     7     1  1985     1237.000000
     8     1  1985     1256.000000
     9     1  1985     1274.000000
    10     1  1985     1288.000000
    11     1  1985     1306.000000
    12     1  1985     1330.000000
    13     1  1985     1350.000000
    14     1  1985     1369.000000
    15     1  1985     1388.000000
    16     1  1985     1402.000000
    17     1  1985     1411.000000
    18     1  1985     1420.000000
    19     1  1985     1430.000000
    20     1  1985     1438.000000
    21     1  1985     1448.000000
    22     1  1985     1458.000000
    23     1  1985     1462.000000
    24     1  1985     1466.000000
    25     1  1985     1465.000000
    26     1  1985     1462.000000
    27     1  1985     1458.000000
    28     1  1985     1452.000000
    29     1  1985     1448.000000
    30     1  1985     1445.000000
    31     1  1985     1446.000000
     1     2  1985     1452.000000
     2     2  1985     1459.000000
     3     2  1985     1465.000000
     4     2  1985     1467.000000
     5     2  1985     1464.000000
     6     2  1985     1456.000000
     7     2  1985     1449.000000
     8     2  1985     1450.000000
     9     2  1985     1457.000000
    10     2  1985     1466.000000
    11     2  1985     1470.000000
    12     2  1985     1472.000000
    13     2  1985     1472.000000
    14     2  1985     1468.000000
    15     2  1985     1466.000000
    16     2  1985     1464.000000
    17     2  1985     1468.000000
    18     2  1985     1471.000000
    19     2  1985     1477.000000
    20     2  1985     1484.000000
    21     2  1985     1492.000000
    22     2  1985     1500.000000
    23     2  1985     1506.000000
    24     2  1985     1509.000000
    25     2  1985     1510.000000
    26     2  1985     1512.000000
    27     2  1985     1509.000000
    28     2  1985     1504.000000
     1     3  1985     1497.000000
     2     3  1985     1486.000000
     3     3  1985     1471.000000
     4     3  1985     1463.000000
     5     3  1985     1459.000000
     6     3  1985     1458.000000
     7     3  1985     1455.000000
     8     3  1985     1462.000000
     9     3  1985     1474.000000
    10     3  1985     1486.000000
    11     3  1985     1488.000000
    12     3  1985     1491.000000
    13     3  1985     1496.000000
    14     3  1985     1496.000000
    15     3  1985     1498.000000
    16     3  1985     1514.000000
