TARAQUÁ	-68.539	0.130
    21     7  1983     1397.000000
    22     7  1983     1382.000000
    23     7  1983     1374.000000
    24     7  1983     1361.000000
    25     7  1983     1352.000000
    26     7  1983     1350.000000
    27     7  1983     1349.000000
    28     7  1983     1345.000000
    29     7  1983     1346.000000
    30     7  1983     1347.000000
    31     7  1983     1357.000000
     1     8  1983     1367.000000
     2     8  1983     1385.000000
     3     8  1983     1420.000000
     4     8  1983     1458.000000
     5     8  1983     1485.000000
     6     8  1983     1509.000000
     7     8  1983     1524.000000
     8     8  1983     1533.000000
     9     8  1983     1541.000000
    10     8  1983     1551.000000
    11     8  1983     1560.000000
    12     8  1983     1565.000000
    13     8  1983     1565.000000
    14     8  1983     1556.000000
    15     8  1983     1547.000000
    16     8  1983     1532.000000
    17     8  1983     1491.000000
    18     8  1983     1469.000000
    19     8  1983     1451.000000
    20     8  1983     1448.000000
    21     8  1983     1454.000000
    22     8  1983     1460.000000
    23     8  1983     1452.000000
    24     8  1983     1436.000000
    25     8  1983     1428.000000
    26     8  1983     1419.000000
    27     8  1983     1415.000000
    28     8  1983     1424.000000
    29     8  1983     1431.000000
    30     8  1983     1436.000000
    31     8  1983     1437.000000
     1     9  1983     1438.000000
     2     9  1983     1430.000000
     3     9  1983     1422.000000
     4     9  1983     1413.000000
     5     9  1983     1403.000000
     6     9  1983     1394.000000
     7     9  1983     1385.000000
     8     9  1983     1385.000000
     9     9  1983     1390.000000
    10     9  1983     1384.000000
    11     9  1983     1376.000000
    12     9  1983     1375.000000
    13     9  1983     1378.000000
    14     9  1983     1381.000000
    15     9  1983     1382.000000
    16     9  1983     1380.000000
    17     9  1983     1377.000000
    18     9  1983     1378.000000
    19     9  1983     1380.000000
    20     9  1983     1379.000000
    21     9  1983     1371.000000
    22     9  1983     1368.000000
    23     9  1983     1364.000000
    24     9  1983     1361.000000
    25     9  1983     1352.000000
    26     9  1983     1339.000000
    27     9  1983     1324.000000
    28     9  1983     1303.000000
    29     9  1983     1281.000000
    30     9  1983     1255.000000
