MANOELURBANO	-69.268	-8.884
    31     8  1983      378.000000
     1     9  1983      382.000000
     2     9  1983      384.000000
     3     9  1983      385.000000
     4     9  1983      387.000000
     5     9  1983      389.000000
     6     9  1983      389.000000
     7     9  1983      387.000000
     8     9  1983      385.000000
     9     9  1983      383.000000
    10     9  1983      384.000000
    11     9  1983      387.000000
    12     9  1983      386.000000
    13     9  1983      383.000000
    14     9  1983      381.000000
    15     9  1983      379.000000
    16     9  1983      380.000000
    17     9  1983      386.000000
    18     9  1983      395.000000
    19     9  1983      394.000000
    20     9  1983      388.000000
    21     9  1983      388.000000
    22     9  1983      395.000000
    23     9  1983      398.000000
    24     9  1983      384.000000
    25     9  1983      375.000000
    26     9  1983      369.000000
    27     9  1983      364.000000
    28     9  1983      365.000000
    29     9  1983      370.000000
    30     9  1983      372.000000
     1    10  1983      373.000000
     2    10  1983      370.000000
     3    10  1983      365.000000
     4    10  1983      365.000000
     5    10  1983      368.000000
     6    10  1983      370.000000
     7    10  1983      372.000000
     8    10  1983      375.000000
     9    10  1983      371.000000
    10    10  1983      368.000000
    11    10  1983      367.000000
    12    10  1983      376.000000
    13    10  1983      384.000000
    14    10  1983      387.000000
    15    10  1983      383.000000
    16    10  1983      383.000000
    17    10  1983      384.000000
    18    10  1983      386.000000
    19    10  1983      389.000000
    20    10  1983      392.000000
    21    10  1983      395.000000
    22    10  1983      397.000000
    23    10  1983      398.000000
    24    10  1983      405.000000
    25    10  1983      414.000000
    26    10  1983      417.000000
    27    10  1983      418.000000
    28    10  1983      421.000000
    29    10  1983      424.000000
    30    10  1983      424.000000
    31    10  1983      425.000000
     1    11  1983      429.000000
     2    11  1983      439.000000
     3    11  1983      440.000000
     4    11  1983      520.000000
     5    11  1983      605.000000
     6    11  1983      635.000000
     7    11  1983      592.000000
     8    11  1983      552.000000
     9    11  1983      544.000000
    10    11  1983      527.000000
    11    11  1983      532.000000
    12    11  1983      567.000000
    13    11  1983      595.000000
    14    11  1983      593.000000
    15    11  1983      574.000000
    16    11  1983      560.000000
    17    11  1983      553.000000
    18    11  1983      552.000000
    19    11  1983      547.000000
    20    11  1983      550.000000
    21    11  1983      557.000000
    22    11  1983      549.000000
    23    11  1983      570.000000
    24    11  1983      652.000000
    25    11  1983      735.000000
    26    11  1983      758.000000
    27    11  1983      722.000000
    28    11  1983      679.000000
    29    11  1983      670.000000
    30    11  1983      689.000000
     1    12  1983      696.000000
     2    12  1983      713.000000
     3    12  1983      768.000000
     4    12  1983      795.000000
     5    12  1983      810.000000
     6    12  1983      838.000000
     7    12  1983      847.000000
     8    12  1983      847.000000
     9    12  1983      861.000000
    10    12  1983      867.000000
    11    12  1983      831.000000
    12    12  1983      774.000000
    13    12  1983      719.000000
    14    12  1983      632.000000
    15    12  1983      613.000000
    16    12  1983      625.000000
    17    12  1983      646.000000
    18    12  1983      659.000000
    19    12  1983      675.000000
    20    12  1983      698.000000
    21    12  1983      700.000000
    22    12  1983      694.000000
    23    12  1983      683.000000
    24    12  1983      676.000000
    25    12  1983      668.000000
    26    12  1983      652.000000
    27    12  1983      639.000000
    28    12  1983      623.000000
    29    12  1983      620.000000
    30    12  1983      660.000000
    31    12  1983      683.000000
     1     1  1984      692.000000
     2     1  1984      697.000000
     3     1  1984      760.000000
     4     1  1984      800.000000
     5     1  1984      874.000000
     6     1  1984      917.000000
     7     1  1984      930.000000
     8     1  1984      978.000000
     9     1  1984     1015.000000
    10     1  1984     1063.000000
    11     1  1984     1093.000000
    12     1  1984     1137.000000
    13     1  1984     1162.000000
    14     1  1984     1194.000000
    15     1  1984     1210.000000
    16     1  1984     1315.000000
    17     1  1984     1290.000000
    18     1  1984     1185.000000
    19     1  1984     1112.000000
    20     1  1984     1067.000000
    21     1  1984      995.000000
    22     1  1984      960.000000
    23     1  1984      931.000000
    24     1  1984     1039.000000
    25     1  1984     1043.000000
    26     1  1984      925.000000
    27     1  1984      879.000000
    28     1  1984      826.000000
    29     1  1984      840.000000
    30     1  1984      882.000000
    31     1  1984      905.000000
     1     2  1984      958.000000
     2     2  1984     1023.000000
     3     2  1984     1043.000000
     4     2  1984     1080.000000
