CRUZEIRODOSUL	-72.681	-7.611
    29     8  1983      252.000000
    30     8  1983      253.000000
    31     8  1983      253.000000
     1     9  1983      255.000000
     2     9  1983      260.000000
     3     9  1983      269.000000
     4     9  1983      279.000000
     5     9  1983      290.000000
     6     9  1983      308.000000
     7     9  1983      323.000000
     8     9  1983      316.000000
     9     9  1983      306.000000
    10     9  1983      299.000000
    11     9  1983      297.000000
    12     9  1983      296.000000
    13     9  1983      299.000000
    14     9  1983      299.000000
    15     9  1983      293.000000
    16     9  1983      279.000000
    17     9  1983      272.000000
    18     9  1983      269.000000
    19     9  1983      269.000000
    20     9  1983      273.000000
    21     9  1983      275.000000
    22     9  1983      276.000000
    23     9  1983      276.000000
    24     9  1983      278.000000
    25     9  1983      275.000000
    26     9  1983      277.000000
    27     9  1983      282.000000
    28     9  1983      276.000000
    29     9  1983      271.000000
    30     9  1983      267.000000
     1    10  1983      268.000000
     2    10  1983      272.000000
     3    10  1983      276.000000
     4    10  1983      278.000000
     5    10  1983      279.000000
     6    10  1983      281.000000
     7    10  1983      285.000000
     8    10  1983      296.000000
     9    10  1983      297.000000
    10    10  1983      292.000000
    11    10  1983      289.000000
    12    10  1983      285.000000
    13    10  1983      280.000000
    14    10  1983      282.000000
    15    10  1983      286.000000
    16    10  1983      289.000000
    17    10  1983      291.000000
    18    10  1983      294.000000
    19    10  1983      291.000000
    20    10  1983      296.000000
    21    10  1983      301.000000
    22    10  1983      303.000000
    23    10  1983      306.000000
    24    10  1983      314.000000
    25    10  1983      318.000000
    26    10  1983      318.000000
    27    10  1983      313.000000
    28    10  1983      308.000000
    29    10  1983      304.000000
    30    10  1983      310.000000
    31    10  1983      320.000000
     1    11  1983      329.000000
     2    11  1983      354.000000
     3    11  1983      454.000000
     4    11  1983      564.000000
     5    11  1983      750.000000
     6    11  1983      810.000000
     7    11  1983      838.000000
     8    11  1983      753.000000
     9    11  1983      712.000000
    10    11  1983      676.000000
    11    11  1983      659.000000
    12    11  1983      673.000000
    13    11  1983      652.000000
    14    11  1983      618.000000
    15    11  1983      571.000000
    16    11  1983      533.000000
    17    11  1983      564.000000
    18    11  1983      647.000000
    19    11  1983      674.000000
    20    11  1983      649.000000
    21    11  1983      611.000000
    22    11  1983      570.000000
    23    11  1983      539.000000
    24    11  1983      506.000000
    25    11  1983      510.000000
    26    11  1983      539.000000
    27    11  1983      578.000000
    28    11  1983      626.000000
    29    11  1983      626.000000
    30    11  1983      646.000000
     1    12  1983      676.000000
     2    12  1983      698.000000
     3    12  1983      694.000000
     4    12  1983      684.000000
     5    12  1983      692.000000
     6    12  1983      750.000000
     7    12  1983      751.000000
     8    12  1983      718.000000
     9    12  1983      740.000000
    10    12  1983      830.000000
    11    12  1983      893.000000
    12    12  1983     1017.000000
    13    12  1983     1015.000000
    14    12  1983      941.000000
    15    12  1983      799.000000
    16    12  1983      688.000000
    17    12  1983      615.000000
    18    12  1983      610.000000
    19    12  1983      605.000000
    20    12  1983      599.000000
    21    12  1983      614.000000
    22    12  1983      706.000000
    23    12  1983      745.000000
    24    12  1983      735.000000
    25    12  1983      724.000000
    26    12  1983      707.000000
    27    12  1983      709.000000
    28    12  1983      729.000000
    29    12  1983      759.000000
    30    12  1983      759.000000
    31    12  1983      732.000000
     1     1  1984      690.000000
     2     1  1984      655.000000
     3     1  1984      616.000000
     4     1  1984      582.000000
     5     1  1984      546.000000
     6     1  1984      638.000000
     7     1  1984      714.000000
     8     1  1984      791.000000
     9     1  1984      834.000000
    10     1  1984      992.000000
    11     1  1984     1029.000000
    12     1  1984     1037.000000
    13     1  1984     1028.000000
    14     1  1984      994.000000
    15     1  1984     1007.000000
    16     1  1984     1036.000000
    17     1  1984     1063.000000
    18     1  1984     1076.000000
    19     1  1984     1086.000000
    20     1  1984     1096.000000
    21     1  1984     1100.000000
    22     1  1984     1086.000000
    23     1  1984     1077.000000
    24     1  1984     1084.000000
    25     1  1984     1105.000000
    26     1  1984     1085.000000
    27     1  1984     1050.000000
    28     1  1984     1005.000000
    29     1  1984      972.000000
    30     1  1984      968.000000
    31     1  1984     1006.000000
     1     2  1984     1042.000000
     2     2  1984     1102.000000
     3     2  1984     1138.000000
     4     2  1984     1166.000000
     5     2  1984     1187.000000
     6     2  1984     1204.000000
     7     2  1984     1221.000000
     8     2  1984     1230.000000
     9     2  1984     1240.000000
    10     2  1984     1250.000000
    11     2  1984     1257.000000
    12     2  1984     1271.000000
    13     2  1984     1280.000000
    14     2  1984     1285.000000
    15     2  1984     1267.000000
    16     2  1984     1250.000000
    17     2  1984     1243.000000
    18     2  1984     1242.000000
    19     2  1984     1239.000000
    20     2  1984     1238.000000
    21     2  1984     1234.000000
    22     2  1984     1234.000000
    23     2  1984     1237.000000
    24     2  1984     1238.000000
    25     2  1984     1236.000000
    26     2  1984     1232.000000
    27     2  1984     1221.000000
    28     2  1984     1188.000000
    29     2  1984     1139.000000
     1     3  1984     1108.000000
     2     3  1984     1069.000000
     3     3  1984     1036.000000
     4     3  1984     1014.000000
     5     3  1984     1018.000000
     6     3  1984     1030.000000
     7     3  1984     1029.000000
     8     3  1984     1032.000000
     9     3  1984     1058.000000
    10     3  1984     1078.000000
    11     3  1984     1091.000000
    12     3  1984     1106.000000
    13     3  1984     1130.000000
    14     3  1984     1148.000000
    15     3  1984     1160.000000
    16     3  1984     1168.000000
    17     3  1984     1154.000000
    18     3  1984     1107.000000
    19     3  1984     1046.000000
    20     3  1984     1042.000000
    21     3  1984     1085.000000
    22     3  1984     1104.000000
    23     3  1984     1112.000000
    24     3  1984     1110.000000
    25     3  1984     1099.000000
    26     3  1984     1080.000000
    27     3  1984     1056.000000
    28     3  1984     1018.000000
    29     3  1984      991.000000
    30     3  1984      978.000000
    31     3  1984      984.000000
     1     4  1984      989.000000
     2     4  1984     1002.000000
     3     4  1984     1014.000000
     4     4  1984     1014.000000
     5     4  1984     1001.000000
     6     4  1984     1017.000000
     7     4  1984     1041.000000
     8     4  1984     1070.000000
     9     4  1984     1098.000000
    10     4  1984     1120.000000
    11     4  1984     1138.000000
    12     4  1984     1156.000000
    13     4  1984     1180.000000
    14     4  1984     1202.000000
    15     4  1984     1233.000000
    16     4  1984     1261.000000
    17     4  1984     1278.000000
    18     4  1984     1268.000000
    19     4  1984     1236.000000
    20     4  1984     1140.000000
    21     4  1984     1156.000000
    22     4  1984     1106.000000
    23     4  1984     1041.000000
    24     4  1984     1006.000000
    25     4  1984     1004.000000
    26     4  1984     1016.000000
    27     4  1984     1048.000000
    28     4  1984     1068.000000
    29     4  1984     1078.000000
    30     4  1984     1064.000000
     1     5  1984     1028.000000
     2     5  1984     1006.000000
     3     5  1984      988.000000
     4     5  1984      977.000000
     5     5  1984      956.000000
     6     5  1984      912.000000
     7     5  1984      854.000000
     8     5  1984      824.000000
     9     5  1984      796.000000
    10     5  1984      767.000000
    11     5  1984      747.000000
    12     5  1984      744.000000
    13     5  1984      764.000000
    14     5  1984      782.000000
    15     5  1984      788.000000
    16     5  1984      800.000000
    17     5  1984      785.000000
    18     5  1984      770.000000
    19     5  1984      737.000000
    20     5  1984      702.000000
    21     5  1984      674.000000
    22     5  1984      655.000000
    23     5  1984      652.000000
    24     5  1984      652.000000
    25     5  1984      656.000000
    26     5  1984      647.000000
    27     5  1984      628.000000
    28     5  1984      606.000000
    29     5  1984      583.000000
    30     5  1984      565.000000
    31     5  1984      550.000000
     1     6  1984      545.000000
     2     6  1984      562.000000
     3     6  1984      582.000000
     4     6  1984      575.000000
     5     6  1984      553.000000
     6     6  1984      531.000000
     7     6  1984      520.000000
     8     6  1984      518.000000
     9     6  1984      526.000000
    10     6  1984      535.000000
    11     6  1984      549.000000
    12     6  1984      558.000000
    13     6  1984      562.000000
    14     6  1984      562.000000
    15     6  1984      556.000000
    16     6  1984      542.000000
    17     6  1984      528.000000
    18     6  1984      531.000000
    19     6  1984      537.000000
    20     6  1984      544.000000
    21     6  1984      550.000000
    22     6  1984      535.000000
    23     6  1984      521.000000
    24     6  1984      520.000000
    25     6  1984      529.000000
    26     6  1984      542.000000
    27     6  1984      559.000000
    28     6  1984      560.000000
    29     6  1984      545.000000
    30     6  1984      552.000000
     1     7  1984      563.000000
     2     7  1984      567.000000
     3     7  1984      561.000000
     4     7  1984      531.000000
     5     7  1984      498.000000
     6     7  1984      460.000000
     7     7  1984      432.000000
     8     7  1984      420.000000
     9     7  1984      410.000000
    10     7  1984      410.000000
    11     7  1984      418.000000
    12     7  1984      426.000000
    13     7  1984      428.000000
    14     7  1984      415.000000
    15     7  1984      406.000000
    16     7  1984      400.000000
    17     7  1984      396.000000
    18     7  1984      388.000000
    19     7  1984      385.000000
    20     7  1984      380.000000
    21     7  1984      379.000000
    22     7  1984      378.000000
    23     7  1984      376.000000
    24     7  1984      374.000000
    25     7  1984      372.000000
    26     7  1984      362.000000
    27     7  1984      352.000000
    28     7  1984      340.000000
    29     7  1984      330.000000
    30     7  1984      324.000000
    31     7  1984      318.000000
     1     8  1984      312.000000
     2     8  1984      308.000000
     3     8  1984      305.000000
     4     8  1984      302.000000
     5     8  1984      300.000000
     6     8  1984      300.000000
     7     8  1984      298.000000
     8     8  1984      297.000000
     9     8  1984      295.000000
    10     8  1984      299.000000
    11     8  1984      301.000000
    12     8  1984      304.000000
    13     8  1984      302.000000
    14     8  1984      300.000000
    15     8  1984      298.000000
    16     8  1984      298.000000
    17     8  1984      299.000000
    18     8  1984      301.000000
    19     8  1984      307.000000
    20     8  1984      322.000000
    21     8  1984      338.000000
    22     8  1984      338.000000
    23     8  1984      324.000000
    24     8  1984      312.000000
    25     8  1984      318.000000
    26     8  1984      324.000000
    27     8  1984      328.000000
    28     8  1984      336.000000
    29     8  1984      342.000000
    30     8  1984      353.000000
    31     8  1984      353.000000
     1     9  1984      350.000000
     2     9  1984      345.000000
     3     9  1984      332.000000
     4     9  1984      319.000000
     5     9  1984      304.000000
     6     9  1984      288.000000
     7     9  1984      282.000000
     8     9  1984      280.000000
     9     9  1984      278.000000
    10     9  1984      277.000000
    11     9  1984      277.000000
    12     9  1984      282.000000
    13     9  1984      288.000000
    14     9  1984      295.000000
    15     9  1984      292.000000
    16     9  1984      287.000000
    17     9  1984      283.000000
    18     9  1984      281.000000
    19     9  1984      284.000000
    20     9  1984      290.000000
    21     9  1984      294.000000
    22     9  1984      286.000000
    23     9  1984      282.000000
    24     9  1984      276.000000
    25     9  1984      272.000000
    26     9  1984      272.000000
    27     9  1984      274.000000
    28     9  1984      277.000000
    29     9  1984      280.000000
    30     9  1984      281.000000
     1    10  1984      279.000000
     2    10  1984      276.000000
     3    10  1984      274.000000
     4    10  1984      276.000000
     5    10  1984      278.000000
     6    10  1984      280.000000
     7    10  1984      285.000000
     8    10  1984      290.000000
     9    10  1984      288.000000
    10    10  1984      284.000000
    11    10  1984      280.000000
    12    10  1984      282.000000
    13    10  1984      294.000000
    14    10  1984      316.000000
    15    10  1984      341.000000
    16    10  1984      361.000000
    17    10  1984      371.000000
    18    10  1984      388.000000
    19    10  1984      463.000000
    20    10  1984      480.000000
    21    10  1984      452.000000
    22    10  1984      436.000000
    23    10  1984      442.000000
    24    10  1984      456.000000
    25    10  1984      462.000000
    26    10  1984      470.000000
    27    10  1984      480.000000
    28    10  1984      494.000000
    29    10  1984      516.000000
    30    10  1984      544.000000
    31    10  1984      562.000000
     1    11  1984      558.000000
     2    11  1984      560.000000
     3    11  1984      612.000000
     4    11  1984      680.000000
     5    11  1984      728.000000
     6    11  1984      701.000000
     7    11  1984      666.000000
     8    11  1984      615.000000
     9    11  1984      687.000000
    10    11  1984      710.000000
    11    11  1984      726.000000
    12    11  1984      736.000000
    13    11  1984      772.000000
    14    11  1984      832.000000
    15    11  1984      876.000000
    16    11  1984      895.000000
    17    11  1984      916.000000
    18    11  1984      935.000000
    19    11  1984      918.000000
    20    11  1984      886.000000
    21    11  1984      874.000000
    22    11  1984      854.000000
    23    11  1984      833.000000
    24    11  1984      813.000000
    25    11  1984      802.000000
    26    11  1984      844.000000
    27    11  1984      928.000000
    28    11  1984      998.000000
    29    11  1984     1052.000000
    30    11  1984     1066.000000
     1    12  1984     1054.000000
     2    12  1984     1054.000000
     3    12  1984     1032.000000
     4    12  1984      978.000000
     5    12  1984      916.000000
     6    12  1984      898.000000
     7    12  1984      868.000000
     8    12  1984      839.000000
     9    12  1984      812.000000
    10    12  1984      786.000000
    11    12  1984      771.000000
    12    12  1984      820.000000
    13    12  1984      920.000000
    14    12  1984      963.000000
    15    12  1984      962.000000
    16    12  1984      901.000000
    17    12  1984      822.000000
    18    12  1984      760.000000
    19    12  1984      720.000000
    20    12  1984      768.000000
    21    12  1984      836.000000
    22    12  1984      942.000000
    23    12  1984      988.000000
    24    12  1984      991.000000
    25    12  1984      929.000000
    26    12  1984      851.000000
    27    12  1984      784.000000
    28    12  1984      774.000000
    29    12  1984      895.000000
    30    12  1984      990.000000
    31    12  1984     1042.000000
     1     1  1985     1068.000000
     2     1  1985     1087.000000
     3     1  1985     1065.000000
     4     1  1985     1008.000000
     5     1  1985      917.000000
     6     1  1985      808.000000
     7     1  1985      718.000000
     8     1  1985      618.000000
     9     1  1985      548.000000
    10     1  1985      594.000000
    11     1  1985      730.000000
    12     1  1985      754.000000
    13     1  1985      756.000000
    14     1  1985      754.000000
    15     1  1985      772.000000
    16     1  1985      853.000000
    17     1  1985      938.000000
    18     1  1985      944.000000
    19     1  1985      885.000000
    20     1  1985      826.000000
    21     1  1985      740.000000
    22     1  1985      707.000000
    23     1  1985      675.000000
    24     1  1985      642.000000
    25     1  1985      605.000000
    26     1  1985      582.000000
    27     1  1985      551.000000
    28     1  1985      580.000000
    29     1  1985      618.000000
    30     1  1985      662.000000
    31     1  1985      741.000000
     1     2  1985      812.000000
     2     2  1985      836.000000
     3     2  1985      868.000000
     4     2  1985      888.000000
     5     2  1985      898.000000
     6     2  1985      854.000000
     7     2  1985      800.000000
     8     2  1985      799.000000
     9     2  1985      852.000000
    10     2  1985      870.000000
    11     2  1985      874.000000
    12     2  1985      876.000000
    13     2  1985      871.000000
    14     2  1985      842.000000
    15     2  1985      822.000000
    16     2  1985      794.000000
    17     2  1985      782.000000
    18     2  1985      766.000000
    19     2  1985      750.000000
    20     2  1985      741.000000
    21     2  1985      730.000000
    22     2  1985      722.000000
    23     2  1985      724.000000
    24     2  1985      753.000000
    25     2  1985      784.000000
    26     2  1985      797.000000
    27     2  1985      804.000000
    28     2  1985      813.000000
     1     3  1985      826.000000
     2     3  1985      850.000000
     3     3  1985      914.000000
     4     3  1985      946.000000
     5     3  1985      970.000000
     6     3  1985     1020.000000
     7     3  1985     1055.000000
     8     3  1985     1078.000000
     9     3  1985     1094.000000
    10     3  1985     1097.000000
    11     3  1985     1107.000000
    12     3  1985     1111.000000
    13     3  1985     1110.000000
    14     3  1985     1092.000000
    15     3  1985     1096.000000
    16     3  1985     1112.000000
    17     3  1985     1156.000000
    18     3  1985     1208.000000
    19     3  1985     1224.000000
    20     3  1985     1232.000000
    21     3  1985     1232.000000
    22     3  1985     1226.000000
    23     3  1985     1222.000000
    24     3  1985     1212.000000
    25     3  1985     1198.000000
    26     3  1985     1170.000000
    27     3  1985     1127.000000
    28     3  1985     1072.000000
    29     3  1985     1031.000000
    30     3  1985      988.000000
    31     3  1985      961.000000
     1     4  1985      945.000000
     2     4  1985      944.000000
     3     4  1985      966.000000
     4     4  1985      980.000000
     5     4  1985      961.000000
     6     4  1985      924.000000
     7     4  1985      888.000000
     8     4  1985      872.000000
     9     4  1985      901.000000
    10     4  1985      936.000000
    11     4  1985      964.000000
    12     4  1985      962.000000
    13     4  1985      944.000000
    14     4  1985      926.000000
    15     4  1985      906.000000
    16     4  1985      902.000000
    17     4  1985      888.000000
    18     4  1985      862.000000
    19     4  1985      853.000000
    20     4  1985      850.000000
    21     4  1985      890.000000
    22     4  1985      944.000000
    23     4  1985      956.000000
    24     4  1985      970.000000
    25     4  1985      994.000000
    26     4  1985     1012.000000
    27     4  1985     1062.000000
    28     4  1985     1073.000000
    29     4  1985     1070.000000
    30     4  1985     1052.000000
     1     5  1985     1024.000000
     2     5  1985      996.000000
     3     5  1985     1000.000000
     4     5  1985     1028.000000
     5     5  1985     1040.000000
     6     5  1985     1028.000000
     7     5  1985      992.000000
     8     5  1985      915.000000
     9     5  1985      848.000000
    10     5  1985      782.000000
    11     5  1985      726.000000
    12     5  1985      702.000000
    13     5  1985      714.000000
    14     5  1985      749.000000
    15     5  1985      785.000000
    16     5  1985      862.000000
    17     5  1985      891.000000
    18     5  1985      886.000000
    19     5  1985      850.000000
    20     5  1985      843.000000
    21     5  1985      844.000000
    22     5  1985      833.000000
    23     5  1985      814.000000
    24     5  1985      806.000000
    25     5  1985      792.000000
    26     5  1985      784.000000
    27     5  1985      770.000000
    28     5  1985      748.000000
    29     5  1985      720.000000
    30     5  1985      692.000000
    31     5  1985      682.000000
     1     6  1985      672.000000
     2     6  1985      662.000000
     3     6  1985      653.000000
     4     6  1985      664.000000
     5     6  1985      680.000000
     6     6  1985      675.000000
     7     6  1985      665.000000
     8     6  1985      647.000000
     9     6  1985      625.000000
    10     6  1985      604.000000
    11     6  1985      592.000000
    12     6  1985      554.000000
    13     6  1985      523.000000
    14     6  1985      490.000000
    15     6  1985      464.000000
    16     6  1985      442.000000
    17     6  1985      428.000000
    18     6  1985      420.000000
    19     6  1985      414.000000
    20     6  1985      418.000000
    21     6  1985      423.000000
    22     6  1985      428.000000
    23     6  1985      429.000000
    24     6  1985      432.000000
    25     6  1985      432.000000
    26     6  1985      432.000000
    27     6  1985      436.000000
    28     6  1985      440.000000
    29     6  1985      442.000000
    30     6  1985      445.000000
     1     7  1985      448.000000
     2     7  1985      445.000000
     3     7  1985      437.000000
     4     7  1985      418.000000
     5     7  1985      403.000000
     6     7  1985      394.000000
     7     7  1985      388.000000
     8     7  1985      394.000000
     9     7  1985      410.000000
    10     7  1985      416.000000
    11     7  1985      421.000000
    12     7  1985      426.000000
    13     7  1985      424.000000
    14     7  1985      414.000000
    15     7  1985      406.000000
    16     7  1985      393.000000
    17     7  1985      380.000000
    18     7  1985      366.000000
    19     7  1985      354.000000
    20     7  1985      344.000000
    21     7  1985      338.000000
    22     7  1985      332.000000
    23     7  1985      329.000000
    24     7  1985      326.000000
    25     7  1985      324.000000
    26     7  1985      322.000000
    27     7  1985      318.000000
    28     7  1985      316.000000
    29     7  1985      315.000000
    30     7  1985      314.000000
    31     7  1985      314.000000
     1     8  1985      330.000000
     2     8  1985      348.000000
     3     8  1985      360.000000
     4     8  1985      356.000000
     5     8  1985      372.000000
     6     8  1985      377.000000
     7     8  1985      367.000000
     8     8  1985      360.000000
     9     8  1985      358.000000
    10     8  1985      355.000000
    11     8  1985      359.000000
    12     8  1985      362.000000
    13     8  1985      356.000000
    14     8  1985      349.000000
    15     8  1985      336.000000
    16     8  1985      322.000000
    17     8  1985      312.000000
    18     8  1985      308.000000
    19     8  1985      308.000000
    20     8  1985      310.000000
    21     8  1985      308.000000
    22     8  1985      310.000000
    23     8  1985      316.000000
    24     8  1985      322.000000
    25     8  1985      328.000000
    26     8  1985      328.000000
    27     8  1985      322.000000
    28     8  1985      312.000000
    29     8  1985      317.000000
    30     8  1985      322.000000
    31     8  1985      332.000000
     1     9  1985      342.000000
     2     9  1985      356.000000
     3     9  1985      342.000000
     4     9  1985      338.000000
     5     9  1985      336.000000
     6     9  1985      332.000000
     7     9  1985      336.000000
     8     9  1985      342.000000
     9     9  1985      348.000000
    10     9  1985      341.000000
    11     9  1985      320.000000
    12     9  1985      306.000000
    13     9  1985      298.000000
    14     9  1985      290.000000
    15     9  1985      287.000000
    16     9  1985      288.000000
    17     9  1985      304.000000
    18     9  1985      330.000000
    19     9  1985      356.000000
    20     9  1985      378.000000
    21     9  1985      406.000000
    22     9  1985      422.000000
    23     9  1985      410.000000
    24     9  1985      394.000000
    25     9  1985      372.000000
    26     9  1985      374.000000
    27     9  1985      396.000000
    28     9  1985      428.000000
    29     9  1985      442.000000
    30     9  1985      456.000000
     1    10  1985      464.000000
     2    10  1985      469.000000
     3    10  1985      466.000000
     4    10  1985      452.000000
     5    10  1985      446.000000
     6    10  1985      442.000000
     7    10  1985      456.000000
     8    10  1985      492.000000
     9    10  1985      501.000000
    10    10  1985      482.000000
    11    10  1985      450.000000
    12    10  1985      435.000000
    13    10  1985      471.000000
    14    10  1985      507.000000
    15    10  1985      530.000000
    16    10  1985      532.000000
    17    10  1985      520.000000
    18    10  1985      510.000000
    19    10  1985      508.000000
    20    10  1985      506.000000
    21    10  1985      502.000000
    22    10  1985      497.000000
    23    10  1985      493.000000
    24    10  1985      490.000000
    25    10  1985      492.000000
    26    10  1985      500.000000
    27    10  1985      518.000000
    28    10  1985      522.000000
    29    10  1985      538.000000
    30    10  1985      602.000000
    31    10  1985      636.000000
     1    11  1985      650.000000
     2    11  1985      596.000000
     3    11  1985      551.000000
     4    11  1985      582.000000
     5    11  1985      622.000000
     6    11  1985      641.000000
     7    11  1985      660.000000
     8    11  1985      674.000000
     9    11  1985      678.000000
    10    11  1985      634.000000
    11    11  1985      598.000000
    12    11  1985      652.000000
    13    11  1985      706.000000
    14    11  1985      746.000000
    15    11  1985      800.000000
    16    11  1985      839.000000
    17    11  1985      921.000000
    18    11  1985      986.000000
    19    11  1985      949.000000
    20    11  1985      880.000000
    21    11  1985      786.000000
    22    11  1985      740.000000
