VALPARAÍSO-MONTANTE	-67.400	-8.683
    23     8  1983      407.000000
    24     8  1983      405.000000
    25     8  1983      403.000000
    26     8  1983      402.000000
    27     8  1983      402.000000
    28     8  1983      405.000000
    29     8  1983      403.000000
    30     8  1983      401.000000
    31     8  1983      399.000000
     1     9  1983      400.000000
     2     9  1983      403.000000
     3     9  1983      408.000000
     4     9  1983      411.000000
     5     9  1983      411.000000
     6     9  1983      408.000000
     7     9  1983      401.000000
     8     9  1983      397.000000
     9     9  1983      394.000000
    10     9  1983      392.000000
    11     9  1983      390.000000
    12     9  1983      389.000000
    13     9  1983      392.000000
    14     9  1983      394.000000
    15     9  1983      396.000000
    16     9  1983      398.000000
    17     9  1983      400.000000
    18     9  1983      400.000000
    19     9  1983      398.000000
    20     9  1983      396.000000
    21     9  1983      394.000000
    22     9  1983      394.000000
    23     9  1983      394.000000
    24     9  1983      396.000000
    25     9  1983      398.000000
    26     9  1983      399.000000
    27     9  1983      396.000000
    28     9  1983      393.000000
    29     9  1983      389.000000
    30     9  1983      384.000000
     1    10  1983      383.000000
     2    10  1983      380.000000
     3    10  1983      379.000000
     4    10  1983      377.000000
     5    10  1983      375.000000
     6    10  1983      374.000000
     7    10  1983      376.000000
     8    10  1983      386.000000
     9    10  1983      394.000000
    10    10  1983      395.000000
    11    10  1983      389.000000
    12    10  1983      382.000000
    13    10  1983      380.000000
    14    10  1983      380.000000
    15    10  1983      381.000000
    16    10  1983      382.000000
    17    10  1983      384.000000
    18    10  1983      385.000000
    19    10  1983      382.000000
    20    10  1983      378.000000
    21    10  1983      380.000000
    22    10  1983      383.000000
    23    10  1983      384.000000
    24    10  1983      389.000000
    25    10  1983      395.000000
    26    10  1983      399.000000
    27    10  1983      402.000000
    28    10  1983      401.000000
    29    10  1983      394.000000
    30    10  1983      388.000000
    31    10  1983      390.000000
     1    11  1983      391.000000
     2    11  1983      399.000000
     3    11  1983      414.000000
     4    11  1983      426.000000
     5    11  1983      428.000000
     6    11  1983      431.000000
     7    11  1983      435.000000
     8    11  1983      448.000000
     9    11  1983      498.000000
    10    11  1983      580.000000
    11    11  1983      599.000000
    12    11  1983      588.000000
    13    11  1983      566.000000
    14    11  1983      548.000000
    15    11  1983      547.000000
    16    11  1983      567.000000
    17    11  1983      609.000000
    18    11  1983      672.000000
    19    11  1983      727.000000
    20    11  1983      746.000000
    21    11  1983      722.000000
    22    11  1983      694.000000
    23    11  1983      669.000000
    24    11  1983      654.000000
    25    11  1983      648.000000
    26    11  1983      645.000000
    27    11  1983      644.000000
    28    11  1983      693.000000
    29    11  1983      816.000000
    30    11  1983      849.000000
     1    12  1983      820.000000
     2    12  1983      784.000000
     3    12  1983      775.000000
     4    12  1983      797.000000
     5    12  1983      801.000000
     6    12  1983      826.000000
     7    12  1983      886.000000
     8    12  1983      916.000000
     9    12  1983      943.000000
    10    12  1983      985.000000
    11    12  1983     1002.000000
    12    12  1983     1024.000000
    13    12  1983     1052.000000
    14    12  1983     1043.000000
    15    12  1983      988.000000
    16    12  1983      921.000000
    17    12  1983      857.000000
    18    12  1983      825.000000
    19    12  1983      808.000000
    20    12  1983      819.000000
    21    12  1983      875.000000
    22    12  1983      946.000000
    23    12  1983      987.000000
    24    12  1983      988.000000
    25    12  1983      955.000000
    26    12  1983      914.000000
    27    12  1983      888.000000
    28    12  1983      869.000000
    29    12  1983      857.000000
    30    12  1983      851.000000
    31    12  1983      863.000000
     1     1  1984      901.000000
     2     1  1984      931.000000
     3     1  1984      939.000000
     4     1  1984      935.000000
     5     1  1984      955.000000
     6     1  1984     1043.000000
     7     1  1984     1129.000000
     8     1  1984     1200.000000
     9     1  1984     1249.000000
    10     1  1984     1286.000000
    11     1  1984     1333.000000
    12     1  1984     1384.000000
    13     1  1984     1432.000000
    14     1  1984     1475.000000
    15     1  1984     1502.000000
    16     1  1984     1532.000000
    17     1  1984     1554.000000
    18     1  1984     1579.000000
    19     1  1984     1590.000000
    20     1  1984     1590.000000
    21     1  1984     1590.000000
    22     1  1984     1569.000000
    23     1  1984     1545.000000
    24     1  1984     1520.000000
    25     1  1984     1495.000000
    26     1  1984     1477.000000
    27     1  1984     1463.000000
    28     1  1984     1433.000000
    29     1  1984     1405.000000
    30     1  1984     1359.000000
    31     1  1984     1325.000000
     1     2  1984     1331.000000
     2     2  1984     1368.000000
     3     2  1984     1404.000000
     4     2  1984     1446.000000
     5     2  1984     1484.000000
     6     2  1984     1513.000000
     7     2  1984     1539.000000
     8     2  1984     1578.000000
     9     2  1984     1626.000000
    10     2  1984     1659.000000
    11     2  1984     1687.000000
    12     2  1984     1706.000000
    13     2  1984     1715.000000
    14     2  1984     1723.000000
    15     2  1984     1728.000000
    16     2  1984     1733.000000
    17     2  1984     1731.000000
    18     2  1984     1717.000000
    19     2  1984     1714.000000
    20     2  1984     1721.000000
    21     2  1984     1732.000000
    22     2  1984     1737.000000
    23     2  1984     1742.000000
    24     2  1984     1750.000000
    25     2  1984     1759.000000
    26     2  1984     1769.000000
    27     2  1984     1775.000000
    28     2  1984     1782.000000
    29     2  1984     1786.000000
     1     3  1984     1786.000000
     2     3  1984     1784.000000
     3     3  1984     1780.000000
     4     3  1984     1779.000000
     5     3  1984     1775.000000
     6     3  1984     1767.000000
     7     3  1984     1763.000000
     8     3  1984     1758.000000
     9     3  1984     1744.000000
    10     3  1984     1722.000000
    11     3  1984     1696.000000
    12     3  1984     1670.000000
    13     3  1984     1664.000000
    14     3  1984     1674.000000
    15     3  1984     1680.000000
    16     3  1984     1671.000000
    17     3  1984     1646.000000
    18     3  1984     1610.000000
    19     3  1984     1596.000000
    20     3  1984     1606.000000
    21     3  1984     1609.000000
    22     3  1984     1612.000000
    23     3  1984     1621.000000
    24     3  1984     1629.000000
    25     3  1984     1658.000000
    26     3  1984     1680.000000
    27     3  1984     1678.000000
    28     3  1984     1668.000000
    29     3  1984     1647.000000
    30     3  1984     1620.000000
    31     3  1984     1597.000000
     1     4  1984     1597.000000
     2     4  1984     1609.000000
     3     4  1984     1612.000000
     4     4  1984     1623.000000
     5     4  1984     1632.000000
     6     4  1984     1636.000000
     7     4  1984     1632.000000
     8     4  1984     1630.000000
     9     4  1984     1641.000000
    10     4  1984     1655.000000
    11     4  1984     1662.000000
    12     4  1984     1662.000000
    13     4  1984     1662.000000
    14     4  1984     1661.000000
    15     4  1984     1652.000000
    16     4  1984     1637.000000
    17     4  1984     1631.000000
    18     4  1984     1630.000000
    19     4  1984     1615.000000
    20     4  1984     1592.000000
    21     4  1984     1560.000000
    22     4  1984     1537.000000
    23     4  1984     1510.000000
    24     4  1984     1499.000000
    25     4  1984     1553.000000
    26     4  1984     1614.000000
    27     4  1984     1650.000000
    28     4  1984     1666.000000
    29     4  1984     1670.000000
    30     4  1984     1667.000000
     1     5  1984     1654.000000
     2     5  1984     1622.000000
     3     5  1984     1589.000000
     4     5  1984     1544.000000
     5     5  1984     1423.000000
     6     5  1984     1330.000000
     7     5  1984     1278.000000
     8     5  1984     1214.000000
     9     5  1984     1170.000000
    10     5  1984     1120.000000
    11     5  1984     1069.000000
    12     5  1984     1027.000000
    13     5  1984     1000.000000
    14     5  1984     1009.000000
    15     5  1984     1029.000000
    16     5  1984     1025.000000
    17     5  1984      992.000000
    18     5  1984      949.000000
    19     5  1984      924.000000
    20     5  1984      905.000000
    21     5  1984      883.000000
    22     5  1984      871.000000
    23     5  1984      866.000000
    24     5  1984      855.000000
    25     5  1984      847.000000
    26     5  1984      839.000000
    27     5  1984      822.000000
    28     5  1984      809.000000
    29     5  1984      798.000000
    30     5  1984      824.000000
    31     5  1984      841.000000
     1     6  1984      839.000000
     2     6  1984      817.000000
     3     6  1984      795.000000
     4     6  1984      781.000000
     5     6  1984      746.000000
     6     6  1984      729.000000
     7     6  1984      716.000000
     8     6  1984      710.000000
     9     6  1984      703.000000
    10     6  1984      687.000000
    11     6  1984      668.000000
    12     6  1984      661.000000
    13     6  1984      647.000000
    14     6  1984      643.000000
    15     6  1984      642.000000
    16     6  1984      637.000000
    17     6  1984      625.000000
