SÃOPAULODEOLIVENÇA	-68.750	-3.450
    26     7  1984      960.000000
    27     7  1984      946.000000
    28     7  1984      936.000000
    29     7  1984      927.000000
    30     7  1984      920.000000
    31     7  1984      912.000000
     1     8  1984      904.000000
     2     8  1984      892.000000
     3     8  1984      876.000000
     4     8  1984      856.000000
     5     8  1984      832.000000
     6     8  1984      800.000000
     7     8  1984      774.000000
     8     8  1984      749.000000
     9     8  1984      725.000000
    10     8  1984      700.000000
    11     8  1984      671.000000
    12     8  1984      643.000000
    13     8  1984      617.000000
    14     8  1984      594.000000
    15     8  1984      578.000000
    16     8  1984      572.000000
    17     8  1984      572.000000
    18     8  1984      584.000000
    19     8  1984      610.000000
    20     8  1984      637.000000
    21     8  1984      660.000000
    22     8  1984      674.000000
    23     8  1984      680.000000
    24     8  1984      682.000000
    25     8  1984      682.000000
    26     8  1984      681.000000
    27     8  1984      678.000000
    28     8  1984      678.000000
    29     8  1984      683.000000
    30     8  1984      689.000000
    31     8  1984      696.000000
     1     9  1984      704.000000
     2     9  1984      714.000000
     3     9  1984      724.000000
     4     9  1984      734.000000
     5     9  1984      743.000000
     6     9  1984      746.000000
     7     9  1984      744.000000
     8     9  1984      736.000000
     9     9  1984      720.000000
    10     9  1984      704.000000
    11     9  1984      687.000000
    12     9  1984      674.000000
    13     9  1984      660.000000
    14     9  1984      646.000000
    15     9  1984      638.000000
    16     9  1984      637.000000
    17     9  1984      642.000000
    18     9  1984      654.000000
    19     9  1984      660.000000
    20     9  1984      661.000000
    21     9  1984      655.000000
    22     9  1984      648.000000
    23     9  1984      642.000000
    24     9  1984      635.000000
    25     9  1984      626.000000
    26     9  1984      614.000000
    27     9  1984      606.000000
    28     9  1984      592.000000
    29     9  1984      566.000000
    30     9  1984      548.000000
     1    10  1984      544.000000
     2    10  1984      543.000000
     3    10  1984      544.000000
     4    10  1984      552.000000
     5    10  1984      562.000000
     6    10  1984      560.000000
     7    10  1984      564.000000
     8    10  1984      583.000000
     9    10  1984      610.000000
    10    10  1984      632.000000
    11    10  1984      642.000000
    12    10  1984      649.000000
    13    10  1984      655.000000
    14    10  1984      660.000000
    15    10  1984      664.000000
    16    10  1984      667.000000
    17    10  1984      671.000000
    18    10  1984      675.000000
    19    10  1984      682.000000
    20    10  1984      690.000000
    21    10  1984      700.000000
    22    10  1984      708.000000
    23    10  1984      720.000000
    24    10  1984      732.000000
    25    10  1984      752.000000
    26    10  1984      775.000000
    27    10  1984      796.000000
    28    10  1984      819.000000
    29    10  1984      836.000000
    30    10  1984      854.000000
    31    10  1984      866.000000
     1    11  1984      872.000000
     2    11  1984      880.000000
     3    11  1984      883.000000
     4    11  1984      878.000000
     5    11  1984      871.000000
     6    11  1984      857.000000
     7    11  1984      834.000000
     8    11  1984      813.000000
     9    11  1984      799.000000
    10    11  1984      780.000000
    11    11  1984      758.000000
    12    11  1984      730.000000
    13    11  1984      706.000000
    14    11  1984      678.000000
    15    11  1984      652.000000
    16    11  1984      631.000000
    17    11  1984      618.000000
    18    11  1984      614.000000
    19    11  1984      612.000000
    20    11  1984      610.000000
    21    11  1984      612.000000
    22    11  1984      618.000000
    23    11  1984      635.000000
    24    11  1984      655.000000
    25    11  1984      675.000000
    26    11  1984      694.000000
    27    11  1984      714.000000
    28    11  1984      735.000000
    29    11  1984      755.000000
    30    11  1984      775.000000
     1    12  1984      808.000000
     2    12  1984      838.000000
     3    12  1984      874.000000
     4    12  1984      909.000000
     5    12  1984      942.000000
     6    12  1984      971.000000
     7    12  1984      995.000000
     8    12  1984     1016.000000
     9    12  1984     1033.000000
    10    12  1984     1046.000000
    11    12  1984     1057.000000
    12    12  1984     1064.000000
    13    12  1984     1070.000000
    14    12  1984     1076.000000
    15    12  1984     1084.000000
    16    12  1984     1084.000000
    17    12  1984     1085.000000
    18    12  1984     1085.000000
    19    12  1984     1086.000000
    20    12  1984     1084.000000
    21    12  1984     1080.000000
    22    12  1984     1078.000000
    23    12  1984     1076.000000
    24    12  1984     1074.000000
    25    12  1984     1070.000000
    26    12  1984     1065.000000
    27    12  1984     1063.000000
    28    12  1984     1067.000000
    29    12  1984     1074.000000
    30    12  1984     1080.000000
    31    12  1984     1086.000000
     1     1  1985     1092.000000
     2     1  1985     1100.000000
     3     1  1985     1108.000000
     4     1  1985     1113.000000
     5     1  1985     1118.000000
     6     1  1985     1126.000000
     7     1  1985     1128.000000
     8     1  1985     1130.000000
     9     1  1985     1132.000000
    10     1  1985     1131.000000
    11     1  1985     1130.000000
    12     1  1985     1128.000000
    13     1  1985     1124.000000
    14     1  1985     1114.000000
    15     1  1985     1104.000000
    16     1  1985     1090.000000
    17     1  1985     1067.000000
    18     1  1985     1046.000000
    19     1  1985     1025.000000
    20     1  1985     1006.000000
    21     1  1985      980.000000
    22     1  1985      945.000000
    23     1  1985      915.000000
    24     1  1985      896.000000
    25     1  1985      862.000000
    26     1  1985      828.000000
    27     1  1985      812.000000
    28     1  1985      797.000000
    29     1  1985      783.000000
    30     1  1985      759.000000
    31     1  1985      738.000000
     1     2  1985      716.000000
     2     2  1985      700.000000
     3     2  1985      680.000000
     4     2  1985      661.000000
     5     2  1985      644.000000
     6     2  1985      630.000000
     7     2  1985      622.000000
     8     2  1985      617.000000
     9     2  1985      624.000000
    10     2  1985      633.000000
    11     2  1985      642.000000
    12     2  1985      652.000000
    13     2  1985      664.000000
    14     2  1985      676.000000
    15     2  1985      684.000000
    16     2  1985      691.000000
    17     2  1985      695.000000
    18     2  1985      700.000000
    19     2  1985      710.000000
    20     2  1985      724.000000
    21     2  1985      744.000000
    22     2  1985      766.000000
    23     2  1985      787.000000
    24     2  1985      804.000000
    25     2  1985      812.000000
    26     2  1985      820.000000
    27     2  1985      821.000000
    28     2  1985      820.000000
     1     3  1985      812.000000
     2     3  1985      804.000000
     3     3  1985      795.000000
     4     3  1985      786.000000
     5     3  1985      780.000000
     6     3  1985      777.000000
     7     3  1985      782.000000
     8     3  1985      793.000000
     9     3  1985      807.000000
    10     3  1985      824.000000
    11     3  1985      844.000000
    12     3  1985      865.000000
    13     3  1985      889.000000
    14     3  1985      914.000000
