BERURI	-61.368	-3.885
    18     7  1983     1698.000000
    19     7  1983     1686.000000
    20     7  1983     1673.000000
    21     7  1983     1663.000000
    22     7  1983     1651.000000
    23     7  1983     1639.000000
    24     7  1983     1626.000000
    25     7  1983     1613.000000
    26     7  1983     1607.000000
    27     7  1983     1595.000000
    28     7  1983     1582.000000
    29     7  1983     1563.000000
    30     7  1983     1546.000000
    31     7  1983     1528.000000
     1     8  1983     1508.000000
     2     8  1983     1476.000000
     3     8  1983     1450.000000
     4     8  1983     1423.000000
     5     8  1983     1393.000000
     6     8  1983     1358.000000
     7     8  1983     1327.000000
     8     8  1983     1309.000000
     9     8  1983     1291.000000
    10     8  1983     1271.000000
    11     8  1983     1252.000000
    12     8  1983     1234.000000
    13     8  1983     1215.000000
    14     8  1983     1196.000000
    15     8  1983     1185.000000
    16     8  1983     1171.000000
    17     8  1983     1153.000000
    18     8  1983     1139.000000
    19     8  1983     1124.000000
    20     8  1983     1113.000000
    21     8  1983     1100.000000
    22     8  1983     1086.000000
    23     8  1983     1072.000000
    24     8  1983     1063.000000
    25     8  1983     1052.000000
    26     8  1983     1041.000000
    27     8  1983     1029.000000
    28     8  1983     1017.000000
    29     8  1983     1008.000000
    30     8  1983     1004.000000
    31     8  1983     1001.000000
     1     9  1983      997.000000
     2     9  1983      992.000000
     3     9  1983      988.000000
     4     9  1983      986.000000
     5     9  1983      982.000000
     6     9  1983      978.000000
     7     9  1983      976.000000
     8     9  1983      974.000000
     9     9  1983      972.000000
    10     9  1983      970.000000
    11     9  1983      970.000000
    12     9  1983      970.000000
    13     9  1983      970.000000
    14     9  1983      970.000000
    15     9  1983      970.000000
    16     9  1983      970.000000
    17     9  1983      970.000000
    18     9  1983      970.000000
    19     9  1983      970.000000
    20     9  1983      970.000000
    21     9  1983      970.000000
    22     9  1983      970.000000
    23     9  1983      969.000000
    24     9  1983      967.000000
    25     9  1983      965.000000
    26     9  1983      963.000000
    27     9  1983      957.000000
    28     9  1983      953.000000
    29     9  1983      949.000000
    30     9  1983      946.000000
     1    10  1983      942.000000
     2    10  1983      937.000000
     3    10  1983      932.000000
     4    10  1983      924.000000
     5    10  1983      916.000000
     6    10  1983      908.000000
     7    10  1983      899.000000
     8    10  1983      889.000000
     9    10  1983      880.000000
    10    10  1983      870.000000
    11    10  1983      865.000000
    12    10  1983      863.000000
    13    10  1983      860.000000
    14    10  1983      853.000000
    15    10  1983      845.000000
    16    10  1983      830.000000
    17    10  1983      823.000000
