CUCUÍ	-66.853	1.215
    18     7  1983     1869.000000
    19     7  1983     1861.000000
    20     7  1983     1856.000000
    21     7  1983     1844.000000
    22     7  1983     1831.000000
    23     7  1983     1819.000000
    24     7  1983     1808.000000
    25     7  1983     1796.000000
    26     7  1983     1791.000000
    27     7  1983     1788.000000
    28     7  1983     1790.000000
    29     7  1983     1792.000000
    30     7  1983     1793.000000
    31     7  1983     1795.000000
     1     8  1983     1798.000000
     2     8  1983     1798.000000
     3     8  1983     1819.000000
     4     8  1983     1836.000000
     5     8  1983     1841.000000
     6     8  1983     1842.000000
     7     8  1983     1843.000000
     8     8  1983     1846.000000
     9     8  1983     1850.000000
    10     8  1983     1853.000000
    11     8  1983     1856.000000
    12     8  1983     1863.000000
    13     8  1983     1869.000000
    14     8  1983     1874.000000
    15     8  1983     1875.000000
    16     8  1983     1875.000000
    17     8  1983     1870.000000
    18     8  1983     1862.000000
    19     8  1983     1853.000000
    20     8  1983     1842.000000
    21     8  1983     1837.000000
    22     8  1983     1833.000000
    23     8  1983     1834.000000
    24     8  1983     1842.000000
    25     8  1983     1852.000000
    26     8  1983     1865.000000
    27     8  1983     1877.000000
    28     8  1983     1890.000000
    29     8  1983     1903.000000
    30     8  1983     1911.000000
    31     8  1983     1914.000000
     1     9  1983     1912.000000
     2     9  1983     1909.000000
     3     9  1983     1901.000000
     4     9  1983     1895.000000
     5     9  1983     1891.000000
     6     9  1983     1886.000000
     7     9  1983     1876.000000
     8     9  1983     1864.000000
     9     9  1983     1847.000000
    10     9  1983     1828.000000
    11     9  1983     1809.000000
    12     9  1983     1792.000000
    13     9  1983     1778.000000
    14     9  1983     1765.000000
    15     9  1983     1753.000000
    16     9  1983     1737.000000
    17     9  1983     1723.000000
    18     9  1983     1712.000000
    19     9  1983     1700.000000
    20     9  1983     1693.000000
    21     9  1983     1688.000000
    22     9  1983     1689.000000
    23     9  1983     1690.000000
    24     9  1983     1690.000000
    25     9  1983     1682.000000
    26     9  1983     1673.000000
    27     9  1983     1666.000000
    28     9  1983     1653.000000
