SERINGALGUARANY	-69.417	-9.350
    28     8  1983      183.000000
    29     8  1983      193.000000
    30     8  1983      191.000000
    31     8  1983      187.000000
     1     9  1983      185.000000
     2     9  1983      184.000000
     3     9  1983      183.000000
     4     9  1983      183.000000
     5     9  1983      182.000000
     6     9  1983      180.000000
     7     9  1983      179.000000
     8     9  1983      178.000000
     9     9  1983      177.000000
    10     9  1983      180.000000
    11     9  1983      185.000000
    12     9  1983      183.000000
    13     9  1983      180.000000
    14     9  1983      179.000000
    15     9  1983      177.000000
    16     9  1983      174.000000
    17     9  1983      173.000000
    18     9  1983      171.000000
    19     9  1983      170.000000
    20     9  1983      173.000000
    21     9  1983      176.000000
    22     9  1983      177.000000
    23     9  1983      180.000000
    24     9  1983      177.000000
    25     9  1983      177.000000
    26     9  1983      178.000000
    27     9  1983      177.000000
    28     9  1983      178.000000
    29     9  1983      174.000000
    30     9  1983      172.000000
     1    10  1983      171.000000
     2    10  1983      171.000000
     3    10  1983      170.000000
     4    10  1983      168.000000
     5    10  1983      167.000000
     6    10  1983      166.000000
     7    10  1983      166.000000
     8    10  1983      166.000000
     9    10  1983      168.000000
    10    10  1983      167.000000
    11    10  1983      169.000000
    12    10  1983      167.000000
    13    10  1983      167.000000
    14    10  1983      166.000000
    15    10  1983      165.000000
    16    10  1983      165.000000
    17    10  1983      164.000000
    18    10  1983      164.000000
    19    10  1983      165.000000
    20    10  1983      165.000000
    21    10  1983      164.000000
    22    10  1983      164.000000
    23    10  1983      163.000000
    24    10  1983      165.000000
    25    10  1983      166.000000
    26    10  1983      174.000000
    27    10  1983      171.000000
    28    10  1983      166.000000
    29    10  1983      165.000000
    30    10  1983      165.000000
    31    10  1983      167.000000
     1    11  1983      168.000000
     2    11  1983      167.000000
     3    11  1983      170.000000
     4    11  1983      169.000000
     5    11  1983      187.000000
     6    11  1983      203.000000
     7    11  1983      194.000000
     8    11  1983      192.000000
     9    11  1983      197.000000
    10    11  1983      202.000000
    11    11  1983      218.000000
    12    11  1983      212.000000
    13    11  1983      276.000000
    14    11  1983      298.000000
    15    11  1983      301.000000
    16    11  1983      287.000000
    17    11  1983      281.000000
    18    11  1983      263.000000
    19    11  1983      245.000000
    20    11  1983      237.000000
    21    11  1983      240.000000
    22    11  1983      242.000000
    23    11  1983      240.000000
    24    11  1983      270.000000
    25    11  1983      297.000000
    26    11  1983      283.000000
    27    11  1983      311.000000
    28    11  1983      352.000000
    29    11  1983      425.000000
    30    11  1983      475.000000
     1    12  1983      519.000000
     2    12  1983      529.000000
     3    12  1983      596.000000
     4    12  1983      582.000000
     5    12  1983      572.000000
     6    12  1983      576.000000
     7    12  1983      556.000000
     8    12  1983      542.000000
     9    12  1983      583.000000
    10    12  1983      588.000000
    11    12  1983      584.000000
    12    12  1983      547.000000
    13    12  1983      518.000000
    14    12  1983      483.000000
    15    12  1983      458.000000
    16    12  1983      457.000000
    17    12  1983      484.000000
    18    12  1983      594.000000
    19    12  1983      792.000000
    20    12  1983      910.000000
    21    12  1983      919.000000
    22    12  1983      952.000000
    23    12  1983      951.000000
    24    12  1983      892.000000
    25    12  1983      839.000000
    26    12  1983      682.000000
    27    12  1983      604.000000
    28    12  1983      538.000000
    29    12  1983      497.000000
    30    12  1983      514.000000
    31    12  1983      534.000000
     1     1  1984      561.000000
     2     1  1984      567.000000
     3     1  1984      599.000000
     4     1  1984      633.000000
     5     1  1984      679.000000
     6     1  1984      726.000000
     7     1  1984      863.000000
     8     1  1984     1107.000000
     9     1  1984     1211.000000
    10     1  1984     1229.000000
    11     1  1984     1185.000000
    12     1  1984     1233.000000
    13     1  1984     1260.000000
    14     1  1984     1250.000000
    15     1  1984     1217.000000
    16     1  1984     1182.000000
    17     1  1984     1152.000000
    18     1  1984     1140.000000
    19     1  1984     1149.000000
    20     1  1984     1219.000000
    21     1  1984     1275.000000
    22     1  1984     1351.000000
    23     1  1984     1375.000000
    24     1  1984     1333.000000
    25     1  1984     1269.000000
    26     1  1984     1203.000000
    27     1  1984     1176.000000
    28     1  1984     1114.000000
    29     1  1984     1033.000000
    30     1  1984      978.000000
    31     1  1984      959.000000
     1     2  1984      957.000000
     2     2  1984      931.000000
     3     2  1984      946.000000
     4     2  1984      938.000000
     5     2  1984      909.000000
     6     2  1984      996.000000
     7     2  1984     1275.000000
     8     2  1984     1490.000000
     9     2  1984     1531.000000
    10     2  1984     1523.000000
    11     2  1984     1485.000000
    12     2  1984     1433.000000
    13     2  1984     1332.000000
    14     2  1984     1228.000000
    15     2  1984     1171.000000
    16     2  1984     1146.000000
    17     2  1984     1271.000000
    18     2  1984     1327.000000
    19     2  1984     1350.000000
    20     2  1984     1357.000000
    21     2  1984     1328.000000
    22     2  1984     1255.000000
    23     2  1984     1264.000000
    24     2  1984     1280.000000
    25     2  1984     1313.000000
    26     2  1984     1401.000000
    27     2  1984     1449.000000
    28     2  1984     1491.000000
    29     2  1984     1539.000000
     1     3  1984     1593.000000
     2     3  1984     1605.000000
     3     3  1984     1606.000000
     4     3  1984     1586.000000
     5     3  1984     1513.000000
     6     3  1984     1409.000000
     7     3  1984     1297.000000
     8     3  1984     1181.000000
     9     3  1984     1116.000000
    10     3  1984     1085.000000
    11     3  1984     1164.000000
    12     3  1984     1206.000000
    13     3  1984     1215.000000
    14     3  1984     1230.000000
    15     3  1984     1207.000000
    16     3  1984     1131.000000
    17     3  1984     1029.000000
    18     3  1984     1040.000000
    19     3  1984     1098.000000
    20     3  1984     1136.000000
    21     3  1984     1171.000000
    22     3  1984     1213.000000
    23     3  1984     1307.000000
    24     3  1984     1415.000000
    25     3  1984     1370.000000
    26     3  1984     1290.000000
    27     3  1984     1231.000000
    28     3  1984     1169.000000
    29     3  1984     1081.000000
    30     3  1984     1007.000000
    31     3  1984      985.000000
     1     4  1984      962.000000
     2     4  1984      940.000000
     3     4  1984      941.000000
     4     4  1984      993.000000
     5     4  1984     1002.000000
     6     4  1984      964.000000
     7     4  1984      950.000000
     8     4  1984      958.000000
     9     4  1984      975.000000
    10     4  1984     1006.000000
    11     4  1984     1039.000000
    12     4  1984     1102.000000
    13     4  1984     1200.000000
    14     4  1984     1154.000000
    15     4  1984     1092.000000
    16     4  1984     1049.000000
    17     4  1984     1028.000000
    18     4  1984     1000.000000
    19     4  1984      948.000000
    20     4  1984      874.000000
    21     4  1984      812.000000
    22     4  1984      770.000000
    23     4  1984      766.000000
    24     4  1984      852.000000
    25     4  1984     1107.000000
    26     4  1984     1276.000000
    27     4  1984     1362.000000
    28     4  1984     1400.000000
    29     4  1984     1406.000000
    30     4  1984     1402.000000
     1     5  1984     1358.000000
     2     5  1984     1257.000000
     3     5  1984     1120.000000
     4     5  1984      973.000000
     5     5  1984      869.000000
     6     5  1984      770.000000
     7     5  1984      682.000000
     8     5  1984      636.000000
     9     5  1984      602.000000
    10     5  1984      554.000000
    11     5  1984      484.000000
    12     5  1984      434.000000
    13     5  1984      384.000000
    14     5  1984      356.000000
    15     5  1984      344.000000
    16     5  1984      340.000000
    17     5  1984      356.000000
    18     5  1984      366.000000
    19     5  1984      355.000000
    20     5  1984      340.000000
    21     5  1984      348.000000
    22     5  1984      406.000000
    23     5  1984      430.000000
    24     5  1984      426.000000
    25     5  1984      399.000000
    26     5  1984      375.000000
    27     5  1984      350.000000
    28     5  1984      350.000000
    29     5  1984      342.000000
    30     5  1984      340.000000
    31     5  1984      338.000000
     1     6  1984      341.000000
     2     6  1984      328.000000
     3     6  1984      308.000000
     4     6  1984      293.000000
     5     6  1984      288.000000
     6     6  1984      288.000000
     7     6  1984      286.000000
     8     6  1984      284.000000
     9     6  1984      281.000000
    10     6  1984      281.000000
    11     6  1984      282.000000
    12     6  1984      278.000000
    13     6  1984      273.000000
    14     6  1984      263.000000
    15     6  1984      258.000000
    16     6  1984      250.000000
    17     6  1984      246.000000
    18     6  1984      252.000000
    19     6  1984      259.000000
    20     6  1984      252.000000
    21     6  1984      241.000000
    22     6  1984      232.000000
    23     6  1984      234.000000
    24     6  1984      230.000000
    25     6  1984      227.000000
    26     6  1984      224.000000
    27     6  1984      222.000000
    28     6  1984      220.000000
    29     6  1984      218.000000
    30     6  1984      237.000000
     1     7  1984      262.000000
     2     7  1984      248.000000
     3     7  1984      238.000000
     4     7  1984      227.000000
     5     7  1984      222.000000
     6     7  1984      220.000000
     7     7  1984      218.000000
     8     7  1984      215.000000
     9     7  1984      220.000000
    10     7  1984      228.000000
    11     7  1984      226.000000
    12     7  1984      218.000000
    13     7  1984      226.000000
    14     7  1984      222.000000
    15     7  1984      212.000000
    16     7  1984      210.000000
    17     7  1984      207.000000
    18     7  1984      205.000000
    19     7  1984      206.000000
    20     7  1984      204.000000
    21     7  1984      202.000000
    22     7  1984      201.000000
    23     7  1984      199.000000
    24     7  1984      198.000000
    25     7  1984      196.000000
    26     7  1984      194.000000
    27     7  1984      194.000000
    28     7  1984      193.000000
    29     7  1984      192.000000
    30     7  1984      191.000000
    31     7  1984      190.000000
     1     8  1984      188.000000
     2     8  1984      187.000000
     3     8  1984      186.000000
     4     8  1984      186.000000
     5     8  1984      185.000000
     6     8  1984      184.000000
     7     8  1984      184.000000
     8     8  1984      182.000000
     9     8  1984      180.000000
    10     8  1984      178.000000
    11     8  1984      178.000000
    12     8  1984      176.000000
    13     8  1984      176.000000
    14     8  1984      174.000000
    15     8  1984      174.000000
    16     8  1984      173.000000
    17     8  1984      173.000000
    18     8  1984      172.000000
    19     8  1984      171.000000
    20     8  1984      170.000000
    21     8  1984      170.000000
    22     8  1984      169.000000
    23     8  1984      170.000000
    24     8  1984      170.000000
    25     8  1984      170.000000
    26     8  1984      168.000000
    27     8  1984      167.000000
    28     8  1984      166.000000
    29     8  1984      166.000000
    30     8  1984      166.000000
    31     8  1984      165.000000
     1     9  1984      165.000000
     2     9  1984      164.000000
     3     9  1984      164.000000
     4     9  1984      163.000000
     5     9  1984      163.000000
     6     9  1984      168.000000
     7     9  1984      194.000000
     8     9  1984      200.000000
     9     9  1984      198.000000
    10     9  1984      188.000000
    11     9  1984      185.000000
    12     9  1984      179.000000
    13     9  1984      176.000000
    14     9  1984      174.000000
    15     9  1984      171.000000
    16     9  1984      172.000000
    17     9  1984      172.000000
    18     9  1984      170.000000
    19     9  1984      168.000000
    20     9  1984      167.000000
    21     9  1984      165.000000
    22     9  1984      164.000000
    23     9  1984      167.000000
    24     9  1984      170.000000
    25     9  1984      168.000000
    26     9  1984      186.000000
    27     9  1984      216.000000
    28     9  1984      228.000000
    29     9  1984      218.000000
    30     9  1984      208.000000
     1    10  1984      196.000000
     2    10  1984      194.000000
     3    10  1984      196.000000
     4    10  1984      192.000000
     5    10  1984      187.000000
     6    10  1984      182.000000
     7    10  1984      228.000000
     8    10  1984      272.000000
     9    10  1984      274.000000
    10    10  1984      257.000000
    11    10  1984      272.000000
    12    10  1984      274.000000
    13    10  1984      256.000000
    14    10  1984      228.000000
    15    10  1984      220.000000
    16    10  1984      378.000000
    17    10  1984      332.000000
    18    10  1984      265.000000
    19    10  1984      280.000000
    20    10  1984      306.000000
    21    10  1984      290.000000
    22    10  1984      305.000000
    23    10  1984      326.000000
    24    10  1984      339.000000
    25    10  1984      309.000000
    26    10  1984      296.000000
    27    10  1984      312.000000
    28    10  1984      414.000000
    29    10  1984      397.000000
    30    10  1984      566.000000
    31    10  1984      664.000000
     1    11  1984      686.000000
     2    11  1984      750.000000
     3    11  1984      736.000000
     4    11  1984      676.000000
     5    11  1984      641.000000
     6    11  1984      672.000000
     7    11  1984      616.000000
     8    11  1984      557.000000
     9    11  1984      522.000000
    10    11  1984      672.000000
    11    11  1984      622.000000
    12    11  1984      504.000000
    13    11  1984      428.000000
    14    11  1984      402.000000
    15    11  1984      468.000000
    16    11  1984      494.000000
    17    11  1984      506.000000
    18    11  1984      594.000000
    19    11  1984      810.000000
    20    11  1984      941.000000
    21    11  1984      944.000000
    22    11  1984      966.000000
    23    11  1984     1093.000000
    24    11  1984     1162.000000
    25    11  1984     1192.000000
    26    11  1984     1232.000000
    27    11  1984     1229.000000
    28    11  1984     1196.000000
    29    11  1984     1134.000000
    30    11  1984     1058.000000
     1    12  1984     1032.000000
     2    12  1984     1048.000000
     3    12  1984     1074.000000
     4    12  1984     1077.000000
     5    12  1984     1062.000000
     6    12  1984     1062.000000
     7    12  1984     1060.000000
     8    12  1984     1052.000000
     9    12  1984     1304.000000
    10    12  1984     1474.000000
    11    12  1984     1502.000000
    12    12  1984     1490.000000
    13    12  1984     1432.000000
    14    12  1984     1403.000000
    15    12  1984     1370.000000
    16    12  1984     1328.000000
    17    12  1984     1291.000000
    18    12  1984     1250.000000
    19    12  1984     1202.000000
    20    12  1984     1174.000000
    21    12  1984     1172.000000
    22    12  1984     1186.000000
    23    12  1984     1199.000000
    24    12  1984     1190.000000
    25    12  1984     1180.000000
    26    12  1984     1220.000000
    27    12  1984     1273.000000
    28    12  1984     1230.000000
    29    12  1984     1157.000000
    30    12  1984     1184.000000
    31    12  1984     1282.000000
     1     1  1985     1233.000000
     2     1  1985     1189.000000
     3     1  1985     1180.000000
     4     1  1985     1174.000000
     5     1  1985     1166.000000
     6     1  1985     1173.000000
     7     1  1985     1380.000000
     8     1  1985     1528.000000
     9     1  1985     1521.000000
    10     1  1985     1491.000000
    11     1  1985     1442.000000
    12     1  1985     1402.000000
    13     1  1985     1396.000000
    14     1  1985     1448.000000
    15     1  1985     1458.000000
    16     1  1985     1432.000000
    17     1  1985     1418.000000
    18     1  1985     1426.000000
    19     1  1985     1434.000000
    20     1  1985     1442.000000
    21     1  1985     1413.000000
    22     1  1985     1352.000000
    23     1  1985     1272.000000
    24     1  1985     1168.000000
    25     1  1985     1098.000000
    26     1  1985     1036.000000
    27     1  1985      977.000000
    28     1  1985      929.000000
    29     1  1985      938.000000
    30     1  1985     1042.000000
    31     1  1985     1089.000000
     1     2  1985     1091.000000
     2     2  1985     1135.000000
     3     2  1985     1224.000000
     4     2  1985     1264.000000
     5     2  1985     1253.000000
     6     2  1985     1225.000000
     7     2  1985     1164.000000
     8     2  1985     1100.000000
     9     2  1985     1090.000000
    10     2  1985     1062.000000
    11     2  1985     1004.000000
    12     2  1985      926.000000
    13     2  1985      976.000000
    14     2  1985      940.000000
    15     2  1985      974.000000
    16     2  1985      966.000000
    17     2  1985      991.000000
    18     2  1985     1102.000000
    19     2  1985     1174.000000
    20     2  1985     1193.000000
    21     2  1985     1202.000000
    22     2  1985     1255.000000
    23     2  1985     1290.000000
    24     2  1985     1346.000000
    25     2  1985     1367.000000
    26     2  1985     1356.000000
    27     2  1985     1339.000000
    28     2  1985     1304.000000
     1     3  1985     1272.000000
     2     3  1985     1264.000000
     3     3  1985     1288.000000
     4     3  1985     1336.000000
     5     3  1985     1396.000000
     6     3  1985     1452.000000
     7     3  1985     1494.000000
     8     3  1985     1588.000000
     9     3  1985     1658.000000
    10     3  1985     1704.000000
    11     3  1985     1736.000000
    12     3  1985     1735.000000
    13     3  1985     1707.000000
    14     3  1985     1658.000000
    15     3  1985     1602.000000
    16     3  1985     1532.000000
    17     3  1985     1432.000000
    18     3  1985     1334.000000
    19     3  1985     1232.000000
    20     3  1985     1164.000000
    21     3  1985     1103.000000
    22     3  1985     1079.000000
    23     3  1985     1043.000000
    24     3  1985      999.000000
    25     3  1985      959.000000
    26     3  1985      944.000000
    27     3  1985      945.000000
    28     3  1985     1054.000000
    29     3  1985     1136.000000
    30     3  1985     1138.000000
    31     3  1985     1100.000000
     1     4  1985     1096.000000
     2     4  1985     1286.000000
     3     4  1985     1321.000000
     4     4  1985     1228.000000
     5     4  1985     1345.000000
     6     4  1985     1492.000000
     7     4  1985     1510.000000
     8     4  1985     1546.000000
     9     4  1985     1577.000000
    10     4  1985     1608.000000
    11     4  1985     1666.000000
    12     4  1985     1741.000000
    13     4  1985     1808.000000
    14     4  1985     1825.000000
    15     4  1985     1796.000000
    16     4  1985     1710.000000
    17     4  1985     1594.000000
    18     4  1985     1458.000000
    19     4  1985     1403.000000
    20     4  1985     1340.000000
    21     4  1985     1238.000000
    22     4  1985     1142.000000
    23     4  1985     1044.000000
    24     4  1985      942.000000
    25     4  1985      899.000000
    26     4  1985      906.000000
    27     4  1985     1198.000000
    28     4  1985     1344.000000
    29     4  1985     1380.000000
    30     4  1985     1398.000000
     1     5  1985     1380.000000
     2     5  1985     1335.000000
     3     5  1985     1273.000000
     4     5  1985     1193.000000
     5     5  1985     1083.000000
     6     5  1985     1012.000000
     7     5  1985      868.000000
     8     5  1985      726.000000
     9     5  1985      686.000000
    10     5  1985      656.000000
    11     5  1985      656.000000
    12     5  1985      627.000000
    13     5  1985      640.000000
    14     5  1985      652.000000
    15     5  1985      594.000000
    16     5  1985      524.000000
    17     5  1985      485.000000
    18     5  1985      492.000000
    19     5  1985      469.000000
    20     5  1985      497.000000
    21     5  1985      524.000000
    22     5  1985      544.000000
    23     5  1985      540.000000
    24     5  1985      511.000000
    25     5  1985      499.000000
    26     5  1985      490.000000
    27     5  1985      542.000000
    28     5  1985      517.000000
    29     5  1985      468.000000
    30     5  1985      504.000000
    31     5  1985      518.000000
     1     6  1985      480.000000
     2     6  1985      448.000000
