HUMAITÁ	-63.020	-7.505
    12     6  1983     1904.000000
    13     6  1983     1892.000000
    14     6  1983     1898.000000
    15     6  1983     1904.000000
    16     6  1983     1911.000000
    17     6  1983     1916.000000
    18     6  1983     1926.000000
    19     6  1983     1932.000000
    20     6  1983     1938.000000
    21     6  1983     1928.000000
    22     6  1983     1911.000000
    23     6  1983     1896.000000
    24     6  1983     1886.000000
    25     6  1983     1873.000000
    26     6  1983     1846.000000
    27     6  1983     1831.000000
    28     6  1983     1821.000000
    29     6  1983     1807.000000
    30     6  1983     1796.000000
     1     7  1983     1787.000000
     2     7  1983     1787.000000
     3     7  1983     1795.000000
     4     7  1983     1788.000000
     5     7  1983     1784.000000
     6     7  1983     1781.000000
     7     7  1983     1775.000000
     8     7  1983     1769.000000
     9     7  1983     1762.000000
    10     7  1983     1755.000000
    11     7  1983     1749.000000
    12     7  1983     1744.000000
    13     7  1983     1740.000000
    14     7  1983     1742.000000
    15     7  1983     1748.000000
    16     7  1983     1753.000000
    17     7  1983     1757.000000
    18     7  1983     1761.000000
    19     7  1983     1774.000000
    20     7  1983     1788.000000
    21     7  1983     1802.000000
    22     7  1983     1811.000000
    23     7  1983     1811.000000
    24     7  1983     1799.000000
    25     7  1983     1779.000000
    26     7  1983     1768.000000
    27     7  1983     1752.000000
    28     7  1983     1722.000000
    29     7  1983     1680.000000
    30     7  1983     1636.000000
    31     7  1983     1597.000000
     1     8  1983     1567.000000
     2     8  1983     1545.000000
     3     8  1983     1522.000000
     4     8  1983     1505.000000
     5     8  1983     1490.000000
     6     8  1983     1476.000000
     7     8  1983     1463.000000
     8     8  1983     1454.000000
     9     8  1983     1440.000000
    10     8  1983     1426.000000
    11     8  1983     1416.000000
    12     8  1983     1410.000000
    13     8  1983     1405.000000
    14     8  1983     1400.000000
    15     8  1983     1392.000000
    16     8  1983     1385.000000
    17     8  1983     1379.000000
    18     8  1983     1374.000000
    19     8  1983     1369.000000
    20     8  1983     1363.000000
    21     8  1983     1357.000000
    22     8  1983     1350.000000
    23     8  1983     1340.000000
    24     8  1983     1329.000000
    25     8  1983     1319.000000
    26     8  1983     1310.000000
    27     8  1983     1305.000000
    28     8  1983     1293.000000
    29     8  1983     1288.000000
    30     8  1983     1284.000000
    31     8  1983     1277.000000
     1     9  1983     1269.000000
     2     9  1983     1257.000000
     3     9  1983     1246.000000
     4     9  1983     1232.000000
     5     9  1983     1217.000000
     6     9  1983     1206.000000
     7     9  1983     1194.000000
     8     9  1983     1183.000000
     9     9  1983     1175.000000
    10     9  1983     1170.000000
    11     9  1983     1162.000000
    12     9  1983     1156.000000
    13     9  1983     1146.000000
    14     9  1983     1141.000000
    15     9  1983     1136.000000
    16     9  1983     1130.000000
    17     9  1983     1124.000000
    18     9  1983     1117.000000
    19     9  1983     1118.000000
    20     9  1983     1127.000000
    21     9  1983     1138.000000
    22     9  1983     1146.000000
    23     9  1983     1155.000000
    24     9  1983     1162.000000
    25     9  1983     1166.000000
    26     9  1983     1154.000000
    27     9  1983     1146.000000
    28     9  1983     1140.000000
    29     9  1983     1134.000000
    30     9  1983     1129.000000
     1    10  1983     1126.000000
     2    10  1983     1123.000000
     3    10  1983     1118.000000
     4    10  1983     1114.000000
     5    10  1983     1107.000000
     6    10  1983     1100.000000
     7    10  1983     1097.000000
     8    10  1983     1101.000000
     9    10  1983     1095.000000
    10    10  1983     1089.000000
