BORBA	-59.597	-4.388
    18     7  1983     1633.000000
    19     7  1983     1630.000000
    20     7  1983     1627.000000
    21     7  1983     1624.000000
    22     7  1983     1621.000000
    23     7  1983     1619.000000
    24     7  1983     1613.000000
    25     7  1983     1605.000000
    26     7  1983     1596.000000
    27     7  1983     1588.000000
    28     7  1983     1580.000000
    29     7  1983     1570.000000
    30     7  1983     1557.000000
    31     7  1983     1549.000000
     1     8  1983     1548.000000
     2     8  1983     1544.000000
     3     8  1983     1535.000000
     4     8  1983     1526.000000
     5     8  1983     1519.000000
     6     8  1983     1508.000000
     7     8  1983     1492.000000
     8     8  1983     1474.000000
     9     8  1983     1461.000000
    10     8  1983     1443.000000
    11     8  1983     1433.000000
    12     8  1983     1427.000000
    13     8  1983     1417.000000
    14     8  1983     1405.000000
    15     8  1983     1396.000000
    16     8  1983     1384.000000
    17     8  1983     1370.000000
    18     8  1983     1356.000000
    19     8  1983     1338.000000
    20     8  1983     1319.000000
    21     8  1983     1299.000000
    22     8  1983     1283.000000
    23     8  1983     1273.000000
    24     8  1983     1265.000000
    25     8  1983     1253.000000
    26     8  1983     1239.000000
    27     8  1983     1225.000000
    28     8  1983     1215.000000
    29     8  1983     1205.000000
    30     8  1983     1190.000000
    31     8  1983     1177.000000
     1     9  1983     1167.000000
     2     9  1983     1154.000000
     3     9  1983     1146.000000
     4     9  1983     1130.000000
     5     9  1983     1120.000000
     6     9  1983     1111.000000
     7     9  1983     1096.000000
     8     9  1983     1083.000000
     9     9  1983     1074.000000
    10     9  1983     1064.000000
    11     9  1983     1055.000000
    12     9  1983     1044.000000
    13     9  1983     1033.000000
    14     9  1983     1023.000000
    15     9  1983     1020.000000
    16     9  1983     1018.000000
    17     9  1983     1017.000000
    18     9  1983     1018.000000
    19     9  1983     1020.000000
    20     9  1983     1024.000000
    21     9  1983     1029.000000
    22     9  1983     1036.000000
    23     9  1983     1040.000000
    24     9  1983     1038.000000
    25     9  1983     1030.000000
    26     9  1983     1025.000000
    27     9  1983     1021.000000
    28     9  1983     1016.000000
    29     9  1983     1009.000000
    30     9  1983     1003.000000
     1    10  1983      994.000000
     2    10  1983      988.000000
     3    10  1983      983.000000
     4    10  1983      979.000000
     5    10  1983      972.000000
     6    10  1983      967.000000
     7    10  1983      962.000000
     8    10  1983      956.000000
     9    10  1983      952.000000
    10    10  1983      948.000000
    11    10  1983      941.000000
    12    10  1983      940.000000
    13    10  1983      938.000000
    14    10  1983      936.000000
    15    10  1983      934.000000
    16    10  1983      931.000000
    17    10  1983      927.000000
    18    10  1983      918.000000
    19    10  1983      914.000000
    20    10  1983      912.000000
    21    10  1983      911.000000
    22    10  1983      910.000000
    23    10  1983      912.000000
    24    10  1983      914.000000
    25    10  1983      916.000000
    26    10  1983      916.000000
    27    10  1983      923.000000
    28    10  1983      935.000000
    29    10  1983      943.000000
    30    10  1983      945.000000
    31    10  1983      950.000000
     1    11  1983      955.000000
     2    11  1983      959.000000
     3    11  1983      964.000000
     4    11  1983      969.000000
     5    11  1983      973.000000
     6    11  1983      979.000000
     7    11  1983      984.000000
     8    11  1983      988.000000
     9    11  1983      990.000000
    10    11  1983      992.000000
    11    11  1983      992.000000
    12    11  1983      992.000000
    13    11  1983      992.000000
    14    11  1983      992.000000
    15    11  1983      997.000000
    16    11  1983     1004.000000
    17    11  1983     1011.000000
    18    11  1983     1017.000000
    19    11  1983     1024.000000
    20    11  1983     1036.000000
    21    11  1983     1048.000000
    22    11  1983     1058.000000
    23    11  1983     1072.000000
    24    11  1983     1083.000000
    25    11  1983     1094.000000
    26    11  1983     1105.000000
    27    11  1983     1114.000000
    28    11  1983     1118.000000
    29    11  1983     1122.000000
    30    11  1983     1124.000000
     1    12  1983     1130.000000
     2    12  1983     1140.000000
     3    12  1983     1152.000000
     4    12  1983     1162.000000
     5    12  1983     1170.000000
     6    12  1983     1180.000000
     7    12  1983     1188.000000
     8    12  1983     1196.000000
     9    12  1983     1207.000000
    10    12  1983     1222.000000
    11    12  1983     1238.000000
    12    12  1983     1253.000000
    13    12  1983     1272.000000
    14    12  1983     1288.000000
    15    12  1983     1299.000000
    16    12  1983     1310.000000
    17    12  1983     1315.000000
    18    12  1983     1319.000000
    19    12  1983     1323.000000
    20    12  1983     1327.000000
    21    12  1983     1331.000000
    22    12  1983     1329.000000
    23    12  1983     1326.000000
    24    12  1983     1324.000000
    25    12  1983     1322.000000
    26    12  1983     1320.000000
    27    12  1983     1318.000000
    28    12  1983     1317.000000
    29    12  1983     1315.000000
    30    12  1983     1311.000000
    31    12  1983     1313.000000
     1     1  1984     1326.000000
     2     1  1984     1341.000000
     3     1  1984     1356.000000
     4     1  1984     1372.000000
     5     1  1984     1386.000000
     6     1  1984     1398.000000
     7     1  1984     1420.000000
     8     1  1984     1442.000000
     9     1  1984     1463.000000
    10     1  1984     1486.000000
    11     1  1984     1506.000000
    12     1  1984     1539.000000
    13     1  1984     1570.000000
    14     1  1984     1592.000000
    15     1  1984     1612.000000
    16     1  1984     1629.000000
    17     1  1984     1646.000000
    18     1  1984     1666.000000
    19     1  1984     1678.000000
    20     1  1984     1688.000000
    21     1  1984     1690.000000
    22     1  1984     1696.000000
    23     1  1984     1704.000000
    24     1  1984     1711.000000
    25     1  1984     1716.000000
    26     1  1984     1724.000000
    27     1  1984     1729.000000
    28     1  1984     1732.000000
    29     1  1984     1736.000000
    30     1  1984     1738.000000
    31     1  1984     1741.000000
     1     2  1984     1745.000000
     2     2  1984     1749.000000
     3     2  1984     1754.000000
     4     2  1984     1759.000000
     5     2  1984     1763.000000
     6     2  1984     1767.000000
     7     2  1984     1771.000000
     8     2  1984     1777.000000
     9     2  1984     1780.000000
    10     2  1984     1784.000000
    11     2  1984     1788.000000
    12     2  1984     1793.000000
    13     2  1984     1798.000000
    14     2  1984     1803.000000
    15     2  1984     1807.000000
    16     2  1984     1811.000000
    17     2  1984     1816.000000
    18     2  1984     1820.000000
    19     2  1984     1825.000000
    20     2  1984     1830.000000
    21     2  1984     1834.000000
    22     2  1984     1838.000000
    23     2  1984     1843.000000
    24     2  1984     1847.000000
    25     2  1984     1851.000000
    26     2  1984     1855.000000
    27     2  1984     1859.000000
    28     2  1984     1863.000000
    29     2  1984     1867.000000
     1     3  1984     1877.000000
     2     3  1984     1880.000000
     3     3  1984     1884.000000
     4     3  1984     1887.000000
     5     3  1984     1892.000000
     6     3  1984     1897.000000
     7     3  1984     1900.000000
     8     3  1984     1904.000000
     9     3  1984     1908.000000
    10     3  1984     1910.000000
    11     3  1984     1913.000000
    12     3  1984     1916.000000
