GAVIÃO	-66.849	-4.839
    23    12  1992     1115.000000
    24    12  1992     1126.000000
    25    12  1992     1136.000000
    26    12  1992     1147.000000
    27    12  1992     1156.000000
    28    12  1992     1163.000000
    29    12  1992     1169.000000
    30    12  1992     1171.000000
    31    12  1992     1177.000000
     1     1  1993     1179.000000
     2     1  1993     1186.000000
     3     1  1993     1191.000000
     4     1  1993     1198.000000
     5     1  1993     1202.000000
     6     1  1993     1206.000000
     7     1  1993     1207.000000
     8     1  1993     1209.000000
     9     1  1993     1210.000000
    10     1  1993     1212.000000
    11     1  1993     1218.000000
    12     1  1993     1223.000000
    13     1  1993     1226.000000
    14     1  1993     1229.000000
    15     1  1993     1234.000000
    16     1  1993     1235.000000
    17     1  1993     1238.000000
    18     1  1993     1242.000000
    19     1  1993     1247.000000
    20     1  1993     1250.000000
    21     1  1993     1260.000000
    22     1  1993     1264.000000
    23     1  1993     1271.000000
    24     1  1993     1277.000000
    25     1  1993     1279.000000
    26     1  1993     1280.000000
    27     1  1993     1284.000000
    28     1  1993     1294.000000
    29     1  1993     1298.000000
    30     1  1993     1298.000000
    31     1  1993     1303.000000
     1     2  1993     1307.000000
     2     2  1993     1312.000000
     3     2  1993     1315.000000
     4     2  1993     1320.000000
     5     2  1993     1324.000000
     6     2  1993     1326.000000
     7     2  1993     1328.000000
     8     2  1993     1330.000000
     9     2  1993     1343.000000
    10     2  1993     1361.000000
    11     2  1993     1364.000000
    12     2  1993     1367.000000
    13     2  1993     1372.000000
    14     2  1993     1379.000000
    15     2  1993     1386.000000
    16     2  1993     1388.000000
    17     2  1993     1392.000000
    18     2  1993     1394.000000
    19     2  1993     1397.000000
    20     2  1993     1397.000000
    21     2  1993     1397.000000
    22     2  1993     1397.000000
    23     2  1993     1398.000000
    24     2  1993     1396.000000
    25     2  1993     1398.000000
    26     2  1993     1400.000000
    27     2  1993     1398.000000
    28     2  1993     1397.000000
     1     3  1993     1398.000000
     2     3  1993     1402.000000
     3     3  1993     1407.000000
     4     3  1993     1405.000000
     5     3  1993     1406.000000
     6     3  1993     1409.000000
     7     3  1993     1410.000000
     8     3  1993     1411.000000
     9     3  1993     1411.000000
    10     3  1993     1409.000000
    11     3  1993     1413.000000
    12     3  1993     1413.000000
    13     3  1993     1415.000000
    14     3  1993     1415.000000
    15     3  1993     1418.000000
    16     3  1993     1418.000000
    17     3  1993     1418.000000
    18     3  1993     1419.000000
    19     3  1993     1420.000000
    20     3  1993     1421.000000
    21     3  1993     1421.000000
    22     3  1993     1422.000000
    23     3  1993     1425.000000
    24     3  1993     1430.000000
    25     3  1993     1430.000000
    26     3  1993     1437.000000
    27     3  1993     1442.000000
    28     3  1993     1444.000000
    29     3  1993     1446.000000
    30     3  1993     1448.000000
    31     3  1993     1451.000000
     1     4  1993     1453.000000
     2     4  1993     1461.000000
     3     4  1993     1461.000000
     4     4  1993     1462.000000
     5     4  1993     1468.000000
     6     4  1993     1467.000000
     7     4  1993     1467.000000
     8     4  1993     1472.000000
     9     4  1993     1474.000000
    10     4  1993     1475.000000
    11     4  1993     1476.000000
    12     4  1993     1476.000000
    13     4  1993     1475.000000
    14     4  1993     1476.000000
    15     4  1993     1476.000000
    16     4  1993     1475.000000
    17     4  1993     1474.000000
