EIRUNEPÉ-MONTANTE	-69.881	-6.684
    21     8  1983      260.000000
    22     8  1983      260.000000
    23     8  1983      258.000000
    24     8  1983      258.000000
    25     8  1983      258.000000
    26     8  1983      258.000000
    27     8  1983      256.000000
    28     8  1983      256.000000
    29     8  1983      256.000000
    30     8  1983      256.000000
    31     8  1983      258.000000
     1     9  1983      261.000000
     2     9  1983      267.000000
     3     9  1983      268.000000
     4     9  1983      272.000000
     5     9  1983      274.000000
     6     9  1983      274.000000
     7     9  1983      280.000000
     8     9  1983      289.000000
     9     9  1983      295.000000
    10     9  1983      296.000000
    11     9  1983      294.000000
    12     9  1983      291.000000
    13     9  1983      287.000000
    14     9  1983      283.000000
    15     9  1983      282.000000
    16     9  1983      282.000000
    17     9  1983      282.000000
    18     9  1983      279.000000
    19     9  1983      277.000000
    20     9  1983      275.000000
    21     9  1983      273.000000
    22     9  1983      272.000000
    23     9  1983      271.000000
    24     9  1983      270.000000
    25     9  1983      269.000000
    26     9  1983      266.000000
    27     9  1983      261.000000
    28     9  1983      256.000000
    29     9  1983      252.000000
    30     9  1983      250.000000
     1    10  1983      253.000000
     2    10  1983      256.000000
     3    10  1983      256.000000
     4    10  1983      259.000000
     5    10  1983      261.000000
     6    10  1983      263.000000
     7    10  1983      267.000000
     8    10  1983      269.000000
     9    10  1983      270.000000
    10    10  1983      274.000000
    11    10  1983      279.000000
    12    10  1983      285.000000
    13    10  1983      289.000000
    14    10  1983      296.000000
    15    10  1983      299.000000
    16    10  1983      304.000000
    17    10  1983      310.000000
    18    10  1983      309.000000
    19    10  1983      305.000000
    20    10  1983      304.000000
    21    10  1983      310.000000
    22    10  1983      314.000000
    23    10  1983      312.000000
    24    10  1983      308.000000
    25    10  1983      303.000000
    26    10  1983      299.000000
    27    10  1983      298.000000
    28    10  1983      296.000000
    29    10  1983      297.000000
    30    10  1983      302.000000
    31    10  1983      311.000000
     1    11  1983      325.000000
     2    11  1983      339.000000
     3    11  1983      353.000000
     4    11  1983      391.000000
     5    11  1983      452.000000
     6    11  1983      535.000000
     7    11  1983      626.000000
     8    11  1983      675.000000
     9    11  1983      693.000000
    10    11  1983      695.000000
    11    11  1983      689.000000
    12    11  1983      686.000000
    13    11  1983      723.000000
    14    11  1983      770.000000
    15    11  1983      775.000000
    16    11  1983      759.000000
    17    11  1983      737.000000
    18    11  1983      721.000000
    19    11  1983      714.000000
    20    11  1983      728.000000
    21    11  1983      736.000000
    22    11  1983      731.000000
    23    11  1983      714.000000
    24    11  1983      702.000000
    25    11  1983      692.000000
    26    11  1983      686.000000
    27    11  1983      685.000000
    28    11  1983      684.000000
    29    11  1983      694.000000
    30    11  1983      714.000000
     1    12  1983      727.000000
     2    12  1983      740.000000
     3    12  1983      784.000000
     4    12  1983      815.000000
     5    12  1983      842.000000
     6    12  1983      869.000000
     7    12  1983      895.000000
     8    12  1983      911.000000
     9    12  1983      917.000000
    10    12  1983      941.000000
    11    12  1983      977.000000
    12    12  1983      996.000000
    13    12  1983     1012.000000
    14    12  1983     1023.000000
    15    12  1983     1034.000000
    16    12  1983     1070.000000
    17    12  1983     1116.000000
    18    12  1983     1141.000000
    19    12  1983     1154.000000
    20    12  1983     1176.000000
    21    12  1983     1195.000000
    22    12  1983     1215.000000
    23    12  1983     1229.000000
    24    12  1983     1237.000000
    25    12  1983     1238.000000
    26    12  1983     1234.000000
    27    12  1983     1225.000000
    28    12  1983     1213.000000
    29    12  1983     1191.000000
    30    12  1983     1168.000000
    31    12  1983     1153.000000
     1     1  1984     1148.000000
     2     1  1984     1143.000000
     3     1  1984     1142.000000
     4     1  1984     1134.000000
     5     1  1984     1131.000000
     6     1  1984     1143.000000
     7     1  1984     1154.000000
     8     1  1984     1162.000000
     9     1  1984     1167.000000
    10     1  1984     1178.000000
    11     1  1984     1197.000000
    12     1  1984     1211.000000
    13     1  1984     1213.000000
    14     1  1984     1212.000000
    15     1  1984     1218.000000
    16     1  1984     1236.000000
    17     1  1984     1256.000000
    18     1  1984     1275.000000
    19     1  1984     1288.000000
    20     1  1984     1304.000000
    21     1  1984     1314.000000
    22     1  1984     1329.000000
    23     1  1984     1338.000000
    24     1  1984     1346.000000
    25     1  1984     1350.000000
    26     1  1984     1350.000000
    27     1  1984     1353.000000
    28     1  1984     1355.000000
    29     1  1984     1344.000000
    30     1  1984     1335.000000
    31     1  1984     1328.000000
     1     2  1984     1321.000000
     2     2  1984     1316.000000
     3     2  1984     1324.000000
     4     2  1984     1338.000000
     5     2  1984     1361.000000
     6     2  1984     1379.000000
     7     2  1984     1401.000000
     8     2  1984     1419.000000
     9     2  1984     1437.000000
    10     2  1984     1453.000000
    11     2  1984     1469.000000
    12     2  1984     1484.000000
    13     2  1984     1496.000000
    14     2  1984     1509.000000
    15     2  1984     1518.000000
    16     2  1984     1528.000000
    17     2  1984     1538.000000
    18     2  1984     1547.000000
    19     2  1984     1553.000000
    20     2  1984     1559.000000
    21     2  1984     1564.000000
    22     2  1984     1571.000000
    23     2  1984     1577.000000
    24     2  1984     1585.000000
    25     2  1984     1592.000000
    26     2  1984     1598.000000
    27     2  1984     1600.000000
    28     2  1984     1602.000000
    29     2  1984     1602.000000
     1     3  1984     1604.000000
     2     3  1984     1608.000000
     3     3  1984     1611.000000
     4     3  1984     1616.000000
     5     3  1984     1616.000000
     6     3  1984     1615.000000
     7     3  1984     1613.000000
     8     3  1984     1610.000000
     9     3  1984     1610.000000
    10     3  1984     1610.000000
    11     3  1984     1610.000000
    12     3  1984     1614.000000
    13     3  1984     1608.000000
    14     3  1984     1604.000000
    15     3  1984     1602.000000
    16     3  1984     1602.000000
    17     3  1984     1602.000000
    18     3  1984     1602.000000
    19     3  1984     1601.000000
    20     3  1984     1599.000000
    21     3  1984     1597.000000
    22     3  1984     1597.000000
    23     3  1984     1598.000000
    24     3  1984     1597.000000
    25     3  1984     1594.000000
    26     3  1984     1595.000000
    27     3  1984     1593.000000
    28     3  1984     1591.000000
    29     3  1984     1594.000000
    30     3  1984     1593.000000
    31     3  1984     1590.000000
     1     4  1984     1588.000000
     2     4  1984     1587.000000
     3     4  1984     1586.000000
     4     4  1984     1585.000000
     5     4  1984     1589.000000
     6     4  1984     1592.000000
     7     4  1984     1594.000000
     8     4  1984     1596.000000
     9     4  1984     1598.000000
    10     4  1984     1596.000000
    11     4  1984     1595.000000
    12     4  1984     1597.000000
    13     4  1984     1596.000000
    14     4  1984     1596.000000
    15     4  1984     1598.000000
    16     4  1984     1599.000000
    17     4  1984     1599.000000
    18     4  1984     1599.000000
    19     4  1984     1598.000000
    20     4  1984     1596.000000
    21     4  1984     1595.000000
    22     4  1984     1592.000000
    23     4  1984     1593.000000
    24     4  1984     1597.000000
    25     4  1984     1599.000000
    26     4  1984     1599.000000
    27     4  1984     1599.000000
    28     4  1984     1601.000000
    29     4  1984     1605.000000
    30     4  1984     1606.000000
     1     5  1984     1603.000000
     2     5  1984     1598.000000
     3     5  1984     1596.000000
     4     5  1984     1596.000000
     5     5  1984     1594.000000
     6     5  1984     1588.000000
     7     5  1984     1584.000000
     8     5  1984     1579.000000
     9     5  1984     1572.000000
    10     5  1984     1566.000000
    11     5  1984     1561.000000
    12     5  1984     1554.000000
    13     5  1984     1546.000000
    14     5  1984     1542.000000
    15     5  1984     1539.000000
    16     5  1984     1534.000000
    17     5  1984     1528.000000
    18     5  1984     1516.000000
    19     5  1984     1504.000000
    20     5  1984     1494.000000
    21     5  1984     1481.000000
    22     5  1984     1468.000000
    23     5  1984     1454.000000
    24     5  1984     1440.000000
    25     5  1984     1430.000000
    26     5  1984     1422.000000
    27     5  1984     1416.000000
    28     5  1984     1406.000000
    29     5  1984     1396.000000
    30     5  1984     1379.000000
    31     5  1984     1366.000000
     1     6  1984     1343.000000
     2     6  1984     1323.000000
     3     6  1984     1300.000000
     4     6  1984     1264.000000
     5     6  1984     1224.000000
     6     6  1984     1175.000000
     7     6  1984     1136.000000
     8     6  1984     1072.000000
     9     6  1984     1028.000000
    10     6  1984      981.000000
    11     6  1984      938.000000
    12     6  1984      906.000000
    13     6  1984      872.000000
    14     6  1984      835.000000
    15     6  1984      803.000000
    16     6  1984      786.000000
    17     6  1984      778.000000
    18     6  1984      774.000000
    19     6  1984      774.000000
    20     6  1984      772.000000
    21     6  1984      772.000000
    22     6  1984      772.000000
    23     6  1984      770.000000
    24     6  1984      767.000000
    25     6  1984      758.000000
    26     6  1984      743.000000
    27     6  1984      732.000000
    28     6  1984      717.000000
    29     6  1984      696.000000
    30     6  1984      685.000000
     1     7  1984      668.000000
     2     7  1984      656.000000
     3     7  1984      650.000000
     4     7  1984      649.000000
     5     7  1984      649.000000
     6     7  1984      648.000000
     7     7  1984      645.000000
     8     7  1984      642.000000
     9     7  1984      635.000000
    10     7  1984      629.000000
    11     7  1984      618.000000
    12     7  1984      608.000000
    13     7  1984      596.000000
    14     7  1984      580.000000
    15     7  1984      566.000000
    16     7  1984      554.000000
    17     7  1984      544.000000
    18     7  1984      538.000000
    19     7  1984      538.000000
    20     7  1984      538.000000
    21     7  1984      538.000000
    22     7  1984      534.000000
    23     7  1984      525.000000
    24     7  1984      514.000000
    25     7  1984      503.000000
    26     7  1984      493.000000
    27     7  1984      481.000000
    28     7  1984      469.000000
    29     7  1984      462.000000
    30     7  1984      454.000000
    31     7  1984      446.000000
     1     8  1984      440.000000
     2     8  1984      430.000000
     3     8  1984      419.000000
     4     8  1984      409.000000
     5     8  1984      399.000000
     6     8  1984      388.000000
     7     8  1984      380.000000
     8     8  1984      372.000000
     9     8  1984      366.000000
    10     8  1984      361.000000
    11     8  1984      358.000000
    12     8  1984      354.000000
    13     8  1984      351.000000
    14     8  1984      347.000000
    15     8  1984      344.000000
    16     8  1984      342.000000
    17     8  1984      343.000000
    18     8  1984      350.000000
    19     8  1984      351.000000
    20     8  1984      348.000000
    21     8  1984      348.000000
    22     8  1984      348.000000
    23     8  1984      348.000000
    24     8  1984      348.000000
    25     8  1984      349.000000
    26     8  1984      362.000000
    27     8  1984      376.000000
    28     8  1984      378.000000
    29     8  1984      380.000000
    30     8  1984      386.000000
    31     8  1984      388.000000
     1     9  1984      385.000000
     2     9  1984      380.000000
     3     9  1984      373.000000
     4     9  1984      367.000000
     5     9  1984      366.000000
     6     9  1984      362.000000
     7     9  1984      362.000000
     8     9  1984      364.000000
     9     9  1984      364.000000
    10     9  1984      374.000000
    11     9  1984      376.000000
    12     9  1984      374.000000
    13     9  1984      371.000000
    14     9  1984      366.000000
    15     9  1984      366.000000
    16     9  1984      367.000000
    17     9  1984      368.000000
    18     9  1984      372.000000
    19     9  1984      380.000000
    20     9  1984      370.000000
    21     9  1984      358.000000
    22     9  1984      350.000000
    23     9  1984      355.000000
    24     9  1984      354.000000
    25     9  1984      354.000000
    26     9  1984      354.000000
    27     9  1984      360.000000
    28     9  1984      370.000000
    29     9  1984      372.000000
    30     9  1984      371.000000
     1    10  1984      365.000000
     2    10  1984      362.000000
     3    10  1984      358.000000
     4    10  1984      355.000000
     5    10  1984      352.000000
     6    10  1984      348.000000
     7    10  1984      344.000000
     8    10  1984      342.000000
     9    10  1984      343.000000
    10    10  1984      347.000000
    11    10  1984      346.000000
    12    10  1984      346.000000
    13    10  1984      346.000000
    14    10  1984      350.000000
    15    10  1984      352.000000
    16    10  1984      366.000000
    17    10  1984      382.000000
    18    10  1984      395.000000
    19    10  1984      414.000000
    20    10  1984      444.000000
    21    10  1984      484.000000
    22    10  1984      545.000000
    23    10  1984      604.000000
    24    10  1984      644.000000
