BOCADOACRE	-67.400	-8.736
    23     8  1983      447.000000
    24     8  1983      444.000000
    25     8  1983      446.000000
    26     8  1983      447.000000
    27     8  1983      446.000000
    28     8  1983      449.000000
    29     8  1983      447.000000
    30     8  1983      447.000000
    31     8  1983      445.000000
     1     9  1983      445.000000
     2     9  1983      446.000000
     3     9  1983      446.000000
     4     9  1983      453.000000
     5     9  1983      451.000000
     6     9  1983      447.000000
     7     9  1983      444.000000
     8     9  1983      442.000000
     9     9  1983      439.000000
    10     9  1983      435.000000
    11     9  1983      433.000000
    12     9  1983      432.000000
    13     9  1983      429.000000
    14     9  1983      429.000000
    15     9  1983      429.000000
    16     9  1983      432.000000
    17     9  1983      435.000000
    18     9  1983      433.000000
    19     9  1983      432.000000
    20     9  1983      430.000000
    21     9  1983      431.000000
    22     9  1983      432.000000
    23     9  1983      432.000000
    24     9  1983      431.000000
    25     9  1983      435.000000
    26     9  1983      435.000000
    27     9  1983      435.000000
    28     9  1983      433.000000
    29     9  1983      429.000000
    30     9  1983      424.000000
     1    10  1983      419.000000
     2    10  1983      417.000000
     3    10  1983      416.000000
     4    10  1983      411.000000
     5    10  1983      410.000000
     6    10  1983      410.000000
     7    10  1983      413.000000
     8    10  1983      423.000000
     9    10  1983      429.000000
    10    10  1983      428.000000
    11    10  1983      422.000000
    12    10  1983      417.000000
    13    10  1983      415.000000
    14    10  1983      418.000000
    15    10  1983      416.000000
    16    10  1983      419.000000
    17    10  1983      422.000000
    18    10  1983      419.000000
    19    10  1983      416.000000
    20    10  1983      412.000000
    21    10  1983      413.000000
    22    10  1983      417.000000
    23    10  1983      419.000000
    24    10  1983      425.000000
    25    10  1983      431.000000
    26    10  1983      445.000000
    27    10  1983      438.000000
    28    10  1983      436.000000
    29    10  1983      432.000000
    30    10  1983      430.000000
    31    10  1983      433.000000
     1    11  1983      435.000000
     2    11  1983      442.000000
     3    11  1983      456.000000
     4    11  1983      464.000000
     5    11  1983      464.000000
     6    11  1983      466.000000
     7    11  1983      473.000000
     8    11  1983      491.000000
     9    11  1983      555.000000
    10    11  1983      639.000000
    11    11  1983      650.000000
    12    11  1983      635.000000
    13    11  1983      612.000000
    14    11  1983      592.000000
    15    11  1983      598.000000
    16    11  1983      620.000000
    17    11  1983      657.000000
    18    11  1983      665.000000
    19    11  1983      694.000000
    20    11  1983      708.000000
    21    11  1983      683.000000
    22    11  1983      648.000000
    23    11  1983      623.000000
    24    11  1983      608.000000
    25    11  1983      596.000000
    26    11  1983      601.000000
    27    11  1983      607.000000
    28    11  1983      670.000000
    29    11  1983      795.000000
    30    11  1983      823.000000
     1    12  1983      783.000000
     2    12  1983      743.000000
     3    12  1983      737.000000
     4    12  1983      755.000000
     5    12  1983      771.000000
     6    12  1983      807.000000
     7    12  1983      870.000000
     8    12  1983      898.000000
     9    12  1983      935.000000
    10    12  1983      969.000000
    11    12  1983      984.000000
    12    12  1983     1007.000000
    13    12  1983     1035.000000
    14    12  1983     1021.000000
    15    12  1983      961.000000
    16    12  1983      890.000000
    17    12  1983      825.000000
    18    12  1983      785.000000
    19    12  1983      773.000000
    20    12  1983      789.000000
    21    12  1983      848.000000
    22    12  1983      928.000000
    23    12  1983      965.000000
    24    12  1983      962.000000
    25    12  1983      920.000000
    26    12  1983      885.000000
    27    12  1983      860.000000
    28    12  1983      842.000000
    29    12  1983      832.000000
    30    12  1983      825.000000
    31    12  1983      842.000000
     1     1  1984      894.000000
     2     1  1984      911.000000
     3     1  1984      912.000000
     4     1  1984      909.000000
     5     1  1984      935.000000
     6     1  1984     1030.000000
     7     1  1984     1120.000000
     8     1  1984     1193.000000
     9     1  1984     1241.000000
    10     1  1984     1282.000000
    11     1  1984     1324.000000
    12     1  1984     1378.000000
    13     1  1984     1424.000000
    14     1  1984     1470.000000
    15     1  1984     1501.000000
    16     1  1984     1535.000000
    17     1  1984     1558.000000
    18     1  1984     1578.000000
    19     1  1984     1585.000000
    20     1  1984     1598.000000
    21     1  1984     1587.000000
    22     1  1984     1572.000000
    23     1  1984     1550.000000
    24     1  1984     1520.000000
    25     1  1984     1483.000000
    26     1  1984     1466.000000
    27     1  1984     1453.000000
    28     1  1984     1421.000000
    29     1  1984     1374.000000
    30     1  1984     1319.000000
    31     1  1984     1294.000000
     1     2  1984     1310.000000
     2     2  1984     1348.000000
     3     2  1984     1394.000000
     4     2  1984     1438.000000
     5     2  1984     1472.000000
     6     2  1984     1504.000000
     7     2  1984     1532.000000
     8     2  1984     1581.000000
     9     2  1984     1634.000000
    10     2  1984     1666.000000
    11     2  1984     1692.000000
    12     2  1984     1710.000000
    13     2  1984     1721.000000
    14     2  1984     1728.000000
    15     2  1984     1729.000000
    16     2  1984     1733.000000
    17     2  1984     1724.000000
    18     2  1984     1704.000000
    19     2  1984     1698.000000
    20     2  1984     1708.000000
    21     2  1984     1712.000000
    22     2  1984     1719.000000
