BOCADOPOMPEU-JUSANTE	-65.043	-10.918
     2     1  1984      139.000000
     3     1  1984      191.000000
     4     1  1984      205.000000
     5     1  1984      231.000000
     6     1  1984      247.000000
     7     1  1984      271.000000
     8     1  1984      286.000000
     9     1  1984      295.000000
    10     1  1984      300.000000
    11     1  1984      305.000000
    12     1  1984      313.000000
    13     1  1984      317.000000
    14     1  1984      321.000000
    15     1  1984      323.000000
    16     1  1984      323.000000
    17     1  1984      319.000000
    18     1  1984      317.000000
    19     1  1984      315.000000
    20     1  1984      315.000000
    21     1  1984      315.000000
    22     1  1984      315.000000
    23     1  1984      315.000000
    24     1  1984      311.000000
    25     1  1984      297.000000
    26     1  1984      295.000000
    27     1  1984      293.000000
    28     1  1984      291.000000
    29     1  1984      296.000000
    30     1  1984      300.000000
    31     1  1984      303.000000
     1     2  1984      307.000000
     2     2  1984      313.000000
     3     2  1984      320.000000
     4     2  1984      326.000000
     5     2  1984      326.000000
     6     2  1984      326.000000
     7     2  1984      329.000000
     8     2  1984      332.000000
     9     2  1984      335.000000
    10     2  1984      341.000000
    11     2  1984      345.000000
    12     2  1984      349.000000
    13     2  1984      352.000000
    14     2  1984      365.000000
    15     2  1984      380.000000
    16     2  1984      392.000000
    17     2  1984      404.000000
    18     2  1984      408.000000
    19     2  1984      417.000000
    20     2  1984      420.000000
    21     2  1984      420.000000
    22     2  1984      418.000000
    23     2  1984      415.000000
    24     2  1984      412.000000
    25     2  1984      412.000000
    26     2  1984      413.000000
    27     2  1984      417.000000
    28     2  1984      420.000000
    29     2  1984      421.000000
     1     3  1984      423.000000
     2     3  1984      421.000000
     3     3  1984      418.000000
     4     3  1984      415.000000
     5     3  1984      412.000000
     6     3  1984      408.000000
     7     3  1984      404.000000
     8     3  1984      401.000000
     9     3  1984      397.000000
    10     3  1984      397.000000
    11     3  1984      399.000000
    12     3  1984      399.000000
    13     3  1984      398.000000
    14     3  1984      399.000000
    15     3  1984      400.000000
    16     3  1984      400.000000
    17     3  1984      401.000000
    18     3  1984      401.000000
    19     3  1984      401.000000
    20     3  1984      405.000000
    21     3  1984      405.000000
    22     3  1984      405.000000
    23     3  1984      407.000000
    24     3  1984      409.000000
    25     3  1984      409.000000
    26     3  1984      407.000000
    27     3  1984      412.000000
    28     3  1984      413.000000
    29     3  1984      418.000000
    30     3  1984      432.000000
    31     3  1984      446.000000
     1     4  1984      453.000000
     2     4  1984      461.000000
     3     4  1984      470.000000
     4     4  1984      480.000000
     5     4  1984      487.000000
     6     4  1984      492.000000
     7     4  1984      493.000000
     8     4  1984      492.000000
     9     4  1984      487.000000
    10     4  1984      483.000000
    11     4  1984      477.000000
    12     4  1984      472.000000
    13     4  1984      465.000000
    14     4  1984      461.000000
    15     4  1984      457.000000
    16     4  1984      452.000000
    17     4  1984      451.000000
    18     4  1984      446.000000
    19     4  1984      441.000000
    20     4  1984      438.000000
    21     4  1984      432.000000
    22     4  1984      427.000000
    23     4  1984      421.000000
    24     4  1984      419.000000
    25     4  1984      418.000000
    26     4  1984      412.000000
    27     4  1984      405.000000
    28     4  1984      400.000000
    29     4  1984      396.000000
    30     4  1984      393.000000
     1     5  1984      391.000000
     2     5  1984      390.000000
     3     5  1984      389.000000
     4     5  1984      390.000000
     5     5  1984      393.000000
     6     5  1984      392.000000
     7     5  1984      390.000000
     8     5  1984      386.000000
     9     5  1984      377.000000
    10     5  1984      378.000000
    11     5  1984      372.000000
    12     5  1984      368.000000
    13     5  1984      370.000000
    14     5  1984      373.000000
    15     5  1984      376.000000
    16     5  1984      375.000000
    17     5  1984      371.000000
    18     5  1984      364.000000
    19     5  1984      359.000000
    20     5  1984      353.000000
    21     5  1984      349.000000
    22     5  1984      344.000000
    23     5  1984      340.000000
    24     5  1984      337.000000
    25     5  1984      335.000000
    26     5  1984      332.000000
    27     5  1984      330.000000
    28     5  1984      329.000000
    29     5  1984      325.000000
    30     5  1984      320.000000
    31     5  1984      315.000000
     1     6  1984      310.000000
     2     6  1984      305.000000
     3     6  1984      300.000000
     4     6  1984      296.000000
     5     6  1984      292.000000
     6     6  1984      287.000000
     7     6  1984      282.000000
     8     6  1984      278.000000
     9     6  1984      275.000000
    10     6  1984      271.000000
    11     6  1984      267.000000
    12     6  1984      263.000000
    13     6  1984      259.000000
    14     6  1984      255.000000
    15     6  1984      251.000000
    16     6  1984      246.000000
    17     6  1984      240.000000
    18     6  1984      234.000000
    19     6  1984      228.000000
    20     6  1984      222.000000
    21     6  1984      217.000000
    22     6  1984      212.000000
    23     6  1984      208.000000
    24     6  1984      203.000000
    25     6  1984      199.000000
    26     6  1984      194.000000
    27     6  1984      189.000000
    28     6  1984      184.000000
    29     6  1984      179.000000
    30     6  1984      174.000000
     1     7  1984      169.000000
     2     7  1984      164.000000
     3     7  1984      160.000000
     4     7  1984      155.000000
     5     7  1984      151.000000
     6     7  1984      146.000000
     7     7  1984      143.000000
