SANTOSDUMONT	-68.246	-6.440
    23     8  1983      599.000000
    24     8  1983      597.000000
    25     8  1983      595.000000
    26     8  1983      593.000000
    27     8  1983      589.000000
    28     8  1983      587.000000
    29     8  1983      585.000000
    30     8  1983      583.000000
    31     8  1983      582.000000
     1     9  1983      580.000000
     2     9  1983      580.000000
     3     9  1983      584.000000
     4     9  1983      586.000000
     5     9  1983      590.000000
     6     9  1983      595.000000
     7     9  1983      600.000000
     8     9  1983      606.000000
     9     9  1983      611.000000
    10     9  1983      614.000000
    11     9  1983      614.000000
    12     9  1983      618.000000
    13     9  1983      621.000000
    14     9  1983      631.000000
    15     9  1983      633.000000
    16     9  1983      634.000000
    17     9  1983      629.000000
    18     9  1983      623.000000
    19     9  1983      615.000000
    20     9  1983      609.000000
    21     9  1983      604.000000
    22     9  1983      601.000000
    23     9  1983      599.000000
    24     9  1983      597.000000
    25     9  1983      593.000000
    26     9  1983      587.000000
    27     9  1983      583.000000
    28     9  1983      581.000000
    29     9  1983      580.000000
    30     9  1983      580.000000
     1    10  1983      577.000000
     2    10  1983      573.000000
     3    10  1983      571.000000
     4    10  1983      570.000000
     5    10  1983      572.000000
     6    10  1983      574.000000
     7    10  1983      574.000000
     8    10  1983      577.000000
     9    10  1983      580.000000
    10    10  1983      583.000000
    11    10  1983      588.000000
    12    10  1983      588.000000
    13    10  1983      593.000000
    14    10  1983      598.000000
    15    10  1983      605.000000
    16    10  1983      611.000000
    17    10  1983      615.000000
    18    10  1983      620.000000
    19    10  1983      628.000000
    20    10  1983      636.000000
    21    10  1983      640.000000
    22    10  1983      649.000000
    23    10  1983      650.000000
    24    10  1983      657.000000
    25    10  1983      662.000000
    26    10  1983      665.000000
    27    10  1983      676.000000
    28    10  1983      686.000000
    29    10  1983      690.000000
    30    10  1983      683.000000
    31    10  1983      675.000000
     1    11  1983      665.000000
     2    11  1983      654.000000
     3    11  1983      650.000000
     4    11  1983      656.000000
     5    11  1983      669.000000
     6    11  1983      698.000000
     7    11  1983      719.000000
     8    11  1983      763.000000
     9    11  1983      853.000000
    10    11  1983      955.000000
    11    11  1983     1029.000000
    12    11  1983     1074.000000
    13    11  1983     1092.000000
    14    11  1983     1099.000000
    15    11  1983     1102.000000
    16    11  1983     1121.000000
    17    11  1983     1144.000000
    18    11  1983     1161.000000
    19    11  1983     1157.000000
    20    11  1983     1143.000000
    21    11  1983     1133.000000
    22    11  1983     1122.000000
    23    11  1983     1118.000000
    24    11  1983     1116.000000
    25    11  1983     1112.000000
    26    11  1983     1104.000000
    27    11  1983     1097.000000
    28    11  1983     1085.000000
    29    11  1983     1074.000000
    30    11  1983     1066.000000
     1    12  1983     1066.000000
     2    12  1983     1077.000000
     3    12  1983     1097.000000
     4    12  1983     1113.000000
     5    12  1983     1142.000000
     6    12  1983     1175.000000
     7    12  1983     1208.000000
     8    12  1983     1238.000000
     9    12  1983     1265.000000
    10    12  1983     1289.000000
    11    12  1983     1305.000000
    12    12  1983     1313.000000
    13    12  1983     1331.000000
    14    12  1983     1345.000000
    15    12  1983     1368.000000
    16    12  1983     1383.000000
    17    12  1983     1396.000000
    18    12  1983     1410.000000
    19    12  1983     1426.000000
    20    12  1983     1435.000000
    21    12  1983     1447.000000
    22    12  1983     1469.000000
    23    12  1983     1488.000000
    24    12  1983     1506.000000
    25    12  1983     1523.000000
    26    12  1983     1536.000000
    27    12  1983     1542.000000
    28    12  1983     1546.000000
    29    12  1983     1543.000000
    30    12  1983     1540.000000
    31    12  1983     1534.000000
     1     1  1984     1528.000000
     2     1  1984     1537.000000
     3     1  1984     1541.000000
     4     1  1984     1542.000000
     5     1  1984     1546.000000
     6     1  1984     1552.000000
     7     1  1984     1562.000000
     8     1  1984     1569.000000
     9     1  1984     1582.000000
    10     1  1984     1596.000000
    11     1  1984     1602.000000
    12     1  1984     1614.000000
    13     1  1984     1625.000000
    14     1  1984     1630.000000
    15     1  1984     1633.000000
    16     1  1984     1636.000000
    17     1  1984     1647.000000
    18     1  1984     1654.000000
    19     1  1984     1663.000000
    20     1  1984     1675.000000
    21     1  1984     1692.000000
    22     1  1984     1716.000000
    23     1  1984     1732.000000
    24     1  1984     1742.000000
    25     1  1984     1749.000000
    26     1  1984     1754.000000
    27     1  1984     1756.000000
    28     1  1984     1759.000000
    29     1  1984     1762.000000
    30     1  1984     1763.000000
    31     1  1984     1764.000000
     1     2  1984     1764.000000
     2     2  1984     1764.000000
     3     2  1984     1767.000000
     4     2  1984     1772.000000
     5     2  1984     1772.000000
     6     2  1984     1772.000000
     7     2  1984     1777.000000
     8     2  1984     1788.000000
     9     2  1984     1798.000000
    10     2  1984     1804.000000
    11     2  1984     1810.000000
    12     2  1984     1817.000000
    13     2  1984     1822.000000
    14     2  1984     1828.000000
    15     2  1984     1834.000000
    16     2  1984     1842.000000
    17     2  1984     1850.000000
    18     2  1984     1858.000000
    19     2  1984     1868.000000
    20     2  1984     1881.000000
    21     2  1984     1892.000000
    22     2  1984     1901.000000
    23     2  1984     1912.000000
    24     2  1984     1920.000000
    25     2  1984     1928.000000
    26     2  1984     1937.000000
    27     2  1984     1946.000000
    28     2  1984     1956.000000
    29     2  1984     1969.000000
     1     3  1984     1980.000000
     2     3  1984     1990.000000
     3     3  1984     2001.000000
     4     3  1984     2020.000000
     5     3  1984     2033.000000
     6     3  1984     2046.000000
     7     3  1984     2064.000000
     8     3  1984     2074.000000
     9     3  1984     2082.000000
    10     3  1984     2092.000000
    11     3  1984     2100.000000
    12     3  1984     2104.000000
    13     3  1984     2109.000000
    14     3  1984     2110.000000
    15     3  1984     2112.000000
    16     3  1984     2114.000000
    17     3  1984     2111.000000
    18     3  1984     2115.000000
    19     3  1984     2113.000000
    20     3  1984     2109.000000
    21     3  1984     2106.000000
    22     3  1984     2106.000000
    23     3  1984     2110.000000
    24     3  1984     2107.000000
    25     3  1984     2103.000000
    26     3  1984     2099.000000
    27     3  1984     2096.000000
    28     3  1984     2091.000000
    29     3  1984     2087.000000
    30     3  1984     2085.000000
    31     3  1984     2082.000000
     1     4  1984     2078.000000
     2     4  1984     2075.000000
     3     4  1984     2072.000000
     4     4  1984     2068.000000
     5     4  1984     2065.000000
     6     4  1984     2062.000000
     7     4  1984     2058.000000
     8     4  1984     2056.000000
     9     4  1984     2053.000000
    10     4  1984     2051.000000
    11     4  1984     2049.000000
    12     4  1984     2047.000000
    13     4  1984     2046.000000
    14     4  1984     2044.000000
    15     4  1984     2044.000000
    16     4  1984     2044.000000
    17     4  1984     2045.000000
    18     4  1984     2047.000000
    19     4  1984     2056.000000
    20     4  1984     2055.000000
    21     4  1984     2065.000000
    22     4  1984     2062.000000
    23     4  1984     2061.000000
    24     4  1984     2062.000000
    25     4  1984     2062.000000
    26     4  1984     2060.000000
    27     4  1984     2060.000000
    28     4  1984     2058.000000
    29     4  1984     2056.000000
    30     4  1984     2056.000000
     1     5  1984     2058.000000
     2     5  1984     2056.000000
     3     5  1984     2054.000000
     4     5  1984     2054.000000
     5     5  1984     2054.000000
     6     5  1984     2056.000000
     7     5  1984     2058.000000
     8     5  1984     2060.000000
     9     5  1984     2061.000000
    10     5  1984     2062.000000
    11     5  1984     2060.000000
    12     5  1984     2052.000000
    13     5  1984     2045.000000
    14     5  1984     2033.000000
    15     5  1984     2021.000000
    16     5  1984     2016.000000
    17     5  1984     2010.000000
    18     5  1984     2002.000000
    19     5  1984     1996.000000
    20     5  1984     1987.000000
    21     5  1984     1979.000000
    22     5  1984     1972.000000
    23     5  1984     1962.000000
    24     5  1984     1952.000000
    25     5  1984     1942.000000
